{' Yes': -0.0062188194, 'Yes': -5.4882436, ' Generally': -6.715779, ' No': -8.289528, ' A': -8.50017}
{' Yes': -0.055845644, 'Yes': -3.4560795, ' Generally': -4.2900662, ' M': -5.737173, ' No': -6.522594}
{' Yes': -0.0038533742, 'Yes': -6.035925, ' No': -7.399531, ' yes': -8.00849, '\n': -8.1656475}
{' Yes': -0.017591126, ' No': -4.276121, 'Yes': -5.969524, '\n': -8.192197, ' yes': -8.253625}
{' Yes': -0.0041955695, 'Yes': -5.7760043, '\n': -7.4577765, ' yes': -8.364336, ' Generally': -9.139405}
{' Yes': -0.003940199, 'Yes': -5.909158, '\n': -7.650279, ' No': -8.097541, ' Generally': -8.764968}
{' Yes': -0.08601748, '\n': -3.195961, 'Yes': -3.887077, ' ': -4.7250023, ' No': -4.745918}
{' Yes': -0.12097464, ' No': -3.1643403, '\n': -3.531409, 'Yes': -4.0270677, ' ': -4.6136713}
{' Yes': -0.025204986, 'Yes': -4.0919294, '\n': -5.944636, ' M': -6.307456, ' Generally': -6.867778}
{' Yes': -0.030012202, 'Yes': -3.9146535, ' Generally': -5.7970634, '\n': -6.075588, ' M': -6.424339}
{' Yes': -0.3517696, '\n': -1.5716715, ' ': -3.5203657, ' No': -3.5341651, 'Yes': -3.8207748}
{' Yes': -0.6912814, '\n': -1.3096932, ' No': -1.9281303, ' ': -3.201226, 'Yes': -3.9855392}
{' Yes': -0.30247745, '\n': -1.5627657, 'Yes': -3.649586, ' ': -4.111403, ' M': -5.439837}
{' Yes': -0.3193795, '\n': -1.5510575, 'Yes': -3.3706796, ' ': -4.2507267, ' M': -4.87343}
{' Yes': -0.0072717196, 'Yes': -5.3436728, '\n': -7.092036, ' No': -7.204802, ' ': -7.484648}
{' Yes': -0.0071673137, 'Yes': -5.4954977, ' No': -6.5052004, '\n': -7.777083, ' A': -7.805812}
{' Yes': -0.0077875885, 'Yes': -5.064693, '\n': -7.6848025, ' M': -8.270776, ' yes': -8.315358}
{' Yes': -0.0074249497, 'Yes': -5.0997634, ' No': -7.82627, ' Generally': -8.448823, '\n': -8.4955}
{' No': -0.52471465, ' Yes': -2.0411425, 'No': -2.092967, '\n': -2.2054303, ' ': -3.798278}
{' No': -0.7155571, ' Yes': -1.3483601, '\n': -2.3388062, 'No': -2.3638, 'Yes': -3.6462955}
{' Yes': -0.23722152, 'Yes': -2.2475765, '\n': -2.9407601, ' No': -3.83869, ' M': -4.498524}
{' Yes': -0.35067156, 'Yes': -2.1869504, '\n': -2.7439973, ' No': -3.0028265, ' M': -3.4296758}
{' Yes': -0.024748603, 'Yes': -4.438866, '\n': -5.500109, ' yes': -5.582076, ' ': -5.7543015}
{' Yes': -0.021040754, 'Yes': -4.503249, '\n': -5.9120903, ' yes': -6.023312, ' ': -6.023943}
{' Yes': -0.036169052, 'Yes': -3.853237, '\n': -5.3334823, ' yes': -5.4156933, ' ': -6.068105}
{' Yes': -0.033335593, 'Yes': -3.8023021, ' yes': -5.7732415, '\n': -6.0952096, ' M': -6.167947}
{' Yes': -0.030351542, 'Yes': -3.762264, ' yes': -6.3644295, ' Generally': -6.4971747, ' No': -6.627493}
{' Yes': -0.046383325, 'Yes': -3.3082662, ' A': -6.145084, ' Generally': -6.3317385, ' No': -6.4136767}
{' Yes': -0.09235218, 'Yes': -2.7900987, ' Generally': -4.9256363, ' yes': -4.9346294, ' M': -5.4927125}
{' Yes': -0.1297259, 'Yes': -2.6318984, ' Generally': -4.057605, ' M': -4.616636, ' No': -5.0013337}
{' Yes': -0.04846676, 'Yes': -3.108472, ' yes': -6.887269, ' No': -6.985244, ' ': -8.617953}
{' Yes': -0.059359893, 'Yes': -3.0986989, ' No': -4.649131, 'No': -6.4199896, ' yes': -7.342929}
{' Yes': -0.06316075, 'Yes': -2.9608047, ' No': -5.510724, ' Generally': -5.9273863, 'No': -6.802136}
{' Yes': -0.1544249, 'Yes': -2.6047137, ' No': -3.2568858, 'No': -4.2211227, ' Generally': -4.4436665}
{' Yes': -0.09386969, 'Yes': -2.8147156, ' No': -3.8254104, 'No': -5.411563, ' yes': -6.693297}
{' Yes': -0.15714036, ' No': -2.4736497, 'Yes': -3.0938907, 'No': -4.351686, '\n': -6.990436}
{' Yes': -0.07643103, 'Yes': -2.7185838, ' No': -5.9777064, ' Generally': -7.0517287, ' yes': -7.059658}
{' Yes': -0.12346845, 'Yes': -2.3667507, ' No': -4.530342, 'No': -5.2899, ' Generally': -5.6308193}
{' Yes': -0.018675629, 'Yes': -4.3915067, ' No': -5.41311, ' yes': -7.0639195, ' ': -8.116315}
{' Yes': -0.017386109, 'Yes': -4.391974, ' No': -5.6065717, ' Generally': -7.692827, ' ': -8.409485}
{' Yes': -0.032845795, 'Yes': -3.6494896, ' No': -5.976386, ' Generally': -6.0726023, ' M': -7.8820615}
{' Yes': -0.031598944, 'Yes': -3.7823656, ' No': -5.4300194, ' Generally': -5.9091754, 'No': -7.855922}
{' No': -0.82207364, 'No': -1.1345183, ' Yes': -1.6913592, 'Yes': -3.1851394, '\n': -5.4875045}
{' No': -0.98958355, 'No': -1.209806, ' Yes': -1.4075941, 'Yes': -2.8158467, '\n': -5.0466037}
{' Yes': -0.23162942, 'Yes': -1.7212782, ' M': -4.8524075, '\n': -5.495766, ' Generally': -5.741672}
{' Yes': -0.46162885, 'Yes': -1.6842259, 'No': -3.0285041, ' No': -3.3356102, ' M': -3.458676}
{' Yes': -0.077580586, 'Yes': -3.0320807, ' yes': -4.6524115, ' No': -4.7633047, '\n': -5.601479}
{' Yes': -0.13352343, 'Yes': -2.701833, ' No': -3.862819, '\n': -4.102916, ' yes': -4.825393}
{' Yes': -0.13972688, 'Yes': -2.1840308, ' Generally': -5.2818546, ' M': -5.7333903, ' No': -5.810381}
{' Yes': -0.6504184, 'No': -1.8642036, ' No': -1.9874641, 'Yes': -2.1065876, ' Generally': -3.4346972}
{' Yes': -0.030088305, ' yes': -3.6731775, 'Yes': -5.796464, ' ': -7.4173465, '\n': -8.596591}
{' Yes': -0.0075621717, ' yes': -5.295806, 'Yes': -6.255545, ' ': -8.177976, ' No': -8.892312}
{' Yes': -0.01286289, ' yes': -4.5720115, 'Yes': -6.2141867, ' ': -8.660037, '\n': -8.7511835}
{' Yes': -0.0040799365, ' yes': -6.0955524, 'Yes': -6.4554977, '\n': -8.979128, ' ': -9.507051}
{' Yes': -0.03388599, 'Yes': -3.9621255, ' yes': -4.9838753, '\n': -5.3678856, ' ': -6.4860315}
{' Yes': -0.0357308, 'Yes': -3.8013117, '\n': -5.512999, ' yes': -5.5740814, ' ': -6.4045086}
{' Yes': -0.030709313, 'Yes': -3.7778575, ' yes': -5.4103975, '\n': -6.3660727, ' ': -7.8220873}
{' Yes': -0.03712538, 'Yes': -3.4669578, ' yes': -6.1018276, '\n': -6.456265, ' Generally': -7.765753}
{' Yes': -0.21151975, '\n': -1.9912667, 'Yes': -3.4102077, ' ': -4.6689167, ' yes': -5.281878}
{' Yes': -0.42837825, '\n': -1.5608302, ' No': -2.6896334, 'Yes': -3.3488343, ' ': -4.1627016}
{' Yes': -0.09299938, 'Yes': -3.195258, '\n': -3.2684639, ' yes': -5.183022, ' ': -6.071025}
{' Yes': -0.1387053, 'Yes': -2.682326, '\n': -2.9597025, ' yes': -5.5815873, ' ': -6.028914}
{' Yes': -0.013263449, 'Yes': -5.0051284, '\n': -5.8045096, ' yes': -6.274209, ' ': -6.949731}
{' Yes': -0.010344079, 'Yes': -5.0429845, '\n': -6.538927, ' yes': -6.9244046, ' ': -7.558678}
{' Yes': -0.014293805, 'Yes': -4.5463867, ' yes': -6.442043, '\n': -6.9031086, ' Generally': -7.8827763}
{' Yes': -0.010895708, 'Yes': -4.8630457, ' Generally': -6.562775, ' yes': -7.4580727, '\n': -7.460675}
{' Yes': -1.0236977, ' No': -1.3578117, '\n': -1.512536, 'No': -2.5954425, 'Yes': -2.822148}
{' No': -1.0193563, ' Yes': -1.5024552, '\n': -1.6887974, 'No': -1.7898622, 'Yes': -3.0666182}
{' Yes': -0.23091914, 'Yes': -2.0679705, '\n': -3.0330868, ' yes': -3.991088, ' ': -5.315243}
{' Yes': -0.3118161, 'Yes': -2.0774524, '\n': -2.4961097, ' No': -3.6599164, 'No': -4.3608766}
{' Yes': -0.09597641, ' yes': -2.6405683, 'Yes': -4.321362, '\n': -5.654068, ' ': -6.46511}
{' Yes': -0.05843839, ' yes': -3.1874075, 'Yes': -4.588956, '\n': -5.8133574, ' ': -6.5325594}
{' Yes': -0.10225918, ' yes': -2.7792017, 'Yes': -3.7097552, '\n': -5.2858186, 'yes': -5.9628053}
{' Yes': -0.07068957, ' yes': -3.1071007, 'Yes': -4.1222796, '\n': -5.4928317, ' Generally': -6.9684944}
{' Yes': -0.008078719, '\n': -5.7318654, 'Yes': -5.8546185, ' ': -6.849225, ' yes': -7.7709265}
{' Yes': -0.005819154, 'Yes': -6.001428, '\n': -6.238691, ' ': -7.4237804, ' yes': -7.6392}
{' Yes': -0.009161667, '\n': -5.409104, 'Yes': -5.7278423, ' ': -7.107716, ' yes': -8.320879}
{' Yes': -0.013044156, '\n': -4.91295, 'Yes': -5.561759, ' ': -7.2067084, ' Generally': -7.6626062}
{' Yes': -0.1597216, '\n': -2.268078, ' ': -3.95397, 'Yes': -4.005764, ' No': -5.378508}
{' Yes': -0.19104329, '\n': -2.112512, ' ': -3.7558205, 'Yes': -4.1345687, ' No': -4.6309104}
{' Yes': -0.106628925, '\n': -2.6586614, 'Yes': -3.9595187, ' ': -4.7122617, ' Generally': -6.9338093}
{' Yes': -0.11614174, '\n': -2.6164238, 'Yes': -3.670005, ' ': -5.2985816, ' Generally': -6.1047087}
{' Yes': -0.41617343, '\n': -1.727081, ' No': -2.2702117, ' ': -3.2666354, 'Yes': -4.56282}
{' Yes': -0.53155077, '\n': -1.3075727, ' No': -2.625671, ' ': -3.1839192, 'Yes': -4.2624106}
{' Yes': -0.066668406, '\n': -3.3116803, 'Yes': -4.2059336, ' ': -5.1117063, ' M': -5.4448304}
{' Yes': -0.11823592, '\n': -2.6462128, 'Yes': -3.8396828, ' M': -4.7790174, ' ': -4.9185233}
{' Yes': -0.051104944, '\n': -3.5874588, ' ': -4.1614046, 'Yes': -5.4870844, ' No': -6.4479666}
{' Yes': -0.039831057, '\n': -3.9130287, ' ': -4.6241126, 'Yes': -5.4130416, ' No': -5.8577476}
{' Yes': -0.06903806, '\n': -3.1057181, 'Yes': -4.6499896, ' ': -4.678716, ' M': -6.5149856}
{' Yes': -0.053292435, '\n': -3.4277945, 'Yes': -4.7006984, ' ': -5.1666627, ' M': -6.3380513}
{' No': -0.90081894, ' Yes': -0.98814505, '\n': -1.8829622, ' ': -3.5226297, 'No': -3.7774954}
{' No': -0.37347242, ' Yes': -1.7891219, '\n': -2.751633, 'No': -2.944891, ' ': -4.2387466}
{' Yes': -0.11159822, ' No': -3.4553769, '\n': -3.528785, 'Yes': -3.8009558, ' M': -4.6208715}
{' Yes': -0.2167445, '\n': -2.6754808, ' No': -2.7635393, 'Yes': -3.584317, ' ': -4.373494}
{' Yes': -0.035376906, '\n': -4.501191, 'Yes': -4.5743437, ' ': -4.6873927, ' yes': -6.1146574}
{' Yes': -0.03548726, '\n': -4.4393644, 'Yes': -4.634257, ' ': -4.753934, ' yes': -6.247439}
{' Yes': -0.04016479, 'Yes': -4.047569, '\n': -4.476232, ' ': -5.0510764, ' yes': -6.054069}
{' Yes': -0.035575148, 'Yes': -3.9658594, '\n': -4.9412966, ' yes': -5.854989, ' ': -6.0121207}
{' No': -0.18908992, ' Yes': -2.0565846, ' Generally': -4.109029, 'No': -4.1606226, ' A': -5.322219}
{' Yes': -0.10303544, ' No': -2.6699834, ' Generally': -4.608002, 'Yes': -4.9527626, ' A': -5.0933347}
{' No': -0.20515081, ' Generally': -2.59042, ' M': -3.2769966, 'No': -3.5042248, ' Yes': -4.24856}
{' Yes': -1.0370837, ' No': -1.1322261, ' Generally': -1.6493999, ' M': -2.479333, ' It': -4.7440867}
{' No': -0.12019037, 'No': -2.3923573, ' Yes': -4.7160807, ' Generally': -4.8298, ' ': -6.641095}
{' Yes': -0.4447691, ' No': -1.3613093, ' Generally': -3.1305695, 'No': -3.6407838, 'Yes': -4.080248}
{' No': -0.21877433, 'No': -2.2703242, ' M': -3.483358, ' Generally': -3.6427073, ' It': -4.4721847}
{' No': -0.26657456, 'No': -2.3914373, ' Generally': -2.7037618, ' M': -3.6180608, ' Yes': -4.067693}
{' No': -0.0980255, 'No': -2.7541666, '\n': -3.86839, ' ': -5.489859, ' Yes': -6.17064}
{' No': -0.61491656, ' Yes': -1.1038426, 'No': -2.7162614, '\n': -3.6528404, 'Yes': -4.160441}
{' No': -0.28949147, 'No': -2.581064, '\n': -2.7665098, ' M': -3.2693803, ' It': -3.8418498}
{' No': -0.6126665, ' M': -2.0905564, ' Yes': -2.3237545, 'No': -2.5168335, ' Generally': -3.007745}
{' No': -0.032110024, 'No': -3.5060077, ' Generally': -7.410732, ' A': -8.190141, ' ': -8.356809}
{' No': -0.16729908, ' Yes': -2.4078863, 'No': -3.280271, ' Generally': -4.3850074, ' A': -4.7205753}
{' No': -0.1443532, 'No': -2.1749165, ' M': -4.5954046, ' Generally': -5.1286726, ' It': -6.7387414}
{' No': -0.2130574, 'No': -2.3665037, ' M': -3.05292, ' Generally': -3.315482, ' Yes': -4.871922}
{' No': -0.1836633, 'No': -2.132775, '\n': -3.663487, ' ': -4.977637, ' Generally': -5.1127076}
{' No': -0.36526886, 'No': -2.1638339, ' Yes': -2.211613, '\n': -3.4797227, ' Generally': -3.8075676}
{' No': -0.5088657, 'No': -2.1266942, '\n': -2.7781718, ' It': -2.9765072, ' M': -3.1540346}
{' No': -0.4533078, 'No': -2.1906753, ' It': -3.044639, ' Generally': -3.1650043, ' M': -3.1766255}
{' No': -0.1123633, 'No': -2.3843074, ' Generally': -5.509679, ' ': -5.5747747, '\n': -5.6840963}
{' Yes': -0.14881904, ' No': -2.9279268, 'Yes': -3.2544954, ' Generally': -3.8206558, 'No': -4.687084}
{' No': -0.25464803, 'No': -2.3812864, ' Generally': -3.2666144, ' M': -3.3486211, ' Yes': -3.9849296}
{' No': -0.64605063, ' Yes': -1.5749274, 'No': -2.4723408, ' Generally': -2.548934, ' M': -2.8509686}
{' No': -0.0050314446, 'No': -5.479507, '\n': -7.9599185, ' ': -8.145389, ' Yes': -8.767962}
{' No': -0.023215385, ' Yes': -4.0550604, 'No': -5.45704, '\n': -7.7960496, ' ': -7.855759}
{' No': -0.036858305, 'No': -4.363946, '\n': -4.72807, ' Yes': -4.918948, ' M': -5.5663247}
{' Yes': -0.28948328, ' No': -1.5939801, ' Generally': -4.162717, ' M': -4.3670073, '\n': -4.892524}
{' No': -0.11660719, 'No': -2.8065388, '\n': -3.2401328, ' ': -4.7824607, ' A': -7.1888266}
{' No': -0.1407159, 'No': -2.9619095, ' Yes': -3.5900376, '\n': -3.6017618, ' ': -4.616033}
{' No': -0.11211576, 'No': -2.7374592, ' M': -4.115385, '\n': -4.3839912, ' ': -5.2400417}
{' No': -0.2121852, 'No': -2.3724484, ' M': -3.5506232, ' Yes': -3.911234, ' Generally': -4.0350285}
{' No': -0.41467813, '\n': -1.3175635, 'No': -3.0631597, ' ': -3.812097, ' A': -6.430736}
{' No': -0.4229786, '\n': -1.37997, 'No': -3.00447, ' ': -3.6417284, ' A': -4.6722097}
{' No': -0.6861978, '\n': -0.90522444, 'No': -3.166123, ' ': -3.5718997, ' M': -4.1698556}
{'\n': -0.57057554, ' No': -1.2314545, ' Yes': -3.4007127, ' M': -3.4134803, 'No': -3.4385164}
{' No': -0.019052459, 'No': -4.0555778, ' ': -7.2070084, '\n': -7.3656287, ' A': -9.504477}
{' No': -0.023626512, 'No': -4.0156975, ' A': -6.6001854, ' Yes': -6.610655, ' ': -6.8985705}
{' No': -0.07316157, 'No': -2.799293, '\n': -5.6248336, ' M': -5.863397, ' ': -6.5732436}
{' No': -0.15946129, 'No': -2.9170923, ' M': -3.1397011, ' It': -4.001764, ' Generally': -4.487241}
{' No': -0.26733893, 'No': -1.7854149, '\n': -2.9643831, ' ': -4.395953, ' A': -6.5949044}
{' No': -0.3451372, 'No': -1.9022737, '\n': -2.5322235, ' Yes': -3.3983083, ' ': -4.0675893}
{' No': -0.38741434, 'No': -1.6617332, '\n': -2.4204612, ' M': -3.8766131, ' ': -4.125901}
{' No': -0.9007537, '\n': -1.8136451, 'No': -1.8340023, ' Yes': -2.1698728, ' M': -2.4172316}
{' No': -0.06150214, 'No': -3.141, '\n': -4.9543467, ' ': -5.1990733, ' A': -6.6359224}
{' No': -0.44611442, ' Yes': -1.3236531, 'No': -3.7281523, ' A': -3.7893567, '\n': -4.3191824}
{' No': -0.20459291, 'No': -2.4990454, ' M': -3.301944, '\n': -3.7685366, ' ': -4.4270983}
{' No': -0.9120226, ' Yes': -1.3328255, ' M': -1.9629183, ' Generally': -3.0217447, 'No': -3.1134691}
{' No': -0.112700626, 'No': -2.2907555, ' A': -6.657001, ' ': -6.9469466, ' Generally': -7.054299}
{' No': -0.21197432, 'No': -2.0809987, ' Yes': -3.179849, ' A': -4.63412, ' Generally': -5.2144384}
{' No': -0.35031718, 'No': -1.7866898, ' M': -3.7273388, ' It': -3.7499573, ' Yes': -3.9699259}
{' No': -0.4325991, 'No': -1.6217698, ' Yes': -3.293891, ' Generally': -3.4411001, ' M': -3.7004192}
{' No': -0.14696425, 'No': -1.9943955, ' ': -8.518968, ' no': -9.460753, '\n': -9.5643215}
{' No': -0.14902407, 'No': -2.0040216, ' Yes': -5.817832, 'Yes': -8.399295, ' ': -8.438123}
{' No': -0.25112015, 'No': -1.6181377, ' Yes': -5.0247464, ' Generally': -5.2282014, ' It': -5.55915}
{' No': -0.40405312, 'No': -1.3944476, ' Yes': -3.3081477, ' Generally': -3.6207583, ' It': -5.0964775}
{' No': -0.13229875, 'No': -2.106435, '\n': -6.8756785, ' ': -7.593567, ' Yes': -8.309554}
{' No': -0.1458427, 'No': -2.0357602, ' Yes': -5.9472113, '\n': -6.571372, ' ': -7.5364943}
{' No': -0.2817287, 'No': -1.5209635, ' Yes': -4.850969, ' It': -5.1379123, ' M': -5.6130137}
{' No': -0.5504983, 'No': -1.1767571, ' Yes': -2.8513596, ' It': -4.2864103, 'Yes': -4.4563}
{' No': -0.04012825, 'No': -3.2521567, ' ': -8.040374, ' Generally': -9.746154, ' no': -9.93462}
{' No': -0.037934396, 'No': -3.3618553, ' Yes': -6.3246427, ' ': -8.347835, ' Generally': -8.640639}
{' No': -0.14562157, 'No': -2.031295, ' M': -6.491, ' Generally': -6.561019, ' ': -8.183161}
{' No': -0.11124702, 'No': -2.3381414, ' Generally': -5.6106877, ' M': -6.064516, ' Yes': -6.5386376}
{' No': -0.5278491, 'No': -0.9062022, '\n': -5.8949122, ' ': -6.655119, ' Generally': -7.7525935}
{'No': -0.74862957, ' No': -0.76997656, ' Yes': -3.5789876, '\n': -4.5984926, 'Yes': -4.6192484}
{'No': -0.8462952, ' No': -0.940585, ' It': -3.015189, ' M': -3.454309, '\n': -3.917012}
{'No': -0.7395242, ' No': -1.1542923, ' It': -3.0717556, ' M': -3.395099, ' Generally': -3.6619046}
{' No': -0.18437552, 'No': -1.8456686, '\n': -4.926269, ' ': -6.743776, ' Yes': -7.6400867}
{' No': -0.3759099, 'No': -1.9218732, ' Yes': -2.3747578, '\n': -3.5450459, ' M': -3.7257173}
{' No': -0.5811387, 'No': -0.8714086, ' M': -4.5702834, ' Generally': -5.584161, 'M': -6.3901377}
{' No': -0.80104536, 'No': -0.9107466, ' Yes': -2.9147043, ' M': -3.4105115, ' Generally': -3.5625029}
{' No': -0.0048715114, 'No': -5.8854823, ' ': -6.737278, ' no': -7.481876, '\n': -8.420985}
{' No': -0.110512294, ' Yes': -2.3268838, 'No': -5.8874993, ' ': -6.0929303, ' yes': -7.4435163}
{' No': -0.007945212, 'No': -5.4322195, ' Yes': -6.4285593, ' M': -7.1495595, '\n': -7.7544184}
{' Yes': -0.36493534, ' No': -1.2659478, ' It': -5.171469, ' M': -5.1734014, 'Yes': -5.770012}
{' No': -0.1357769, 'No': -2.206183, '\n': -4.4159875, ' ': -5.8528423, ' no': -7.0511913}
{' No': -0.16716386, 'No': -2.4979591, ' Yes': -3.5697992, '\n': -3.8219392, ' ': -5.011848}
{' No': -0.17087558, 'No': -2.0964794, '\n': -4.473436, ' It': -5.0597186, ' M': -5.140396}
{' No': -0.32046673, 'No': -1.9233701, ' Yes': -2.8050876, '\n': -3.74987, ' It': -3.9644544}
{' No': -0.25885427, '\n': -1.9020712, 'No': -2.7034094, ' ': -4.668722, ' A': -7.039869}
{'\n': -0.88953596, ' No': -0.9037877, ' Yes': -2.4308033, 'No': -2.9490125, ' ': -3.6745377}
{' No': -0.31049085, '\n': -1.857446, 'No': -2.4226735, ' M': -4.6524076, ' ': -4.6896696}
{'\n': -0.91481185, ' No': -0.96450216, 'No': -2.4339368, ' Yes': -2.8912752, ' M': -3.362295}
{' No': -0.032676924, 'No': -3.669783, '\n': -5.460293, ' ': -6.326345, ' no': -8.587942}
{' No': -0.08253837, ' Yes': -3.3640516, 'No': -3.6091666, '\n': -4.9184165, ' ': -5.8165903}
{' No': -0.09448996, 'No': -2.6003323, '\n': -4.9953365, ' It': -5.8842635, ' M': -5.9276943}
{' No': -0.7908999, ' Yes': -1.1943252, ' Generally': -2.5675209, ' It': -2.8899808, 'No': -3.2497432}
{' No': -0.42329013, 'No': -1.5619563, '\n': -2.1108723, ' ': -4.5838985, ' no': -6.5373173}
{' No': -0.5943792, 'No': -1.3947581, '\n': -1.7517449, ' ': -4.400289, ' Yes': -4.6360383}
{' No': -0.56726116, 'No': -1.326796, '\n': -1.9371362, ' ': -4.4593163, ' M': -5.4671845}
{' No': -0.7370979, 'No': -1.29836, '\n': -1.5986949, ' ': -4.384717, ' M': -4.6908894}
{' No': -0.065137185, 'No': -3.3013606, '\n': -4.6169505, ' no': -4.873867, ' ': -5.390218}
{' Yes': -0.23750241, ' No': -2.1423447, ' yes': -3.6028416, '\n': -3.7934484, ' ': -4.345746}
{' No': -0.35258755, 'No': -2.5523443, ' It': -2.7778194, '\n': -2.8698719, ' M': -3.3440146}
{' Yes': -0.2626077, '\n': -3.072912, ' No': -3.1315422, ' It': -3.4508266, 'Yes': -3.6609385}
{' No': -0.016488412, '\n': -4.903859, 'No': -5.241002, ' ': -6.0696936, ' Yes': -7.1787024}
{' No': -0.040137183, ' Yes': -4.032302, '\n': -4.6498094, 'No': -5.220906, ' ': -5.792294}
{' No': -0.07224851, '\n': -3.2556264, 'No': -4.456802, ' M': -4.8941073, ' ': -5.1028614}
{' No': -0.4266612, ' Yes': -2.0389333, '\n': -2.0808723, ' M': -3.3886495, ' Generally': -3.552033}
{' No': -0.16035673, '\n': -2.3902075, 'No': -3.2130375, ' ': -4.205101, ' A': -7.7687364}
{' No': -0.19034466, '\n': -2.243434, 'No': -3.0343597, ' ': -4.198394, ' Generally': -6.77233}
{' No': -0.2945165, '\n': -1.7651356, 'No': -2.9272316, ' ': -3.9352214, ' M': -4.9951468}
{' No': -0.41310915, '\n': -1.5764201, 'No': -2.6390958, ' Yes': -3.895018, ' ': -4.337233}
{' No': -0.14403985, '\n': -2.456477, 'No': -3.5149312, ' ': -4.1295986, ' A': -6.490248}
{' No': -0.347636, '\n': -1.547507, 'No': -3.317145, ' ': -3.4934278, ' Yes': -5.07849}
{' No': -0.20708461, '\n': -2.0757236, 'No': -3.3453445, ' ': -4.1619587, ' M': -4.8104873}
{'\n': -0.81074834, ' No': -1.3762561, ' Yes': -2.0742657, ' M': -2.2701502, ' ': -3.3162374}
{' No': -0.046037316, '\n': -3.9245887, ' ': -4.293926, 'No': -4.555696, ' A': -7.3318973}
{' No': -0.045018006, '\n': -4.1314363, 'No': -4.2147717, ' ': -4.594645, ' A': -6.63345}
{' No': -0.15152098, '\n': -2.532697, 'No': -3.3111029, ' ': -3.9944966, ' M': -5.4242144}
{' No': -0.22421212, '\n': -2.2474644, ' M': -3.5293515, 'No': -3.5590336, ' ': -3.8988755}
{' No': -0.1322101, '\n': -2.8579445, 'No': -2.954117, ' ': -4.343899, ' A': -7.4097853}
{' No': -0.16554293, '\n': -2.6179526, 'No': -2.8255847, ' ': -4.069481, ' Yes': -6.5819254}
{' No': -0.13357708, 'No': -2.9809587, '\n': -3.0820384, ' ': -4.1882796, ' M': -4.497232}
{' No': -0.29174536, '\n': -2.171878, 'No': -2.8920357, ' M': -3.2858953, ' ': -3.7821722}
{' No': -0.057999182, 'No': -3.8476584, '\n': -4.1028676, ' ': -4.2812734, ' A': -6.3060703}
{' No': -0.35493985, ' Yes': -1.7929837, '\n': -3.2040799, ' ': -3.4752016, 'No': -3.80709}
{' No': -0.21159834, '\n': -2.8186538, 'No': -3.125777, ' ': -3.5783336, ' M': -3.7949417}
