{' Yes': -0.0025378054, 'Yes': -6.061555, ' yes': -9.673789, '\n': -9.904489, ' Spider': -10.603524}
{' Yes': -0.15813495, ' Energy': -1.9719872, 'Yes': -5.816501, ' No': -6.032696, 'Energy': -7.327368}
{' Yes': -0.0013657723, 'Yes': -7.0675774, ' Father': -8.178307, ' No': -8.885586, ' yes': -10.163473}
{' Yes': -0.0011875058, 'Yes': -6.908978, ' No': -8.963746, '\n': -11.031848, ' yes': -11.359763}
{' No': -0.6788043, ' Yes': -0.7348956, ' Pen': -5.0435886, 'No': -5.8038063, 'Yes': -6.3694177}
{' Yes': -0.002180407, 'Yes': -6.4826674, ' No': -7.56666, ' yes': -10.092152, ' Pen': -10.105007}
{' Yes': -0.083397225, ' Street': -2.5615084, 'Yes': -6.228645, '\n': -8.824318, ' Stre': -8.906157}
{' Yes': -0.0015532658, 'Yes': -6.6220875, ' No': -9.589508, ' yes': -10.295597, ' YES': -10.3008}
{' Yes': -0.00062468514, 'Yes': -7.4089804, ' YES': -11.965069, ' yes': -11.974198, '\n': -12.362953}
{' Yes': -0.009919224, ' Strong': -4.8565416, 'Yes': -6.2858877, '\n': -9.1550665, ' yes': -9.871259}
{' Yes': -0.0073543945, ' Seller': -5.32554, 'Yes': -6.141906, ' yes': -9.105397, ' No': -9.472379}
{' Yes': -0.0025932018, 'Yes': -6.3453994, ' Seller': -7.4787855, ' yes': -9.056825, ' No': -9.525016}
{' Yes': -0.0039908835, ' Bl': -6.3159814, 'Yes': -6.563914, ' No': -7.525522, ' yes': -9.11335}
{' Yes': -0.012861863, ' No': -5.0052133, 'Yes': -5.755347, ' Bl': -6.0003595, ' yes': -8.247123}
{' Yes': -0.0027906673, 'Yes': -6.396137, ' No': -6.887136, ' yes': -9.764502, '\n': -11.148077}
{' Yes': -0.0013200544, 'Yes': -6.7412453, ' No': -9.61272, ' yes': -10.487793, '\n': -10.955458}
{' Yes': -0.0013565801, 'Yes': -6.8528275, ' No': -8.920031, ' yes': -9.650479, ' YES': -10.030413}
{' Yes': -0.036651835, ' No': -3.5321941, ' Prince': -5.9267926, 'Yes': -6.010792, ' Nope': -6.8293257}
{' Yes': -0.0019306267, 'Yes': -6.3719025, ' No': -9.139967, '\n': -9.78076, ' yes': -10.36021}
{' Yes': -0.0014065988, 'Yes': -6.621581, ' yes': -10.851684, ' No': -11.1540165, ' YES': -11.200062}
{' Yes': -0.0010783642, 'Yes': -6.8693914, ' YES': -11.462807, ' yes': -11.477927, ' No': -12.32882}
{' Yes': -0.0013839774, 'Yes': -6.665744, ' yes': -10.105531, '\n': -10.681325, ' No': -10.902157}
{' Yes': -0.010716938, ' No': -4.8196406, 'Yes': -6.025972, ' Weight': -10.152485, 'No': -10.38901}
{' Yes': -0.06331301, ' No': -2.8127904, 'Yes': -7.140467, ' Nope': -8.094347, 'No': -9.681862}
{' Yes': -0.0909409, ' Stars': -3.3912683, ' St': -3.4589105, 'Yes': -4.5312905, ' No': -4.85117}
{' Yes': -0.0154977925, 'Yes': -4.8860154, ' Stars': -5.6910267, ' No': -5.9833164, ' St': -6.733576}
{' Yes': -0.00096619444, 'Yes': -7.072932, ' Doctor': -9.833305, ' yes': -10.143927, ' YES': -11.228163}
{' Yes': -0.005265762, 'Yes': -5.948731, ' No': -6.541143, ' Doctor': -6.902692, ' yes': -9.392566}
{' Yes': -0.06514667, ' No': -2.985671, 'Yes': -5.2139654, ' Rot': -5.349494, ' R': -7.745536}
{' Yes': -0.10692724, ' No': -2.3300965, 'Yes': -5.8465185, 'No': -7.7360063, ' Nope': -8.599276}
{' Yes': -0.25576395, ' No': -1.6601504, ' Tennis': -3.511341, 'Yes': -5.928634, ' Ten': -6.7337947}
{' Yes': -0.13622008, ' Tennis': -2.1823645, 'Yes': -4.9977465, ' Tenn': -5.695788, ' Ten': -6.170495}
{' Yes': -0.31977066, ' No': -1.3184546, 'Yes': -6.072645, ' Bucket': -6.237972, 'No': -7.078478}
{' Yes': -0.012686365, ' Bucket': -5.165217, 'Yes': -5.488604, ' No': -6.3252034, ' Buck': -7.858259}
{' Yes': -0.019411443, 'Yes': -4.758669, ' States': -5.0374684, ' No': -5.8217735, ' St': -7.9098306}
{' Yes': -0.06641135, ' No': -2.8689015, 'Yes': -5.120746, ' States': -7.184512, 'No': -8.366435}
{' Yes': -0.0043432447, 'Yes': -6.00338, ' No': -6.4533825, ' Sure': -9.567079, ' YES': -10.166813}
{' Yes': -0.0015250293, 'Yes': -6.5938387, ' No': -9.294316, ' Sure': -10.448707, ' yes': -11.733902}
{' Yes': -0.42124802, ' In': -1.3900666, ' No': -2.4449275, 'Yes': -5.6364007, ' inh': -6.505232}
{' Yes': -0.55125505, ' No': -0.88929063, ' Nope': -5.3248267, 'No': -5.9076385, 'Yes': -6.0643706}
{' Yes': -0.0036747819, 'Yes': -5.9183226, ' Loving': -7.2746477, ' YES': -9.380929, ' yes': -9.485772}
{' Yes': -0.0015858605, 'Yes': -6.504208, ' No': -10.3783865, ' YES': -11.097674, ' yes': -11.100158}
{' Yes': -0.0030173473, 'Yes': -6.131606, ' Turtle': -7.622375, ' No': -8.664162, ' yes': -9.733855}
{' Yes': -0.1338477, ' No': -2.0956073, 'Yes': -6.3449507, 'No': -8.052739, ' Nope': -9.891894}
{' Yes': -0.0023902168, 'Yes': -6.1276493, ' No': -9.693596, ' Butter': -9.708668, ' yes': -10.600114}
{' Yes': -0.008110625, ' Butter': -5.721098, 'Yes': -5.9834976, ' No': -6.200501, ' yes': -9.880881}
{' Yes': -0.14111035, ' No': -2.0462637, 'Yes': -6.2803125, 'No': -7.893788, ' yes': -9.948402}
{' Yes': -0.0024620357, 'Yes': -6.6955485, ' No': -6.77243, ' yes': -10.182588, '\n': -11.217611}
{' Yes': -0.013732388, ' No': -4.508678, 'Yes': -6.0402403, '\n': -9.51584, ' yes': -9.944707}
{' Yes': -0.096132435, ' No': -2.4425337, 'Yes': -5.8483996, ' Twelve': -7.317552, 'No': -7.895621}
{' Yes': -0.002481217, 'Yes': -6.078883, ' No': -9.05672, '\n': -10.397693, ' yes': -11.017834}
{' Yes': -0.0037505236, 'Yes': -5.6320953, ' No': -9.838369, '\n': -10.169079, ' yes': -10.64497}
{' Yes': -0.0041948524, 'Yes': -5.772457, ' No': -7.0650897, ' yes': -9.457605, '\n': -9.853294}
{' Yes': -0.0028045948, 'Yes': -6.2822056, ' No': -7.1861997, '\n': -9.685482, ' yes': -9.744865}
{' Yes': -0.008730764, ' No': -4.9894547, 'Yes': -6.3272195, 'No': -10.609761, ' yes': -10.8059845}
{' Yes': -0.03203832, ' No': -3.8557475, 'Yes': -5.1616154, ' Sunset': -5.8822217, ' Sun': -7.362625}
{' Yes': -0.004101779, ' No': -5.71968, 'Yes': -7.1570134, ' yes': -11.520372, ' Sure': -12.179697}
{' Yes': -0.29115057, ' No': -1.4223113, ' Minute': -4.8584056, 'Yes': -6.4159307, 'No': -7.1290374}
{' Yes': -0.0012111381, 'Yes': -7.0354214, ' No': -8.154291, ' yes': -11.20874, '\n': -11.51517}
{' Yes': -0.017558187, ' No': -4.1209383, 'Yes': -6.868649, ' Sure': -10.488929, ' Nope': -10.654384}
{' Yes': -0.04057638, ' No': -3.4608812, 'Yes': -5.8375936, ' Wa': -5.8660755, ' Wait': -7.190327}
{' Yes': -0.0028164878, 'Yes': -6.196963, ' No': -7.578561, ' yes': -9.5382595, ' Water': -9.742287}
{' Yes': -0.010132229, ' No': -4.7863255, 'Yes': -6.5451236, ' YES': -9.565654, ' yes': -10.114504}
{' Yes': -0.2587759, ' No': -1.4924757, 'Yes': -6.4243274, 'No': -7.1416736, '\n': -7.517662}
{' Yes': -0.011760782, ' No': -4.608656, 'Yes': -6.943216, ' Length': -7.2684765, 'No': -10.895576}
{' Yes': -0.046223566, ' No': -3.2642794, ' Length': -5.3469877, 'Yes': -6.5529966, ' Nope': -7.6935644}
{' Yes': -0.00090599596, 'Yes': -7.1854606, ' yes': -10.164369, ' No': -10.169234, '\n': -10.362259}
{' Yes': -0.00076640357, 'Yes': -7.271011, ' yes': -10.444587, ' YES': -11.475733, ' No': -11.677921}
{' Yes': -0.0016523676, 'Yes': -6.536381, ' yes': -9.72632, ' France': -10.2453785, ' Sure': -10.305323}
{' Yes': -0.022760766, ' No': -3.9867995, 'Yes': -5.6463966, '\n': -8.560277, 'No': -9.251139}
{' Yes': -0.03755917, ' No': -3.3367076, 'Yes': -6.8257346, 'No': -9.7021, ' Nope': -10.037892}
{' Yes': -0.1528975, ' No': -2.0052211, 'Yes': -5.7731724, ' Mus': -6.1351514, 'No': -7.355875}
{' Yes': -0.30202836, ' Empire': -1.3852518, ' Emperor': -5.5034347, ' Em': -5.758447, 'Yes': -6.3264403}
{' Yes': -0.29560247, ' Empire': -1.4538094, ' Em': -4.159885, ' Emperor': -6.171684, 'Yes': -6.24793}
{' No': -0.63188607, ' Yes': -0.8298765, ' Nope': -3.7499337, 'No': -5.7280316, 'Yes': -5.877905}
{' No': -0.04392979, ' Yes': -3.2621531, 'No': -5.809867, ' Nope': -6.489114, 'Yes': -9.13728}
{' Yes': -0.0030380324, 'Yes': -6.3564177, ' Hunger': -6.7265, ' yes': -10.480833, ' YES': -10.745129}
{' Yes': -0.0009312907, 'Yes': -7.0414577, ' yes': -11.081341, ' No': -11.101376, ' YES': -11.190046}
{' Yes': -0.000970669, 'Yes': -7.01134, ' No': -10.685059, ' yes': -10.900776, ' YES': -11.002065}
{' Yes': -0.026934935, ' No': -3.7967029, 'Yes': -5.5979586, 'No': -8.988021, ' yes': -9.008864}
{' Yes': -0.0051700776, 'Yes': -6.0742025, ' No': -6.116481, ' Dagger': -8.407966, ' yes': -8.433185}
{' Yes': -0.01191235, ' No': -4.729081, 'Yes': -5.857243, 'No': -9.896261, ' yes': -10.462723}
{' Yes': -0.010533382, ' No': -4.7011995, 'Yes': -6.650317, ' yes': -10.27771, 'No': -10.716178}
{' Yes': -0.0018526333, 'Yes': -6.4132595, ' No': -9.09066, ' yes': -10.1286545, ' YES': -10.790749}
{' Yes': -0.019437514, ' No': -4.0192294, 'Yes': -6.781991, 'No': -10.180912, ' yes': -10.203919}
{' Yes': -0.00898796, ' No': -5.3836293, 'Yes': -5.564074, ' yes': -8.530031, ' YES': -9.5227785}
{' Yes': -0.016387343, ' No': -4.2500143, 'Yes': -6.3438253, ' Office': -9.857644, ' Nope': -10.264762}
{' Yes': -0.034709167, ' No': -3.8001375, 'Yes': -5.262187, ' Off': -5.776332, ' Office': -6.0105224}
{' Yes': -0.34053627, ' No': -1.2537671, 'Yes': -6.709286, 'No': -7.0606346, ' Nope': -7.6848865}
{' Yes': -0.16998416, ' No': -1.8705417, 'Yes': -6.3568754, 'No': -8.015361, ' Nope': -9.449069}
{' Yes': -0.22790353, ' No': -1.6059818, 'Yes': -6.627125, '\n': -7.1631045, 'No': -7.58612}
{' Yes': -0.0022560924, ' No': -6.500229, 'Yes': -7.404189, ' yes': -9.518175, '\n': -10.919517}
{' Yes': -0.067336544, ' No': -2.8481212, 'Yes': -5.4218593, ' Nope': -7.0125785, ' Sure': -7.1782336}
{' Yes': -0.1469903, ' No': -2.0272412, 'Yes': -5.643936, 'No': -7.5494537, '\n': -7.6196117}
{' Yes': -0.004912118, ' Sure': -6.027754, 'Yes': -6.6333456, ' No': -6.904641, '\n': -9.961839}
{' Yes': -0.011521321, ' Sure': -4.6519995, 'Yes': -6.7437944, ' No': -7.4072504, ' yes': -10.181923}
{' Yes': -0.15374857, ' No': -2.3781385, ' Fl': -3.1659136, 'Yes': -5.1253653, ' Flames': -7.27703}
{' Yes': -0.52302706, ' No': -0.91675144, 'Yes': -5.332527, 'No': -6.633489, ' Fl': -7.0310564}
{' Yes': -0.07045342, ' No': -2.786716, 'Yes': -5.6281066, ' Sne': -6.392034, ' Sn': -7.741874}
{' Yes': -0.12381278, ' No': -2.1858358, 'Yes': -5.808104, ' Sne': -7.983092, 'No': -8.293844}
{' Yes': -0.0012661017, 'Yes': -6.756328, ' YES': -10.491603, ' No': -10.755621, ' yes': -11.2262745}
{' Yes': -0.0022113477, 'Yes': -6.2540727, ' No': -9.023774, '\n': -9.98443, ' yes': -10.359265}
{' Yes': -0.0018673241, 'Yes': -6.889726, ' No': -7.1204906, ' yes': -11.001489, ' YES': -11.745199}
{' Yes': -0.008811578, ' No': -4.94996, 'Yes': -6.477088, ' Purple': -9.985145, ' yes': -10.255278}
{' Yes': -0.0035430577, 'Yes': -5.851201, ' Animal': -8.057237, ' No': -8.5156975, ' yes': -9.455257}
{' Yes': -0.008374995, ' No': -5.2167277, 'Yes': -5.957359, ' Animal': -8.895288, ' yes': -9.415738}
{' Hel': -0.12096421, ' Yes': -2.2414188, 'Helper': -5.7491913, ' Help': -6.284454, 'Yes': -7.5069146}
{' Yes': -0.21243264, ' Hel': -1.6803702, 'Yes': -5.9986095, ' Help': -7.171882, 'Helper': -7.4983463}
{' Yes': -0.048513565, ' No': -3.0723705, 'Yes': -7.040276, 'No': -9.023195, ' yes': -11.131828}
{' Yes': -0.0011921605, 'Yes': -6.8795924, ' No': -9.011829, ' yes': -11.210483, '\n': -11.63651}
{' Yes': -0.00428398, 'Yes': -6.129972, ' No': -6.3815856, ' Branch': -8.232416, ' yes': -9.849965}
{' Yes': -0.0068093417, 'Yes': -5.7548676, ' No': -5.866066, ' Branch': -7.4679985, ' yes': -9.180271}
{' Yes': -0.003924519, 'Yes': -6.226873, ' No': -6.281487, ' yes': -11.075371, ' Sure': -11.685129}
{' Yes': -0.012109314, ' No': -4.806148, 'Yes': -5.858939, ' Pretty': -7.630979, ' Pre': -9.147731}
{' No': -0.10637153, ' Yes': -2.341254, 'No': -5.678732, '\n': -7.938278, 'Yes': -8.033745}
{' Yes': -0.2867792, ' No': -1.3945233, 'Yes': -7.623878, ' Nope': -8.269401, 'No': -8.596818}
{' Yes': -0.06448389, ' No': -2.9912682, ' Divide': -4.5021996, 'Yes': -6.972069, 'No': -9.676127}
{' Yes': -0.17346111, ' Divide': -1.8564941, 'Yes': -6.714169, ' No': -6.715922, ' Div': -8.388442}
{' Yes': -0.0008534982, 'Yes': -7.133855, ' No': -11.327355, ' yes': -11.400127, ' Hammer': -11.458654}
{' Yes': -0.008827755, ' Hammer': -4.924786, 'Yes': -6.632023, ' yes': -10.026464, ' YES': -10.399441}
{' Yes': -0.0013787248, 'Yes': -6.6770678, ' No': -9.883021, ' yes': -10.741397, ' YES': -11.460191}
{' Yes': -0.0016027552, 'Yes': -6.504372, ' yes': -10.489353, ' No': -10.49017, '\n': -10.903281}
{' No': -0.24109724, ' Yes': -1.5732582, 'No': -5.433457, 'Yes': -6.9670753, ' Nope': -7.6980886}
{' No': -0.23927511, ' Yes': -1.576357, 'No': -5.416395, 'Yes': -7.033163, ' Nope': -7.8828754}
{' Yes': -0.009969249, ' Ex': -5.0825305, 'Yes': -5.9706683, ' No': -7.1362543, 'Ex': -9.280391}
{' Yes': -0.055841107, ' No': -2.9427693, 'Yes': -6.7371, ' Nope': -8.906861, 'No': -9.162443}
{' Yes': -0.00082361064, 'Yes': -7.3684263, ' No': -8.772225, ' yes': -11.262415, '\n': -11.55821}
{' Yes': -0.0017726764, 'Yes': -7.0749116, ' No': -7.1164455, ' yes': -10.164892, ' YES': -10.765731}
{' Yes': -0.0017464053, 'Yes': -6.6038275, ' Planet': -8.242841, ' No': -9.407965, ' yes': -10.807477}
{' Yes': -0.016011886, ' No': -4.8124003, ' Planet': -5.252933, 'Yes': -6.09661, ' Plane': -9.161327}
{' Yes': -0.005097824, ' No': -5.778481, 'Yes': -6.284026, ' yes': -10.107514, ' YES': -10.71031}
{' Yes': -0.003918595, ' No': -6.0987806, 'Yes': -6.4871492, ' yes': -10.062157, ' YES': -10.848891}
{' Yes': -0.0020275554, 'Yes': -6.673637, ' No': -7.828565, ' Ass': -8.155556, ' yes': -10.750772}
{' Yes': -0.033286106, ' No': -3.504022, 'Yes': -6.158225, ' Ass': -8.713748, 'No': -9.196945}
{' Yes': -0.14071976, ' No': -2.1212249, ' Circus': -5.598947, 'Yes': -5.724824, ' Circ': -5.9890184}
{' Circ': -1.029858, ' Cir': -1.4922832, ' Yes': -1.7362885, ' No': -2.0138857, ' Circus': -2.3215775}
{' Yes': -0.04286808, ' No': -3.2224755, 'Yes': -6.3217196, 'No': -9.002729, '\n': -9.54418}
{' Yes': -0.0049435077, 'Yes': -5.708904, ' No': -6.763847, ' yes': -8.6843405, ' YES': -9.205362}
{' Yes': -0.0018415854, ' No': -7.017749, 'Yes': -7.041735, ' yes': -10.515465, ' YES': -11.092682}
{' Yes': -0.0028863663, ' No': -6.3082776, 'Yes': -6.9447994, ' yes': -10.625812, ' YES': -10.863287}
{' Law': -0.52077615, ' Yes': -1.003511, 'Law': -4.8159637, ' No': -4.925424, ' L': -5.1084185}
{' Yes': -0.027633956, ' No': -4.053084, 'Yes': -5.474613, ' Law': -6.555514, ' Yep': -7.4274826}
{' Yes': -0.004784784, ' No': -5.8745165, 'Yes': -6.3199315, '\n': -10.577485, ' Nope': -10.676638}
{' Yes': -0.005509425, 'Yes': -5.9931664, ' No': -6.2884855, ' Smooth': -7.3197064, ' Sm': -8.997473}
{' Yes': -0.068667464, ' No': -2.928265, ' Cancer': -5.0660467, 'Yes': -5.2264886, 'No': -8.070184}
{' Yes': -0.13377766, ' No': -2.1043873, 'Yes': -6.501674, ' Cancer': -6.744493, 'No': -7.958822}
{' Yes': -0.024594652, ' Sc': -4.1107473, 'Yes': -5.204263, ' yes': -7.354035, ' Scar': -7.668787}
{' Yes': -0.010043, ' No': -5.051947, 'Yes': -5.6893997, ' yes': -9.508976, ' Sc': -10.002045}
{' No': -0.5324326, ' Yes': -0.891819, 'No': -6.549988, 'Yes': -6.9458733, ' Nope': -7.912195}
{' Yes': -0.11544989, ' No': -2.2523766, 'Yes': -5.7814894, 'No': -7.6704683, ' Nope': -8.816219}
{' Yes': -0.14404269, ' No': -2.0298727, 'Yes': -6.1330376, 'No': -8.181427, ' Nope': -8.844114}
{' Yes': -0.03329917, ' No': -3.4910989, 'Yes': -6.302485, '\n': -8.564323, ' Ex': -9.162652}
{' Yes': -0.049341686, ' No': -3.058674, 'Yes': -6.9104714, 'No': -9.492607, ' yes': -10.417908}
{' Yes': -0.15859815, ' No': -1.929371, 'Yes': -6.9715652, 'No': -8.344088, ' Nope': -9.119848}
{' No': -0.011046182, ' Yes': -4.923058, 'No': -5.679901, ' Nope': -8.450168, 'Yes': -10.649899}
{' No': -0.60253054, ' Yes': -0.7989932, 'No': -6.5074587, 'Yes': -6.857526, '\n': -9.361058}
{' Yes': -0.085278265, ' Finish': -2.7896523, ' No': -4.408858, 'Yes': -5.0686955, 'Finish': -7.3347936}
{' Yes': -0.012532259, ' No': -4.9441595, 'Yes': -5.6506624, ' Finish': -6.48918, ' yes': -9.653486}
{' Yes': -0.009124433, ' No': -5.125875, 'Yes': -5.96429, ' yes': -9.013888, ' Puzzle': -9.381959}
{' Yes': -0.016142717, ' No': -4.3521504, 'Yes': -5.963124, '\n': -9.295739, ' Possibly': -9.559778}
{' Yes': -0.0011502695, 'Yes': -6.8181324, ' yes': -10.972765, ' No': -11.236723, ' YES': -11.389618}
{' Yes': -0.00084455, 'Yes': -7.1338305, ' yes': -10.997188, ' No': -11.281047, ' Repeat': -12.035357}
{' Yes': -0.009817131, ' Spider': -5.3259544, 'Yes': -5.6894627, ' Sp': -7.5683937, ' No': -7.849197}
{' Yes': -0.028009575, ' No': -3.6722066, 'Yes': -6.5797195, ' Nope': -8.0237465, ' Sure': -8.132343}
{' Yes': -0.016875567, ' Candle': -4.8720903, ' No': -5.235982, 'Yes': -6.2463617, ' Cand': -6.6962976}
{' Yes': -0.0073752305, ' No': -5.8920665, ' Candle': -6.2706537, 'Yes': -6.411489, ' Sure': -7.658519}
{' Yes': -0.76609844, ' Th': -1.1920818, ' Thr': -1.5775036, ' No': -4.8663063, ' Thrust': -5.485939}
{' Yes': -0.014957964, ' No': -4.516024, 'Yes': -5.7884054, ' Th': -8.160156, ' Thr': -8.818031}
{' Yes': -0.013141447, ' No': -4.9760475, 'Yes': -5.802328, ' Beach': -6.0750732, ' yes': -8.713261}
{' Yes': -0.009092794, ' No': -5.2905464, 'Yes': -6.0422845, ' Beach': -6.7435036, ' yes': -8.937032}
{' Yes': -0.0019238178, 'Yes': -6.410054, ' No': -8.477965, ' yes': -10.254027, ' Flower': -11.803502}
{' Yes': -0.0034941868, 'Yes': -5.931466, ' No': -7.886669, ' Flower': -8.012156, ' yes': -10.07346}
{' No': -0.13843966, ' Yes': -2.0655065, 'No': -6.161801, 'Yes': -8.283228, ' Nope': -9.53139}
{' Yes': -0.53000003, ' No': -0.89647603, 'Yes': -6.46852, 'No': -6.5766993, ' Nope': -8.751131}
{' No': -0.4518613, ' Yes': -1.1308755, ' Indian': -4.2263117, ' India': -4.399836, 'No': -4.9326234}
{' No': -0.36058888, ' Yes': -1.9674402, ' Indian': -2.31927, ' India': -3.3199146, ' Ind': -4.735541}
{' Yes': -0.011685456, ' No': -5.015626, ' Orange': -5.7223783, 'Yes': -6.7661333, ' Sure': -7.834733}
{' Yes': -0.06147603, ' Orange': -3.0052035, ' No': -5.089709, 'Yes': -5.996359, ' Sure': -6.867193}
{' Yes': -0.005704052, ' No': -5.625832, 'Yes': -6.2773104, ' YES': -10.00484, ' yes': -10.498775}
{' Yes': -0.06296946, ' No': -2.8152125, 'Yes': -6.947607, 'No': -9.195278, ' yes': -10.849851}
{' Yes': -0.4620583, ' No': -1.0026181, 'Yes': -6.9143324, 'No': -6.978589, ' Number': -7.505379}
{' No': -0.038955685, ' Yes': -3.414478, 'No': -5.9265995, ' Nope': -6.6155663, ' Number': -6.849203}
{' Mirror': -0.30035278, ' Yes': -1.8988863, ' No': -2.4652565, ' Mir': -4.1212487, 'Mir': -5.995502}
{' No': -0.5231271, ' Yes': -0.91036844, ' Mirror': -6.027193, 'No': -6.5783267, 'Yes': -7.503664}
{' Yes': -0.0007228014, 'Yes': -7.285011, ' yes': -10.777889, ' YES': -11.240543, 'yes': -13.534006}
{' Yes': -0.0015295639, 'Yes': -6.5082636, ' yes': -11.131819, ' YES': -11.800846, 'yes': -12.599278}
{' Yes': -0.05653323, ' No': -2.9897892, 'Yes': -5.6990733, ' Pepper': -7.6083026, 'No': -8.110654}
{' Yes': -0.06362205, ' No': -2.8787766, 'Yes': -5.7220325, ' Pepper': -7.3521223, ' Nope': -7.8010683}
{' Yes': -0.005060021, 'Yes': -5.687911, ' No': -6.776075, ' Cheese': -8.36658, ' Sure': -9.665616}
{' Yes': -0.002875187, 'Yes': -6.342442, ' No': -7.067814, ' Sure': -9.086903, ' Nope': -10.248279}
{' No': -0.48169827, ' Yes': -1.0135415, ' Nope': -4.18761, 'No': -6.0510297, 'Yes': -7.0407186}
{' Yes': -0.25016546, ' No': -1.5530583, ' Nope': -5.274907, 'Yes': -6.054021, 'No': -6.760631}
{' Yes': -0.4893291, ' Sure': -1.6649101, ' No': -2.728833, ' Squ': -2.7547424, ' Square': -2.7654426}
