{' Yes': -0.0031022474, 'Yes': -5.9189844, ' No': -8.122923, ' yes': -9.982982, '\n': -10.223577}
{' Yes': -0.047252405, ' No': -3.1329212, 'Yes': -6.730636, ' Rain': -6.971111, ' Nope': -8.939569}
{' Yes': -0.003797669, ' No': -6.2258544, 'Yes': -6.3668118, ' Sure': -10.178594, ' yes': -10.677097}
{' Yes': -0.29614618, ' No': -1.3695238, 'Yes': -6.647176, 'No': -7.7540083, ' Nope': -8.416778}
{' Yes': -0.01795814, ' Sure': -4.3069687, 'Yes': -5.7915497, ' Absolutely': -8.083507, ' C': -8.264623}
{' Yes': -0.005292789, 'Yes': -5.696582, ' No': -6.7013636, ' Sure': -8.090533, '\n': -8.67357}
{' Yes': -0.009654805, ' No': -4.835077, 'Yes': -6.5224586, ' yes': -9.641553, ' YES': -10.52438}
{' No': -0.39387134, ' Yes': -1.1284466, 'No': -6.604236, 'Yes': -7.5687785, ' Nope': -9.707118}
{' Yes': -0.002971733, ' No': -6.2720637, 'Yes': -7.1840262, ' Thin': -8.25688, ' Nope': -11.254124}
{' Yes': -0.0024659801, ' No': -6.4796267, 'Yes': -7.0529494, ' yes': -11.021882, ' Nope': -11.446195}
{' No': -0.45595995, ' Yes': -1.0104263, 'No': -6.591026, 'Yes': -7.703746, ' Nope': -9.000803}
{' Yes': -0.016495014, ' No': -4.213011, 'Yes': -6.666422, ' yes': -9.404125, ' Tail': -9.538482}
{' Yes': -0.0018927644, 'Yes': -6.526757, ' Land': -8.48937, ' yes': -9.198731, ' No': -9.608577}
{' Yes': -0.0012628793, 'Yes': -6.789442, ' No': -9.541332, ' yes': -10.054325, ' YES': -11.871157}
{' Yes': -0.0022206085, 'Yes': -6.6175785, ' No': -8.085739, ' Feel': -8.222076, ' yes': -8.621368}
{' Yes': -0.0006518225, 'Yes': -7.4783454, ' yes': -10.314293, ' No': -10.532582, ' YES': -11.555669}
{' Yes': -0.014193202, ' No': -5.073645, 'Yes': -5.5225587, ' Loud': -5.660958, ' yes': -9.099434}
{' Yes': -0.0023948771, ' No': -6.7072806, 'Yes': -6.848296, ' yes': -10.300342, '\n': -10.453588}
{' Yes': -0.0053796195, 'Yes': -5.84565, ' Sure': -6.6147013, ' Star': -7.1868925, ' Start': -8.750884}
{' Yes': -0.0018522757, 'Yes': -6.590597, ' Sure': -8.047251, '\n': -9.637592, ' yes': -10.193886}
{' Yes': -0.0016946406, 'Yes': -6.4528947, ' yes': -9.712631, ' YES': -10.6448, ' Card': -11.212368}
{' Yes': -0.00080165645, 'Yes': -7.1789412, ' yes': -10.722683, ' No': -12.1508875, ' YES': -12.25442}
{' Yes': -0.0029439318, 'Yes': -6.693967, ' Deer': -6.721337, ' No': -8.1900015, ' yes': -9.407239}
{' Yes': -0.0027919824, 'Yes': -6.7741003, ' Deer': -6.7880607, ' No': -8.813498, ' yes': -9.087862}
{' Yes': -0.008882716, 'Yes': -5.607822, ' No': -5.8557796, ' Look': -6.2013416, ' yes': -9.423942}
{' Yes': -0.0023133866, 'Yes': -6.378192, ' No': -7.554435, ' yes': -10.377269, ' YES': -10.852288}
{' No': -0.6474211, ' Yes': -1.0758649, ' Gl': -2.050478, ' Nope': -5.9880943, 'No': -6.224214}
{' Yes': -0.057697114, ' No': -2.944963, ' Gl': -6.471496, 'Yes': -6.599937, ' Nope': -8.713975}
{' Yes': -0.010319625, ' No': -4.7595773, 'Yes': -6.424023, '\n': -10.687078, 'No': -10.835868}
{' Yes': -0.013165542, ' No': -4.7453337, 'Yes': -5.634825, ' Less': -7.615395, ' yes': -8.767299}
{' Yes': -0.033863854, ' No': -3.4880702, 'Yes': -6.009938, 'No': -9.163518, '\n': -9.694549}
{' Yes': -0.010158664, ' No': -4.740677, 'Yes': -6.722162, ' yes': -10.161921, ' Sure': -10.179623}
{' Yes': -0.003876293, 'Yes': -5.640782, ' Sure': -8.502923, '\n': -9.918709, ' yes': -10.601062}
{' Yes': -0.0024963352, 'Yes': -6.60559, ' Sure': -7.1815844, ' Shoes': -8.283306, ' Sh': -10.195455}
{' Yes': -0.22447045, ' Exit': -1.7589821, ' No': -3.6815836, 'Yes': -6.2132206, 'Exit': -7.5082264}
{' Yes': -0.056666315, ' No': -2.9778852, ' Exit': -6.0867643, 'Yes': -6.4230657, 'No': -8.888688}
{' Yes': -0.0419492, ' No': -3.262307, 'Yes': -6.427147, ' Lion': -7.0935936, 'No': -8.585885}
{' Yes': -0.01909371, ' No': -4.033927, 'Yes': -6.809771, 'No': -9.990923, ' yes': -10.490768}
{' Yes': -0.020641698, ' Roof': -4.54088, ' No': -5.036606, 'Yes': -5.861567, '\n': -8.861412}
{' Roof': -0.286293, ' Yes': -1.4357166, ' No': -4.775585, 'Yes': -6.7471695, ' roof': -7.6578994}
{' Yes': -0.51679426, ' Want': -0.9293348, 'Want': -6.0953283, 'Yes': -6.18374, ' W': -6.7058625}
{' Yes': -0.033476166, ' Want': -3.5561697, 'Yes': -6.1509223, ' No': -6.390196, 'Want': -8.920463}
{' Yes': -0.010316675, ' Wind': -4.7396216, 'Yes': -6.5717597, ' yes': -10.085235, 'Wind': -10.606935}
{' Yes': -0.017030947, ' Wind': -4.547987, ' No': -5.478922, 'Yes': -6.2628174, ' yes': -9.722031}
{' Yes': -0.001292658, 'Yes': -6.6971292, ' yes': -10.586396, ' YES': -11.218277, ' Foot': -11.989559}
{' Yes': -0.0010471578, 'Yes': -6.9154468, ' yes': -10.879873, ' No': -11.176314, ' YES': -11.544014}
{' Yes': -0.38226667, ' Hate': -1.4280965, ' No': -2.631744, 'Yes': -6.145089, ' Nope': -6.9125953}
{' Yes': -0.052919388, ' No': -3.1982706, ' Hate': -4.9442635, 'Yes': -6.1284275, ' Nope': -7.2937107}
{' Yes': -0.35749164, ' No': -1.2089055, 'Yes': -6.69818, 'No': -7.2406435, ' Nope': -9.923177}
{' Yes': -0.0021480876, 'Yes': -6.1986213, ' yes': -9.657049, ' YES': -10.725159, '\n': -11.843365}
{' Yes': -0.061052896, ' Ring': -3.0362208, 'Yes': -5.4877152, ' No': -6.1278996, ' Br': -7.3824635}
{' Yes': -0.0020386053, ' No': -7.042159, 'Yes': -7.1801333, ' Ring': -8.511518, ' yes': -9.6627}
{' Yes': -0.0018712055, ' Bear': -7.0512233, 'Yes': -7.124927, ' yes': -9.677664, ' No': -10.245383}
{' Yes': -0.0016846093, 'Yes': -6.5050664, ' Bear': -9.717104, ' yes': -9.778797, ' YES': -10.610718}
{' Yes': -0.0017442558, 'Yes': -6.3975987, ' yes': -10.569883, '\n': -10.878503, ' YES': -11.013496}
{' Yes': -0.002771182, 'Yes': -6.219972, ' No': -7.29162, ' yes': -10.13468, '\n': -10.285873}
{' Yes': -0.0023576552, 'Yes': -6.5090504, ' No': -7.1538043, ' yes': -10.282192, ' YES': -11.207163}
{' Yes': -0.0028178028, 'Yes': -5.9649086, ' No': -8.936125, ' yes': -9.770823, '\n': -10.2329445}
{' Yes': -0.0056528593, ' No': -5.8363256, 'Yes': -6.2045755, ' Skin': -7.490285, ' yes': -9.660476}
{' Yes': -0.014218231, ' No': -4.5487776, 'Yes': -5.967675, ' Skin': -7.2278147, ' yes': -9.5372}
{' Yes': -0.014898188, ' No': -4.3600936, 'Yes': -6.331912, ' So': -9.948364, ' yes': -9.9649515}
{' Yes': -0.011833941, ' No': -4.8738084, 'Yes': -5.601706, ' yes': -9.190718, ' Nope': -9.362316}
{' Yes': -0.0010595095, 'Yes': -6.881415, ' yes': -11.575594, ' Sure': -11.867102, '\n': -12.096333}
{' Yes': -0.0012317246, 'Yes': -6.7929087, ' Sure': -10.710443, ' yes': -10.71872, ' Che': -10.804214}
{' Yes': -0.0019454958, 'Yes': -6.6308746, ' Male': -8.241762, ' No': -8.675005, ' yes': -9.243917}
{' Yes': -0.0024114286, 'Yes': -6.5528855, ' Male': -7.3468456, ' yes': -9.090677, ' No': -9.322812}
{' Yes': -0.013685677, ' No': -4.4985237, 'Yes': -6.0641003, 'No': -10.078699, ' yes': -10.326307}
{' Yes': -0.022334449, ' No': -4.0185957, 'Yes': -5.6272345, ' Done': -9.000722, ' Nope': -9.142051}
{' Yes': -0.011877487, ' Bike': -5.3291, 'Yes': -5.3693147, ' No': -7.1033783, ' B': -7.3277574}
{' Yes': -0.0030071225, 'Yes': -6.5422316, ' Bike': -6.820369, ' No': -8.075444, ' yes': -10.038566}
{' Yes': -0.005981279, ' No': -5.4548526, 'Yes': -6.639196, ' yes': -9.195554, ' Nope': -9.602881}
{' Yes': -0.0056297826, ' No': -5.370282, 'Yes': -7.0208306, ' yes': -10.15536, 'No': -11.911942}
{' Yes': -0.0011558789, 'Yes': -6.806701, ' yes': -10.716722, ' YES': -10.99223, ' Yep': -12.809623}
{' Yes': -0.037853483, ' Cave': -3.3986454, 'Yes': -5.9170375, ' No': -8.337569, ' yes': -8.386697}
{' Yes': -0.0025544777, 'Yes': -6.161349, ' Moon': -8.265163, ' No': -9.432966, ' yes': -9.754592}
{' Yes': -0.020435808, ' No': -4.3472867, 'Yes': -5.5327396, ' Moon': -5.999819, ' yes': -8.642294}
{' Yes': -0.00837205, ' No': -5.227011, 'Yes': -6.289988, ' Pain': -7.623914, ' Paint': -8.858692}
{' Yes': -0.0029728066, ' No': -6.3928843, 'Yes': -6.706237, ' yes': -10.722352, ' YES': -11.80091}
{' Yes': -0.017917847, ' Plus': -4.2501526, 'Yes': -6.401603, ' No': -6.430206, ' Pl': -9.2307415}
{' Yes': -0.052570533, ' Plus': -3.3054755, ' No': -4.470766, 'Yes': -6.0587044, ' Pl': -7.978462}
{' Yes': -0.11523161, ' No': -2.2297487, 'Yes': -6.930392, 'No': -8.816641, ' Nope': -10.0549345}
{' Yes': -0.011969358, ' No': -4.858903, 'Yes': -6.235768, ' Area': -6.7870836, ' Sure': -7.3580747}
{' Yes': -0.2170611, ' Dive': -1.674472, 'Yes': -5.2445765, ' Divide': -7.401137, ' No': -7.430634}
{' Yes': -0.070805304, ' Dive': -2.7809832, 'Yes': -5.4908814, ' No': -7.290718, ' Drive': -7.950596}
{' Yes': -0.00079658773, 'Yes': -7.2020235, ' ': -11.4541235, ' yes': -11.56419, ' Hear': -11.630671}
{' Yes': -0.0011404831, 'Yes': -6.892114, ' Hear': -10.075151, ' Yeah': -10.804225, ' yes': -10.911697}
{' Yes': -0.010872928, ' Bush': -5.014024, 'Yes': -5.5875864, ' yes': -9.092927, '\n': -9.378633}
{' Yes': -0.01796682, ' Bush': -4.425731, 'Yes': -5.4254565, ' Brush': -7.8494573, ' yes': -8.693372}
{' Yes': -0.24624923, ' Near': -1.7773409, ' No': -3.1198149, 'Yes': -6.5559535, ' Ne': -6.5628533}
{' Yes': -0.23960719, ' No': -1.5527117, 'Yes': -7.2316546, 'No': -7.981748, ' Near': -9.083567}
{' Yes': -0.03785051, ' Mile': -3.4897983, ' No': -5.426945, 'Yes': -6.532296, ' Miles': -7.9245176}
{' Yes': -0.005312263, ' No': -5.684143, 'Yes': -6.5681305, ' Mile': -7.9847584, ' Miles': -10.316388}
{' Yes': -0.55512977, ' Navy': -0.8705994, 'Yes': -6.127889, ' Naval': -6.5582585, ' N': -6.9625564}
{' Yes': -0.028942406, ' Navy': -3.8024845, 'Yes': -5.2864704, ' yes': -7.97631, ' YES': -8.799278}
{' No': -0.017138204, ' Nope': -4.710282, 'No': -5.4396996, ' Yes': -5.7233396, ' N': -9.102456}
{' No': -0.0064680516, 'No': -5.721187, ' Yes': -6.3490696, ' Nope': -6.6699963, ' Not': -9.990322}
{' Yes': -0.0030536377, ' No': -6.222614, 'Yes': -7.0037627, ' Math': -9.915641, ' YES': -10.754662}
{' Yes': -0.0013514466, 'Yes': -7.2534223, ' No': -7.4789476, ' yes': -10.964481, '\n': -11.015307}
{' No': -0.12705986, ' Yes': -2.1662176, ' Bee': -6.069423, 'No': -6.4924984, ' Nope': -7.9964256}
{' No': -0.124618486, ' Yes': -2.189682, ' Bee': -5.9574103, 'No': -6.3236895, 'Yes': -8.059389}
{' Yes': -0.0027149399, 'Yes': -6.1025033, ' Milk': -7.8869085, ' yes': -10.111217, ' No': -10.487384}
{' Yes': -0.019472705, ' No': -4.0459085, 'Yes': -6.4238048, ' Milk': -9.705837, 'No': -9.8865795}
{' Yes': -0.013230831, ' No': -4.896127, 'Yes': -5.236034, '\n': -9.156238, ' yes': -9.279836}
{' Yes': -0.002978248, 'Yes': -6.106076, ' No': -7.3236127, ' yes': -10.437453, '\n': -11.042539}
{' Yes': -0.0010815866, 'Yes': -6.893421, ' yes': -10.531675, ' YES': -11.142965, ' Bird': -11.732363}
{' Yes': -0.0032513733, 'Yes': -6.644475, ' Bird': -6.8671694, ' No': -7.190331, ' yes': -9.3851}
{' Yes': -0.0046096793, 'Yes': -5.9159675, ' No': -6.9068832, ' YES': -7.965016, ' yes': -8.639513}
{' Yes': -0.0031970765, 'Yes': -5.9609013, ' No': -7.8695965, ' yes': -9.104816, ' YES': -9.822926}
{' Yes': -0.0061550043, 'Yes': -6.096107, ' Need': -6.3215103, ' No': -6.513584, ' yes': -8.171624}
{' Yes': -0.0009951874, 'Yes': -7.125766, ' No': -9.447003, ' yes': -9.734393, ' Need': -11.047323}
{' Yes': -0.001556907, 'Yes': -6.6697145, ' No': -8.681248, '\n': -10.112789, ' yes': -10.330582}
{' Yes': -0.0026558915, 'Yes': -6.481505, ' No': -7.298533, ' Too': -8.706709, ' Tool': -8.877428}
{' Yes': -0.021629134, ' No': -4.2978992, 'Yes': -5.520204, ' Po': -5.6909175, 'No': -9.042519}
{' Yes': -0.0037827136, ' No': -6.38916, 'Yes': -6.5995007, ' Po': -7.3723087, ' yes': -10.909367}
{' Yes': -0.00096166076, 'Yes': -7.069105, ' No': -9.864161, ' yes': -10.277931, ' YES': -11.756294}
{' Yes': -0.0012726666, 'Yes': -6.8658752, ' yes': -9.140556, ' No': -10.317007, ' YES': -10.43145}
{' Yes': -0.0026625248, 'Yes': -6.620017, ' No': -6.6468673, ' yes': -11.141082, ' YES': -12.489062}
{' Yes': -0.0035703338, 'Yes': -5.7400107, ' Last': -8.736516, ' yes': -9.347493, ' No': -10.2312765}
{' Yes': -0.013763631, ' Door': -4.539377, 'Yes': -6.051115, ' No': -8.383169, ' yes': -8.548459}
{' Yes': -0.027210027, ' No': -4.2638297, ' Door': -4.701736, 'Yes': -5.7657065, ' yes': -8.758262}
{' Yes': -0.006838689, 'Yes': -5.260134, ' No': -6.7319226, ' yes': -9.269246, ' To': -9.32394}
{' Yes': -0.039010156, ' No': -3.4627047, 'Yes': -5.08179, ' Nope': -8.3350935, 'No': -9.056969}
{' Yes': -0.14110492, ' Maze': -2.062854, 'Yes': -5.9544425, ' No': -6.7150087, ' yes': -8.868326}
{' Yes': -0.002093612, 'Yes': -6.566291, ' No': -7.4327936, ' Maze': -10.346011, ' yes': -10.89285}
{' Yes': -0.129792, ' No': -2.8066201, ' Monk': -3.1813114, ' Mon': -4.567242, 'Yes': -5.425526}
{' Yes': -0.11210497, ' No': -2.91285, ' Mon': -3.2196124, 'Yes': -5.302832, ' Monk': -6.1269226}
{' Yes': -0.0012318448, 'Yes': -6.9238997, ' yes': -9.426896, ' Camp': -9.430909, ' Yep': -10.280709}
{' Yes': -0.00076043844, 'Yes': -7.2888703, ' No': -10.527787, ' yes': -10.684524, ' Yep': -11.56972}
{' Yes': -0.011012432, ' Most': -4.6762366, 'Yes': -6.4719405, ' yes': -10.028487, ' YES': -11.282754}
{' Yes': -0.007954407, ' Most': -5.124396, 'Yes': -6.471013, ' No': -8.260768, '\n': -9.6823015}
{' Yes': -0.0017859329, 'Yes': -6.871952, ' Trip': -7.7536893, ' yes': -9.081577, ' Tri': -9.508127}
{' Yes': -0.0013893503, 'Yes': -6.75355, ' yes': -9.152782, ' YES': -10.491833, ' Trip': -10.561828}
{' Yes': -0.006653623, 'Yes': -5.4356656, ' No': -6.1805882, ' yes': -9.480084, ' Dusk': -9.95585}
{' Yes': -0.014425502, ' No': -4.586523, 'Yes': -5.5242367, ' yes': -9.823294, 'No': -10.0405245}
{' Yes': -0.0015178656, 'Yes': -7.107862, ' No': -7.6052566, ' Hell': -9.557457, ' yes': -10.3083105}
{' Yes': -0.00095294917, 'Yes': -7.058282, ' yes': -10.558473, ' No': -10.610501, '\n': -10.916157}
{' Yes': -0.16248041, ' No': -1.9115666, 'Yes': -6.6539216, 'No': -7.6038194, ' Nope': -8.973726}
{' Yes': -0.26389822, ' No': -1.5766708, ' Lawn': -4.1402407, 'Yes': -6.3661637, ' Nope': -6.43913}
{' Yes': -0.028341986, ' No': -4.094306, ' Hill': -4.6236424, 'Yes': -6.8587117, '\n': -8.896549}
{' Yes': -0.00329772, ' No': -6.2269793, 'Yes': -7.038055, ' Hill': -8.279092, ' yes': -9.643466}
{' Yes': -0.0044167005, ' No': -5.850825, 'Yes': -6.543277, ' Sure': -10.363671, ' yes': -10.896664}
{' Yes': -0.0028332258, 'Yes': -6.3518114, ' No': -7.6020937, ' Take': -7.9590044, ' yes': -9.64598}
{' Yes': -0.0014565004, 'Yes': -6.782859, ' No': -8.464574, ' yes': -10.386468, '\n': -10.455102}
{' Yes': -0.0016889083, 'Yes': -6.5237484, ' No': -9.408452, '\n': -9.785168, ' yes': -9.830152}
{' Yes': -0.31901062, ' No': -1.3056782, 'Yes': -6.607434, 'No': -7.6459374, ' Nope': -9.008738}
{' Yes': -0.009978461, ' No': -4.8646955, 'Yes': -6.4468718, ' Pick': -7.6186833, ' yes': -10.150874}
{' Yes': -0.0021640388, 'Yes': -6.2262673, ' No': -10.058687, ' yes': -10.100529, ' Sure': -10.166859}
{' Yes': -0.0009980513, 'Yes': -6.9768414, ' No': -10.80455, ' yes': -11.051678, ' Sure': -11.71592}
{' No': -0.5302496, ' Yes': -0.89590734, 'No': -6.517763, 'Yes': -6.5543046, ' Nope': -8.363267}
{' Yes': -0.11724594, ' No': -2.2322514, 'Yes': -5.971514, 'No': -8.29795, ' Nope': -8.795394}
{' Yes': -0.016210742, ' No': -4.4856606, 'Yes': -5.394779, ' yes': -9.000416, 'No': -10.127554}
{' Yes': -0.18912493, ' No': -1.7962435, 'Yes': -5.3597984, 'No': -7.319839, ' Kiss': -7.9304514}
{' Yes': -0.13819756, ' No': -2.06309, 'Yes': -6.7351856, ' Nope': -8.218039, ' Soda': -8.347104}
{' Yes': -0.017029794, ' No': -4.193097, 'Yes': -6.4368596, ' Sure': -9.843795, 'No': -10.215228}
{' Yes': -0.005350674, ' No': -5.402596, 'Yes': -7.215645, ' Nope': -10.61838, ' yes': -10.894158}
{' Yes': -0.065065235, ' No': -2.7811048, 'Yes': -7.065519, 'No': -9.460614, ' Nope': -10.24076}
{' Yes': -0.0037294049, 'Yes': -5.966232, ' Fire': -7.918358, ' Sure': -8.360438, ' No': -8.730243}
{' Yes': -0.001576429, 'Yes': -6.7256565, ' No': -8.448541, ' Sure': -9.513181, ' yes': -10.268145}
{' Yes': -0.00078441907, 'Yes': -7.263613, ' yes': -10.043158, ' YES': -11.115582, ' Sure': -11.196198}
{' Yes': -0.0005968926, 'Yes': -7.5689216, ' yes': -9.853357, ' YES': -11.753278, ' Sure': -11.882199}
{' Yes': -0.002781522, 'Yes': -6.2003136, ' No': -7.490593, ' Push': -9.5179405, ' yes': -9.720633}
{' Yes': -0.033146176, ' Push': -4.2474155, ' No': -4.508524, 'Yes': -5.3460484, ' Nope': -7.1912894}
{' Yes': -0.093621396, ' No': -2.4679403, 'Yes': -6.2433133, ' Stop': -6.323882, ' Nope': -7.832837}
{' Yes': -0.1882903, ' Stop': -1.9791474, ' No': -3.6816773, ' Nope': -5.7232704, 'Yes': -5.7470384}
{' Late': -0.70517856, ' Yes': -0.7986654, ' Plate': -3.1137953, 'Late': -5.5543203, 'Yes': -5.982129}
{' Yes': -0.020742951, ' No': -4.100903, 'Yes': -5.9705315, ' Late': -7.0832367, ' Plate': -8.555425}
{' Yes': -0.00919686, ' No': -5.0462985, 'Yes': -6.0149736, ' yes': -9.392382, ' Sure': -9.794125}
{' Yes': -0.016079722, 'Yes': -4.819305, ' No': -5.6514425, ' West': -6.2384663, ' yes': -7.8886867}
{' Yes': -0.0020469648, 'Yes': -6.3002567, ' No': -8.763428, ' yes': -10.71158, ' YES': -11.015999}
{' Yes': -0.13157812, ' No': -2.151422, 'Yes': -5.804306, ' Wife': -6.100845, ' Nope': -7.367562}
{' Yes': -0.0043352833, 'Yes': -6.071045, ' No': -6.371389, ' Frog': -9.106609, ' yes': -9.247433}
{' Yes': -0.0067467513, ' No': -5.3929977, 'Yes': -6.31984, ' Frog': -8.997667, ' yes': -9.679586}
{' Yes': -0.0058369613, 'Yes': -5.7697654, ' Duck': -6.4829335, ' No': -6.931633, ' yes': -9.460556}
{' Yes': -0.027621089, ' No': -3.8117816, 'Yes': -5.855162, ' Duck': -6.6580796, ' yes': -8.587807}
{' Yes': -0.0073876614, 'Yes': -5.393255, ' Bank': -6.2098618, ' No': -7.631031, ' yes': -8.826133}
{' Yes': -0.02044974, ' No': -3.9922285, 'Yes': -6.415027, 'No': -9.844286, ' yes': -10.278615}
{' Yes': -0.003062305, 'Yes': -5.839335, ' yes': -10.141312, ' No': -10.275032, ' Test': -10.3897}
{' Yes': -0.30205134, ' Test': -1.4241197, 'Yes': -5.1645103, ' Testament': -5.5084586, ' Nest': -5.8375382}
{' Yes': -0.0044656135, 'Yes': -5.8341026, ' No': -7.031002, ' Stay': -7.6283956, ' Sure': -9.890297}
{' Yes': -0.022884313, ' No': -4.5534973, ' Stay': -4.8486114, 'Yes': -5.6003046, ' Sure': -9.196181}
{' Yes': -0.03236893, ' No': -3.6534605, 'Yes': -5.340728, ' East': -7.994793, ' Ye': -8.41023}
{' East': -0.724833, ' Yes': -1.2611662, ' Eas': -2.3792024, ' Ye': -3.4249747, ' Le': -3.4839032}
{' No': -0.0724267, ' Yes': -2.7048917, 'No': -5.8989854, 'Yes': -8.778563, ' Nope': -9.495617}
{' No': -0.07683934, ' Yes': -2.864767, ' Nope': -4.641834, 'No': -5.1365066, ' High': -7.3263526}
{' Yes': -0.13758686, ' No': -2.070101, 'Yes': -6.6950264, 'No': -8.1469345, ' Draw': -8.410062}
{' Draw': -0.38881123, ' Yes': -1.3705142, ' No': -3.540183, ' Drew': -4.5800114, 'Draw': -5.5006285}
{' King': -0.07486221, ' Yes': -2.9410462, 'King': -4.21464, ' Kings': -5.9494104, ' Kingston': -7.3595243}
{' Yes': -0.084164105, ' No': -2.5568163, 'Yes': -6.2343044, 'No': -7.8154716, ' Nope': -7.9414406}
{' No': -0.036933012, ' Yes': -3.4466507, 'No': -6.2562666, ' Nope': -6.6497183, ' Lose': -6.878152}
{' No': -0.04699143, ' Yes': -3.4495616, ' Lose': -4.9752216, 'No': -5.83976, ' Nope': -5.999416}
