{' No': -0.065186426, ' Yes': -2.8289306, 'No': -5.7845254, ' The': -7.627158, 'Yes': -8.79785}
{' Yes': -0.001409702, 'Yes': -6.6846733, ' The': -9.658072, ' yes': -9.866007, ' No': -10.472604}
{' No': -0.2875589, ' Yes': -1.4097359, 'No': -5.5199676, 'Yes': -7.337558, ' The': -7.343232}
{' Yes': -0.25000435, ' No': -1.5262914, 'Yes': -6.29286, 'No': -6.9081116, ' The': -7.6921616}
{' Yes': -0.18398178, ' No': -1.8216981, 'Yes': -5.531922, 'No': -6.3315797, ' The': -8.092693}
{' No': -0.0069947345, 'No': -5.2879944, ' Yes': -6.329674, ' Not': -10.042877, ' The': -10.349289}
{' No': -0.15656686, ' Yes': -1.996216, 'No': -4.879017, 'Yes': -7.441513, ' The': -7.5752063}
{' No': -0.07725445, ' Yes': -2.6608536, 'No': -5.6892457, ' The': -7.585353, '\n': -8.659835}
{' No': -0.0458466, ' Yes': -3.265308, 'No': -5.168386, ' The': -7.7323427, '\n': -8.929618}
{' No': -0.18815655, ' Yes': -1.7915233, 'No': -5.631317, 'Yes': -7.5636024, ' The': -8.136755}
{' No': -0.09334135, ' Yes': -2.4810996, 'No': -5.6177816, ' The': -6.595523, 'Yes': -8.5500765}
{' Yes': -0.0042822435, 'Yes': -6.0166917, ' No': -6.6189656, '\n': -8.434507, ' The': -8.737675}
{' No': -0.44188166, ' Yes': -1.0438982, 'No': -5.695902, 'Yes': -7.065754, ' The': -7.5975685}
{' No': -0.25554106, ' Yes': -1.5159514, 'No': -5.3953934, 'Yes': -7.26532, ' Not': -8.450508}
{' No': -0.23483117, ' Yes': -1.5886708, 'No': -5.5373363, 'Yes': -7.535728, ' The': -8.204924}
{' Yes': -0.19290686, ' No': -1.7713256, ' The': -6.2374864, 'Yes': -6.340657, 'No': -6.941203}
{' No': -0.15374842, ' Yes': -2.0057058, 'No': -5.113127, ' The': -7.2264924, 'Yes': -7.5965176}
{' No': -0.14506614, ' Yes': -2.0662794, 'No': -4.940469, 'Yes': -7.2855453, ' The': -8.636116}
{' No': -0.117585525, ' Yes': -2.2874484, 'No': -4.7998, 'Yes': -7.424506, '\n': -8.28098}
{' No': -0.04730733, ' Yes': -3.182523, 'No': -5.5929327, ' The': -7.8411646, '\n': -8.028018}
{' No': -0.013240255, 'No': -4.7896266, ' Yes': -5.430129, ' The': -8.577239, ' Not': -9.017547}
{' No': -0.011411828, ' Yes': -4.8573875, 'No': -5.7468314, ' The': -8.309206, ' Not': -10.206249}
{' No': -0.043576967, ' Yes': -3.4373794, 'No': -4.7316375, ' The': -6.924663, 'Yes': -8.754636}
{' No': -0.060828198, ' Yes': -2.9832773, 'No': -4.9092126, ' The': -7.7567067, 'Yes': -8.451789}
{' Yes': -0.08275557, ' No': -2.588945, 'Yes': -5.742078, 'No': -7.540197, ' The': -7.7525325}
{' No': -0.3568037, ' Yes': -1.2165619, 'No': -5.8735957, 'Yes': -7.46716, ' The': -8.256354}
{' Yes': -0.1281722, ' No': -2.152298, 'Yes': -5.948602, 'No': -7.1553683, ' The': -8.158049}
{' No': -0.0980132, ' Yes': -2.5374644, 'No': -4.4553285, ' "': -7.192988, ' The': -7.3784127}
{' No': -0.019578522, ' Yes': -4.579913, 'No': -4.7431726, ' The': -8.465108, 'Yes': -9.785493}
{' No': -0.05238805, ' Yes': -3.1402192, 'No': -4.9373956, ' The': -8.38995, 'Yes': -8.615072}
{' No': -0.12653743, ' Yes': -2.1960678, 'No': -5.0064373, 'Yes': -7.5985484, ' Not': -8.701997}
{' No': -0.12173742, ' Yes': -2.205279, 'No': -5.758145, ' The': -7.447764, 'Yes': -8.181371}
{' No': -0.011600009, 'No': -4.992845, ' Yes': -5.4232593, ' The': -8.643237, ' Not': -9.608186}
{' Yes': -0.045382198, ' No': -3.1602464, 'Yes': -6.6473885, ' The': -8.268537, ' Not': -8.800093}
{' Yes': -0.50186265, ' No': -0.9379646, 'No': -6.587844, 'Yes': -6.6492314, ' The': -7.9296103}
{' Yes': -0.15150544, ' No': -1.996232, 'Yes': -6.133213, ' The': -6.7806396, 'No': -7.078003}
{' No': -0.020591743, ' Yes': -4.581545, 'No': -4.6601443, ' The': -7.8907657, '\n': -9.163059}
{' No': -0.12298114, ' Yes': -2.207015, 'No': -5.62707, ' The': -6.976219, ' Not': -7.9897556}
{' No': -0.02137506, ' Yes': -4.417079, 'No': -4.778739, ' The': -8.124654, ' Not': -8.725625}
{' No': -0.09800085, ' Yes': -2.519235, 'No': -4.575164, '\n': -7.1330614, 'Yes': -7.487653}
{' No': -0.0074282517, 'No': -5.0218573, ' Yes': -7.48936, ' The': -9.371995, ' Not': -10.020246}
{' No': -0.09279112, ' Yes': -2.500277, 'No': -5.2671456, ' The': -7.4241905, ' Not': -7.9421334}
{' No': -0.018338343, ' Yes': -4.4570704, 'No': -5.1429033, ' The': -7.818824, ' Not': -8.894467}
{' No': -0.030994475, ' Yes': -3.8021123, 'No': -4.910116, ' The': -7.77873, 'Yes': -9.0405855}
{' No': -0.2664458, ' Yes': -1.4849173, 'No': -5.3429036, ' The': -6.7312946, 'Yes': -7.087193}
{' Yes': -0.0041033374, ' No': -6.1255116, 'Yes': -6.4787483, ' The': -8.847227, '\n': -9.42186}
{' Yes': -0.34645027, ' No': -1.2505583, 'Yes': -5.8349376, 'No': -6.16032, '\n': -7.467519}
{' Yes': -0.013433551, ' No': -4.487131, 'Yes': -6.2871146, ' The': -9.62335, ' yes': -9.722975}
{' Yes': -0.18852495, ' No': -1.781989, 'Yes': -6.2644467, 'No': -7.5505757, ' The': -7.5691314}
{' No': -0.01866288, ' Yes': -4.4405932, 'No': -5.0586123, '\n': -9.272178, ' The': -9.634322}
{' No': -0.116065554, ' Yes': -2.2685695, 'No': -5.2946887, ' The': -8.1192255, 'Yes': -8.238246}
{' Yes': -0.3346422, ' No': -1.2786177, 'Yes': -5.8166666, 'No': -6.0919333, ' The': -7.7555227}
{' No': -0.019126456, 'No': -4.6161165, ' Yes': -4.883344, ' The': -7.4869323, '\n': -8.210155}
{' Yes': -0.34585026, ' No': -1.2404139, 'Yes': -6.509985, 'No': -6.6787715, ' The': -9.041271}
{' No': -0.25502148, ' Yes': -1.5287775, 'No': -4.9927874, 'Yes': -6.93242, ' The': -8.589814}
{' No': -0.0117419055, 'No': -4.48851, ' The': -8.53278, ' Yes': -9.222783, ' "': -9.8655815}
{' No': -0.0126413945, 'No': -4.400869, ' The': -8.994065, ' Yes': -9.477687, '\n': -10.43917}
{' Yes': -0.13676043, ' No': -2.0927157, 'Yes': -5.7625, 'No': -7.0137267, ' The': -9.06622}
{' No': -0.020340424, ' Yes': -4.249104, 'No': -5.2607865, ' The': -8.280085, ' Not': -8.297438}
{' No': -0.0069213267, 'No': -5.044317, ' Yes': -8.394059, ' The': -8.970691, ' Not': -10.468211}
{' No': -0.007735269, 'No': -4.8909426, ' The': -9.88604, '\n': -10.090487, ' Yes': -10.257257}
{' Yes': -0.02562984, ' No': -3.7569394, 'Yes': -6.5596795, ' The': -8.108168, 'No': -9.561058}
{' No': -0.009036678, 'No': -4.8254943, ' Yes': -7.172332, ' The': -9.301082, ' Not': -10.019282}
{' No': -0.06249552, ' Yes': -2.9656534, 'No': -4.9630995, ' Not': -7.0714006, ' The': -7.2073946}
{' No': -0.038912237, ' Yes': -3.6026254, 'No': -4.5874276, ' The': -8.49559, 'Yes': -8.651213}
{' No': -0.09061005, ' Yes': -2.5377686, 'No': -5.1966834, ' The': -7.2770452, '\n': -7.4259667}
{' No': -0.023053005, ' Yes': -4.25566, 'No': -4.8575964, '\n': -8.061378, ' The': -8.508612}
{' No': -0.17056826, ' Yes': -1.8771415, 'No': -5.8132224, 'Yes': -7.889257, ' The': -8.865439}
{' Yes': -0.18588644, ' No': -1.8009509, 'Yes': -5.8622622, 'No': -7.1315327, ' The': -7.778581}
{' Yes': -0.23350474, ' No': -1.5813612, 'Yes': -6.614293, 'No': -7.6140356, ' The': -7.8655634}
{' Yes': -0.006639582, ' No': -5.466385, 'Yes': -6.2980742, ' The': -8.279078, '\n': -9.033794}
{' No': -0.1253675, ' Yes': -2.1969178, 'No': -5.4586763, ' The': -6.920775, '\n': -7.601476}
{' No': -0.020151263, ' Yes': -4.451296, 'No': -4.902622, ' The': -7.8715096, '\n': -8.804601}
{' No': -0.012976949, 'No': -4.9142413, ' Yes': -5.3975897, ' The': -7.390641, ' Not': -8.573907}
{' No': -0.02015546, ' Yes': -4.4454064, 'No': -4.986166, ' The': -7.0951123, ' Not': -8.514626}
{' Yes': -0.011194027, ' No': -4.8581767, 'Yes': -5.779314, ' The': -9.382329, ' yes': -9.550418}
{' Yes': -0.0067835376, ' No': -5.4802575, 'Yes': -6.139609, ' The': -8.502931, ' yes': -9.192157}
{' No': -0.046084125, ' Yes': -3.3622463, 'No': -4.695992, ' The': -8.186752, ' Not': -8.261356}
{' No': -0.5584014, ' Yes': -0.86475766, 'No': -5.713564, 'Yes': -6.5240703, ' The': -7.0585284}
{' No': -0.011082463, 'No': -5.2132516, ' Yes': -5.3718, ' The': -7.3771996, ' Not': -9.150289}
{' No': -0.047896363, ' Yes': -3.252223, 'No': -5.079818, ' The': -7.055737, '\n': -8.009639}
{' No': -0.26874244, ' Yes': -1.4907044, 'No': -4.915511, 'Yes': -6.3657956, '\n': -7.410098}
{' No': -0.06731869, ' Yes': -2.8281865, 'No': -5.401686, ' The': -7.483645, ' Not': -7.6406636}
{' Yes': -0.21580498, ' No': -1.6625842, 'Yes': -6.095773, ' The': -6.7904015, 'No': -7.32254}
{' No': -0.10226466, ' Yes': -2.4107955, 'No': -5.0713787, 'Yes': -7.6260567, ' The': -7.9476986}
{' No': -0.025067097, ' Yes': -3.9587443, 'No': -5.4351087, ' The': -7.441656, ' Not': -7.657772}
{' No': -0.016843319, ' Yes': -4.5092654, 'No': -5.2647014, ' The': -8.0762615, ' Not': -9.1103735}
{' Yes': -0.078139395, ' No': -2.631175, 'Yes': -6.1668725, 'No': -8.044208, ' The': -8.148876}
{' No': -0.017770156, ' Yes': -4.653306, 'No': -4.91138, ' The': -7.8740606, ' Not': -8.53616}
{' No': -0.027782375, ' Yes': -3.9675767, 'No': -4.9257164, '\n': -7.5377116, ' The': -8.288183}
{' No': -0.5113365, ' Yes': -0.9387829, 'No': -5.1686697, 'Yes': -6.2486386, '\n': -7.3156023}
{' Yes': -0.052408777, ' No': -3.0384867, 'Yes': -6.040672, 'No': -8.01808, ' The': -8.394289}
{' No': -0.07821016, ' Yes': -2.6440785, 'No': -5.650006, ' The': -8.33023, 'Yes': -8.783181}
{' No': -0.016867323, ' Yes': -4.5798764, 'No': -5.1768684, ' The': -8.041334, '\n': -8.324263}
{' No': -0.016003586, 'No': -4.226863, '\n': -7.47634, ' Yes': -7.7535253, ' ': -8.879724}
{' Yes': -0.019187031, ' No': -4.1810675, 'Yes': -5.9192295, ' The': -7.5637007, ' Not': -8.630333}
{' Yes': -0.10399081, ' No': -2.350054, 'Yes': -6.060035, 'No': -7.550997, ' The': -8.053219}
{' No': -0.026508609, ' Yes': -3.9354918, 'No': -5.1287365, ' The': -8.335497, '\n': -8.57041}
{' No': -0.0109821195, ' Yes': -5.18354, 'No': -5.3299727, ' The': -8.439033, ' ': -9.422843}
{' No': -0.028608691, ' Yes': -4.0419297, 'No': -4.6147428, ' The': -8.266867, ' Not': -8.606686}
{' No': -0.6690048, ' Yes': -0.73451644, 'No': -5.519869, 'Yes': -6.1990967, ' The': -6.797652}
{' Yes': -0.6120498, ' No': -0.8097618, 'No': -5.235337, 'Yes': -5.5301313, '\n': -6.094292}
{' Yes': -0.0831543, ' No': -2.5861373, 'Yes': -5.5894537, 'No': -7.606141, ' The': -9.392892}
{' Yes': -0.46037266, ' No': -1.0132921, 'No': -5.892751, 'Yes': -6.049602, ' Not': -7.997442}
{' No': -0.6098921, ' Yes': -0.796343, 'No': -6.050321, ' The': -6.532392, 'Yes': -6.8336253}
{' No': -0.012318442, ' Yes': -4.7988057, 'No': -5.6009493, ' The': -8.494676, ' "': -10.453536}
{' No': -0.089265026, ' Yes': -2.5211804, 'No': -5.503789, ' The': -7.590031, 'Yes': -8.557332}
{' Yes': -0.03137843, ' No': -3.5805764, 'Yes': -5.9787946, ' The': -8.422842, 'No': -8.874647}
{' Yes': -0.5456107, ' No': -0.8794654, 'No': -5.8209786, 'Yes': -6.2277737, ' The': -8.174908}
{' No': -0.020328624, 'No': -4.520485, ' Yes': -4.7937107, ' The': -7.4655147, '\n': -9.080202}
{' No': -0.038673498, ' Yes': -3.4207878, 'No': -5.414821, ' The': -7.5737853, 'Yes': -9.298712}
{' No': -0.014899278, ' Yes': -4.806739, 'No': -5.10604, ' The': -8.638631, ' Not': -8.901266}
{' No': -0.053752795, ' Yes': -3.1715941, 'No': -4.6314406, 'Yes': -8.224832, ' The': -8.74884}
{' No': -0.018540034, 'No': -4.5080934, ' Yes': -5.089377, ' The': -7.8917794, ' Not': -8.125744}
{' No': -0.014780645, 'No': -4.3082204, ' Yes': -7.252636, ' Not': -8.4303665, ' The': -8.546244}
{' No': -0.037060056, ' Yes': -3.6044848, 'No': -4.915554, '\n': -6.869524, ' "': -8.447031}
{' No': -0.010401835, 'No': -4.963916, ' Yes': -5.7927938, ' The': -8.818384, '\n': -10.072408}
{' Yes': -0.0055676256, 'Yes': -5.62582, ' No': -6.3128567, ' yes': -9.937172, ' The': -10.489711}
{' No': -0.4640107, ' Yes': -1.0228257, 'No': -4.857289, 'Yes': -6.054712, ' The': -7.3382373}
{' Yes': -0.088707075, ' No': -2.5114155, 'Yes': -5.8256564, 'No': -7.541761, ' The': -9.3585205}
{' No': -0.5991452, ' Yes': -0.8055451, 'No': -6.0798726, 'Yes': -6.835881, ' The': -7.9989996}
{' No': -0.27333537, ' Yes': -1.5012139, 'No': -4.457335, 'Yes': -6.205207, '\n': -6.6231394}
{' Yes': -0.10225336, ' No': -2.4735987, 'Yes': -4.7238293, 'No': -6.510876, '\n': -6.880558}
{' Yes': -0.047159176, ' No': -3.339941, 'Yes': -4.798601, 'No': -7.209936, '\n': -7.5651793}
{' No': -0.06833982, ' Yes': -3.3227646, 'No': -3.6112244, '\n': -7.0054483, ' The': -7.0812387}
{' No': -0.061355602, ' Yes': -3.1600626, 'No': -4.361051, ' The': -6.4998627, '\n': -6.624521}
{' No': -0.10649159, ' Yes': -2.6611292, 'No': -3.5708618, 'Yes': -6.705796, '\n': -7.400702}
{' No': -0.029418448, 'No': -3.6975703, ' Yes': -5.60476, '\n': -8.340013, ' ': -9.383042}
{' Yes': -0.48452237, ' No': -0.983872, 'No': -5.41989, 'Yes': -5.557825, ' The': -6.62698}
{' Yes': -0.46677294, ' No': -1.0099381, 'No': -5.39761, 'Yes': -5.620415, ' The': -8.461323}
{' No': -0.031499106, 'No': -3.7910817, ' Yes': -4.8819137, ' The': -8.08336, '\n': -8.900121}
{' Yes': -0.11930826, ' No': -2.275043, 'Yes': -5.0958614, 'No': -6.574172, '\n': -6.574565}
{' Yes': -0.4074447, ' No': -1.1333835, 'No': -5.1467156, 'Yes': -5.357817, ' The': -6.7270837}
{' No': -0.05485264, ' Yes': -3.1874342, 'No': -4.477399, 'Yes': -8.076429, ' The': -8.785252}
{' No': -0.22296846, ' Yes': -1.7117609, 'No': -4.156682, 'Yes': -6.549901, ' The': -6.914611}
{' Yes': -0.41296858, ' No': -1.155011, 'No': -4.7288637, 'Yes': -4.9158125, '\n': -5.7435217}
{' Yes': -0.5048508, ' No': -0.9507526, 'No': -5.3368173, 'Yes': -5.6741314, ' Not': -7.078838}
{' Yes': -0.04589777, ' No': -3.2674801, 'Yes': -5.1957603, 'No': -7.693349, ' The': -8.016191}
{' No': -0.6313438, ' Yes': -0.8153477, 'No': -4.259405, 'Yes': -5.1183257, ' The': -5.807779}
{' No': -0.3330378, ' Yes': -1.3414148, 'No': -4.305698, '\n': -5.8309927, 'Yes': -5.8391986}
{' Yes': -0.4164639, ' No': -1.1820529, 'Yes': -4.098047, 'No': -4.215086, '\n': -6.7433333}
{' No': -0.027120361, 'No': -4.0740085, ' Yes': -4.6629443, 'Yes': -9.159416, '\n': -9.255028}
{' Yes': -0.07438986, ' No': -2.7358603, 'Yes': -5.353574, ' The': -7.3505583, 'No': -7.373456}
{' No': -0.04328725, 'No': -3.1665075, '\n': -9.531985, ' ': -9.938345, ' The': -10.431697}
{' No': -0.042277206, 'No': -3.191146, ' Yes': -9.712414, '\n': -9.764773, ' Not': -10.000322}
{' No': -0.05525324, ' Yes': -3.355672, 'No': -4.0242205, 'Yes': -8.144581, ' The': -8.252771}
{' No': -0.027009519, 'No': -3.7188678, ' Yes': -6.2385645, ' The': -8.7668915, '\n': -9.311542}
{' Yes': -0.06476618, ' No': -2.905445, 'Yes': -5.2178593, ' The': -7.130602, 'No': -7.3519797}
{' No': -0.12982179, ' Yes': -2.3783493, 'No': -3.633186, 'Yes': -6.4719787, ' The': -7.570284}
{' No': -0.60352206, ' Yes': -0.8762768, 'No': -4.1690016, '\n': -4.47584, 'Yes': -5.019145}
{' No': -0.03605714, 'No': -3.9591966, ' Yes': -4.1458764, 'Yes': -8.565581, ' The': -9.243762}
{' No': -0.21478876, ' Yes': -1.7811205, 'No': -4.1132092, '\n': -5.245512, 'Yes': -6.259119}
{' Yes': -0.14669758, ' No': -2.1251826, 'Yes': -4.516113, 'No': -5.922797, '\n': -6.4262896}
{' Yes': -0.022181718, ' No': -4.057336, 'Yes': -5.7085085, ' The': -7.1987185, ' yes': -8.2875}
{' No': -0.21961293, ' Yes': -1.6835506, 'No': -4.722604, 'Yes': -6.665347, ' The': -7.5062103}
{' Yes': -0.034090165, ' No': -3.8190877, 'Yes': -4.696287, 'No': -6.9988422, ' The': -7.2744765}
{' No': -0.117708094, 'No': -2.241163, ' Yes': -5.700591, '\n': -7.9036136, ' The': -8.030594}
{' Yes': -0.30349118, ' No': -1.4380069, 'Yes': -4.7757792, '\n': -5.08793, 'No': -5.182567}
{' No': -0.17961106, ' Yes': -1.8727567, 'No': -4.8015494, ' The': -7.0391803, 'Yes': -7.118103}
{' No': -0.020268224, 'No': -3.9156365, ' ': -9.710174, '\n': -10.422372, ' The': -11.290948}
{' No': -0.04615478, 'No': -3.1428056, ' Yes': -6.536127, ' The': -8.734251, '\n': -9.078459}
{' Yes': -0.06562105, ' No': -2.9933836, 'Yes': -4.58148, 'No': -6.4894714, ' The': -7.0324244}
{' No': -0.5087402, ' Yes': -0.9838779, 'No': -4.080628, 'Yes': -5.5008454, ' The': -5.9631352}
