{' Yes': -0.4832697, ' No': -0.96698284, 'Yes': -6.763613, 'No': -6.8934584, ' Nope': -7.4044847}
{' No': -0.0031087634, 'No': -6.3250575, ' Yes': -6.8524985, '\n': -8.759944, ' Nope': -9.506942}
{' Yes': -0.003955519, 'Yes': -6.082061, ' No': -6.6127214, ' Stamp': -9.184066, ' Sure': -9.515634}
{' Yes': -0.010012837, ' No': -4.8091917, 'Yes': -6.4001417, ' Nope': -10.279862, 'No': -10.369234}
{' No': -0.0027824787, 'No': -6.0151896, '\n': -8.124763, ' Nope': -11.384138, ' ': -11.419893}
{' No': -0.0020743217, 'No': -6.2346935, ' Nope': -9.756316, '\n': -10.166869, ' ': -12.150527}
{' Yes': -0.0023283795, 'Yes': -6.327375, ' Sleep': -8.561877, ' yes': -9.15886, ' No': -9.497912}
{' Yes': -0.0026388587, 'Yes': -6.172492, ' No': -8.116832, ' yes': -9.109305, '\n': -10.112531}
{' No': -0.0015596524, 'No': -6.5315466, '\n': -9.7667055, ' Nope': -10.450486, ' ': -11.944006}
{' No': -0.0020602853, 'No': -6.2270374, '\n': -10.226337, ' Nope': -10.552717, ' Yes': -11.426371}
{' No': -0.041694384, ' Yes': -3.2951407, 'No': -5.6477084, 'Yes': -8.88934, ' Nope': -9.576181}
{' Yes': -0.10714105, ' No': -2.3294044, 'Yes': -5.80067, ' Nope': -7.496881, 'No': -7.73289}
{' No': -0.0023885444, 'No': -6.077263, '\n': -10.067768, ' Yes': -10.682863, ' Nope': -10.921867}
{' No': -0.002357536, 'No': -6.166439, ' Yes': -8.881899, ' Nope': -9.371973, '\n': -10.855391}
{' Yes': -0.17585504, ' No': -1.860082, ' Nope': -6.5389285, 'Yes': -6.59093, ' Te': -6.8708725}
{' Yes': -0.019682163, ' No': -4.02779, 'Yes': -6.82534, ' Nope': -8.6180725, ' Techn': -9.510818}
{' No': -0.003028766, 'No': -5.821615, '\n': -10.104293, ' Yes': -11.727679, ' Nope': -12.254995}
{' No': -0.0017776933, 'No': -6.3706317, ' Yes': -10.544041, '\n': -10.571671, ' Nope': -11.9180155}
{' Yes': -0.00091566215, 'Yes': -7.197365, ' No': -8.886749, '\n': -11.297984, ' yes': -12.201913}
{' Yes': -0.0009253256, 'Yes': -7.219967, ' No': -8.726473, '\n': -11.598995, ' yes': -11.872252}
{' No': -0.004005128, 'No': -6.2168093, ' Yes': -6.273352, ' Nope': -9.679021, '\n': -10.163478}
{' No': -0.016626336, ' Yes': -4.248132, 'No': -6.199348, ' Nope': -9.219807, '\n': -10.71567}
{' Yes': -0.005358525, 'Yes': -5.651665, ' No': -6.93562, ' Drunk': -7.4218607, ' yes': -9.215594}
{' Yes': -0.011222057, ' No': -4.856263, 'Yes': -5.8005624, ' yes': -9.530286, ' Drunk': -9.616862}
{' No': -0.0024588697, 'No': -6.0862384, ' Yes': -9.153706, ' Nope': -9.858635, '\n': -11.429897}
{' No': -0.0026881057, 'No': -6.0740623, ' Yes': -8.038267, ' Nope': -10.26613, ' Not': -11.4087925}
{' No': -0.19825281, ' Yes': -1.7445308, 'No': -5.6422796, 'Yes': -7.2097445, ' Nope': -7.2927656}
{' Yes': -0.6243413, ' No': -0.79958093, ' Min': -4.997701, 'Yes': -5.995314, 'No': -6.418063}
{' No': -0.002907528, 'No': -5.8876743, '\n': -9.264952, ' Nope': -10.676992, ' ': -11.868706}
{' No': -0.0017829479, 'No': -6.3881717, ' Nope': -10.036486, '\n': -10.307735, ' Yes': -11.596964}
{' Yes': -0.00080022594, 'Yes': -7.1842484, ' yes': -10.607592, ' YES': -11.4914875, '\n': -12.623078}
{' Yes': -0.0005232977, 'Yes': -7.610289, ' yes': -11.032225, ' YES': -12.063501, '\n': -13.13979}
{' No': -0.0020285102, 'No': -6.2696843, '\n': -9.77529, ' Nope': -10.172793, ' Yes': -10.640187}
{' No': -0.0025485023, 'No': -6.0492253, '\n': -9.01746, ' Nope': -10.432928, ' Yes': -11.115838}
{' Yes': -0.29114437, ' No': -1.4056253, ' Nope': -5.9512415, 'Yes': -6.3613462, ' Ch': -6.755892}
{' No': -0.16676803, ' Yes': -1.9007348, 'No': -5.99302, ' Nope': -6.745225, 'Yes': -8.048725}
{' No': -0.0035492172, 'No': -5.702775, '\n': -8.878341, ' Yes': -10.282755, ' ': -11.003622}
{' No': -0.003179974, 'No': -5.7760606, '\n': -10.010443, ' Yes': -11.095948, ' Nope': -11.876488}
{' Yes': -0.002424334, 'Yes': -6.5980225, ' No': -7.0504875, ' Woman': -9.343309, ' yes': -10.346921}
{' Woman': -0.6538543, ' Yes': -0.76327515, 'Woman': -4.970232, 'woman': -5.9234385, 'Yes': -6.423198}
{' No': -0.0021188213, 'No': -6.247579, ' Yes': -9.465111, ' Nope': -9.866128, '\n': -10.070219}
{' No': -0.0023521595, 'No': -6.1102376, ' Nope': -9.783506, '\n': -10.265362, ' Yes': -10.411694}
{' Yes': -0.0029232507, 'Yes': -6.3103933, ' Party': -6.9819345, ' yes': -10.169211, ' YES': -10.20365}
{' Yes': -0.18239975, ' Party': -2.3247147, ' No': -2.737255, 'Yes': -6.3017097, 'Party': -7.2150664}
{' No': -0.002095584, 'No': -6.2211986, '\n': -9.892488, ' Yes': -10.455153, ' Nope': -11.32408}
{' No': -0.002324795, 'No': -6.127513, '\n': -9.353351, ' Yes': -10.380613, ' Not': -11.489441}
{' Yes': -0.15686037, ' No': -1.9428711, 'Yes': -6.693428, 'No': -7.6359873, '\n': -9.604119}
{' No': -0.4858234, ' Yes': -0.9616478, 'No': -6.3219814, 'Yes': -7.5137386, ' Nope': -9.534485}
{' No': -0.0026264891, 'No': -5.991924, ' Yes': -9.534185, '\n': -10.220633, ' Nope': -11.626691}
{' No': -0.0025404345, 'No': -6.019235, ' Yes': -10.01937, '\n': -10.449663, ' Nope': -11.124975}
{' Yes': -0.0017693947, 'Yes': -6.3772764, ' No': -10.564481, ' YES': -11.480344, '\n': -11.540212}
{' Yes': -0.0037770283, 'Yes': -5.8588405, ' Shoes': -7.1969466, ' YES': -10.042784, ' No': -10.42938}
{' No': -0.0031821872, 'No': -5.8177075, '\n': -8.859366, ' Nope': -10.220238, ' Yes': -11.053661}
{' No': -0.0042800913, 'No': -6.0027404, ' Yes': -6.692533, ' Nope': -7.659742, '\n': -9.7267275}
{' Yes': -0.0031245477, 'Yes': -6.3156123, ' No': -6.7608776, ' Ghost': -9.356882, ' yes': -10.761139}
{' Yes': -0.104672976, ' No': -2.349992, 'Yes': -5.9064612, 'No': -7.174773, ' Ghost': -8.407117}
{' No': -0.003929724, 'No': -5.600664, '\n': -8.942497, ' Nope': -9.775499, ' ': -10.974552}
{' No': -0.0041313474, 'No': -5.5297203, '\n': -9.53284, ' Nope': -10.085391, ' Not': -11.065511}
{' Yes': -0.0021066957, 'Yes': -6.690789, ' Shirt': -7.1860647, '\n': -10.740898, ' No': -10.814377}
{' Yes': -0.006861911, ' Shirt': -5.5254226, 'Yes': -5.9954076, ' No': -9.14117, '\n': -9.971377}
{' No': -0.0030608699, 'No': -5.908262, '\n': -8.829291, ' Yes': -9.328181, ' Nope': -9.429343}
{' No': -0.0033775587, 'No': -5.9147506, ' Yes': -7.6035876, ' Nope': -8.881324, '\n': -10.721007}
{' Yes': -0.019562475, ' No': -4.262074, 'Yes': -5.3206906, ' Pants': -8.391397, 'No': -9.939377}
{' Yes': -0.07510878, ' No': -2.6993303, 'Yes': -5.402795, 'No': -8.595764, ' Nope': -8.6792345}
{' No': -0.0032506553, 'No': -5.78899, '\n': -8.740721, ' Yes': -11.688431, ' ': -11.811338}
{' No': -0.0030901087, 'No': -5.8214645, '\n': -9.1734085, ' ': -11.686874, ' Nope': -12.620823}
{' Yes': -0.10995067, ' No': -2.304397, 'Yes': -5.9888086, 'No': -7.097912, ' Board': -7.7504363}
{' Yes': -0.0079529025, ' No': -5.2744946, 'Yes': -5.9900117, ' yes': -9.29262, ' Board': -9.705785}
{' No': -0.003510817, 'No': -5.775119, ' Yes': -8.550529, '\n': -8.921237, ' Nope': -10.001464}
{' No': -0.005201354, 'No': -5.2840023, '\n': -9.276873, ' ': -11.802344, ' Not': -12.1953125}
{' Yes': -0.01199662, ' No': -5.3324537, 'Yes': -5.4844713, ' Leave': -5.990188, ' yes': -9.181878}
{' Yes': -0.02303745, ' No': -4.1369863, 'Yes': -5.6625347, ' Leave': -5.8745556, ' yes': -9.214546}
{' No': -0.0045342916, 'No': -5.70826, ' Yes': -6.903738, ' Nope': -9.425678, ' Not': -9.88991}
{' No': -0.0025262723, 'No': -6.2311234, ' Yes': -7.916825, ' Nope': -9.179298, '\n': -9.612249}
{' Yes': -0.10451118, ' No': -2.3358572, 'Yes': -6.485241, ' Nope': -7.428191, 'No': -8.556429}
{' Yes': -0.0022018477, 'Yes': -6.6579514, ' No': -7.2157116, ' Sure': -9.782517, '\n': -10.220929}
{' No': -0.002657566, 'No': -6.1832695, ' Nope': -8.203325, ' Yes': -8.802736, '\n': -8.909043}
{' No': -0.008276846, ' Yes': -5.624928, 'No': -6.136267, ' Nope': -6.4475718, ' Not': -8.093696}
{' No': -0.61599076, ' Yes': -0.78751296, 'No': -5.942981, 'Yes': -6.536608, ' Nope': -8.317403}
{' No': -0.50283694, ' Yes': -0.9659888, ' Sn': -5.136664, 'No': -5.5244346, 'Yes': -6.297375}
{' No': -0.0026120264, 'No': -5.9725137, '\n': -10.411846, ' Yes': -11.371752, ' Nope': -11.423269}
{' No': -0.001677742, 'No': -6.4429717, ' Nope': -9.967704, '\n': -10.655257, ' Yes': -12.116841}
{' Yes': -0.0118232025, ' No': -4.5784693, 'Yes': -6.7577753, ' Bride': -9.383924, ' Bridge': -9.567484}
{' Yes': -0.023076609, ' No': -4.1829925, ' Bridge': -6.0129805, ' Bride': -6.1549406, 'Yes': -6.2292547}
{' No': -0.0029580407, 'No': -5.8700895, '\n': -9.082431, ' ': -11.581332, ' Nope': -12.86095}
{' No': -0.0027506188, 'No': -5.9297013, ' Yes': -10.468145, '\n': -10.485941, ' Nope': -10.788071}
{' Yes': -0.038857583, ' Throw': -3.661578, ' No': -4.5323553, 'Yes': -6.8703275, '\n': -8.266634}
{' Yes': -0.09915743, ' Throw': -2.5317001, ' No': -4.4097767, 'Yes': -6.682768, '\n': -7.6813083}
{' No': -0.0023892603, 'No': -6.087331, ' Nope': -9.909671, ' Yes': -10.476476, '\n': -10.619294}
{' No': -0.002375818, 'No': -6.1940966, ' Nope': -8.373145, ' Yes': -9.460387, '\n': -11.334563}
{' Yes': -0.0029957623, 'Yes': -6.191829, ' No': -7.24285, ' Yep': -9.461084, ' YES': -9.988214}
{' Yes': -0.0011902513, 'Yes': -6.8111567, ' No': -9.886179, ' YES': -11.661285, ' yes': -11.843346}
{' No': -0.002625055, 'No': -6.013891, ' Yes': -8.931904, ' Nope': -10.838198, '\n': -10.939609}
{' No': -0.0026909716, 'No': -6.082572, ' Yes': -8.429526, ' Nope': -9.147058, '\n': -10.008273}
{' Yes': -0.66846555, ' No': -0.77739036, 'Yes': -4.996653, 'No': -5.3419094, ' Ank': -5.3891535}
{' Yes': -0.41864538, ' No': -1.1160847, 'Yes': -5.205279, ' Nope': -6.0948944, 'No': -6.1505384}
{' No': -0.018971117, ' Yes': -4.1902394, 'No': -6.3462434, ' Nope': -6.6184816, ' Not': -7.905955}
{' No': -0.007187307, ' Yes': -5.392651, 'No': -6.209778, ' Nope': -7.6139655, ' Not': -10.102738}
{' No': -0.42738762, ' Yes': -1.1035522, ' Nope': -4.810677, 'No': -5.870651, ' Los': -6.31431}
{' Yes': -0.10549001, ' No': -2.3701632, 'Yes': -6.079259, ' Nope': -6.769335, ' Lo': -6.8903117}
{' No': -0.0025232837, 'No': -6.0620875, ' Nope': -9.0431385, '\n': -10.168399, ' Yes': -10.704078}
{' No': -0.0015233568, 'No': -6.5955534, ' Nope': -9.763801, '\n': -9.918448, ' Yes': -10.268527}
{' Yes': -0.0015283701, 'Yes': -6.8718286, ' No': -7.708466, ' YES': -11.397541, ' yes': -11.558265}
{' Yes': -0.033342432, ' No': -3.4499261, 'Yes': -7.015568, 'No': -9.47463, ' Nope': -10.8712435}
{' No': -0.0025852525, 'No': -6.032774, ' Yes': -9.058876, ' Nope': -10.075339, '\n': -11.36786}
{' No': -0.0031629356, 'No': -6.3510265, ' Yes': -6.6366653, ' Nope': -9.808556, ' Not': -10.773277}
{' Yes': -0.0029043595, 'Yes': -6.1914907, ' Shark': -7.2459936, ' No': -10.053092, ' yes': -10.234902}
{' Yes': -0.004236152, ' Shark': -6.1481495, 'Yes': -6.2431846, ' yes': -10.23781, ' No': -10.238935}
{' No': -0.006450415, 'No': -5.824644, ' Yes': -5.9000645, ' Nope': -7.54774, '\n': -9.007598}
{' No': -0.03310761, ' Yes': -3.68716, 'No': -5.451925, ' Nope': -5.998815, ' Not': -8.003258}
{' Yes': -0.004459928, ' No': -6.085428, 'Yes': -6.204477, ' Lemon': -9.917849, ' yes': -10.210819}
{' Yes': -0.0046817167, 'Yes': -5.8863378, ' No': -7.0134687, ' Lemon': -7.0527825, ' yes': -10.191585}
{' No': -0.0021303499, 'No': -6.2139196, ' Yes': -9.606485, '\n': -10.390361, ' Nope': -10.767911}
{' No': -0.0028800897, 'No': -5.9136486, ' Nope': -9.608291, ' Yes': -10.001642, '\n': -10.041277}
{' No': -0.07756745, ' Yes': -2.6803524, 'No': -5.3802347, ' Nope': -6.8552675, 'Yes': -8.312139}
{' No': -0.016240185, ' Yes': -4.7928743, 'No': -5.3643084, ' Nope': -5.8205585, '\n': -10.099745}
{' No': -0.004329836, 'No': -5.50753, ' Yes': -8.669462, '\n': -9.630878, ' Nope': -11.368511}
{' No': -0.0036631175, 'No': -5.797694, ' Yes': -7.9328637, ' Nope': -8.488183, '\n': -10.166108}
{' Yes': -0.010492119, ' No': -4.765428, 'Yes': -6.426208, '\n': -9.304408, ' YES': -10.108826}
{' Yes': -0.009584875, ' No': -4.8674583, 'Yes': -6.456465, '\n': -9.301386, ' yes': -9.844187}
{' No': -0.0028601247, 'No': -5.932669, '\n': -9.242289, ' Yes': -9.710273, ' Nope': -10.299427}
{' No': -0.0023535916, 'No': -6.080282, '\n': -10.292434, ' Yes': -11.216233, ' Nope': -11.548866}
{' Yes': -0.0069715665, ' Sm': -5.291666, 'Yes': -6.9508038, ' No': -7.8281474, ' Spell': -8.078318}
{' Yes': -0.0019323576, 'Yes': -6.9362583, ' No': -7.2176723, ' Spell': -9.786459, ' YES': -10.185721}
{' No': -0.0024229607, 'No': -6.080561, '\n': -9.54848, ' Nope': -10.349144, ' Yes': -11.32943}
{' No': -0.0021863787, 'No': -6.1852765, '\n': -10.129881, ' Nope': -10.157881, ' Yes': -10.347797}
{' Yes': -0.22239517, ' No': -2.0761626, ' Your': -3.1743014, 'Yes': -4.5873394, ' Y': -5.2545886}
{' Yes': -0.23829794, ' No': -1.8654113, ' Your': -3.5003238, 'Yes': -4.770219, ' Y': -5.2117352}
{' No': -0.0033089023, 'No': -5.7387233, '\n': -10.360881, ' Nope': -10.549228, ' Yes': -10.912505}
{' No': -0.002960194, 'No': -5.919941, ' Yes': -8.57193, '\n': -9.883923, ' Nope': -10.848055}
{' No': -0.0050809877, 'No': -5.3798213, ' Yes': -8.16523, ' Nope': -8.745383, '\n': -11.974411}
{' No': -0.013924023, ' Yes': -4.447853, 'No': -6.313196, ' Nope': -8.717003, '\n': -9.782801}
{' No': -0.005490968, 'No': -5.2525096, ' Nope': -8.863074, ' Yes': -9.615684, '\n': -10.5982065}
{' No': -0.005285718, ' Yes': -5.814509, 'No': -6.193848, ' Nope': -8.893382, '\n': -9.88182}
{' Yes': -0.1216384, ' Devil': -2.4407244, ' No': -4.297431, 'Yes': -5.61881, ' Dev': -6.3175874}
{' Yes': -0.059625838, ' No': -3.1514952, ' Devil': -4.5665264, 'Yes': -5.759056, ' yes': -7.8447495}
{' No': -0.0031497807, 'No': -6.0738993, ' Yes': -7.3953676, ' Nope': -8.981827, '\n': -9.586021}
{' No': -0.0033975341, 'No': -5.7918015, ' Yes': -9.01906, '\n': -9.216167, ' Nope': -9.774727}
{' Yes': -0.0008242085, 'Yes': -7.179502, ' No': -10.393432, ' yes': -11.268577, ' Sure': -11.923044}
{' Yes': -0.0047334596, ' No': -5.5677576, 'Yes': -7.085948, ' yes': -10.344142, 'No': -11.605712}
{' No': -0.0024897635, 'No': -6.043194, '\n': -9.861983, ' Yes': -10.274637, ' Nope': -10.944597}
{' No': -0.0030650552, 'No': -5.8428164, '\n': -8.983848, ' Yes': -11.382037, ' Not': -11.653192}
{' Yes': -0.13412221, ' No': -2.371814, ' Major': -3.5782976, 'Yes': -6.063302, 'No': -7.2951875}
{' Yes': -0.60941815, ' No': -0.81831664, ' Major': -4.5661325, 'No': -5.957904, 'Yes': -6.7003775}
{' No': -0.0021497027, 'No': -6.1947255, ' Yes': -10.096544, '\n': -10.229301, ' Nope': -10.765282}
{' No': -0.0024694453, 'No': -6.0830774, '\n': -9.689523, ' Yes': -9.740703, ' Nope': -9.941178}
{' Yes': -0.039051063, ' No': -3.4590013, ' Worst': -5.520899, 'Yes': -6.1605716, ' Nope': -8.365781}
{' Yes': -0.013387096, ' No': -4.486314, 'Yes': -6.5640345, ' Worst': -7.747451, ' yes': -10.215121}
{' No': -0.0029123107, 'No': -5.8695674, '\n': -10.326833, ' Yes': -10.448777, ' Nope': -11.084716}
{' No': -0.0029063323, 'No': -5.8806047, '\n': -10.258788, ' Yes': -10.259276, ' Nope': -10.76937}
{' Yes': -0.115485616, ' No': -2.233577, 'Yes': -6.650292, 'No': -8.395234, ' Pound': -8.562131}
{' Yes': -0.046287496, ' No': -3.147123, 'Yes': -6.3572497, 'No': -8.839901, ' Pound': -8.94284}
{' No': -0.0030548335, 'No': -5.8404512, '\n': -9.029969, ' Yes': -11.54257, ' Nope': -12.342277}
{' No': -0.0028025627, 'No': -5.924294, '\n': -9.233124, ' Yes': -11.139871, ' Not': -12.228664}
{' Yes': -0.042147383, ' No': -3.2734592, 'Yes': -5.9853477, ' Nope': -8.345842, ' Dirty': -8.448124}
{' Yes': -0.016060216, ' No': -4.5693765, 'Yes': -5.93569, ' Dirty': -6.0760326, ' Dirt': -8.883873}
{' No': -0.005340967, 'No': -5.527565, ' Yes': -6.736267, ' Nope': -9.412956, '\n': -9.730879}
{' No': -0.0057464954, ' Yes': -5.781366, 'No': -5.9954963, ' Nope': -9.380236, '\n': -9.963694}
{' Yes': -0.0033059109, 'Yes': -5.8704743, ' No': -8.12402, ' yes': -9.761955, '\n': -10.0544}
{' Yes': -0.017571291, ' No': -4.216147, 'Yes': -6.1177735, '\n': -8.791557, ' Nope': -9.036872}
{' No': -0.0024838452, 'No': -6.0403347, ' Yes': -10.127665, '\n': -10.238577, ' Nope': -11.155836}
{' No': -0.0022777189, 'No': -6.1423454, '\n': -9.676872, ' Nope': -10.531406, ' Yes': -10.705225}
{' Yes': -0.029545702, ' No': -4.548315, 'Yes': -4.749897, 'rupt': -5.611929, ' Yep': -7.1383295}
{' Yes': -0.07120325, ' No': -3.0125408, 'Yes': -4.4979086, ' Nope': -6.690584, 'rupt': -6.826382}
{' No': -0.002120972, 'No': -6.2554126, '\n': -9.383036, ' Yes': -9.981949, ' Nope': -10.050751}
{' No': -0.0042198733, 'No': -5.5158715, '\n': -9.326052, ' Nope': -10.017788, ' Yes': -10.508667}
{' Yes': -0.095495544, ' No': -2.4364474, 'Yes': -6.2281723, ' Nope': -7.20076, ' Yep': -8.213209}
{' Yes': -0.060680486, ' No': -3.0073357, 'Yes': -5.5835266, ' Nope': -5.948355, ' Swamp': -6.950494}
{' No': -0.0063867066, ' Yes': -5.5882998, 'No': -5.9967675, ' Nope': -9.315668, '\n': -10.645918}
{' No': -0.01371752, ' Yes': -4.7021103, 'No': -5.5380473, ' Nope': -7.6134963, '\n': -10.242658}
{' Armor': -0.70871305, ' Yes': -1.0432906, ' No': -1.9187655, ' Armour': -5.7406645, 'Yes': -6.966358}
{' No': -0.39091787, ' Yes': -1.1582634, 'No': -5.4568415, ' Armor': -5.8587737, 'Yes': -6.960677}
{' No': -0.0024346123, 'No': -6.0727034, ' Yes': -10.035458, ' Nope': -10.121627, '\n': -10.273506}
{' No': -0.0035621375, 'No': -5.6982007, '\n': -9.329914, ' Yes': -9.482506, ' Nope': -10.698011}
{' No': -0.41913646, ' Yes': -1.0826744, 'No': -5.9858174, 'Yes': -7.1262093, ' Nope': -8.228548}
{' No': -0.046850752, ' Yes': -3.2190175, 'No': -5.9216576, ' Nope': -6.0865045, ' Ex': -7.776272}
{' No': -0.0068905386, 'No': -5.027171, '\n': -8.690896, ' Yes': -9.2165, ' Nope': -10.416061}
{' No': -0.002597266, 'No': -6.219354, ' Yes': -7.6247473, ' Nope': -9.376994, '\n': -11.137832}
{' Yes': -0.0052976413, ' No': -6.032918, 'Yes': -6.435235, ' Still': -6.9452596, ' yes': -9.231674}
{' Yes': -0.026881177, ' No': -3.7582424, ' Still': -6.3643045, 'Yes': -6.71044, 'No': -9.65343}
{' No': -0.0022890107, 'No': -6.1549277, '\n': -9.2214155, ' Yes': -10.04133, ' Not': -11.6003685}
{' No': -0.0032381602, 'No': -5.8894687, ' Yes': -8.305894, '\n': -9.028989, ' Nope': -9.585748}
{' Yes': -0.0026019858, 'Yes': -6.3908544, ' No': -7.509573, ' Hello': -8.173803, ' yes': -10.430422}
{' Yes': -0.0018796852, 'Yes': -6.6471143, ' No': -8.22604, ' Hello': -8.360255, '\n': -10.492375}
{' No': -0.005727192, 'No': -5.227115, ' Nope': -8.365666, '\n': -9.957951, ' Yes': -10.00057}
{' No': -0.0034855136, 'No': -5.7921453, ' Nope': -8.31151, ' Yes': -8.899656, '\n': -10.379911}
{' Yes': -0.014908171, 'Yes': -5.1199384, ' Sure': -5.435526, ' Purs': -6.3502407, ' Pur': -6.5739365}
{' Yes': -0.07079589, ' No': -2.8718152, 'Yes': -5.2132573, ' Sure': -5.8636975, ' Nope': -6.560511}
{' No': -0.002610473, 'No': -6.071206, '\n': -8.396678, ' Nope': -10.698625, ' Yes': -10.742513}
{' No': -0.0024565982, 'No': -6.168861, ' Yes': -8.382422, ' Nope': -9.513258, '\n': -10.112498}
{' No': -0.21060853, ' Yes': -1.7209159, 'No': -5.3321676, ' Actor': -5.679014, ' Not': -6.951574}
{' No': -0.13824607, ' Yes': -2.119987, 'No': -5.555405, ' Actor': -5.9049296, ' Not': -7.323466}
{' No': -0.0015980985, 'No': -6.557302, '\n': -9.40945, ' Yes': -10.039429, ' Nope': -10.107596}
{' No': -0.0021350074, 'No': -6.2401776, '\n': -9.370226, ' Yes': -9.708731, ' Nope': -10.694389}
{' Yes': -0.0018987342, 'Yes': -6.379088, ' No': -8.825228, ' yes': -10.85087, ' Sure': -11.341117}
{' Yes': -0.017590398, ' No': -4.205649, 'Yes': -6.2009244, ' Nope': -8.4915695, ' yes': -9.786369}
{' No': -0.003097463, 'No': -5.8157935, '\n': -9.340352, ' ': -11.458255, ' Nope': -11.821801}
{' No': -0.0024475749, 'No': -6.0826626, ' Yes': -9.515188, '\n': -9.843243, ' Nope': -10.661394}
{' No': -0.09749871, ' Yes': -2.4818501, ' Nope': -5.234732, 'No': -5.781903, 'Yes': -8.086628}
{' No': -0.03569695, ' Yes': -3.557868, 'No': -5.4989653, ' Nope': -6.1996884, 'Yes': -8.99994}
{' No': -0.0025119907, 'No': -6.0785885, ' Yes': -9.09301, '\n': -9.8105755, ' Nope': -10.243923}
{' No': -0.0028400405, 'No': -5.9580607, '\n': -8.445372, ' Yes': -11.151925, ' ': -11.457069}
