{' Yes': -0.13539301, ' No': -2.1033745, 'Yes': -5.6440215, 'No': -7.5718822, ' The': -8.168239}
{' No': -0.050384175, ' Yes': -3.18432, 'No': -5.319049, ' Not': -6.156234, ' The': -8.107369}
{' Yes': -0.4535025, ' No': -1.0251424, 'Yes': -5.768474, 'No': -6.0490465, ' The': -8.537742}
{' Yes': -0.050129514, ' No': -3.0853639, 'Yes': -5.9160047, ' The': -8.527237, 'No': -8.616251}
{' Yes': -0.3790489, ' No': -1.1710774, 'Yes': -5.8888063, 'No': -6.360834, ' Not': -7.9606867}
{' No': -0.15427239, ' Yes': -1.9965519, 'No': -5.106781, 'Yes': -7.13311, ' Not': -9.299272}
{' No': -0.008351852, 'No': -4.8067465, ' Unfortunately': -9.865315, ' Not': -10.107436, ' Yes': -10.606313}
{' No': -0.012000243, 'No': -5.0022573, ' Yes': -5.2889795, ' Not': -9.174981, 'Yes': -10.532796}
{' No': -0.16876803, ' Yes': -1.8790989, 'No': -6.456741, ' The': -7.9551144, ' Not': -8.521456}
{' No': -0.26652157, ' Yes': -1.4763663, 'No': -5.4740562, 'Yes': -7.162119, ' Not': -7.947279}
{' Yes': -0.0047817286, ' No': -5.688043, 'Yes': -6.619419, ' yes': -10.936694, ' The': -11.469488}
{' No': -0.67247003, ' Yes': -0.72264093, 'No': -6.121858, 'Yes': -6.6475487, ' The': -8.094492}
{' Yes': -0.1875312, ' No': -1.7824409, 'Yes': -6.2942452, 'No': -7.5771923, ' The': -8.162067}
{' Yes': -0.010105558, ' No': -4.851168, 'Yes': -6.20875, ' The': -8.866152, ' yes': -10.663809}
{' Yes': -0.0204467, 'Yes': -3.9043307, ' No': -9.612778, ' yes': -11.654269, ' ': -13.141402}
{' Yes': -0.08791446, ' No': -2.5141554, 'Yes': -5.9869957, 'No': -8.136358, ' The': -8.458375}
{' Yes': -0.0024805001, 'Yes': -6.042872, ' yes': -10.013244, ' The': -10.255962, ' ': -11.573156}
{' Yes': -0.061659038, ' No': -2.868267, 'Yes': -5.915745, 'No': -8.556267, ' yes': -10.339148}
{' Yes': -0.27442056, ' No': -1.4460323, 'Yes': -6.1695333, 'No': -6.513479, ' Not': -7.442009}
{' No': -0.014595377, ' Yes': -4.872273, 'No': -5.093233, ' Not': -8.349186, ' Unfortunately': -8.457115}
{' Yes': -0.0075638527, ' No': -5.360919, 'Yes': -6.088767, ' The': -7.8404245, ' Not': -9.330207}
{' No': -0.008564708, 'No': -5.489716, ' Yes': -5.5102468, ' Not': -8.295665, ' ': -10.370612}
{' False': -0.010579283, 'False': -4.971055, ' No': -5.6685076, 'No': -9.069098, ' ': -11.094968}
{' No': -0.012327978, 'No': -4.425021, ' Yes': -8.431464, ' Not': -11.037075, ' Unfortunately': -11.206442}
{' Yes': -0.20458926, ' No': -1.7065308, 'Yes': -6.2331605, 'No': -6.952918, ' The': -8.450778}
{' No': -0.040739022, ' Yes': -3.6352613, 'No': -4.334072, 'Yes': -8.496618, ' Not': -8.602715}
{' No': -0.005591121, 'No': -5.2167783, ' ': -9.882547, '\n': -9.950154, ' Not': -10.703328}
{' No': -0.009346234, 'No': -4.6826878, ' Unfortunately': -10.642232, ' ': -11.391158, ' Not': -11.810787}
{' No': -0.015558269, ' Yes': -4.642601, 'No': -5.310499, ' Not': -7.6615767, ' Unfortunately': -8.599636}
{' No': -0.1794664, ' Yes': -1.8286667, 'No': -6.087641, ' Unfortunately': -7.731451, ' Not': -7.7853165}
{' No': -0.074870564, ' Yes': -2.6798432, 'No': -5.808381, ' Not': -8.704129, 'Yes': -8.794324}
{' No': -0.051202685, ' Yes': -3.0839176, 'No': -5.6768284, ' The': -8.00362, 'Yes': -9.12386}
{' No': -0.6159066, ' Yes': -0.7846783, 'No': -6.201327, 'Yes': -6.792392, ' The': -8.38247}
{' Yes': -0.012830288, ' No': -4.4681063, 'Yes': -6.8081145, ' The': -9.490001, '\n': -10.60069}
{' No': -0.019135935, ' Yes': -4.28193, 'No': -5.37247, ' Not': -8.410665, ' Unfortunately': -9.075858}
{' No': -0.022291295, ' Yes': -4.031988, 'No': -5.73747, ' Unfortunately': -7.6940174, ' Not': -7.774591}
{' Yes': -0.0032476666, ' No': -6.3320265, 'Yes': -6.6121917, ' The': -9.8959875, ' yes': -10.351676}
{' No': -0.16020142, ' Yes': -1.9452469, 'No': -5.4581366, 'Yes': -7.3888445, ' Not': -9.483674}
{' Yes': -0.05832269, ' No': -2.9562852, ' The': -5.756714, 'Yes': -6.8559146, 'No': -9.384755}
{' Yes': -0.03544959, ' No': -3.423053, 'Yes': -6.5773273, ' The': -7.6552596, ' Unfortunately': -9.052853}
{' No': -0.0041873707, 'No': -5.520152, ' Yes': -9.452955, ' Not': -9.5376835, ' ': -11.246103}
{' No': -0.30936798, ' Yes': -1.3456153, 'No': -5.633838, 'Yes': -7.0336013, ' The': -7.812082}
{' Yes': -0.24503171, ' No': -1.5794585, ' Not': -6.0308843, 'Yes': -6.0551453, ' Unfortunately': -6.276037}
{' Yes': -0.0019176067, 'Yes': -6.6485105, ' No': -7.7297, ' yes': -9.988141, '\n': -10.337975}
{' Yes': -0.028334688, ' No': -3.699647, 'Yes': -5.8593955, ' The': -8.870496, 'No': -9.2116995}
{' Yes': -0.28781244, ' No': -1.3938917, 'Yes': -6.6554956, 'No': -7.4473805, ' Not': -9.913163}
{' Yes': -0.08017663, ' No': -2.600736, 'Yes': -6.222795, 'No': -8.096946, ' Not': -8.163337}
{' Yes': -0.0037073279, 'Yes': -6.243211, ' No': -6.422927, ' The': -9.784543, ' yes': -10.566384}
{' Yes': -0.09471404, ' No': -2.4226348, 'Yes': -6.6188307, 'No': -8.704516, ' The': -9.214183}
{' No': -0.57579124, ' Yes': -0.8353261, 'No': -6.28208, 'Yes': -6.6873994, ' The': -7.5997124}
{' No': -0.45777243, ' Yes': -1.0098546, 'No': -6.37485, 'Yes': -7.1563954, ' The': -8.08244}
{' No': -0.25643626, ' Yes': -1.5071286, 'No': -5.70843, 'Yes': -7.1870656, ' Unfortunately': -8.514878}
{' Yes': -0.6682824, ' No': -0.73424613, 'No': -5.6601663, 'Yes': -5.9264226, ' Not': -7.221694}
{' Yes': -0.013801942, ' No': -4.5595403, 'Yes': -5.829561, '\n': -9.012142, 'No': -9.995949}
{' No': -0.10002641, ' Yes': -2.4044755, 'No': -5.765975, ' Unfortunately': -7.370757, ' Not': -7.466769}
{' No': -0.10875271, ' Yes': -2.330043, 'No': -5.4501185, ' Not': -7.129106, 'Yes': -7.9450316}
{' Yes': -0.030750677, ' No': -3.5620403, 'Yes': -6.57271, ' The': -7.832042, 'No': -10.264343}
{' Yes': -0.08022855, ' No': -2.6645544, 'Yes': -5.005857, 'No': -7.7692347, ' The': -8.711534}
{' Yes': -0.14207579, ' No': -2.041484, 'Yes': -6.2076917, 'No': -7.8589616, ' Not': -9.219872}
{' No': -0.0052926685, 'No': -5.980705, ' Yes': -6.14463, ' Not': -7.5135508, ' The': -10.948726}
{' No': -0.014432698, ' Yes': -4.433662, 'No': -6.044994, 'Yes': -10.577501, ' Lion': -10.606433}
{' No': -0.14452617, ' Yes': -2.0358586, 'No': -5.669125, 'Yes': -7.8885365, ' The': -9.154524}
{' No': -0.3188786, ' Yes': -1.3238416, 'No': -5.68684, ' The': -6.531765, 'Yes': -7.0027046}
{' Yes': -0.3097639, ' No': -1.332055, 'Yes': -6.654132, 'No': -7.659913, ' The': -8.119031}
{' Yes': -0.0031897821, 'Yes': -5.8170094, ' The': -8.81165, ' No': -10.519013, ' yes': -11.11883}
{' Yes': -0.033886608, ' No': -3.4681993, 'Yes': -6.379429, ' The': -8.88032, ' Not': -9.009062}
{' Yes': -0.17343877, ' No': -1.8560294, 'Yes': -6.2041636, 'No': -7.3108516, ' Not': -9.076167}
{' No': -0.040215056, ' Yes': -3.4366572, 'No': -4.976015, 'Yes': -8.66268, ' Not': -9.88121}
{' Yes': -0.4576884, ' No': -1.01196, 'No': -6.3695273, 'Yes': -6.389001, ' The': -8.764698}
{' Yes': -0.0020847735, 'Yes': -6.8486953, ' No': -7.004533, ' The': -9.667737, ' yes': -10.546073}
{' No': -0.020259889, 'No': -4.1187987, ' Yes': -5.704433, ' Hate': -8.632747, 'Yes': -9.525031}
{' No': -0.26425886, ' Yes': -1.4827724, 'No': -5.6393065, 'Yes': -7.133348, ' Unfortunately': -7.8512506}
{' No': -0.007818406, ' Yes': -5.52096, 'No': -5.6092167, ' Not': -10.37344, ' Unfortunately': -10.530737}
{' Yes': -0.38295147, ' No': -1.1516529, 'Yes': -6.751153, 'No': -7.22072, ' The': -9.81788}
{' Yes': -0.0034584797, ' No': -6.3706455, 'Yes': -6.4414124, ' The': -9.269051, ' yes': -10.844753}
{' No': -0.29444578, ' Yes': -1.3799177, 'No': -5.860472, 'Yes': -7.6896143, ' Not': -9.519591}
{' No': -0.57719976, ' Yes': -0.8356971, 'No': -5.884649, 'Yes': -6.510057, ' Not': -8.051964}
{' Yes': -0.05287269, ' No': -2.9923544, 'Yes': -7.1035967, ' Bear': -8.297942, 'No': -9.107787}
{' Yes': -0.0029205014, 'Yes': -5.961418, ' No': -8.400978, ' The': -9.421966, ' yes': -11.374859}
{' No': -0.088041626, ' Yes': -2.531378, 'No': -5.5314274, 'Yes': -8.356659, ' Not': -8.689314}
{' Yes': -0.22550622, ' No': -1.6349834, 'Yes': -5.563126, 'No': -6.4851036, ' The': -6.9017563}
{' Yes': -0.058261283, ' No': -2.944301, 'Yes': -5.7306037, 'No': -8.153314, ' The': -8.627261}
{' No': -0.13931476, ' Yes': -2.0541155, 'No': -6.5452075, 'Yes': -8.588722, ' Not': -9.395672}
{' No': -0.15644272, ' Yes': -1.9577447, 'No': -5.8401103, 'Yes': -7.629989, ' Not': -8.736858}
{' No': -0.013925414, ' Yes': -4.503273, 'No': -5.9646225, ' The': -9.588957, ' Not': -9.982405}
{' No': -0.018496254, ' Yes': -4.692736, 'No': -4.764239, ' Not': -8.400806, ' Nope': -8.431778}
{' No': -0.024457827, ' Yes': -3.9529417, 'No': -5.374845, ' Not': -8.55143, 'Yes': -9.569126}
{' Yes': -0.011344426, ' No': -4.7887034, 'Yes': -5.908244, ' The': -8.974298, 'No': -10.31873}
{' No': -0.008343439, 'No': -5.255299, ' Yes': -5.790524, 'Yes': -11.049576, ' Not': -11.657945}
{' Yes': -0.60349536, ' No': -0.80278856, 'Yes': -5.9661164, 'No': -6.175076, ' Not': -8.665387}
{' No': -0.012329304, ' Yes': -4.660383, 'No': -5.944374, ' The': -9.712408, ' Unfortunately': -9.957779}
{' Yes': -0.025392724, ' No': -3.7897189, 'Yes': -6.1892962, ' The': -8.258251, 'No': -10.074648}
{' No': -0.34571046, ' Yes': -1.2439209, 'No': -5.991012, 'Yes': -6.8308654, ' Not': -8.748662}
{' Yes': -0.3186588, ' No': -1.3055419, 'Yes': -6.659811, 'No': -7.8260937, ' Not': -9.712299}
{' No': -0.022839671, ' Yes': -3.986756, 'No': -5.5781293, 'Yes': -9.3878145, ' Not': -9.680081}
{' No': -0.02198313, ' Yes': -4.0240526, 'No': -5.6613297, ' Not': -8.377485, 'Yes': -9.73698}
{' Yes': -0.006966826, ' No': -5.22873, 'Yes': -6.4914865, ' yes': -10.916144, ' The': -11.478228}
{' Yes': -0.3031377, ' No': -1.3508805, 'Yes': -6.6289473, ' The': -7.4892354, 'No': -7.6165247}
{' Yes': -0.02742215, ' No': -3.6935368, 'Yes': -6.2358227, 'No': -9.542555, ' The': -10.162162}
{' Yes': -0.06090224, ' No': -2.9041717, 'Yes': -5.5955796, 'No': -7.9473457, ' The': -9.048361}
{' Yes': -0.20658521, ' No': -1.6934645, 'Yes': -6.5946374, 'No': -7.30629, ' The': -8.078415}
{' No': -0.05487518, ' Yes': -2.970965, 'No': -6.2865243, ' Not': -9.050566, 'Yes': -9.423555}
{' No': -0.012633184, ' Yes': -4.689259, 'No': -5.8344088, ' Unfortunately': -8.363606, ' Not': -9.14662}
{' No': -0.025588501, 'No': -3.6793685, ' ': -11.278093, ' Not': -12.087702, ' Fool': -13.105419}
{' No': -0.12228314, ' Yes': -2.2291288, 'No': -5.3049536, ' The': -6.8108163, ' Not': -7.539568}
{' No': -0.032989446, ' Yes': -3.628021, 'No': -5.2080307, ' Not': -8.631383, 'Yes': -8.806907}
{' Yes': -0.039438132, ' No': -3.8024483, ' Dive': -4.308552, 'Yes': -5.9955363, ' The': -8.711863}
{' No': -0.009282945, 'No': -5.0256457, ' Yes': -5.9648623, ' Not': -10.205825, 'Yes': -10.5225315}
{' Yes': -0.0077046365, 'Yes': -4.92858, ' No': -8.1137295, ' The': -9.865314, ' Sure': -10.64469}
{' Yes': -0.0047228583, ' No': -6.026434, 'Yes': -6.1133556, ' yes': -10.580725, ' ': -10.978685}
{' Yes': -0.0042155036, 'Yes': -5.6526303, ' No': -7.385147, ' yes': -10.6490555, '\n': -11.245031}
{' Yes': -0.09581581, ' No': -2.4142246, 'Yes': -6.5337543, ' Bush': -8.977034, ' The': -9.028641}
{' No': -0.056197837, ' Yes': -2.9998412, 'No': -5.522186, ' Not': -7.5772467, 'Yes': -8.797915}
{' No': -0.1894608, ' Yes': -1.7997742, 'No': -5.7420807, ' Not': -5.7970653, 'Yes': -7.9594584}
{' No': -0.028099503, ' Yes': -3.875456, 'No': -5.0240097, ' The': -8.822568, 'Yes': -9.181217}
{' Yes': -0.52911305, ' No': -0.89797705, 'Yes': -6.091289, 'No': -6.805711, ' ': -9.987279}
{' Yes': -0.011579325, ' No': -4.693704, 'Yes': -6.1241546, ' The': -9.475167, 'No': -10.307729}
{' Yes': -0.09568377, ' No': -2.4371028, 'Yes': -5.831333, 'No': -7.65628, ' The': -8.300919}
{' No': -0.046564713, 'No': -3.14872, ' Not': -6.093341, ' Unfortunately': -8.226922, ' Nope': -10.994592}
{' No': -0.008636669, 'No': -5.4373436, ' Unfortunately': -6.144119, ' Yes': -6.639431, ' Not': -7.811243}
{' No': -0.020394137, ' Yes': -4.081408, 'No': -5.7895164, ' The': -9.504671, ' Unfortunately': -9.679987}
{' No': -0.009036797, ' Yes': -5.1984267, 'No': -5.7543592, ' Nope': -8.79098, ' Unfortunately': -10.038054}
{' No': -0.0050062854, 'No': -5.454114, ' Unfortunately': -7.376134, ' Not': -10.260505, ' The': -11.167494}
{' No': -0.0069742687, 'No': -5.0221186, ' Yes': -8.372342, ' Unfortunately': -10.066673, ' Not': -10.154282}
{' Yes': -0.0214351, ' No': -3.9753458, 'Yes': -6.0923934, 'No': -9.479555, ' The': -10.494402}
{' Yes': -0.5511354, ' No': -0.86848766, 'Yes': -6.456729, 'No': -6.4664907, ' The': -7.4261546}
{' No': -0.058882914, ' Yes': -3.0029402, 'No': -5.0101748, ' Not': -7.972403, 'Yes': -8.293945}
{' Yes': -0.59863526, ' No': -0.80745554, 'No': -6.2099266, 'Yes': -6.437397, ' The': -8.06333}
{' Yes': -0.01058627, ' No': -4.724974, 'Yes': -6.5200176, ' The': -9.270733, 'No': -10.551256}
{' Yes': -0.049302615, ' No': -3.0859559, 'Yes': -6.223138, 'No': -8.62214, ' The': -8.728686}
{' Yes': -0.0028252753, 'Yes': -6.140694, ' No': -7.36632, ' yes': -10.858544, ' ': -12.055927}
{' Yes': -0.0032906635, 'Yes': -5.770353, ' No': -8.962049, ' yes': -10.609416, ' YES': -12.317323}
{' No': -0.08741703, ' Yes': -2.5066006, 'No': -6.2746134, 'Yes': -8.575862, ' Not': -9.894551}
{' Yes': -0.57852507, ' No': -0.8297877, 'No': -6.5596876, 'Yes': -6.7031684, ' Not': -8.43929}
{' Yes': -0.13370912, ' No': -2.103514, 'Yes': -6.078632, 'No': -8.060025, ' The': -8.411051}
{' Yes': -0.08803174, ' No': -2.5252705, ' The': -6.3970065, 'Yes': -6.494192, ' Too': -7.6116614}
{' Yes': -0.4902699, ' No': -0.9588979, ' The': -6.417453, 'Yes': -7.0744276, 'No': -7.0787764}
{' Yes': -0.10864274, ' No': -2.3044357, 'Yes': -6.033394, 'No': -8.02586, ' The': -8.433722}
{' Yes': -0.4328999, ' No': -1.0526376, 'Yes': -6.7460313, 'No': -7.0175533, ' The': -9.0863}
{' Yes': -0.0032578914, 'Yes': -5.985424, ' No': -7.3842087, ' yes': -10.024361, '\n': -10.337403}
{' No': -0.18813957, ' Yes': -1.8009725, 'No': -5.2497544, 'Yes': -7.182918, ' Not': -9.161255}
{' Yes': -0.0741434, ' No': -2.7338092, 'Yes': -5.249478, 'No': -7.65737, ' The': -7.8599787}
{' No': -0.11079305, ' Yes': -2.282338, 'No': -6.3467207, ' Not': -7.786338, ' Door': -8.3490305}
{' No': -0.05085311, ' Yes': -3.7444696, ' Door': -3.853721, 'No': -5.5419607, ' ': -8.07014}
{' No': -0.013539879, ' Yes': -4.5770197, 'No': -5.8468943, 'Yes': -9.649573, ' Not': -9.693803}
{' No': -0.04102887, ' Yes': -3.2960985, 'No': -5.8839984, 'Yes': -8.5214405, ' ': -9.90152}
{' No': -0.59444517, ' Yes': -0.80997556, 'No': -6.4225245, 'Yes': -6.8410864, ' The': -8.398992}
{' No': -0.2812073, ' Yes': -1.4309531, 'No': -5.683213, 'Yes': -6.8489256, ' Not': -7.1037583}
{' Yes': -0.12647459, ' No': -2.1513102, 'Yes': -6.2854896, 'No': -8.014755, ' Not': -9.541782}
{' No': -0.4305814, ' Yes': -1.0601399, 'No': -6.164294, 'Yes': -7.1711097, ' The': -7.8171725}
{' Yes': -0.28368503, ' No': -1.4078687, 'Yes': -6.7009816, 'No': -7.521783, ' Not': -7.6168656}
{' Yes': -0.19158047, ' No': -1.758496, 'Yes': -6.8049684, ' Not': -7.6773953, 'No': -8.015121}
{' No': -0.14089046, ' Yes': -2.0838702, 'No': -5.4752483, ' Most': -6.2634254, 'Yes': -7.804462}
{' Yes': -0.17526475, ' No': -2.0656893, ' Most': -3.4548168, 'Yes': -6.4561214, 'No': -8.146011}
{' Yes': -0.2459474, ' No': -1.5379473, 'Yes': -6.346281, 'No': -7.0609, ' The': -7.9473615}
{' Yes': -0.012567452, ' No': -4.4696555, 'Yes': -6.9731383, ' yes': -9.983987, 'No': -11.133659}
{' No': -0.024894457, ' Yes': -3.8831706, 'No': -5.7655573, ' Unfortunately': -7.9152637, ' Not': -8.227881}
{' No': -0.56480664, ' Yes': -0.85408664, 'No': -5.780699, 'Yes': -6.2355633, ' The': -8.19866}
{' Yes': -0.08055184, ' No': -2.5879562, 'Yes': -6.733731, ' Not': -7.5538273, 'No': -8.571693}
{' Yes': -0.084611006, ' No': -2.5415945, 'Yes': -6.3676386, 'No': -8.25823, ' Not': -8.346526}
{' No': -0.0059420625, 'No': -5.3559976, ' Yes': -6.799511, ' Not': -10.007494, ' ': -11.058298}
{' No': -0.21828562, ' Yes': -1.6643571, 'No': -5.2198725, 'Yes': -7.127761, ' The': -8.169127}
{' No': -0.008137726, 'No': -4.9602747, ' Yes': -6.9265766, ' Not': -9.449063, ' ': -11.142438}
{' No': -0.0378957, ' Yes': -3.4796698, 'No': -5.2758927, ' Not': -6.9030857, 'Yes': -9.273106}
{' Yes': -0.15891162, ' No': -1.9511595, 'Yes': -5.5664697, 'No': -7.241986, ' The': -8.780491}
{' Yes': -0.0057261125, ' No': -5.721636, 'Yes': -6.061173, ' The': -9.902496, ' yes': -10.686655}
{' No': -0.2699105, ' Yes': -1.4717137, 'No': -5.571001, ' Not': -6.5957694, 'Yes': -7.198163}
{' Yes': -0.5174362, ' No': -0.9153339, 'Yes': -6.395993, 'No': -6.5919156, ' Not': -8.148086}
{' No': -0.017177675, ' Yes': -4.1513953, 'No': -6.7033653, 'Yes': -10.600231, ' The': -11.336508}
{' Yes': -0.102636635, ' No': -2.346836, 'Yes': -6.5674424, 'No': -8.528006, ' The': -8.876713}
{' Yes': -0.0047251354, 'Yes': -5.6656823, ' No': -6.712336, ' yes': -11.160112, 'No': -11.825791}
{' Yes': -0.046493713, ' No': -3.1837542, 'Yes': -5.610861, 'No': -8.300749, ' The': -10.077164}
{' No': -0.0055501238, 'No': -5.5023246, ' Yes': -6.6795464, ' Not': -9.057307, ' The': -10.280536}
{' No': -0.007150627, 'No': -5.0924244, ' Yes': -6.9738503, ' Not': -11.08223, ' ': -11.455243}
{' No': -0.030838331, ' Yes': -3.6076164, 'No': -5.8111877, 'Yes': -9.467651, ' Not': -9.533344}
{' No': -0.010093755, 'No': -4.8385315, ' Yes': -6.211469, ' Not': -9.649605, '\n': -10.754933}
{' No': -0.021541065, ' Yes': -4.0991335, 'No': -5.453504, ' Unfortunately': -8.886128, ' Not': -9.035674}
{' No': -0.047348764, ' Yes': -3.217171, 'No': -5.19463, ' Not': -8.377138, 'Yes': -8.813524}
{' No': -0.045043327, ' Yes': -3.2270958, 'No': -5.504115, 'Yes': -8.570954, ' The': -10.238952}
{' No': -0.3325706, ' Yes': -1.301603, 'No': -5.070619, 'Yes': -6.3942003, ' Unfortunately': -6.496627}
{' Yes': -0.012219666, ' No': -4.611348, 'Yes': -6.1779065, ' The': -10.082612, 'No': -10.457061}
{' Yes': -0.008754034, ' No': -4.918769, 'Yes': -6.8076506, ' The': -8.337561, ' yes': -10.894037}
{' Yes': -0.01124255, ' No': -4.675667, 'Yes': -6.5471463, ' The': -8.045134, ' yes': -9.8885975}
{' Yes': -0.0474822, ' No': -3.1429946, 'Yes': -5.8683643, 'No': -8.554946, ' yes': -9.551722}
{' No': -0.16106892, ' Yes': -1.9638165, 'No': -4.982915, 'Yes': -6.69617, ' The': -8.700044}
{' No': -0.33776128, ' Yes': -1.2708361, 'No': -5.49782, 'Yes': -6.4587936, ' The': -8.918149}
{' No': -0.019420194, 'No': -3.9615092, ' Yes': -9.0128145, ' ': -10.48504, ' Unfortunately': -10.882497}
{' No': -0.046916466, ' Yes': -3.3367627, 'No': -4.6228347, 'Yes': -8.432855, ' The': -9.249068}
{' No': -0.08664129, 'No': -2.601423, ' Yes': -4.8239117, 'Yes': -7.5609293, ' ': -8.864305}
{' No': -0.035863746, ' Yes': -3.6254668, 'No': -4.81978, 'Yes': -8.523132, ' Not': -8.778737}
{' No': -0.021443993, 'No': -4.0788836, ' Yes': -5.7173166, ' Unfortunately': -7.4327345, ' Not': -8.368358}
{' No': -0.39251336, ' Yes': -1.1658002, 'No': -4.6179066, 'Yes': -5.9449534, ' The': -8.471716}
{' No': -0.14577071, ' Yes': -2.1940112, 'No': -3.8378139, 'Yes': -6.034217, ' ': -9.029201}
{' No': -0.01798915, ' Yes': -4.725142, 'No': -4.742299, 'Yes': -9.720559, ' The': -9.825897}
{' Yes': -0.39566436, ' No': -1.1411229, 'Yes': -5.607767, 'No': -5.8158793, ' The': -8.108482}
{' No': -0.18728198, ' Yes': -1.8097395, 'No': -5.1541247, 'Yes': -7.213067, ' The': -8.132037}
{' No': -0.09889893, 'No': -2.8766167, ' Yes': -3.3507662, 'Yes': -6.370471, '\n': -8.238227}
{' No': -0.03323472, 'No': -3.8313286, ' Yes': -4.533828, 'Yes': -8.821122, '\n': -9.9834585}
{' No': -0.17412908, ' Yes': -1.8822914, 'No': -5.0171103, 'Yes': -7.286592, ' The': -9.075547}
{' No': -0.16320236, 'No': -1.9173509, ' Impossible': -6.545965, ' Un': -7.7198467, ' Not': -7.9264393}
{' No': -0.08821348, ' Yes': -2.519589, 'No': -5.648989, 'Yes': -8.113951, ' ': -9.83684}
{' No': -0.015258464, 'No': -4.357345, ' Yes': -6.4489264, ' Not': -7.546361, ' The': -9.579993}
{' No': -0.017082663, 'No': -4.7762628, ' Yes': -4.8005795, ' Not': -9.249311, 'Yes': -9.715732}
{' No': -0.112093836, ' Yes': -2.299462, 'No': -5.341647, 'Yes': -7.6442933, ' The': -8.858101}
{' No': -0.023299085, ' Yes': -4.2283254, 'No': -4.832188, ' Not': -8.852785, 'Yes': -9.191159}
{' No': -0.033849858, 'No': -4.050108, ' Yes': -4.181408, 'Yes': -8.0588, ' ': -9.24294}
{' No': -0.020924496, 'No': -3.8892581, ' Unfortunately': -9.638543, ' Yes': -9.7130995, ' Not': -10.011502}
{' No': -0.019735716, 'No': -3.9405138, ' Yes': -10.00178, ' ': -10.306063, ' Not': -11.993005}
{' No': -0.019084234, ' Yes': -4.396537, 'No': -5.192931, ' Unfortunately': -7.4637294, ' The': -8.621488}
{' No': -0.02924671, 'No': -3.951682, ' Yes': -4.676898, 'Yes': -9.02646, ' ': -9.727139}
{' Yes': -0.05836484, ' No': -2.9682868, 'Yes': -5.3714957, 'No': -7.6073666, ' The': -9.79089}
{' No': -0.041240104, ' Yes': -3.4162114, 'No': -4.956769, 'Yes': -8.571148, ' The': -8.838352}
{' No': -0.035538644, ' Yes': -3.4650602, 'No': -5.6882563, 'Yes': -8.992919, ' The': -10.083247}
{' No': -0.034917336, ' Yes': -3.562629, 'No': -5.197849, 'Yes': -8.895021, ' The': -9.142957}
{' Yes': -0.14179264, 'Yes': -2.0536063, ' No': -5.700007, 'No': -7.6790195, '\n': -10.499981}
{' Yes': -0.4151916, ' No': -1.1019535, 'Yes': -5.460043, 'No': -5.9322944, ' The': -8.306161}
{' Yes': -0.013087998, 'Yes': -4.9934325, ' No': -5.1430564, ' The': -9.128268, ' yes': -9.249487}
{' No': -0.24421878, ' Yes': -1.5855465, 'No': -4.661772, 'Yes': -6.093694, ' ': -10.151981}
{' No': -0.019922856, 'No': -4.4660916, ' Yes': -4.8263993, ' ': -9.636177, ' Not': -9.856367}
{' No': -0.019099118, 'No': -4.117537, ' Yes': -6.1477532, ' Not': -8.924807, ' Unfortunately': -9.0605345}
{' Yes': -0.6473983, ' No': -0.7515738, 'No': -6.0383987, 'Yes': -6.3534355, ' The': -7.5322704}
{' No': -0.09923358, ' Yes': -2.6967885, 'No': -3.679035, 'Yes': -6.8035235, ' The': -8.260268}
