{' Yes': -0.0030951896, 'Yes': -5.8984904, ' No': -8.919969, ' yes': -9.2945795, ' A': -9.588872}
{' No': -0.45909327, ' Yes': -1.6825143, '\n': -2.0877345, 'No': -3.5944064, ' ': -4.552435}
{' Yes': -0.003539828, 'Yes': -6.00493, ' ': -8.027682, ' yes': -8.113552, ' No': -8.557986}
{' Yes': -0.006384906, 'Yes': -5.798638, ' No': -6.37686, ' A': -6.939753, ' ': -8.08666}
{' Yes': -0.0027967638, 'Yes': -6.196272, ' ': -8.55761, '\n': -8.711262, ' yes': -8.736958}
{' Yes': -0.01564357, ' No': -4.6136394, 'Yes': -5.547904, ' S': -6.7969966, ' yes': -8.58199}
{' No': -0.5068902, ' Yes': -1.8066394, 'No': -2.0959826, '\n': -3.2613628, ' A': -3.440333}
{' No': -0.4973137, ' Yes': -1.6576569, 'No': -2.2979195, '\n': -3.1834958, ' A': -3.7980833}
{' Yes': -0.18199287, 'Yes': -2.4617188, '\n': -3.7913275, ' No': -3.89108, ' Sn': -4.371543}
{' No': -0.81568396, ' Yes': -1.1885821, 'No': -2.576857, ' S': -2.6476865, 'Yes': -3.2715878}
{' Yes': -0.01911151, 'Yes': -4.633325, ' yes': -5.320699, ' ': -6.347894, '\n': -6.836856}
{' Yes': -0.016137324, 'Yes': -4.6024256, ' yes': -5.68988, ' ': -7.0468473, ' A': -7.239934}
{' Yes': -0.025632288, 'Yes': -4.198608, ' yes': -5.0836234, ' ': -6.326136, '\n': -6.4943566}
{' Yes': -0.026526237, 'Yes': -4.06074, ' yes': -5.309073, ' S': -6.6152363, ' ': -7.157023}
{' Yes': -0.023945073, 'Yes': -3.9877625, ' No': -6.1884856, ' yes': -6.7215953, ' A': -6.83666}
{' Yes': -0.056742642, 'Yes': -3.6441202, ' No': -4.014409, ' A': -5.0362196, 'No': -6.494822}
{' Yes': -0.0495451, 'Yes': -3.2657697, ' No': -5.4025207, ' yes': -5.761678, 'No': -7.331472}
{' Yes': -0.16207772, ' No': -2.5345373, 'Yes': -3.0718143, 'No': -4.2613683, ' yes': -5.729901}
{' No': -0.23979716, ' Yes': -2.1504874, 'No': -2.4147792, 'Yes': -5.1236296, ' ': -7.284972}
{' No': -0.6120883, ' Yes': -0.95697904, 'No': -2.9054747, 'Yes': -4.0878134, ' ': -6.7510123}
{' Yes': -0.104489475, 'Yes': -2.7723036, ' No': -3.5108445, 'No': -5.230237, ' yes': -7.264941}
{' Yes': -0.6366596, ' No': -1.0149556, 'No': -2.6537817, 'Yes': -3.365614, ' Sn': -6.411619}
{' Yes': -0.4655736, ' No': -1.1618761, 'No': -3.4935696, 'Yes': -3.7012835, ' yes': -6.3071966}
{' No': -0.5644116, ' Yes': -1.0331731, 'No': -2.8205016, 'Yes': -4.3176746, ' ': -6.8770432}
{' Yes': -0.20513448, 'Yes': -1.9972715, ' No': -3.3991308, 'No': -4.285279, ' yes': -6.8663816}
{' Yes': -0.4092332, ' No': -1.498249, 'Yes': -2.7978954, 'No': -3.0258293, ' Sn': -6.8393126}
{' Yes': -0.0896981, ' No': -2.5773213, 'Yes': -5.0025706, 'No': -6.8316393, ' yes': -7.0214243}
{' Yes': -0.13585548, ' No': -2.185895, 'Yes': -4.649188, 'No': -5.952648, ' yes': -7.015621}
{' Yes': -0.022885773, 'Yes': -3.9050093, ' No': -6.330272, ' yes': -7.7921576, 'No': -9.232041}
{' Yes': -0.6683236, ' No': -0.78355414, 'No': -3.9559538, 'Yes': -4.5495796, ' Sn': -8.370275}
{' No': -0.32635987, 'No': -1.2989112, ' Yes': -6.3727274, ' A': -6.4747224, ' Sn': -7.5762343}
{' No': -0.26333258, 'No': -1.4759543, '\n': -6.6313953, ' ': -7.216795, ' Yes': -8.625164}
{' Yes': -1.1561457, 'No': -1.2589879, ' No': -1.2687384, 'Yes': -2.336684, ' Sn': -4.5074487}
{' No': -0.5440788, 'No': -0.9357814, ' Yes': -4.049429, 'Yes': -5.4538746, ' Sn': -6.315888}
{' Yes': -0.59650445, ' No': -1.106169, 'No': -3.1422427, 'Yes': -3.4139788, '\n': -4.308552}
{' Yes': -0.4855715, ' No': -1.2442023, 'No': -3.2459323, 'Yes': -3.4573255, ' A': -4.992394}
{' Yes': -0.14551821, 'Yes': -2.672652, ' No': -3.1767297, 'No': -4.685168, ' Sn': -4.751267}
{' No': -0.5680881, ' Yes': -1.3552184, 'No': -2.1362472, ' Sn': -3.6466098, 'Yes': -3.6791832}
{' Yes': -0.10577069, ' yes': -2.3561883, 'Yes': -5.664686, ' ': -6.685545, 'yes': -7.5025363}
{' Yes': -0.034607843, ' yes': -3.4796302, 'Yes': -6.0998197, ' ': -7.466252, '\n': -8.847843}
{' Yes': -0.045415193, ' yes': -3.1735585, 'Yes': -6.2655725, ' ': -8.003323, '\n': -8.954341}
{' Yes': -0.02726699, ' yes': -3.7483456, 'Yes': -6.092915, ' S': -7.9582105, ' ': -8.371856}
{' Yes': -0.048306353, 'Yes': -3.8325088, ' No': -4.2986073, ' yes': -4.8467646, ' ': -6.5469513}
{' Yes': -0.069367796, ' No': -3.463338, 'Yes': -3.8298066, ' yes': -4.950305, '\n': -5.8330846}
{' Yes': -0.027775511, 'Yes': -3.9101205, ' yes': -5.0364404, '\n': -8.005569, ' ': -8.360324}
{' Yes': -0.035406608, 'Yes': -3.8426614, ' yes': -5.1394978, ' No': -5.1409574, '\n': -7.455755}
{' Yes': -0.2526359, ' No': -2.53327, '\n': -2.5705564, 'Yes': -3.3142223, ' ': -4.3631325}
{' Yes': -0.36279893, ' No': -1.9367869, '\n': -2.3814814, 'Yes': -3.3466187, ' ': -4.329872}
{' Yes': -0.1393486, '\n': -2.894157, 'Yes': -3.1781192, ' No': -4.202951, ' yes': -4.4831576}
{' Yes': -0.262596, '\n': -2.3803022, ' No': -2.828058, 'Yes': -2.9747806, ' S': -4.8902774}
{' Yes': -0.008352514, 'Yes': -5.343941, ' yes': -6.2076564, ' ': -7.469017, ' No': -7.5995307}
{' Yes': -0.007403634, 'Yes': -5.514827, ' yes': -6.3578277, ' No': -7.016105, ' ': -8.235152}
{' Yes': -0.007975734, 'Yes': -5.2576323, ' yes': -6.3952355, ' No': -7.7551465, '\n': -8.2527}
{' Yes': -0.026176501, ' No': -4.1918106, 'Yes': -4.7779956, ' yes': -6.8189964, ' Sn': -7.688337}
{' No': -0.23523666, 'No': -1.8982233, '\n': -3.5138447, ' Yes': -4.023103, ' ': -5.140445}
{' No': -0.3456039, 'No': -1.7904071, '\n': -2.7525842, ' Yes': -3.1252954, 'Yes': -4.9468937}
{' Yes': -0.20087786, 'Yes': -2.2482696, ' yes': -3.6747644, '\n': -3.95791, ' No': -4.0373015}
{' No': -0.39436397, ' Yes': -2.0415273, 'No': -2.0509973, '\n': -3.4099736, 'Yes': -4.1583657}
{' Yes': -0.19805336, ' yes': -1.7835217, 'Yes': -4.808527, 'yes': -6.5953603, '\n': -6.886035}
{' Yes': -0.1162739, ' yes': -2.3127747, 'Yes': -4.814501, '\n': -6.8739867, 'yes': -7.0952296}
{' Yes': -0.189493, ' yes': -1.8468606, 'Yes': -4.4597983, 'yes': -6.331562, ' ': -7.326642}
{' Yes': -0.10887705, ' yes': -2.4216936, 'Yes': -4.4549866, '\n': -7.035487, 'yes': -7.127113}
{' Yes': -0.009245825, 'Yes': -5.569072, '\n': -5.8515587, ' yes': -6.7137203, ' ': -6.8890195}
{' Yes': -0.0059022517, 'Yes': -5.859387, ' yes': -6.934677, '\n': -6.981062, ' ': -7.556521}
{' Yes': -0.011522646, '\n': -5.048279, 'Yes': -5.7675343, ' ': -6.8363137, ' yes': -7.622256}
{' Yes': -0.02067559, ' No': -4.52433, '\n': -5.4183693, 'Yes': -5.8878093, ' ': -7.0820746}
{' Yes': -0.14441158, '\n': -2.3133607, 'Yes': -4.139076, ' ': -4.162409, ' A': -6.610006}
{' Yes': -0.210025, ' No': -2.5684006, '\n': -2.572551, 'Yes': -4.2811728, ' ': -4.60728}
{' Yes': -0.15470241, '\n': -2.3010361, 'Yes': -3.9661608, ' No': -4.4832873, ' ': -4.7905054}
{' Yes': -0.31079587, '\n': -2.0073442, ' No': -2.440095, 'Yes': -4.0386457, ' Sn': -4.395833}
{' Yes': -0.18280835, '\n': -2.4433577, ' No': -3.622095, ' ': -3.9580786, 'Yes': -4.1287255}
{' Yes': -0.35968286, ' No': -2.085818, '\n': -2.2130992, ' A': -3.602387, ' ': -3.977614}
{' Yes': -0.5233187, '\n': -1.6587805, ' No': -1.8504556, ' ': -3.8039584, ' Sn': -3.9965947}
{' No': -0.47389838, ' Yes': -1.604239, '\n': -2.1785111, 'No': -4.004158, ' Sn': -4.0997167}
{' Yes': -0.016962742, '\n': -5.023007, ' ': -5.4023004, 'Yes': -5.7207127, ' A': -6.855438}
{' Yes': -0.023596853, '\n': -5.0019293, ' No': -5.3050895, ' ': -5.5054827, ' A': -5.5180845}
{' Yes': -0.04655141, '\n': -3.5231004, ' ': -4.802262, 'Yes': -5.2173543, ' No': -6.402371}
{' Yes': -0.08890275, ' No': -3.3237617, '\n': -3.5080347, ' Sn': -4.927884, 'Yes': -5.141761}
{' No': -0.4311342, ' Yes': -1.44415, '\n': -2.9900215, 'No': -3.5570571, ' A': -4.2221518}
{' No': -0.083132215, 'No': -3.17552, ' Yes': -3.8952105, '\n': -4.752926, ' A': -5.3027234}
{' Yes': -0.26964682, ' No': -1.7620307, '\n': -3.6157923, 'Yes': -4.034604, ' ': -4.7839975}
{' No': -0.12401639, ' Yes': -2.8727956, 'No': -3.4712908, ' Sn': -4.549992, '\n': -4.5957603}
{' Yes': -0.06143698, '\n': -3.7168264, 'Yes': -4.2867084, ' ': -4.3039694, ' yes': -5.1363688}
{' Yes': -0.032056723, 'Yes': -4.603239, '\n': -5.021391, ' yes': -5.152504, ' ': -5.4952674}
{' Yes': -0.031598575, 'Yes': -4.119655, '\n': -5.0808425, ' yes': -5.349221, ' ': -5.6969595}
{' Yes': -0.032203518, 'Yes': -4.366409, ' yes': -4.9995537, '\n': -5.458875, ' No': -5.7147975}
{' No': -0.013105331, 'No': -4.3649197, ' A': -8.515555, ' ': -10.217544, ' Generally': -10.446861}
{' No': -0.025309335, 'No': -3.7443585, ' A': -7.355786, ' Generally': -7.830443, ' Yes': -8.981536}
{' No': -0.017298475, 'No': -4.0814404, ' Sn': -9.377495, '\n': -9.509486, ' ': -9.9604845}
{' No': -0.019328672, 'No': -3.9900448, ' S': -8.466224, ' Generally': -8.853801, ' Sn': -9.09367}
{' No': -0.04010957, 'No': -3.2573678, ' Generally': -8.072192, ' ': -8.45381, ' A': -9.214764}
{' No': -0.056895632, 'No': -2.9102585, ' Generally': -7.758422, ' ': -8.857859, ' A': -8.915312}
{' No': -0.033560302, 'No': -3.430981, ' ': -8.263687, ' Sn': -9.0933075, ' Generally': -9.518431}
{' No': -0.057806615, 'No': -2.8964543, ' Generally': -8.08919, ' ': -8.673636, ' S': -9.207965}
{' No': -0.05987052, 'No': -2.88782, '\n': -6.681488, ' ': -7.172722, ' A': -8.593861}
{' No': -0.057132196, 'No': -2.9413505, '\n': -6.5324793, ' ': -7.17047, ' A': -8.446357}
{' No': -0.07272709, 'No': -2.7639596, '\n': -5.3761954, ' ': -6.5230346, ' Sn': -7.4387274}
{' No': -0.06212054, 'No': -2.8693943, '\n': -6.242859, ' ': -7.1544757, ' Sn': -7.885696}
{' No': -0.017207209, 'No': -4.0937014, ' A': -8.169708, ' ': -10.066932, ' Generally': -10.369855}
{' No': -0.024662891, 'No': -3.744759, ' A': -7.459937, ' Generally': -9.464201, ' ': -10.471736}
{' No': -0.020517455, 'No': -3.9089544, ' ': -9.412298, ' Sn': -9.426881, '\n': -10.329304}
{' No': -0.029849635, 'No': -3.5347915, ' Sn': -9.414941, ' Generally': -9.925599, ' S': -10.098732}
{' No': -0.09791808, 'No': -2.4281642, '\n': -5.8562684, ' ': -6.6359496, ' A': -8.170119}
{' No': -0.099962965, 'No': -2.4229248, '\n': -5.6734357, ' ': -6.5935607, ' Generally': -7.8063393}
{' No': -0.09536997, 'No': -2.4968667, '\n': -5.377707, ' ': -6.0810823, ' Sn': -7.3291087}
{' No': -0.10784182, 'No': -2.3112395, '\n': -7.0623245, ' ': -7.088046, ' It': -8.297194}
{' No': -0.095458426, 'No': -2.4550872, ' ': -6.561941, '\n': -6.571109, ' Generally': -6.8249893}
{' No': -0.09873972, 'No': -2.4008942, ' Generally': -6.683544, ' A': -7.3148136, ' ': -7.484073}
{' No': -0.08334559, 'No': -2.5727234, ' ': -6.7649918, '\n': -7.1274357, ' Generally': -7.5512676}
{' No': -0.0804824, 'No': -2.5799122, ' ': -7.7441754, ' Sn': -8.234613, ' Generally': -8.381263}
{' No': -0.004901517, 'No': -5.4641833, ' ': -7.9501624, '\n': -8.897876, ' A': -9.411397}
{' No': -0.0044892053, 'No': -5.4866858, ' ': -8.598926, '\n': -9.307621, ' A': -10.500243}
{' No': -0.008768584, 'No': -5.0127983, '\n': -6.504788, ' ': -7.7114844, ' Sn': -9.832165}
{' No': -0.005457285, 'No': -5.320307, '\n': -8.440779, ' S': -8.640717, ' ': -8.982552}
{' No': -0.06482138, 'No': -2.9233282, '\n': -5.207798, ' ': -5.8859425, ' A': -7.4848375}
{' No': -0.054644875, 'No': -3.01094, '\n': -6.2213526, ' ': -6.771382, ' A': -7.3687196}
{' No': -0.044193156, 'No': -3.2645128, '\n': -5.7099032, ' ': -6.5587444, ' Sn': -8.94995}
{' No': -0.049407564, 'No': -3.0732017, '\n': -7.147714, ' ': -7.2762237, ' S': -8.511089}
{' No': -0.100315504, 'No': -3.1302397, '\n': -3.1343427, ' ': -4.985016, ' A': -7.0351944}
{' No': -0.10343733, 'No': -3.0466363, '\n': -3.1301324, ' ': -5.2688994, ' A': -6.487004}
{' No': -0.17982486, '\n': -2.1330986, 'No': -3.3505208, ' ': -4.5935364, ' S': -8.630208}
{' No': -0.08541076, 'No': -3.2089725, '\n': -3.2712321, ' ': -5.873697, ' S': -8.423543}
{' No': -0.008172219, 'No': -4.9215593, ' ': -7.6204996, ' A': -8.265919, '\n': -9.570621}
{' No': -0.010706816, 'No': -4.5879254, ' ': -8.384095, ' A': -8.548863, '\n': -10.566831}
{' No': -0.007115026, 'No': -5.038424, ' ': -8.110472, '\n': -8.426077, ' Sn': -9.746994}
{' No': -0.013196647, 'No': -4.35897, ' S': -8.756528, ' ': -9.374373, '\n': -10.433635}
{' No': -0.17898154, 'No': -1.9377267, '\n': -4.442699, ' ': -5.1663394, ' A': -6.460103}
{' No': -0.15754092, 'No': -2.0619311, '\n': -4.421148, ' ': -5.458421, ' A': -6.354525}
{' No': -0.13372302, 'No': -2.2708595, '\n': -4.209826, ' ': -5.1418386, ' Sn': -8.225467}
{' No': -0.13686314, 'No': -2.161697, '\n': -4.859924, ' ': -5.722028, ' S': -7.198124}
{' No': -0.03644596, 'No': -3.5021842, ' ': -6.0065346, ' A': -6.5980434, '\n': -6.6744747}
{' No': -0.032473963, 'No': -3.5720398, ' A': -6.446028, ' ': -6.610015, '\n': -7.368735}
{' No': -0.034500737, 'No': -3.5798037, ' ': -5.822296, '\n': -6.0969896, ' Sn': -8.165957}
{' No': -0.04070283, 'No': -3.282568, ' ': -7.050251, '\n': -7.591781, ' S': -7.9074345}
{' No': -0.06167019, 'No': -2.842428, ' A': -7.229756, ' ': -7.9618382, '\n': -9.10093}
{' No': -0.09427707, 'No': -2.4399323, ' A': -6.4033895, ' ': -7.727407, '\n': -8.622341}
{' No': -0.12011966, 'No': -2.1952004, '\n': -7.3701444, ' ': -7.6102996, ' no': -8.707604}
{' No': -0.155813, 'No': -1.9526821, '\n': -7.3268657, ' ': -7.4767966, ' S': -8.274312}
{' No': -0.13819571, 'No': -2.0511959, ' ': -8.439945, ' no': -9.067381, '\n': -9.794988}
{' No': -0.12158475, 'No': -2.170081, ' ': -8.708963, ' no': -9.762554, 'no': -10.421845}
{' No': -0.15233108, 'No': -1.9584606, ' ': -9.252476, ' Sn': -10.026473, ' NO': -11.16287}
{' No': -0.19004117, 'No': -1.7557646, ' ': -9.460934, ' Sn': -9.65661, ' Generally': -10.429501}
{' No': -0.09932278, 'No': -2.3787646, '\n': -6.93741, ' ': -7.503988, ' no': -8.618735}
{' No': -0.09531149, 'No': -2.4105964, '\n': -7.5733404, ' ': -7.865317, ' no': -9.46206}
{' No': -0.24802168, 'No': -1.5213027, '\n': -7.8236737, ' ': -7.9191213, ' Sn': -8.677247}
{' No': -0.2405278, 'No': -1.5472466, ' Sn': -8.470375, '\n': -8.470579, ' ': -8.662387}
{' No': -0.014606808, 'No': -4.258827, ' ': -8.347933, ' no': -9.7998, ' NO': -11.074695}
{' No': -0.034475375, 'No': -3.3964803, ' ': -8.573233, ' A': -9.261657, ' no': -10.18839}
{' No': -0.05877918, 'No': -2.8661406, ' ': -9.210939, ' no': -10.968748, 'no': -11.578999}
{' No': -0.03612153, 'No': -3.3422909, ' ': -9.868023, ' no': -11.031734, ' S': -11.30487}
{' No': -0.32936004, 'No': -1.2762194, '\n': -7.3995967, ' ': -7.636865, ' A': -8.946488}
{' No': -0.2641039, 'No': -1.4718256, '\n': -6.364098, ' ': -7.5324783, ' A': -9.596037}
{' No': -0.5328079, 'No': -0.8898521, '\n': -6.8886194, ' ': -7.5123415, ' Sn': -8.084882}
{' No': -0.49127692, 'No': -0.9527064, '\n': -7.2628493, ' ': -7.855106, ' Sn': -8.16351}
{' No': -0.12026531, 'No': -2.2594311, '\n': -5.146108, ' A': -6.8147187, ' ': -7.0082445}
{' No': -0.16232519, 'No': -1.9213507, '\n': -6.451639, ' A': -7.213263, ' ': -7.64506}
{' No': -0.10739837, 'No': -2.3016331, ' Sn': -7.150456, '\n': -7.536333, ' ': -8.370809}
{' No': -0.17641065, 'No': -1.8325386, ' Sn': -7.582928, '\n': -7.602045, ' ': -8.464523}
{' No': -0.01109048, ' no': -5.273477, 'No': -5.658526, ' ': -6.15833, '\n': -8.760127}
{' No': -0.0039417534, 'No': -6.2110276, ' ': -6.987523, ' no': -7.12528, '\n': -9.001586}
{' No': -0.0029796842, 'No': -6.3853874, ' no': -7.4743004, ' ': -7.582093, '\n': -8.942072}
{' No': -0.002911953, 'No': -6.1456237, ' ': -8.460155, ' no': -8.669942, ' S': -8.811603}
{' No': -0.06337683, 'No': -2.8420439, ' ': -6.7332063, '\n': -6.99613, ' no': -7.2293777}
{' No': -0.060877796, 'No': -2.8713498, '\n': -6.660054, ' ': -7.1111817, ' no': -8.494273}
{' No': -0.03978522, 'No': -3.2973497, '\n': -6.846645, ' ': -7.369629, ' no': -8.213223}
{' No': -0.05528719, 'No': -2.9564824, '\n': -6.976708, ' ': -7.474005, ' no': -8.55918}
{' No': -0.086310685, 'No': -2.9082367, '\n': -3.7958748, ' ': -5.3930063, ' no': -7.442319}
{' No': -0.11930095, 'No': -2.6873798, '\n': -3.2343824, ' ': -5.5585647, ' A': -7.348834}
{' No': -0.105229065, 'No': -2.8709035, '\n': -3.2497923, ' ': -5.6640515, ' no': -7.5446215}
{' No': -0.107622825, 'No': -2.5655293, '\n': -3.8093858, ' ': -6.29324, ' no': -7.806597}
{' No': -0.0136064, 'No': -4.4377985, ' ': -7.062413, ' no': -7.903985, '\n': -8.12391}
{' No': -0.011421111, 'No': -4.560266, ' ': -7.8153834, '\n': -8.414002, ' no': -8.730407}
{' No': -0.012863614, 'No': -4.435368, ' ': -7.839176, '\n': -7.8531647, ' no': -9.037947}
{' No': -0.018582113, 'No': -4.0109754, ' ': -9.164749, '\n': -9.20961, ' no': -9.690889}
{' No': -0.21006037, 'No': -1.837088, '\n': -3.8969688, ' ': -5.2311, ' no': -5.8931565}
{' No': -0.31529865, 'No': -1.4528661, '\n': -3.4578881, ' ': -5.6863484, ' no': -7.3797054}
{' No': -0.2087738, 'No': -1.8721706, '\n': -3.6567771, ' ': -5.3775053, ' no': -6.0405345}
{' No': -0.21317129, 'No': -1.7464354, '\n': -4.2865486, ' ': -6.1234627, ' no': -7.2028875}
{' No': -0.05861566, 'No': -3.6027706, ' no': -3.752383, ' ': -5.959414, '\n': -6.1537437}
{' No': -0.039519854, 'No': -3.863275, ' no': -4.369951, '\n': -6.0465217, ' ': -6.4319344}
{' No': -0.04544526, 'No': -3.728108, ' no': -4.271275, '\n': -5.5937676, ' ': -6.2011247}
{' No': -0.05630702, 'No': -3.1307242, ' no': -5.017723, '\n': -5.944919, ' ': -6.908476}
{' No': -0.016504468, '\n': -4.9615135, 'No': -4.970766, ' ': -6.2886467, ' A': -7.8621864}
{' No': -0.010878713, 'No': -5.152028, '\n': -5.8865476, ' ': -6.781653, ' A': -6.9326925}
{' No': -0.018506333, '\n': -4.475238, 'No': -5.2435675, ' ': -6.4841094, ' Sn': -9.958199}
{' No': -0.013970806, 'No': -5.0161853, '\n': -5.1203876, ' ': -6.90681, ' S': -8.982435}
{' No': -0.12045894, '\n': -2.822756, 'No': -3.0988467, ' ': -4.8345776, ' A': -7.291478}
{' No': -0.08639412, '\n': -3.2552476, 'No': -3.2607732, ' ': -5.371106, ' A': -7.0393076}
{' No': -0.11376437, '\n': -2.5958428, 'No': -3.5660942, ' ': -5.4160447, ' Sn': -9.39287}
{' No': -0.09817895, '\n': -2.949415, 'No': -3.2843494, ' ': -5.7119994, ' Sn': -8.891615}
{' No': -0.10865888, '\n': -2.8403676, 'No': -3.445865, ' ': -4.558938, ' A': -6.306952}
{' No': -0.092111185, '\n': -3.0801806, 'No': -3.410547, ' ': -5.0778213, ' A': -6.0702925}
{' No': -0.05150688, '\n': -3.6087575, 'No': -4.038468, ' ': -5.2987905, ' Sn': -8.499446}
{' No': -0.057058997, '\n': -3.6728234, 'No': -3.6905541, ' ': -5.504946, ' Sn': -7.7818966}
{' No': -0.016685728, 'No': -4.7462635, '\n': -5.596098, ' ': -5.6730247, ' A': -7.460947}
{' No': -0.0139775155, 'No': -4.856289, '\n': -5.9040694, ' ': -6.064804, ' A': -6.984934}
{' No': -0.020243892, 'No': -4.7769885, '\n': -4.858299, ' ': -5.587495, ' NO': -10.373921}
{' No': -0.021879433, 'No': -4.3574867, '\n': -5.0384426, ' ': -6.2290263, ' Sn': -8.303417}
{' No': -0.049040027, 'No': -3.376919, '\n': -4.7320576, ' ': -5.677385, ' A': -6.7015843}
{' No': -0.03851063, 'No': -3.47607, '\n': -5.6634383, ' ': -6.390521, ' A': -6.521596}
{' No': -0.025628129, 'No': -4.042573, '\n': -5.542983, ' ': -5.6518636, ' Sn': -9.23931}
{' No': -0.031441472, 'No': -3.7459338, '\n': -5.4397135, ' ': -6.0500727, ' Sn': -8.513638}
{' No': -0.063045576, 'No': -3.711094, '\n': -3.896507, ' ': -4.2838664, ' A': -6.459953}
{' No': -0.039412275, 'No': -3.8067923, '\n': -4.937913, ' ': -5.102322, ' A': -6.0140553}
{' No': -0.04622981, 'No': -3.589372, '\n': -4.6311083, ' ': -4.9690375, ' no': -8.470135}
{' No': -0.046766426, 'No': -3.3924656, '\n': -4.926779, ' ': -5.6684546, ' Sn': -7.9442844}
{' Yes': -0.007429213, 'Yes': -4.986086, ' Generally': -8.182834, ' yes': -9.098216, ' No': -9.35536}
{' Yes': -0.0067435103, 'Yes': -5.0839505, ' Generally': -8.756895, ' No': -8.840568, ' A': -9.283585}
{' Yes': -0.012863373, ' No': -5.037239, 'Yes': -5.4627724, ' Generally': -6.9920864, ' Ravens': -7.195516}
{' Yes': -0.011424066, 'Yes': -5.0923586, ' Generally': -6.156932, ' No': -6.1949377, ' Ravens': -7.432994}
