{' Yes': -0.2106354, ' No': -1.6864445, 'Yes': -5.9270716, 'No': -6.5995607, '\n': -7.8603544}
{' Yes': -0.3423232, ' No': -1.2512169, 'Yes': -6.414512, 'No': -6.935587, ' The': -7.725698}
{' No': -0.28377125, ' Yes': -1.4164884, 'No': -5.6757274, 'Yes': -7.4109397, '\n': -8.929073}
{' No': -0.13335896, ' Yes': -2.126771, 'No': -5.408862, ' The': -7.4083834, 'Yes': -7.9454584}
{' Yes': -0.043768436, ' No': -3.2302134, 'Yes': -6.3754826, ' The': -6.85594, ' yes': -8.758741}
{' Yes': -0.11932948, ' No': -2.2033594, 'Yes': -6.888126, ' The': -7.254768, 'No': -8.426065}
{' Yes': -0.0017425832, 'Yes': -6.718669, ' No': -7.714486, ' yes': -9.996497, '\n': -11.20741}
{' Yes': -0.0062233172, ' No': -5.520992, 'Yes': -6.2369165, '\n': -9.104527, ' yes': -9.887774}
{' Yes': -0.00847183, ' No': -5.0019865, 'Yes': -6.530534, ' The': -9.363025, ' yes': -9.541755}
{' No': -0.16668436, ' Yes': -1.9187729, 'No': -5.185994, 'Yes': -7.7214193, '\n': -8.177018}
{' Yes': -0.00893672, ' No': -4.9149976, 'Yes': -6.525376, ' yes': -10.400689, '\n': -10.726098}
{' Yes': -0.0018101772, 'Yes': -6.4582977, ' No': -8.969961, ' yes': -10.181349, '\n': -10.35692}
{' Yes': -0.009958171, ' No': -4.787681, 'Yes': -6.680415, ' The': -8.7534485, ' yes': -9.650893}
{' Yes': -0.17577332, ' No': -1.845287, 'Yes': -6.4170027, ' The': -7.3705134, 'No': -7.513805}
{' Yes': -0.21837415, ' No': -1.640457, 'Yes': -6.724893, 'No': -7.374695, ' The': -8.570363}
{' Yes': -0.048835468, ' No': -3.1066813, 'Yes': -6.1650195, ' The': -8.490996, 'No': -8.509439}
{' Yes': -0.0024537297, 'Yes': -6.5090094, ' No': -7.0357285, ' yes': -10.141576, ' The': -10.966313}
{' No': -0.2784451, ' Yes': -1.4364079, 'No': -5.53049, 'Yes': -7.3509374, ' The': -7.9773965}
{' Yes': -0.002244683, 'Yes': -6.3374057, ' No': -8.435693, ' The': -9.171084, '\n': -9.607797}
{' Yes': -0.005977142, ' No': -5.5999217, 'Yes': -6.3587966, '\n': -8.101954, ' yes': -9.410069}
{' No': -0.408347, ' Yes': -1.1118039, 'No': -5.3353505, 'Yes': -6.7403345, ' The': -8.922904}
{' Yes': -0.0034258813, 'Yes': -5.761781, ' No': -8.770801, ' yes': -10.026434, ' The': -10.312826}
{' No': -0.21891752, ' Yes': -1.6483322, 'No': -5.8137393, ' The': -7.922937, 'Yes': -7.9812617}
{' No': -0.15093093, ' Yes': -2.0635536, 'No': -4.517115, 'Yes': -7.204294, '\n': -7.43264}
{' Yes': -0.4028793, ' No': -1.12734, 'No': -5.6813445, 'Yes': -5.7288027, '\n': -8.192362}
{' Yes': -0.17963025, ' No': -1.8422413, 'Yes': -5.6487136, 'No': -6.5205398, ' The': -7.7257557}
{' Yes': -0.3339652, ' No': -1.2690868, 'Yes': -7.0233283, 'No': -7.112369, ' The': -7.134866}
{' Yes': -0.032591324, ' No': -3.5325396, 'Yes': -6.164463, ' The': -7.8836026, 'No': -8.565672}
{' Yes': -0.012925744, 'Yes': -5.0730987, ' No': -5.095062, ' The': -8.8157625, '\n': -9.150672}
{' No': -0.15686128, ' Yes': -1.9758254, 'No': -5.3888135, ' The': -7.432582, 'Yes': -7.548086}
{' No': -0.0072711185, 'No': -5.0669827, ' Yes': -7.1619587, ' ': -9.784456, '\n': -9.785591}
{' No': -0.010874255, 'No': -4.5353265, ' ': -10.577429, '\n': -10.7438755, ' The': -10.765615}
{' Yes': -0.01964563, ' No': -4.06167, 'Yes': -6.2534385, ' The': -9.153194, 'No': -9.608144}
{' Yes': -0.15102665, ' No': -1.9883184, 'Yes': -6.1351724, 'No': -7.2815804, ' The': -8.51822}
{' Yes': -0.004042289, ' No': -5.963156, 'Yes': -6.807997, ' The': -8.293, ' yes': -9.743247}
{' Yes': -0.021586074, ' No': -3.9694583, 'Yes': -6.4035497, ' The': -7.9185047, ' "': -8.9067745}
{' No': -0.010373226, ' Yes': -5.10372, 'No': -5.5013003, ' The': -9.868634, '\n': -10.383631}
{' No': -0.30273187, ' Yes': -1.3625445, 'No': -5.695861, '\n': -7.16241, 'Yes': -7.334363}
{' Yes': -0.0075931614, ' No': -5.072815, 'Yes': -6.7211847, ' yes': -10.553798, ' The': -10.64332}
{' No': -0.01751439, 'No': -4.691451, ' Yes': -4.8486376, ' Not': -8.851689, ' The': -9.1771}
{' No': -0.028471313, ' Yes': -3.725714, 'No': -5.6591315, ' Not': -8.587787, ' The': -8.884416}
{' Yes': -0.40902933, ' No': -1.0999033, ' The': -7.013138, 'Yes': -7.0692444, 'No': -7.1160393}
{' Yes': -0.0024309084, 'Yes': -6.214667, ' No': -8.240192, ' The': -9.222187, ' yes': -9.939654}
{' No': -0.44280013, ' Yes': -1.0477633, 'No': -5.3177505, 'Yes': -6.671203, ' The': -7.823112}
{' Yes': -0.014583402, ' No': -4.408561, 'Yes': -6.2190275, ' The': -8.801609, 'No': -9.876339}
{' Yes': -0.0025757505, 'Yes': -6.2246456, ' No': -7.7421703, '\n': -9.878571, ' yes': -9.925587}
{' Yes': -0.0018273152, 'Yes': -6.365164, ' yes': -9.664703, ' The': -11.199678, ' YES': -11.904942}
{' No': -0.011155572, ' Yes': -4.673265, 'No': -6.4266367, ' The': -9.865003, '\n': -10.674778}
{' Yes': -0.0016445467, 'Yes': -6.624729, ' No': -9.223507, '\n': -9.26715, ' yes': -9.4846115}
{' Yes': -0.0024519388, 'Yes': -6.193425, ' No': -8.1678705, ' The': -9.933766, ' yes': -10.085684}
{' Yes': -0.44803306, ' No': -1.0262076, 'No': -6.737433, 'Yes': -6.9077935, ' The': -8.292807}
{' No': -0.17832021, ' Yes': -1.888323, 'No': -4.5954113, 'Yes': -7.1336246, ' The': -7.683647}
{' No': -0.062407516, ' Yes': -2.9823484, 'No': -4.779502, '\n': -7.393746, ' The': -8.016793}
{' No': -0.00801521, 'No': -5.081265, ' Yes': -6.591561, '\n': -8.618683, ' The': -9.208635}
{' Yes': -0.0011071835, 'Yes': -7.0996256, ' yes': -9.16402, ' The': -9.35545, '\n': -10.540338}
{' Yes': -0.0024031834, 'Yes': -6.36853, ' No': -7.6183906, ' The': -9.496507, '\n': -9.926895}
{' Yes': -0.0019685463, 'Yes': -6.2819657, ' yes': -10.011126, '\n': -10.934545, ' The': -11.100864}
{' Yes': -0.0019502153, 'Yes': -6.286868, ' yes': -10.203715, ' No': -10.493485, ' The': -11.551535}
{' Yes': -0.0022348855, 'Yes': -6.185651, ' No': -9.59171, ' The': -10.075023, ' yes': -10.186421}
{' Yes': -0.00966576, ' No': -4.924293, 'Yes': -6.224626, ' The': -8.255301, ' yes': -10.107402}
{' No': -0.1351204, ' Yes': -2.0895102, 'No': -6.279842, ' Not': -8.004405, 'Yes': -8.770569}
{' No': -0.5703094, ' Yes': -0.83879536, 'No': -6.5812745, 'Yes': -7.8629193, ' The': -8.378687}
{' Yes': -0.046611983, ' No': -3.1778376, 'Yes': -5.75861, ' The': -8.205423, 'No': -8.304987}
{' Yes': -0.04772205, ' No': -3.2267208, 'Yes': -5.2152233, 'No': -7.5212264, '\n': -7.8020873}
{' No': -0.013234879, 'No': -5.056848, ' Yes': -5.057354, ' The': -9.013886, ' Not': -9.126832}
{' No': -0.014577898, 'No': -4.2776985, ' The': -8.254652, '\n': -8.801531, ' Yes': -9.593803}
{' Yes': -0.3150268, ' No': -1.320394, 'Yes': -6.66508, 'No': -7.269647, ' The': -7.3228273}
{' No': -0.0040742513, 'No': -5.6048203, ' Yes': -8.332678, '\n': -9.701117, ' ': -10.458836}
{' Yes': -0.03325536, ' No': -3.5298257, 'Yes': -6.0161495, ' The': -7.924172, '\n': -8.4611}
{' Yes': -0.15379451, ' No': -1.9682038, 'Yes': -6.453624, 'No': -7.243928, ' The': -8.075816}
{' Yes': -0.17415945, ' No': -1.8614743, 'Yes': -6.302085, ' The': -6.4204173, 'No': -7.506377}
{' Yes': -0.004512736, ' No': -5.8966155, 'Yes': -6.4493327, ' yes': -9.827949, '\n': -10.210777}
{' Yes': -0.0011870298, 'Yes': -6.910223, '\n': -9.371262, ' yes': -9.697805, ' ': -10.733057}
{' Yes': -0.01651877, ' No': -4.2603006, 'Yes': -6.203225, 'No': -9.482169, ' yes': -9.963685}
{' No': -0.012844777, ' Yes': -5.0706487, 'No': -5.13197, '\n': -8.413823, ' The': -8.739646}
{' No': -0.14799592, ' Yes': -2.0317144, 'No': -5.4123297, ' The': -6.717812, 'Yes': -7.9745164}
{' Yes': -0.23974405, ' No': -1.5672948, 'Yes': -6.2701654, 'No': -6.80261, '\n': -7.3650875}
{' Yes': -0.089369886, ' No': -2.5003633, 'Yes': -6.030299, 'No': -7.582389, ' The': -7.8548093}
{' Yes': -0.6559518, ' No': -0.7391085, 'No': -6.311183, 'Yes': -6.9594145, ' The': -7.568698}
{' Yes': -0.00599561, ' No': -5.5560026, 'Yes': -6.279763, ' The': -8.952953, ' yes': -9.795466}
{' Yes': -0.023552, ' No': -4.164995, 'Yes': -5.0355263, '\n': -7.169182, 'No': -8.333285}
{' Yes': -0.0029064526, 'Yes': -6.007041, ' No': -7.8974032, ' yes': -10.145314, ' The': -11.096903}
{' Yes': -0.053746257, ' No': -2.9900827, 'Yes': -6.491471, 'No': -8.709564, ' The': -8.723594}
{' Yes': -0.04731852, ' No': -3.165948, 'Yes': -5.6799417, 'No': -7.9111433, ' yes': -9.395215}
{' Yes': -0.09189142, ' No': -2.4609518, 'Yes': -6.3655767, 'No': -7.9415445, ' The': -9.103425}
{' No': -0.014605963, 'No': -4.908733, ' Yes': -5.008205, ' The': -8.126813, ' Not': -10.3485}
{' Yes': -0.64544773, ' No': -0.7639799, 'No': -5.6143293, ' The': -5.8636656, 'Yes': -6.4470105}
{' No': -0.050582092, ' Yes': -3.1781206, 'No': -4.9748454, ' The': -8.418214, 'Yes': -8.698731}
{' Yes': -0.005675399, ' No': -5.6824, 'Yes': -6.251345, '\n': -9.180165, ' The': -9.222714}
{' Yes': -0.0018982564, 'Yes': -6.3968754, ' No': -9.388412, ' yes': -9.692947, '\n': -9.914961}
{' Yes': -0.0031826661, 'Yes': -5.909106, ' No': -8.374974, ' yes': -9.458722, ' The': -9.528979}
{' Yes': -0.0034388627, 'Yes': -6.0580673, ' No': -6.917171, ' yes': -9.930014, ' The': -10.757786}
{' Yes': -0.0019003468, 'Yes': -6.797991, ' No': -7.34136, ' yes': -9.69739, ' The': -9.840271}
{' Yes': -0.09817356, ' No': -2.3959718, 'Yes': -6.5243855, 'No': -7.990967, ' The': -8.175184}
{' Yes': -0.004627104, 'Yes': -5.9246073, ' No': -6.573877, '\n': -8.303128, ' The': -8.718469}
{' Yes': -0.012551094, ' No': -4.647256, 'Yes': -5.9686766, '\n': -9.178586, ' The': -9.383534}
{' Yes': -0.003530796, 'Yes': -5.7377243, '\n': -9.286774, ' The': -9.437971, ' yes': -9.699293}
{' Yes': -0.09449723, ' No': -2.4558005, 'Yes': -5.913976, 'No': -7.464351, '\n': -7.652858}
{' Yes': -0.0036463663, 'Yes': -5.678386, ' No': -9.103228, ' yes': -9.666692, '\n': -11.113271}
{' Yes': -0.004300744, 'Yes': -5.8713107, ' No': -6.634006, ' The': -9.958211, ' yes': -10.077134}
{' Yes': -0.5894115, ' No': -0.8232391, 'No': -6.094137, 'Yes': -6.3567224, '\n': -6.3575597}
{' No': -0.01474, ' Yes': -4.5584826, 'No': -5.5475764, ' The': -9.21139, ' Not': -9.927155}
{' Yes': -0.00534618, 'Yes': -5.2609024, '\n': -9.734826, ' yes': -9.763256, ' ': -11.269113}
{' Yes': -0.009903151, ' No': -4.8615665, 'Yes': -6.318365, '\n': -9.212051, ' The': -9.731815}
{' Yes': -0.015962038, ' No': -4.3148527, 'Yes': -6.1671705, ' The': -8.687839, 'No': -9.628373}
{' Yes': -0.018170863, ' No': -4.192151, 'Yes': -5.985845, ' The': -8.69987, 'No': -9.280227}
{' Yes': -0.014155355, ' No': -4.6152062, 'Yes': -5.5629754, ' yes': -9.40778, 'No': -9.408962}
{' Yes': -0.09014657, ' No': -2.492452, 'Yes': -5.9913282, 'No': -7.7245665, ' The': -8.070144}
{' Yes': -0.0021695928, 'Yes': -6.1804, ' yes': -10.16471, ' The': -10.368745, ' No': -11.490635}
{' Yes': -0.004010813, 'Yes': -5.5719886, ' No': -9.546024, ' yes': -9.848569, ' The': -10.346887}
{' Yes': -0.44655618, ' No': -1.0420723, '\n': -5.986797, 'Yes': -6.2015915, 'No': -6.3076344}
{' Yes': -0.09431329, ' No': -2.4539647, 'Yes': -5.9641037, 'No': -7.498644, '\n': -7.6353683}
{' Yes': -0.0031962388, 'Yes': -6.0377154, ' No': -7.5273013, ' The': -8.796586, ' yes': -9.898667}
{' Yes': -0.010405871, ' No': -5.2232275, 'Yes': -5.421813, '\n': -8.215207, ' The': -9.2062235}
{' Yes': -0.006322644, 'Yes': -5.4035354, ' No': -6.7750945, '\n': -7.9103026, ' The': -8.984458}
{' Yes': -0.1321229, ' No': -2.1259909, 'Yes': -6.1325517, ' The': -7.226105, 'No': -7.3177176}
{' Yes': -0.0036150191, 'Yes': -5.8643856, ' No': -7.4069614, '\n': -9.57621, ' yes': -9.905413}
{' Yes': -0.019180834, ' No': -4.1045403, 'Yes': -6.1064186, 'No': -9.359475, ' yes': -9.754659}
{' Yes': -0.0012063632, 'Yes': -6.822573, ' yes': -10.091588, ' The': -10.547029, ' No': -10.812815}
{' Yes': -0.012518985, ' No': -4.7570157, 'Yes': -5.6372876, '\n': -9.024284, 'No': -9.75932}
{' Yes': -0.09479654, ' No': -2.465089, 'Yes': -5.8081555, ' The': -6.3894773, 'No': -7.841056}
{' No': -0.17756507, ' Yes': -1.9406856, 'No': -4.261765, 'Yes': -6.311331, '\n': -6.5232778}
{' Yes': -0.0016710552, 'Yes': -6.462196, ' yes': -10.008787, ' The': -10.640329, '\n': -11.235742}
{' Yes': -0.0021478499, 'Yes': -6.183613, ' yes': -10.404949, ' No': -10.437975, ' The': -11.766552}
{' Yes': -0.0016973863, 'Yes': -6.639268, ' No': -8.561576, '\n': -9.510449, ' yes': -9.579583}
{' Yes': -0.017909171, ' No': -4.368655, 'Yes': -5.8356066, '\n': -6.3993044, ' ': -8.887225}
{' No': -0.49269918, ' Yes': -0.9537396, 'No': -6.1364827, 'Yes': -7.0502243, ' The': -8.128711}
{' No': -0.15950261, ' Yes': -1.9887128, 'No': -4.7363744, 'Yes': -7.22505, ' Not': -7.656668}
{' Yes': -0.029810455, ' No': -3.8334756, 'Yes': -5.071387, '\n': -7.210367, 'No': -8.110798}
{' Yes': -0.3668666, ' No': -1.2049804, 'Yes': -5.8294973, 'No': -6.10064, ' The': -6.578135}
{' No': -0.6755498, ' Yes': -0.7203191, 'No': -6.3426337, 'Yes': -6.8644094, ' The': -7.133617}
{' Yes': -0.528063, ' No': -0.8989947, 'No': -6.4126353, 'Yes': -6.6580176, ' The': -8.822912}
{' Yes': -0.0028477514, 'Yes': -5.947571, ' No': -9.087736, ' yes': -9.467213, '\n': -11.3075}
{' Yes': -0.005241018, 'Yes': -5.9312162, ' No': -6.094068, ' yes': -9.319116, ' The': -9.759294}
{' Yes': -0.0017666473, 'Yes': -6.4125004, ' yes': -10.098494, ' No': -10.128138, '\n': -11.01675}
{' Yes': -0.10675101, ' No': -2.3296874, 'Yes': -6.0014057, 'No': -7.2523403, '\n': -7.876272}
{' Yes': -0.016614338, ' No': -4.300981, 'Yes': -6.0852647, '\n': -7.7950673, 'No': -9.64026}
{' Yes': -0.166891, ' No': -1.9223973, 'Yes': -5.395029, 'No': -6.3725905, ' The': -7.7604685}
{' Yes': -0.0020703794, 'Yes': -6.40355, ' No': -8.281411, ' The': -9.510707, ' yes': -9.893027}
{' Yes': -0.016663363, ' No': -4.3647566, 'Yes': -5.914416, '\n': -7.4950466, ' The': -8.277197}
{' Yes': -0.012920369, ' No': -4.632122, 'Yes': -5.894492, ' The': -8.882894, 'No': -9.641662}
{' Yes': -0.29260403, ' No': -1.3886887, 'Yes': -6.234964, 'No': -6.584571, ' The': -7.3003383}
{' Yes': -0.0015982168, 'Yes': -6.5985084, ' No': -9.412808, ' yes': -9.532418, ' The': -9.91212}
{' Yes': -0.0018389572, 'Yes': -6.579387, ' No': -8.09784, ' yes': -9.535894, ' The': -10.28243}
{' Yes': -0.0030800032, 'Yes': -6.351899, ' No': -6.987176, ' The': -8.49776, '\n': -9.287042}
{' Yes': -0.011400977, ' No': -4.6876817, 'Yes': -6.4037485, ' The': -8.226457, ' yes': -9.747157}
{' Yes': -0.008574025, ' No': -5.117329, 'Yes': -6.3307457, '\n': -7.6713715, ' The': -8.967548}
{' Yes': -0.0016855649, 'Yes': -6.4467416, '\n': -10.114242, ' yes': -10.181257, ' ': -11.392872}
{' Yes': -0.43824232, ' No': -1.0801108, 'No': -4.8919296, 'Yes': -5.1183453, '\n': -6.9678288}
{' Yes': -0.48638785, ' No': -1.0007616, 'No': -4.722998, 'Yes': -5.1528077, ' The': -6.5758686}
{' No': -0.69769245, ' Yes': -0.73554766, 'No': -4.339666, 'Yes': -5.178678, ' The': -6.228362}
{' Yes': -0.48951772, ' No': -0.98527765, 'No': -4.954212, 'Yes': -5.119406, ' The': -7.645191}
{' Yes': -0.0066528427, 'Yes': -5.054014, ' yes': -9.0463505, '\n': -9.832577, ' The': -10.019032}
{' Yes': -0.0074928673, 'Yes': -4.9613156, ' No': -8.340188, ' yes': -9.281077, '\n': -10.078181}
{' Yes': -0.15383469, ' No': -2.021478, 'Yes': -5.3730288, ' The': -6.3431425, 'No': -6.359756}
{' Yes': -0.0045168684, 'Yes': -5.601088, ' No': -7.575718, ' yes': -9.039597, ' The': -9.137194}
{' Yes': -0.019749152, 'Yes': -4.186768, ' No': -5.563652, '\n': -8.807814, 'No': -8.895868}
{' No': -0.3233501, ' Yes': -1.3440543, 'No': -4.3793554, 'Yes': -6.028241, ' The': -8.15784}
{' Yes': -0.008336105, 'Yes': -5.2248163, ' No': -5.9749837, '\n': -8.949483, ' yes': -9.184655}
{' Yes': -0.019439276, 'Yes': -4.5008497, ' No': -4.9986453, ' The': -7.550483, '\n': -7.8538585}
{' Yes': -0.011403328, 'Yes': -4.64812, ' No': -6.5777617, ' The': -8.848872, ' yes': -9.334901}
{' Yes': -0.007876964, 'Yes': -5.0250754, ' No': -7.2560763, ' The': -8.498229, ' yes': -8.783638}
{' Yes': -0.006508126, 'Yes': -5.2403564, ' "': -7.6205697, ' yes': -8.345032, '\n': -8.566372}
{' Yes': -0.39396644, ' No': -1.1777284, '\n': -5.168779, 'No': -5.4902053, 'Yes': -5.663615}
{' Yes': -0.00833881, 'Yes': -5.330023, ' No': -5.8337984, ' yes': -7.897916, ' The': -9.982892}
{' No': -0.3700891, ' Yes': -1.202517, 'No': -5.106665, 'Yes': -6.6731434, '\n': -7.4319835}
{' Yes': -0.028980814, ' No': -3.8248887, 'Yes': -5.2876325, ' The': -7.481035, '\n': -7.703478}
{' Yes': -0.5380297, ' No': -0.910966, 'No': -4.88795, 'Yes': -5.620906, ' The': -6.638423}
{' Yes': -0.0071132253, 'Yes': -5.450026, '\n': -6.4679527, ' No': -7.1906357, ' The': -8.6845665}
{' Yes': -0.007401892, 'Yes': -5.3054514, ' No': -6.272773, '\n': -8.321837, ' yes': -9.219596}
{' Yes': -0.0103498595, 'Yes': -4.60064, ' yes': -9.030153, '\n': -10.032522, ' "': -10.476173}
{' Yes': -0.15556018, ' No': -2.0037465, 'Yes': -5.0909715, 'No': -6.1387277, ' The': -7.5069203}
{' Yes': -0.05926092, ' No': -3.0366075, 'Yes': -5.139417, '\n': -6.598544, ' The': -6.693389}
{' No': -0.6880684, ' Yes': -0.74017334, 'No': -4.7330627, ' The': -5.326969, 'Yes': -5.484491}
{' Yes': -0.0318027, ' No': -3.7306893, 'Yes': -5.1053023, '\n': -7.761205, 'No': -7.8576293}
{' Yes': -0.17325602, ' No': -1.9293653, 'Yes': -4.8270965, 'No': -5.6509604, '\n': -6.8434715}
{' Yes': -0.009732145, ' No': -5.120637, 'Yes': -5.9160843, ' The': -7.662743, ' yes': -8.248218}
{' No': -0.11800409, ' Yes': -2.2965777, 'No': -4.8114643, ' The': -7.29149, ' "': -7.4317317}
{' Yes': -0.19379771, ' No': -1.9653333, 'Yes': -4.210561, '\n': -4.3543525, 'No': -5.174293}
{' No': -0.03772238, ' Yes': -3.9632971, 'No': -4.0634255, '\n': -8.183208, 'Yes': -8.475077}
{' Yes': -0.0083709685, 'Yes': -4.830264, ' yes': -9.025315, '\n': -9.402143, ' No': -9.72481}
{' Yes': -0.12275327, ' No': -2.2515488, 'Yes': -4.981369, 'No': -6.19774, '\n': -7.428793}
{' Yes': -0.083209805, ' No': -2.6137521, 'Yes': -5.30619, 'No': -7.2003965, ' The': -7.9539633}
{' No': -0.038252354, 'No': -3.7194884, ' Yes': -4.3674073, 'Yes': -8.664873, ' The': -8.920696}
{' Yes': -0.08228323, ' No': -2.6296294, 'Yes': -5.1781106, 'No': -6.9769235, ' yes': -9.346504}
{' Yes': -0.01543738, 'Yes': -4.1871977, ' yes': -9.531207, ' The': -11.162806, '\n': -11.387075}
{' Yes': -0.0059651486, 'Yes': -5.185517, ' yes': -9.082368, ' No': -9.178639, ' The': -9.608666}
{' No': -0.040420707, 'No': -3.7225935, ' Yes': -4.3307114, '\n': -7.141147, ' The': -7.4628067}
