{' No': -0.4067778, ' Yes': -1.1102976, 'No': -5.860507, 'Yes': -6.994649, ' Not': -7.4909906}
{' Yes': -0.025156148, ' No': -3.7679634, 'Yes': -6.5206447, ' Not': -9.542659, ' yes': -9.734725}
{' Yes': -0.024307335, ' No': -3.841724, 'Yes': -6.2349143, ' The': -7.851707, 'No': -9.65144}
{' Yes': -0.106547095, ' No': -2.3367126, 'Yes': -5.6341577, 'No': -7.985819, ' Unfortunately': -8.31343}
{' No': -0.2167819, ' Yes': -1.6641791, 'No': -6.084051, ' Unfortunately': -6.501829, ' The': -7.26075}
{' No': -0.0050397124, 'No': -5.328144, ' Yes': -8.953661, ' ': -10.226078, '\n': -13.31298}
{' No': -0.15886809, ' Yes': -1.964221, 'No': -5.191371, 'Yes': -7.497731, ' The': -8.289363}
{' Yes': -0.0028484683, 'Yes': -6.500556, ' No': -6.729665, ' The': -9.858161, ' yes': -10.052527}
{' Yes': -0.06221238, ' No': -2.831917, 'Yes': -7.043545, ' The': -8.389141, ' Unfortunately': -9.444725}
{' No': -0.48526463, ' Yes': -0.9644307, 'No': -6.5990014, ' Not': -7.2572904, ' The': -7.380438}
{' Yes': -0.0055964566, ' No': -5.403473, 'Yes': -6.967385, ' The': -9.518026, ' yes': -10.626856}
{' No': -0.60079885, ' Yes': -0.80687827, 'No': -5.753625, 'Yes': -6.269942, ' The': -9.130418}
{' Yes': -0.101835005, ' No': -2.3550565, 'Yes': -6.556501, 'No': -8.619661, ' Not': -9.013734}
{' No': -0.12848774, ' Yes': -2.1877682, 'No': -5.402047, ' Unfortunately': -5.805749, 'Yes': -7.859456}
{' Yes': -0.21797122, ' No': -1.6483684, 'Yes': -6.2159047, 'No': -6.9896727, ' Not': -8.115842}
{' No': -0.080819145, ' Yes': -2.613141, 'No': -5.5894456, 'Yes': -8.505778, ' The': -8.62662}
{' No': -0.45899457, ' Yes': -1.0470169, ' Pound': -4.850537, 'No': -5.3803506, 'Yes': -6.751465}
{' No': -0.008613401, 'No': -5.2862163, ' Yes': -6.228538, ' Not': -7.0274577, ' Unfortunately': -7.425049}
{' Yes': -0.5872323, ' No': -0.8258606, 'No': -5.7952476, 'Yes': -6.0552974, ' Not': -7.160112}
{' Yes': -0.002305559, 'Yes': -6.298196, ' No': -7.922595, ' The': -9.936786, ' yes': -10.585568}
{' Yes': -0.0018769387, 'Yes': -6.321314, ' No': -10.448553, ' yes': -10.55529, ' The': -11.186557}
{' Yes': -0.004652133, 'Yes': -5.49975, ' E': -8.706124, ' yes': -8.804814, ' erupt': -9.413595}
{' No': -0.020889986, 'No': -3.89503, ' Nope': -8.555025, ' Not': -9.8979225, ' ': -10.328505}
{' Yes': -0.002178495, 'Yes': -6.564373, ' No': -7.3747597, ' The': -9.568104, ' yes': -10.160568}
{' Yes': -0.05746225, ' No': -2.961328, 'Yes': -5.64981, 'No': -8.34109, ' The': -8.647767}
{' Yes': -0.03221958, ' No': -3.508187, 'Yes': -6.642476, ' Armor': -8.498052, 'No': -9.268322}
{' Yes': -0.16557789, ' No': -1.9060316, 'Yes': -6.1349497, ' The': -7.2475476, 'No': -7.3011174}
{' No': -0.17284542, ' Yes': -1.8542037, 'No': -6.3535037, 'Yes': -8.329971, ' Not': -9.571206}
{' Yes': -0.01617379, ' No': -4.324014, 'Yes': -6.118003, ' The': -7.8420672, 'No': -9.737147}
{' Yes': -0.077525, ' Still': -3.1775289, ' No': -3.7357965, 'Yes': -4.9216256, ' yes': -7.828671}
{' Yes': -0.06845049, ' No': -2.7567837, 'Yes': -6.3507013, ' The': -7.823116, 'No': -8.5055685}
{' Yes': -0.48924592, ' No': -0.9615094, 'No': -6.0978312, 'Yes': -6.1504793, ' Unfortunately': -9.183046}
{' Yes': -0.0022072871, 'Yes': -6.3749714, ' No': -7.645674, ' yes': -11.572404, '\n': -12.109733}
{' Yes': -0.0043303156, 'Yes': -5.5960107, ' No': -8.067074, ' Purs': -8.514421, ' Pur': -10.331766}
{' Yes': -0.032189116, ' No': -3.5054293, 'Yes': -6.5831857, ' The': -8.995981, 'No': -9.977328}
{' No': -0.106147416, ' Yes': -2.3663077, 'No': -5.461061, ' Not': -6.402469, ' The': -8.081948}
{' No': -0.056067146, ' Yes': -3.044978, 'No': -5.2619596, ' Not': -6.7007146, 'Yes': -8.661206}
{' Yes': -0.41118354, ' No': -1.1018384, 'Yes': -6.2203913, 'No': -6.6055326, ' The': -6.9592333}
{' Yes': -0.10641476, ' No': -2.323803, 'Yes': -6.109794, ' The': -7.8734717, 'No': -7.9912786}
{' No': -0.0037753538, 'No': -5.693724, ' Yes': -8.639811, '\n': -9.6609745, ' Unfortunately': -9.842186}
{' No': -0.016733004, 'No': -4.3212676, ' Unfortunately': -6.3862324, ' Yes': -6.6944942, ' Not': -8.652341}
{' Unt': -0.3703872, ' Un': -1.546462, 'Unt': -3.0547092, ' False': -3.558711, ' ': -4.2486734}
{' No': -0.030038612, ' Yes': -3.5534225, 'No': -7.0706763, 'Yes': -10.233998, ' The': -10.460364}
{' Yes': -0.0028714233, 'Yes': -6.3943505, ' No': -6.8148193, ' The': -9.925909, ' yes': -10.302328}
{' Yes': -0.0045732115, ' No': -5.7882566, 'Yes': -6.6548014, ' The': -8.949067, ' yes': -10.511313}
{' No': -0.62691057, ' Yes': -0.7896016, ' Spice': -5.2909636, 'Yes': -6.066542, 'No': -6.08714}
{' Yes': -0.24026136, ' No': -1.5643026, 'Yes': -5.833868, 'No': -7.119833, ' Not': -8.485842}
{' Yes': -0.0011136893, 'Yes': -6.835, ' yes': -10.7575655, ' ': -11.699056, ' YES': -12.490218}
{' Yes': -0.0044547794, 'Yes': -5.892421, ' No': -6.5424705, ' yes': -9.512902, ' ': -9.851922}
{' Yes': -0.15641658, ' No': -1.9434974, 'Yes': -6.844691, 'No': -8.341518, ' The': -9.219479}
{' No': -0.013149416, ' Yes': -4.4569054, 'No': -6.60919, ' Unfortunately': -10.383934, ' ': -10.596561}
{' Yes': -0.17330804, ' No': -1.8842417, 'Yes': -5.5310693, 'No': -6.894721, '\n': -7.0125628}
{' Yes': -0.021851346, ' No': -4.0235906, 'Yes': -5.68558, ' The': -9.305097, 'No': -9.458857}
{' Yes': -0.025451967, ' No': -3.75342, 'Yes': -6.5100465, ' The': -9.473034, 'No': -9.56108}
{' Yes': -0.021030651, ' No': -3.930439, 'Yes': -6.969045, ' The': -8.8747425, 'No': -10.190419}
{' Yes': -0.1667107, ' No': -2.0668397, 'Yes': -4.397324, ' Early': -4.9548783, 'No': -5.932999}
{' Yes': -0.005646684, 'Yes': -5.8103204, ' No': -6.0741143, ' The': -9.017308, ' Unfortunately': -9.418951}
{' Yes': -0.026070291, ' No': -3.744818, 'Yes': -6.2351246, 'No': -9.717263, '\n': -10.519718}
{' Yes': -0.008508557, ' No': -4.9883246, 'Yes': -6.4425216, 'No': -10.933744, '\n': -11.200038}
{' Yes': -0.18304238, ' No': -1.800863, 'Yes': -6.6687274, ' The': -7.6946983, 'No': -8.137328}
{' No': -0.009486549, ' Yes': -5.20042, 'No': -5.597642, ' The': -9.459449, ' ': -10.417457}
{' No': -0.015930489, 'No': -4.1719475, ' Yes': -8.233995, ' Not': -10.026352, ' ': -10.813673}
{' Yes': -0.009248834, ' No': -5.0065894, 'Yes': -6.327524, ' The': -7.4117618, ' yes': -10.368429}
{' No': -0.016129812, 'No': -4.1508765, ' Yes': -8.950828, ' Not': -10.348076, '\n': -10.394149}
{' Yes': -0.058429603, ' No': -2.913242, 'Yes': -6.4650054, ' The': -7.7995524, ' Not': -8.797019}
{' Yes': -0.0020679906, 'Yes': -6.629759, ' No': -7.348206, ' The': -9.53496, ' yes': -11.141462}
{' Yes': -0.0011241909, 'Yes': -6.835612, ' No': -10.357811, ' yes': -11.536253, ' YES': -13.442505}
{' Yes': -0.027801614, ' No': -3.6490571, 'Yes': -6.886841, ' The': -8.434646, 'No': -9.952776}
{' Yes': -0.11285855, ' No': -2.2539983, 'Yes': -6.809828, 'No': -8.458981, ' Guard': -8.948029}
{' Yes': -0.0037221662, 'Yes': -6.058846, ' No': -6.8607755, ' Sweet': -8.334316, ' Swe': -10.716078}
{' Yes': -0.0028530112, 'Yes': -5.8736677, ' yes': -10.677844, ' The': -12.675038, '\n': -12.711706}
{' Yes': -0.016386313, ' No': -4.282633, 'Yes': -6.288391, ' Grass': -7.6863136, ' yes': -10.279803}
{' No': -0.04380692, ' Yes': -3.3032672, 'No': -5.272311, ' Unfortunately': -7.4339323, 'Yes': -8.6955385}
{' Yes': -0.03537289, ' No': -3.456172, 'Yes': -5.8529196, 'No': -8.791274, ' The': -9.677218}
{' No': -0.25710633, ' Yes': -1.4984831, 'No': -6.107526, 'Yes': -7.5490737, ' The': -8.481016}
{' No': -0.094674, ' Yes': -2.508046, 'No': -5.474667, ' Unfortunately': -5.699694, ' Not': -7.042481}
{' No': -0.008288207, ' Yes': -5.112378, 'No': -6.1659684, ' Not': -9.946725, ' ': -10.485736}
{' Yes': -0.275626, ' No': -1.4518211, 'Yes': -5.646994, 'No': -6.3841977, ' Not': -7.5016313}
{' Yes': -0.07507884, ' No': -2.664686, 'Yes': -6.107414, 'No': -8.371852, ' Not': -9.31996}
{' Yes': -0.33342406, ' No': -1.2675635, 'Yes': -6.632351, 'No': -7.5945854, ' The': -9.122591}
{' Yes': -0.09197343, ' No': -2.457406, 'Yes': -6.409276, ' The': -8.285691, 'No': -8.445777}
{' No': -0.52698106, ' Yes': -0.89736336, 'No': -6.8667374, 'Yes': -7.1736255, ' The': -9.511131}
{' Yes': -0.002806508, 'Yes': -6.3957486, ' No': -6.8430276, ' The': -10.41012, ' yes': -10.827864}
{' No': -0.09239467, ' Yes': -2.468951, 'No': -5.996054, ' The': -7.5698056, 'Yes': -8.298808}
{' Yes': -0.018985271, ' No': -4.204, 'Yes': -5.6124735, ' The': -9.315484, 'No': -9.711312}
{' Yes': -0.054084316, ' No': -2.9769533, 'Yes': -6.5409365, 'No': -9.215371, ' The': -9.627784}
{' Yes': -0.003265367, ' No': -6.3684287, 'Yes': -6.7461348, ' The': -8.062914, ' yes': -10.696536}
{' Yes': -0.0015307589, 'Yes': -6.526093, ' The': -10.844787, ' No': -10.85003, ' yes': -11.067853}
{' Yes': -0.005429059, ' No': -5.6529417, 'Yes': -6.5314674, ' The': -7.8471565, ' yes': -10.963123}
{' Yes': -0.15833765, ' Rough': -1.9913284, ' No': -4.7882276, 'Yes': -6.662797, ' ': -8.798249}
{' No': -0.07443815, ' Yes': -2.9108045, 'No': -4.2813606, ' Rough': -6.0850844, 'Yes': -7.402733}
{' Yes': -0.00921737, 'Yes': -5.1840787, ' No': -5.681282, ' yes': -9.759322, 'No': -10.545721}
{' No': -0.59733796, ' Yes': -0.80651885, 'No': -6.294525, 'Yes': -6.6103497, ' The': -10.133896}
{' Yes': -0.0023091428, 'Yes': -6.300521, ' No': -7.8026443, ' yes': -9.991956, ' The': -11.746499}
{' Yes': -0.04780726, ' No': -3.136058, 'Yes': -5.863551, 'No': -8.7498045, ' The': -9.056251}
{' Yes': -0.027392257, ' No': -3.7767494, 'Yes': -5.961989, ' The': -6.6532254, 'No': -9.679998}
{' Yes': -0.1619065, ' No': -1.9280083, 'Yes': -5.792243, ' The': -7.6998186, 'No': -7.8297167}
{' Yes': -0.002450144, 'Yes': -6.0517206, ' The': -10.299794, ' No': -10.68715, ' yes': -10.838843}
{' Yes': -0.0012933752, 'Yes': -6.9245358, ' No': -8.360666, ' The': -9.917994, ' yes': -11.459883}
{' Yes': -0.0017840217, 'Yes': -6.532587, ' No': -8.564161, ' The': -9.433971, ' yes': -10.430405}
{' Yes': -0.0049005575, ' No': -5.747715, 'Yes': -6.4433002, ' The': -9.902594, ' yes': -10.742432}
{' Yes': -0.32181415, ' No': -1.2961775, 'Yes': -7.0370903, 'No': -7.78459, ' The': -9.088383}
{' Yes': -0.016103404, ' No': -4.222976, 'Yes': -6.699662, 'No': -10.622378, ' The': -10.7329}
{' Yes': -0.0054409243, ' No': -5.9527774, 'Yes': -6.0069838, ' The': -8.076147, ' yes': -10.375865}
{' Yes': -0.3540186, ' No': -1.2294707, 'Yes': -5.6310625, 'No': -6.568652, ' The': -7.6617765}
{' Yes': -0.13402556, ' No': -2.1866722, 'Yes': -4.718956, 'No': -6.3747916, ' Sy': -6.4940295}
{' Yes': -0.27841777, ' No': -1.4273797, 'Yes': -6.1822753, 'No': -7.463247, ' The': -9.002611}
{' Yes': -0.0012236072, 'Yes': -6.742938, ' yes': -10.585494, ' The': -11.979902, ' No': -12.257605}
{' Yes': -0.0008622069, 'Yes': -7.2944846, ' No': -8.881676, ' yes': -10.291632, ' The': -12.625115}
{' Yes': -0.0144683765, ' No': -4.354905, 'Yes': -6.5488267, 'No': -10.3097315, ' yes': -10.73277}
{' Yes': -0.0070670643, ' No': -5.325327, 'Yes': -6.197166, ' The': -9.651239, ' yes': -10.265143}
{' Yes': -0.009364164, ' No': -4.9851046, 'Yes': -6.030127, 'No': -10.372538, ' The': -10.814486}
{' Yes': -0.036381733, ' No': -3.4072692, 'Yes': -6.061526, 'No': -8.71144, ' The': -9.806246}
{' Yes': -0.034094233, ' No': -3.47403, 'Yes': -6.096337, 'No': -8.655579, ' The': -10.261934}
{' Yes': -0.0060604345, 'Yes': -5.6398077, ' No': -6.0489316, ' The': -10.13943, ' yes': -10.361386}
{' Yes': -0.05793924, ' No': -2.9157865, 'Yes': -6.60309, ' The': -7.635538, 'No': -8.839973}
{' Yes': -0.08396766, ' No': -2.5464787, 'Yes': -6.532524, ' The': -8.120268, 'No': -8.342411}
{' Yes': -0.012880943, ' No': -4.529423, 'Yes': -6.2797036, ' yes': -10.124157, ' The': -10.277031}
{' Yes': -0.026710609, ' No': -3.664808, 'Yes': -7.4322357, ' The': -9.6702175, 'No': -10.5980835}
{' Yes': -0.0031161178, 'Yes': -5.8155923, ' The': -9.865344, ' No': -10.501151, ' yes': -10.592969}
{' Yes': -0.0044556176, 'Yes': -5.726326, ' No': -7.3929157, ' Heart': -8.103399, ' The': -8.654652}
{' Yes': -0.0011343348, 'Yes': -6.9125223, ' No': -9.282936, ' The': -10.593854, ' yes': -11.189934}
{' Yes': -0.0010948947, 'Yes': -6.897571, ' No': -9.743511, ' Sure': -12.050606, ' yes': -12.216591}
{' No': -0.014176515, 'No': -4.697627, ' Yes': -5.405448, ' Unfortunately': -8.799291, ' Not': -9.045926}
{' Yes': -0.51531136, ' No': -0.9269019, 'Yes': -5.7969728, 'No': -5.9416227, ' Not': -7.381591}
{' No': -0.045360554, ' Yes': -3.5812755, 'No': -4.1399207, 'Yes': -7.996502, ' Not': -9.205263}
{' No': -0.031220935, 'No': -3.4934056, ' Yes': -8.314605, ' Not': -10.085301, ' ': -10.360379}
{' Yes': -0.008621459, 'Yes': -5.422352, ' No': -5.546348, ' The': -8.704899, ' yes': -10.024136}
{' Yes': -0.012707796, 'Yes': -4.767762, ' No': -5.5694647, ' The': -9.449766, ' yes': -9.45909}
{' No': -0.041923966, ' Yes': -3.704558, 'No': -4.2380414, ' Laugh': -7.140732, 'Yes': -8.0229645}
{' Yes': -0.07983977, ' No': -2.6082191, 'Yes': -6.013824, 'No': -8.124014, ' The': -8.991632}
{' No': -0.16147196, ' Yes': -1.9886584, 'No': -4.5310016, 'Yes': -6.674018, ' The': -9.662183}
{' No': -0.021758508, 'No': -4.089992, ' Yes': -5.374439, 'Yes': -9.698861, ' ': -10.076487}
{' No': -0.013358945, 'No': -4.5133133, ' Yes': -6.196829, ' Unfortunately': -8.881308, ' The': -10.114775}
{' No': -0.17036568, ' Yes': -1.9079336, 'No': -5.040775, 'Yes': -6.990302, ' The': -8.040925}
{' Yes': -0.25913545, ' No': -1.5153228, 'Yes': -5.1569433, 'No': -6.297757, ' The': -7.401953}
{' Yes': -0.5489454, ' No': -0.8917627, 'Yes': -5.0446196, 'No': -5.34875, ' Plane': -7.0951695}
{' No': -0.6388287, ' Yes': -0.76862186, 'No': -5.2668133, 'Yes': -5.8424153, ' The': -9.071245}
{' No': -0.09520548, ' Yes': -2.4711554, 'No': -5.2155495, 'Yes': -7.9602504, ' The': -8.066301}
{' Yes': -0.073739015, ' No': -3.482829, ' Uncle': -3.5222328, 'Yes': -4.8212094, ' ': -7.030291}
{' No': -0.016191116, 'No': -4.715759, ' Yes': -5.008304, ' ': -8.614224, 'Yes': -10.004869}
{' No': -0.029001124, 'No': -3.815931, ' Yes': -5.0930934, ' The': -8.8978195, 'Yes': -9.572513}
{' No': -0.04771717, 'No': -3.638396, ' Yes': -3.930604, 'Yes': -8.07676, ' Stamp': -9.052678}
{' Yes': -0.076672204, ' No': -2.7036252, 'Yes': -5.1066937, 'No': -7.375046, ' The': -9.874027}
{' Yes': -0.008072469, 'Yes': -4.9788556, ' No': -7.0654964, ' yes': -9.099548, ' The': -9.117922}
{' No': -0.021562198, 'No': -4.525264, ' Yes': -4.574672, 'Yes': -9.540919, ' Unfortunately': -10.217938}
{' No': -0.100755185, ' Yes': -2.3777823, 'No': -5.969548, 'Yes': -8.139072, ' The': -8.909495}
{' Yes': -0.50657517, ' No': -0.9728532, 'Yes': -4.5685487, 'No': -4.8764787, ' The': -7.0654526}
{' Yes': -0.25902417, ' No': -1.5142294, 'Yes': -5.3530354, 'No': -6.3638363, ' The': -6.600651}
{' No': -0.06277524, ' Yes': -3.0462058, 'No': -4.3691196, 'Yes': -7.8023815, ' Not': -8.976706}
{' Yes': -0.15366633, ' No': -2.0100334, 'Yes': -5.0709825, 'No': -6.348105, '\n': -9.008221}
{' No': -0.5464777, ' Yes': -0.92051834, 'No': -4.306293, 'Yes': -4.8578105, ' ': -7.190801}
{' Yes': -0.31751692, ' No': -1.3716284, 'Yes': -4.326775, 'No': -5.4069676, ' The': -8.507905}
{' No': -0.036566447, ' Yes': -3.4685771, 'No': -5.4249063, 'Yes': -8.963299, ' The': -9.234863}
{' No': -0.2228658, ' Yes': -1.6324021, 'No': -5.7775893, 'Yes': -6.9619575, ' The': -9.326596}
{' Yes': -0.009842051, ' No': -5.0763793, 'Yes': -5.6781745, 'No': -10.176813, ' The': -10.2270155}
{' Yes': -0.0054168305, 'Yes': -5.236427, ' yes': -9.819357, ' ': -11.864437, ' No': -12.043777}
{' Yes': -0.5844352, ' No': -0.8209656, 'No': -6.7610784, 'Yes': -6.783112, ' The': -9.478301}
{' No': -0.010597717, 'No': -4.5735054, ' Yes': -9.119998, ' ': -9.682344, '\n': -11.099524}
{' Yes': -0.0056300233, 'Yes': -5.403388, ' No': -6.8792334, ' yes': -10.256496, ' The': -11.169486}
