{' No': -0.019491663, ' Yes': -4.188889, 'No': -5.6951966, ' The': -7.8454537, '\n': -8.467041}
{' Yes': -0.043206528, ' No': -3.2536328, 'Yes': -6.0529046, ' The': -7.3012075, 'No': -8.359145}
{' No': -0.022849122, ' Yes': -4.073247, 'No': -5.309327, ' The': -8.326996, '\n': -8.623313}
{' No': -0.017386837, 'No': -4.713195, ' Yes': -4.8647356, ' The': -8.571486, ' "': -8.623313}
{' No': -0.09519059, ' Yes': -2.5269456, 'No': -4.6722946, ' The': -7.461569, 'Yes': -7.8366776}
{' No': -0.021100044, 'No': -4.3317366, ' Yes': -4.961728, ' The': -8.028837, '\n': -8.558514}
{' No': -0.04337427, ' Yes': -3.4959307, 'No': -4.5411215, '\n': -7.818354, ' The': -7.895125}
{' No': -0.05175241, ' Yes': -3.1968691, 'No': -4.7520123, ' The': -8.259718, 'Yes': -8.2694645}
{' No': -0.008303111, 'No': -5.044693, ' Yes': -7.222059, ' The': -7.377968, ' Not': -8.18494}
{' No': -0.010715192, 'No': -4.605787, ' The': -8.102113, ' Yes': -8.263799, ' Not': -10.83241}
{' Yes': -0.46970114, ' No': -1.0048115, 'No': -5.6124735, 'Yes': -5.641059, ' The': -7.446912}
{' No': -0.035191484, ' Yes': -3.7505462, 'No': -4.7066083, '\n': -7.058859, ' The': -7.5242867}
{' No': -0.01140797, 'No': -4.727598, ' Yes': -6.193973, '\n': -9.000207, ' The': -9.0570545}
{' No': -0.01214666, 'No': -4.5739045, ' Yes': -6.587918, ' The': -8.708756, ' Not': -9.665124}
{' No': -0.01468925, ' Yes': -4.868531, 'No': -5.0258946, ' The': -9.233546, '\n': -9.347412}
{' No': -0.020266457, 'No': -4.4549265, ' Yes': -4.8962812, '\n': -7.4841166, ' The': -8.990824}
{' No': -0.088880606, ' Yes': -2.625513, 'No': -4.736618, ' The': -6.0826797, ' Not': -6.8991294}
{' No': -0.0719619, ' Yes': -2.881391, 'No': -4.460716, ' The': -7.1856227, '\n': -7.7116103}
{' Yes': -0.0027372919, 'Yes': -6.3493323, ' No': -7.217904, ' The': -8.753534, ' yes': -9.780187}
{' No': -0.08732395, ' Yes': -2.5868642, 'No': -4.947683, ' The': -7.7185245, 'Yes': -8.160302}
{' No': -0.32426143, ' Yes': -1.3121268, 'No': -5.230761, 'Yes': -6.93449, '\n': -7.7218456}
{' No': -0.20950225, ' Yes': -1.7382516, 'No': -4.486548, 'Yes': -6.7675233, ' The': -7.7149167}
{' No': -0.0077072186, 'No': -5.183284, ' Yes': -6.248359, ' Not': -10.244043, ' The': -10.400519}
{' No': -0.06840766, ' Yes': -2.9128935, 'No': -4.5431294, ' The': -7.4897027, 'Yes': -8.144844}
{' No': -0.06389796, ' Yes': -2.901714, 'No': -5.1655498, ' The': -7.5959797, '\n': -8.05231}
{' No': -0.02066847, ' Yes': -4.5405045, 'No': -4.7057347, ' The': -7.964941, '\n': -8.809584}
{' No': -0.049961135, ' Yes': -3.174349, 'No': -5.098263, ' The': -8.33642, 'Yes': -8.529083}
{' No': -0.010406353, 'No': -5.2845454, ' Yes': -5.3749275, ' The': -7.6727324, '\n': -9.397249}
{' Yes': -0.010661874, ' No': -4.9040947, 'Yes': -5.9668283, ' The': -8.3486805, '\n': -8.441898}
{' No': -0.09002742, ' Yes': -2.538159, 'No': -5.070843, ' The': -8.099995, 'Yes': -8.260715}
{' No': -0.03257365, ' Yes': -3.8156908, 'No': -4.6605377, ' Not': -8.970548, '\n': -9.029173}
{' No': -0.0797942, ' Yes': -2.6604273, 'No': -5.134342, ' The': -8.195524, ' Not': -8.381989}
{' No': -0.5753998, ' Yes': -0.8437541, 'No': -5.6543274, ' The': -6.228615, 'Yes': -6.8248234}
{' No': -0.09790144, ' Yes': -2.4897397, 'No': -4.7314653, ' The': -7.6829176, '\n': -7.7069354}
{' No': -0.021218335, 'No': -4.4799128, ' Yes': -4.674533, ' The': -9.240071, '\n': -9.330875}
{' No': -0.031607617, ' Yes': -3.9611063, 'No': -4.449963, 'Yes': -8.780992, '\n': -9.261912}
{' No': -0.009319523, 'No': -4.9942894, ' Yes': -6.221327, ' The': -8.477406, '\n': -8.6662655}
{' No': -0.017679757, 'No': -4.6348233, ' Yes': -4.9339795, ' The': -8.279289, ' Not': -9.023804}
{' No': -0.0064993673, 'No': -5.275882, ' Yes': -6.7616487, ' The': -9.111384, ' Not': -10.40435}
{' No': -0.01838691, 'No': -4.3934364, ' Yes': -5.3143363, ' The': -7.5243278, ' "': -9.104979}
{' No': -0.025247963, ' Yes': -4.2606106, 'No': -4.6160793, ' The': -7.7584057, '\n': -8.52108}
{' Yes': -0.15790577, ' No': -1.9628527, 'Yes': -5.706635, 'No': -6.7184105, ' The': -7.142416}
{' No': -0.105368994, ' Yes': -2.360471, 'No': -5.2775946, 'Yes': -8.282941, ' The': -8.755397}
{' No': -0.6184178, ' Yes': -0.7893029, 'No': -5.431444, 'Yes': -6.339319, ' The': -8.106295}
{' No': -0.03653653, ' Yes': -3.9776201, 'No': -4.178035, ' "': -7.479026, '\n': -7.6495237}
{' No': -0.011619845, 'No': -4.6224327, ' Yes': -6.6109776, ' The': -8.391781, ' Not': -10.01712}
{' No': -0.0370295, ' Yes': -3.610361, 'No': -4.7523518, ' The': -8.090599, 'Yes': -8.889786}
{' No': -0.048813995, ' Yes': -3.2608004, 'No': -4.7400923, 'Yes': -8.478667, ' The': -8.836421}
{' No': -0.008745435, 'No': -5.207962, ' Yes': -5.83255, ' The': -8.8079815, ' Not': -9.708926}
{' No': -0.011157923, 'No': -4.7206745, ' Yes': -6.278663, ' The': -8.705262, ' Not': -9.820253}
{' No': -0.5573095, ' Yes': -0.8583349, ' Not': -6.8588195, 'No': -6.9852996, 'Yes': -7.1932616}
{' No': -0.07350856, ' Yes': -2.707267, 'No': -5.6657996, ' The': -7.8402886, 'Yes': -8.601658}
{' Yes': -0.47308114, ' No': -0.99795675, 'No': -5.7160883, 'Yes': -5.98306, ' The': -6.5666475}
{' No': -0.0370668, ' Yes': -3.7034218, 'No': -4.5485163, ' The': -7.6015916, '\n': -8.122096}
{' No': -0.01845667, ' Yes': -4.5051394, 'No': -5.0806646, ' The': -7.9921403, '\n': -8.454441}
{' No': -0.01655537, 'No': -4.606544, ' Yes': -5.1495967, ' The': -8.286101, '\n': -8.740096}
{' No': -0.020299546, 'No': -4.331041, ' Yes': -5.2123675, '\n': -7.086591, ' The': -8.345649}
{' No': -0.0073405867, 'No': -4.9524584, ' Yes': -9.684665, ' The': -10.022957, ' Not': -10.148599}
{' No': -0.035462126, ' Yes': -3.6454074, 'No': -4.854443, ' The': -7.818238, ' Not': -8.331587}
{' No': -0.009473672, 'No': -4.8674564, ' Yes': -6.6107593, ' The': -8.520434, ' Not': -9.522939}
{' No': -0.02283778, ' Yes': -4.2250414, 'No': -4.9195695, ' The': -7.9663763, 'Yes': -9.406718}
{' No': -0.029126242, ' Yes': -3.9554892, 'No': -4.781548, ' The': -7.292405, '\n': -8.933343}
{' Yes': -0.16736694, ' No': -1.8999851, 'Yes': -6.102101, 'No': -7.0163713, ' The': -7.28631}
{' No': -0.09670834, ' Yes': -2.4961948, 'No': -4.8217373, '\n': -7.386184, 'Yes': -7.6586246}
{' Yes': -0.1198628, ' No': -2.203788, 'Yes': -6.3179617, 'No': -7.9916697, ' The': -8.443528}
{' No': -0.060035955, ' Yes': -2.9571745, 'No': -5.309574, ' The': -7.6639194, '\n': -7.713349}
{' No': -0.010356062, 'No': -4.7747087, ' Yes': -6.3912516, '\n': -9.712449, ' ': -10.378314}
{' No': -0.01122079, 'No': -4.8416915, ' Yes': -5.8518596, ' Not': -9.029214, ' The': -9.278014}
{' No': -0.30376872, ' Yes': -1.3882643, 'No': -4.6069455, 'Yes': -6.351726, ' The': -7.719808}
{' No': -0.016460903, 'No': -4.3329854, ' Yes': -6.1870227, ' The': -7.9033566, '\n': -8.172119}
{' No': -0.022290623, ' Yes': -4.152385, 'No': -5.1144233, ' The': -9.370769, '\n': -9.467187}
{' No': -0.016986081, 'No': -4.609807, ' Yes': -5.035016, '\n': -8.894561, ' The': -9.300212}
{' No': -0.013355441, 'No': -4.3572807, ' The': -8.425781, ' Yes': -9.881748, ' "': -9.883157}
{' No': -0.012511925, 'No': -4.418979, ' The': -8.771865, ' Yes': -9.603751, '\n': -9.832118}
{' Yes': -0.26756033, ' No': -1.4737982, 'Yes': -5.715205, 'No': -6.218949, ' The': -8.968711}
{' No': -0.016145503, ' Yes': -4.7217784, 'No': -5.017654, ' The': -8.613686, ' Not': -8.773738}
{' No': -0.008228167, 'No': -4.8368087, ' The': -9.168796, ' Yes': -9.838013, '\n': -10.461443}
{' No': -0.011464521, 'No': -4.488675, '\n': -9.800258, ' The': -10.115066, ' ': -10.688228}
{' Yes': -0.17521085, ' No': -1.8522968, 'Yes': -6.2895446, ' The': -7.051292, 'No': -7.2605987}
{' No': -0.012894347, 'No': -4.4051824, ' Yes': -7.7862873, ' The': -9.391968, '\n': -10.58849}
{' No': -0.038430788, ' Yes': -3.579824, 'No': -4.7349296, ' The': -7.8217783, ' Not': -8.08394}
{' No': -0.025087452, 'No': -4.238264, ' Yes': -4.630106, ' The': -8.75736, ' Not': -8.810633}
{' Yes': -0.6875867, ' No': -0.7186517, 'No': -5.507746, 'Yes': -6.1982427, '\n': -6.4223104}
{' No': -0.016981356, 'No': -4.593172, ' Yes': -5.138031, '\n': -7.8040032, ' The': -8.552181}
{' No': -0.044958968, ' Yes': -3.2645614, 'No': -5.252837, 'Yes': -8.892782, ' The': -9.137047}
{' No': -0.1631884, ' Yes': -1.9418176, 'No': -5.2247596, ' The': -7.40879, 'Yes': -7.417379}
{' No': -0.042227402, ' Yes': -3.2748878, 'No': -5.8058605, ' Not': -8.53936, ' The': -8.837374}
{' Yes': -0.060153432, ' No': -2.8995755, 'Yes': -6.1759024, ' The': -7.8314004, '\n': -8.000846}
{' No': -0.021865908, ' Yes': -4.2390914, 'No': -5.087396, ' The': -7.8522105, '\n': -8.219601}
{' No': -0.017927555, 'No': -4.7841134, ' Yes': -4.7950006, ' The': -7.6177616, '\n': -8.340275}
{' No': -0.06951436, ' Yes': -2.8383853, 'No': -5.0818644, ' The': -6.691443, ' Not': -7.3891873}
{' No': -0.19986276, ' Yes': -1.7759964, 'No': -5.040109, ' The': -5.797574, 'Yes': -7.076762}
{' Yes': -0.28109714, ' No': -1.4326608, 'Yes': -5.734189, 'No': -6.276059, ' The': -7.22372}
{' Yes': -0.086399704, ' No': -2.5464904, 'Yes': -5.901295, ' The': -7.422999, 'No': -7.528715}
{' No': -0.072237425, ' Yes': -2.8421292, 'No': -4.655302, ' The': -7.4778543, ' Not': -7.5839877}
{' No': -0.07655128, ' Yes': -2.738857, 'No': -4.9133606, '\n': -7.428449, ' The': -7.622154}
{' No': -0.04290728, ' Yes': -3.352441, 'No': -5.2922835, ' The': -6.6645827, ' Not': -8.361619}
{' No': -0.024731986, ' Yes': -4.2544336, 'No': -4.7064276, ' The': -7.5365252, '\n': -8.283448}
{' No': -0.03453053, ' Yes': -3.79076, 'No': -4.5642185, '\n': -8.049778, 'Yes': -8.454592}
{' No': -0.021143513, ' Yes': -4.3348947, 'No': -5.001333, ' Not': -7.7507653, ' The': -7.971981}
{' Yes': -0.35397026, ' No': -1.2268398, 'Yes': -6.0609097, 'No': -6.646471, ' The': -7.14102}
{' No': -0.03656861, ' Yes': -3.6182985, 'No': -4.7823915, ' The': -8.152526, 'Yes': -8.680982}
{' No': -0.009750561, 'No': -5.081412, ' Yes': -5.90249, ' The': -8.070009, ' Not': -8.4982395}
{' No': -0.017739393, ' Yes': -4.6064405, 'No': -4.9742303, ' The': -7.753072, ' Not': -9.047086}
{' No': -0.15783885, ' Yes': -1.9703941, 'No': -5.3710823, ' The': -7.3044333, 'Yes': -7.742519}
{' No': -0.02018678, ' Yes': -4.489179, 'No': -4.8668284, ' The': -7.4840865, ' Not': -8.234547}
{' No': -0.015942538, 'No': -4.59262, ' Yes': -5.2911844, '\n': -8.045328, ' The': -9.065646}
{' No': -0.25235417, ' Yes': -1.5593305, 'No': -4.655937, 'Yes': -6.641445, '\n': -7.125254}
{' Yes': -0.2067329, ' No': -1.7000589, 'Yes': -6.1437116, 'No': -6.709172, ' The': -7.954247}
{' No': -0.036196187, ' Yes': -3.5486796, 'No': -5.0836587, ' The': -8.56584, ' Not': -8.9276085}
{' No': -0.009640059, 'No': -4.740694, ' Yes': -7.631813, ' The': -8.96534, '\n': -9.161766}
{' No': -0.026255738, 'No': -3.6841917, '\n': -7.684306, ' Yes': -8.7921095, ' ': -9.438901}
{' Yes': -0.024091233, ' No': -3.939485, 'Yes': -5.7788987, ' The': -7.4992495, ' Not': -8.527963}
{' No': -0.4953382, ' Yes': -0.95964223, 'No': -5.2978187, 'Yes': -6.4676967, ' The': -7.5946364}
{' No': -0.009654204, 'No': -5.1101027, ' Yes': -5.795134, ' The': -8.519349, '\n': -8.991256}
{' No': -0.008165369, 'No': -4.8962207, ' Yes': -7.7566714, ' The': -9.694201, ' ': -9.798807}
{' No': -0.01821311, 'No': -4.150602, ' Yes': -6.2623463, ' The': -8.996781, '\n': -9.134263}
{' No': -0.307195, ' Yes': -1.3756669, 'No': -4.820873, 'Yes': -6.5272036, ' The': -6.768142}
{' No': -0.21202384, ' Yes': -1.762292, 'No': -4.251895, '\n': -6.2112207, 'Yes': -6.2675405}
{' Yes': -0.07892959, ' No': -2.6378934, 'Yes': -5.623235, 'No': -7.877389, ' The': -8.6383295}
{' No': -0.3088115, ' Yes': -1.3635564, 'No': -4.8665166, 'Yes': -6.654011, ' Not': -7.7991486}
{' No': -0.2765111, ' Yes': -1.4455537, 'No': -5.6527376, ' The': -6.7946234, 'Yes': -7.372231}
{' No': -0.008666609, 'No': -5.2357, ' Yes': -5.794482, ' The': -8.694993, ' Not': -10.714025}
{' No': -0.026664145, ' Yes': -3.87906, 'No': -5.2737417, ' The': -8.197841, ' Not': -9.518099}
{' Yes': -0.018441368, ' No': -4.2019453, 'Yes': -5.8740506, ' The': -8.215232, 'No': -9.311724}
{' No': -0.25076768, ' Yes': -1.5544825, 'No': -4.745307, 'Yes': -6.7798715, ' The': -8.206021}
{' No': -0.017861411, 'No': -4.0963373, ' Yes': -7.7875547, ' The': -7.804253, ' Not': -9.229239}
{' No': -0.009690674, 'No': -4.7317, ' Yes': -7.3892026, ' The': -9.038512, '\n': -10.481065}
{' No': -0.008063336, 'No': -4.960801, ' Yes': -7.223174, ' Not': -9.44107, ' The': -9.550103}
{' No': -0.021470236, 'No': -4.1851206, ' Yes': -5.175107, ' Not': -9.095288, ' The': -9.197742}
{' No': -0.02134595, 'No': -4.2849145, ' Yes': -5.1446996, '\n': -7.5750484, ' The': -7.71901}
{' No': -0.021579009, 'No': -4.0056105, ' Yes': -6.0791616, ' The': -7.962014, ' Not': -8.059577}
{' No': -0.013700724, 'No': -4.7463307, ' Yes': -5.5299854, '\n': -7.674742, ' The': -8.8418045}
{' No': -0.011322846, 'No': -4.5998197, ' Yes': -6.979664, ' The': -8.970236, '\n': -9.804924}
{' Yes': -0.0072094603, 'Yes': -5.6441774, ' No': -5.6661315, ' The': -9.827313, ' yes': -9.912389}
{' No': -0.24232472, ' Yes': -1.6124495, 'No': -4.413158, 'Yes': -6.482162, ' The': -6.9380484}
{' Yes': -0.58666897, ' No': -0.8240709, 'No': -5.8426366, 'Yes': -6.2890706, ' The': -8.640973}
{' No': -0.10537834, ' Yes': -2.365844, 'No': -5.227128, 'Yes': -8.087334, ' The': -8.179195}
{' No': -0.02230824, 'No': -4.2705264, ' Yes': -4.94593, '\n': -7.770391, ' The': -8.146}
{' No': -0.10903117, ' Yes': -2.4805179, 'No': -4.1055446, '\n': -6.826022, 'Yes': -6.883818}
{' No': -0.6212656, ' Yes': -0.8244422, 'No': -4.2034893, 'Yes': -5.3661995, ' The': -6.3953342}
{' No': -0.046979938, 'No': -3.2943056, ' Yes': -4.9228363, ' The': -7.50777, '\n': -7.8678284}
{' No': -0.03336745, 'No': -4.2059064, ' Yes': -4.22947, '\n': -6.455108, ' The': -6.930841}
{' No': -0.062429532, ' Yes': -3.4108772, 'No': -3.6600702, ' The': -7.594238, 'Yes': -7.596565}
{' No': -0.043621484, 'No': -3.2438338, ' Yes': -5.794281, '\n': -8.065184, ' ': -9.42061}
{' No': -0.2370217, ' Yes': -1.6234295, 'No': -4.5173635, 'Yes': -6.5146685, ' The': -7.0650587}
{' No': -0.07384021, ' Yes': -2.9209127, 'No': -4.1102343, 'Yes': -7.5936384, ' The': -9.063354}
{' No': -0.042131968, 'No': -3.222191, ' Yes': -7.006495, ' The': -8.826215, '\n': -8.9106245}
{' No': -0.20271133, ' Yes': -1.7986526, 'No': -4.2443085, 'Yes': -6.4280205, '\n': -6.7643757}
{' No': -0.27715975, ' Yes': -1.5241596, 'No': -3.9459598, 'Yes': -6.221448, ' The': -6.4400606}
{' No': -0.093933195, ' Yes': -2.5679302, 'No': -4.4257603, 'Yes': -7.4545093, ' The': -8.847333}
{' No': -0.07174607, 'No': -3.2335825, ' Yes': -3.5756426, ' The': -7.2928224, 'Yes': -7.7204785}
{' No': -0.16513233, ' Yes': -2.0911996, 'No': -3.7820525, ' The': -6.363882, 'Yes': -6.5343456}
{' No': -0.27409494, ' Yes': -1.4861826, 'No': -4.642511, ' Not': -6.4341784, 'Yes': -6.583171}
{' No': -0.36867386, ' Yes': -1.2232786, 'No': -4.675175, 'Yes': -6.1015606, ' Not': -6.757084}
{' No': -0.09800925, ' Yes': -2.9106557, 'No': -3.3694494, ' The': -6.3634133, 'Yes': -6.920824}
{' No': -0.03401092, 'No': -3.4533126, ' Yes': -6.88007, '\n': -7.9982, ' The': -8.609288}
{' No': -0.06524184, 'No': -2.9173038, ' Yes': -4.837537, '\n': -8.061952, 'Yes': -8.086499}
{' No': -0.030603051, 'No': -3.7339664, ' Yes': -5.122026, '\n': -9.234328, 'Yes': -9.335622}
{' No': -0.6814813, ' Yes': -0.72594154, 'No': -5.176385, 'Yes': -5.8420286, ' The': -7.282862}
{' No': -0.05818749, 'No': -2.8769417, '\n': -9.549048, ' The': -9.944353, ' ': -10.022044}
{' No': -0.05239439, 'No': -2.9785345, '\n': -9.911845, ' The': -10.017657, ' ': -10.292502}
{' No': -0.08407216, ' Yes': -2.91679, 'No': -3.6964054, 'Yes': -7.4436774, ' The': -7.702589}
{' No': -0.046929896, 'No': -3.2593627, ' Yes': -5.028608, ' The': -7.9788985, '\n': -8.872823}
{' Yes': -0.070614725, ' No': -2.8369205, 'Yes': -4.9917555, 'No': -6.9500165, '\n': -7.315041}
{' No': -0.08955487, ' Yes': -2.9584682, 'No': -3.4489753, 'Yes': -6.927493, ' The': -7.718081}
{' No': -0.07344474, ' Yes': -3.139944, 'No': -3.8045006, '\n': -5.7892685, ' "': -7.2668724}
{' No': -0.028068239, 'No': -3.6209311, ' Yes': -7.2698207, ' The': -9.63812, ' ': -10.036784}
{' No': -0.21889941, ' Yes': -1.7469659, 'No': -4.1643014, '\n': -5.650084, 'Yes': -6.230023}
{' Yes': -0.15316235, ' No': -2.1157172, 'Yes': -4.394594, 'No': -5.728306, '\n': -5.7545376}
{' Yes': -0.018851334, ' No': -4.310046, 'Yes': -5.4697976, ' The': -7.488448, ' yes': -8.708857}
{' No': -0.029183682, 'No': -4.1642966, ' Yes': -4.3770323, ' The': -8.442664, '\n': -8.867394}
{' No': -0.18736821, ' Yes': -2.1047552, 'No': -3.1104794, 'Yes': -6.425543, ' The': -6.7497463}
{' No': -0.12034363, 'No': -2.2107766, ' Yes': -5.989381, ' The': -7.908604, '\n': -7.9234996}
{' No': -0.13985492, ' Yes': -2.302691, 'No': -3.895516, '\n': -5.162537, ' The': -6.471861}
{' No': -0.114330545, ' Yes': -2.3469107, 'No': -4.5690866, ' The': -7.385734, 'Yes': -7.443638}
{' No': -0.03382785, 'No': -3.4385803, ' Yes': -7.0456514, ' ': -9.471248, '\n': -9.509923}
{' No': -0.048186313, 'No': -3.1227484, ' Yes': -6.0320916, ' The': -8.562879, '\n': -9.0012865}
{' No': -0.088703625, ' Yes': -2.8965685, 'No': -3.5889971, 'Yes': -7.20767, ' The': -7.303011}
{' No': -0.09115197, ' Yes': -2.9274418, 'No': -3.500259, ' The': -6.4760604, 'Yes': -7.204145}
{' No': -0.021583395, 'No': -3.8911798, ' Not': -7.6171527, ' Yes': -8.372557, ' The': -9.321803}
{' No': -0.02176052, 'No': -3.8624756, ' Yes': -8.3068, ' The': -9.370584, '\n': -9.611932}
