{' No': -0.07183919, ' Yes': -2.7906997, 'No': -4.9420385, 'Yes': -8.206423, '\n': -8.27543}
{' Yes': -0.0422675, ' No': -3.2254186, 'Yes': -6.7644925, ' The': -8.495312, ' yes': -9.242842}
{' Yes': -0.14512871, ' No': -2.0235693, 'Yes': -6.222607, 'No': -7.493544, ' The': -8.869013}
{' Yes': -0.00858292, ' No': -5.4265423, 'Yes': -5.514679, ' yes': -10.078825, 'No': -10.122435}
{' No': -0.012779089, 'No': -5.079393, ' Yes': -5.0886226, ' The': -8.456508, ' Not': -10.4968195}
{' No': -0.14124085, ' Yes': -2.0777357, 'No': -5.3673835, ' The': -7.202062, 'Yes': -7.8356833}
{' No': -0.1683269, ' Yes': -1.9251187, 'No': -4.9891353, ' The': -6.8175573, 'Yes': -7.3808374}
{' Yes': -0.044377577, ' No': -3.1806653, 'Yes': -6.516597, 'No': -8.889297, ' The': -9.686017}
{' Yes': -0.16001561, ' No': -1.9364878, 'Yes': -6.151342, 'No': -7.1770973, ' The': -8.137377}
{' Yes': -0.17490841, ' No': -1.8427721, 'Yes': -6.9679227, ' The': -7.406758, 'No': -8.162215}
{' No': -0.00919331, 'No': -5.2216187, ' Yes': -5.7059345, ' The': -8.656271, '\n': -9.445699}
{' No': -0.06136549, ' Yes': -3.0244734, 'No': -4.6299863, ' The': -7.894724, '\n': -8.093813}
{' No': -0.008552984, 'No': -5.142069, ' Yes': -5.9985867, ' The': -9.307314, '\n': -10.309828}
{' Yes': -0.0025188026, 'Yes': -6.0958567, ' No': -8.614638, ' yes': -9.905367, ' The': -11.047452}
{' Yes': -0.0785359, ' No': -2.6215506, 'Yes': -6.1368127, 'No': -7.9427667, ' The': -8.759599}
{' Yes': -0.45608935, ' No': -1.0196843, 'No': -6.0574737, 'Yes': -6.0592327, ' The': -7.626428}
{' No': -0.008089116, 'No': -4.871727, ' Yes': -8.16166, ' The': -9.914013, ' Not': -10.605349}
{' No': -0.2821753, ' Yes': -1.4233782, 'No': -5.6273365, 'Yes': -7.183309, ' Not': -8.602402}
{' Yes': -0.0061694584, 'Yes': -5.4978724, ' No': -6.2498484, ' The': -9.888789, ' yes': -10.195291}
{' Yes': -0.0018964654, 'Yes': -6.39155, ' No': -9.029035, ' yes': -9.669792, ' The': -10.73967}
{' No': -0.022212066, ' Yes': -4.0953107, 'No': -5.5141454, ' Not': -7.060834, ' The': -8.799078}
{' No': -0.06451657, ' Yes': -2.8679585, 'No': -5.270657, 'Yes': -8.655032, ' Not': -8.958214}
{' Yes': -0.65438306, ' No': -0.7428841, 'No': -6.1036396, 'Yes': -6.7141285, ' The': -7.095684}
{' Yes': -0.035393335, ' No': -3.4129376, 'Yes': -6.4766774, ' The': -9.117687, 'No': -9.403952}
{' Yes': -0.013752451, ' No': -4.5301366, 'Yes': -6.1030903, ' The': -7.8227844, '\n': -9.365093}
{' No': -0.26260638, ' Yes': -1.4841868, 'No': -5.9158635, ' The': -7.2901635, 'Yes': -7.7524395}
{' No': -0.010099657, 'No': -4.673474, ' Yes': -7.561453, ' The': -9.329367, ' Not': -10.369471}
{' Yes': -0.0035578911, 'Yes': -5.8761506, ' No': -7.47349, ' yes': -9.286955, '\n': -9.944803}
{' Yes': -0.048299223, ' No': -3.1152925, 'Yes': -6.169169, ' The': -8.426393, 'No': -8.444066}
{' No': -0.11469361, ' Yes': -2.2595396, 'No': -6.060925, '\n': -7.531569, ' The': -7.5862846}
{' No': -0.22998007, ' Yes': -1.5944381, 'No': -6.551908, 'Yes': -7.554984, ' The': -7.883512}
{' No': -0.24063683, ' Yes': -1.5773506, 'No': -5.2928696, 'Yes': -7.128517, ' The': -7.428983}
{' No': -0.0055980138, 'No': -5.7511573, ' Yes': -6.117332, ' The': -9.818761, '\n': -9.909809}
{' Yes': -0.5371379, ' No': -0.8923358, '\n': -6.4497623, 'Yes': -6.497616, 'No': -6.6358924}
{' No': -0.060839783, ' Yes': -2.8943646, 'No': -5.855939, ' The': -8.089429, '\n': -8.570506}
{' No': -0.35367242, ' Yes': -1.225596, 'No': -5.798956, 'Yes': -7.2033067, ' Not': -8.8658905}
{' No': -0.07656422, ' Yes': -2.6799655, 'No': -5.4956756, ' The': -7.4208407, 'Yes': -8.461112}
{' No': -0.21905255, ' Yes': -1.6603367, 'No': -5.6142755, ' The': -6.435275, ' Not': -7.370679}
{' Yes': -0.69617087, ' No': -0.6963178, 'No': -6.7658634, ' The': -6.8123946, 'Yes': -7.3085}
{' No': -0.11526813, ' Yes': -2.2515786, 'No': -5.798747, 'Yes': -8.303193, ' The': -9.047545}
{' No': -0.20006551, ' Yes': -1.7306173, 'No': -5.8034744, 'Yes': -7.7378135, '\n': -8.144419}
{' No': -0.4233797, ' Yes': -1.0751188, 'No': -6.299003, ' The': -6.812436, 'Yes': -7.53173}
{' No': -0.013483511, 'No': -4.7886066, ' Yes': -5.327742, ' The': -9.629864, '\n': -9.883295}
{' Yes': -0.23487194, ' No': -1.5760145, 'Yes': -6.459281, 'No': -7.2665524, '\n': -9.455776}
{' Yes': -0.009010215, ' No': -5.039737, 'Yes': -6.1279407, ' The': -9.193352, '\n': -9.429247}
{' No': -0.049454786, ' Yes': -3.0959768, 'No': -6.012769, ' The': -8.280927, '\n': -9.212886}
{' No': -0.038779262, ' Yes': -3.4074984, 'No': -5.5778546, ' Not': -7.6316247, ' The': -7.8640466}
{' No': -0.47204596, ' Yes': -0.98755455, 'No': -6.1237807, 'Yes': -7.2906585, ' The': -7.6150494}
{' No': -0.35081327, ' Yes': -1.2385697, 'No': -5.535368, 'Yes': -6.9786777, ' The': -7.823948}
{' No': -0.31445652, ' Yes': -1.3230033, 'No': -5.960328, 'Yes': -7.4127345, ' The': -8.991488}
{' No': -0.009642408, 'No': -5.1422276, ' Yes': -5.6454415, ' The': -9.007697, '\n': -10.308151}
{' Yes': -0.0068962416, ' No': -5.3121767, 'Yes': -6.390292, ' The': -8.975612, ' yes': -9.714791}
{' Yes': -0.026437186, ' No': -3.7584682, 'Yes': -6.2571726, '\n': -7.803685, ' The': -8.658595}
{' No': -0.024917493, ' Yes': -4.1107306, 'No': -4.8396263, ' The': -9.315384, 'Yes': -9.470141}
{' Yes': -0.6617728, ' No': -0.7417631, 'No': -5.3279886, 'Yes': -6.1369963, ' The': -7.724566}
{' No': -0.006372609, 'No': -5.2760677, ' Yes': -6.950285, ' Not': -8.822863, ' The': -9.531889}
{' No': -0.021933718, 'No': -4.2385874, ' Yes': -5.031333, '\n': -8.381382, ' The': -8.776962}
{' No': -0.052322663, ' Yes': -3.2219465, 'No': -4.6037197, ' "': -8.191641, 'Yes': -8.274364}
{' No': -0.08006691, ' Yes': -2.70282, 'No': -4.741047, ' The': -7.742296, 'Yes': -7.9012065}
{' No': -0.09844713, ' Yes': -2.4008229, 'No': -6.241086, ' The': -7.3511724, ' Not': -8.404845}
{' No': -0.48266125, ' Yes': -0.97851074, 'No': -5.618567, ' The': -6.547215, 'Yes': -6.7878637}
{' No': -0.32133973, ' Yes': -1.3372871, 'No': -4.800332, 'Yes': -6.285645, ' The': -7.168156}
{' No': -0.0076352027, 'No': -5.137487, ' Yes': -6.7263217, ' The': -8.443653, ' Not': -8.997501}
{' No': -0.008735814, 'No': -4.755768, ' ': -10.218323, '\n': -10.760559, ' "': -11.147836}
{' No': -0.010636874, 'No': -4.5568633, '\n': -10.805289, ' ': -10.873559, ' The': -10.886069}
{' No': -0.6329428, ' Yes': -0.7657419, 'No': -6.251284, 'Yes': -6.842072, ' Not': -7.702124}
{' No': -0.122602195, ' Yes': -2.2005136, 'No': -5.5415893, 'Yes': -8.072896, ' The': -8.617257}
{' No': -0.49748427, ' Yes': -0.9496728, 'No': -5.9615154, ' The': -6.609804, 'Yes': -7.178797}
{' No': -0.09038468, ' Yes': -2.5183554, 'No': -5.3911943, ' The': -7.3166666, ' "': -8.456369}
{' No': -0.0053389287, 'No': -5.300768, ' Yes': -8.338921, ' ': -10.566163, ' The': -10.697832}
{' No': -0.005722696, 'No': -5.3023744, ' Yes': -7.523942, '\n': -9.764312, ' The': -9.848808}
{' No': -0.05291455, ' Yes': -3.0496566, 'No': -5.6284795, ' Not': -8.471592, 'Yes': -9.020925}
{' No': -0.017897276, ' Yes': -4.629849, 'No': -4.875628, ' Not': -8.831518, ' The': -9.3125305}
{' No': -0.00792118, 'No': -5.4510555, ' Yes': -5.6899214, ' The': -9.451488, ' Not': -9.509501}
{' No': -0.01687472, ' Yes': -4.2999578, 'No': -5.960056, ' The': -7.8072376, ' Not': -9.983543}
{' No': -0.05208924, ' Yes': -3.157285, 'No': -4.8789663, ' The': -8.279136, 'Yes': -8.765428}
{' No': -0.01751967, ' Yes': -4.7231393, 'No': -4.821482, ' The': -8.775169, ' Not': -9.501868}
{' Yes': -0.006453353, ' No': -5.382491, 'Yes': -6.473978, ' The': -8.74361, ' yes': -9.695705}
{' Yes': -0.013091441, ' No': -4.5727644, 'Yes': -6.060949, '\n': -9.2657175, ' The': -9.489631}
{' Yes': -0.019176155, ' No': -4.115476, 'Yes': -6.080598, ' The': -8.827359, ' yes': -9.014623}
{' No': -0.0026354524, 'No': -6.192435, ' Yes': -7.6628084, ' The': -10.0169325, '\n': -10.915715}
{' No': -0.059114262, ' Yes': -2.94441, 'No': -5.615716, '\n': -7.8771105, ' The': -7.927181}
{' No': -0.36175463, ' Yes': -1.2149098, 'No': -5.391568, 'Yes': -6.7813535, ' The': -7.2374334}
{' No': -0.007527999, 'No': -5.325456, ' Yes': -6.020908, ' The': -9.563005, ' Not': -10.1228}
{' No': -0.020081628, 'No': -4.419854, ' Yes': -4.896405, ' The': -8.996974, '\n': -9.536851}
{' No': -0.017741518, ' Yes': -4.7560453, 'No': -4.7807913, ' The': -8.381606, '\n': -8.910036}
{' No': -0.0077000107, 'No': -5.323658, ' Yes': -6.0471606, ' The': -8.810624, '\n': -8.851517}
{' Yes': -0.023566464, ' No': -3.8660781, 'Yes': -6.5785356, ' The': -7.479197, ' yes': -8.77104}
{' No': -0.26684234, ' Yes': -1.4765763, 'No': -5.506388, 'Yes': -7.336817, ' The': -7.603295}
{' Yes': -0.0025006977, 'Yes': -6.056635, ' yes': -9.841368, ' No': -10.071762, '\n': -10.579409}
{' Yes': -0.0055302843, ' No': -5.739127, 'Yes': -6.1313696, ' yes': -9.886863, ' The': -10.339344}
{' Yes': -0.03222937, ' No': -3.5413291, 'Yes': -6.2218537, ' The': -7.6148567, 'No': -9.137733}
{' No': -0.08783597, ' Yes': -2.5119462, 'No': -6.0869718, ' The': -7.886399, 'Yes': -8.644955}
{' No': -0.01205393, ' Yes': -4.59884, 'No': -6.36686, ' Not': -9.639108, '\n': -10.158954}
{' No': -0.0035339058, 'No': -5.82929, ' Yes': -7.7142353, ' The': -10.263255, '\n': -10.327111}
{' Yes': -0.5147952, ' No': -0.9251651, 'No': -5.9804435, 'Yes': -6.035084, ' The': -7.2492824}
{' No': -0.17525637, ' Yes': -1.9031311, 'No': -4.6329474, 'Yes': -6.9511576, ' The': -7.670518}
{' No': -0.009424873, 'No': -4.7552037, ' Yes': -7.568749, ' The': -9.323376, '\n': -9.8810215}
{' No': -0.01591662, 'No': -4.1932178, ' The': -8.206916, '\n': -8.635492, ' Yes': -9.37495}
{' No': -0.1383953, ' Yes': -2.0845032, 'No': -5.687824, ' The': -7.646456, 'Yes': -7.8642387}
{' No': -0.008193854, ' Yes': -5.453226, 'No': -5.6624317, '\n': -8.657436, ' The': -9.127585}
{' Yes': -0.09434375, ' No': -2.44871, 'Yes': -6.1963177, ' The': -7.227582, 'No': -7.62913}
{' No': -0.49329796, ' Yes': -0.9518742, 'No': -6.2600675, ' The': -7.3198447, 'Yes': -7.4818273}
{' No': -0.10584343, ' Yes': -2.3502204, 'No': -5.695679, ' The': -6.9267373, 'Yes': -8.124874}
{' No': -0.42223734, ' Yes': -1.0778656, 'No': -6.1149592, 'Yes': -7.2045918, ' The': -7.623384}
{' Yes': -0.0021646959, 'Yes': -6.7518115, ' No': -7.422046, '\n': -8.438947, ' yes': -9.364843}
{' No': -0.5042023, ' Yes': -0.9386982, 'No': -5.7068424, 'Yes': -6.7896304, ' The': -8.571226}
{' No': -0.008639374, 'No': -5.137137, ' Yes': -6.074033, '\n': -8.8609085, ' The': -8.868493}
{' No': -0.006510106, 'No': -5.460392, ' Yes': -6.2432055, ' The': -8.633434, ' "': -10.442585}
{' No': -0.17242713, ' Yes': -1.884427, 'No': -5.38613, '\n': -7.432228, 'Yes': -7.6525617}
{' No': -0.40044242, ' Yes': -1.1223377, 'No': -5.80144, 'Yes': -7.029178, ' The': -7.882475}
{' No': -0.0895114, ' Yes': -2.5056815, 'No': -5.662455, ' The': -8.512723, 'Yes': -8.610545}
{' No': -0.054388944, ' Yes': -3.04827, 'No': -5.335641, ' The': -7.8315096, 'Yes': -8.995152}
{' No': -0.15415485, ' Yes': -2.0500212, 'No': -4.4402246, '\n': -6.900098, 'Yes': -6.927735}
{' Yes': -0.0796436, ' No': -2.6173136, 'Yes': -5.86602, 'No': -7.7622356, ' The': -9.104372}
{' No': -0.14465794, ' Yes': -2.0257804, 'No': -6.229468, ' The': -7.9410043, 'Yes': -8.475718}
{' No': -0.08453706, ' Yes': -2.6116614, 'No': -4.9493995, 'Yes': -8.075881, ' The': -9.244784}
{' No': -0.007214803, 'No': -5.569005, ' Yes': -5.7806425, ' The': -9.048131, ' Not': -9.935506}
{' No': -0.007306002, 'No': -5.1859136, ' Yes': -6.6471963, ' The': -8.266836, ' Not': -10.051649}
{' No': -0.024609437, 'No': -4.1956887, ' Yes': -4.8368897, ' The': -7.428725, ' Not': -7.7372456}
{' No': -0.012070822, 'No': -4.7012796, ' Yes': -5.9189672, ' The': -9.480271, '\n': -10.009927}
{' No': -0.035885554, ' Yes': -3.519635, 'No': -5.3081784, ' The': -8.429367, '\n': -8.732225}
{' Yes': -0.19986604, ' No': -1.7255218, 'Yes': -6.5444303, ' The': -7.3271637, 'No': -7.425265}
{' Yes': -0.00619111, ' No': -5.743053, 'Yes': -5.9359922, ' The': -8.78835, ' yes': -9.41418}
{' Yes': -0.41320392, ' No': -1.0944021, 'Yes': -6.2744346, 'No': -6.5620546, ' The': -8.2802}
{' No': -0.6401553, ' Yes': -0.7541137, 'No': -6.730954, 'Yes': -7.287135, ' The': -8.102927}
{' No': -0.069985315, ' Yes': -2.7403152, 'No': -6.0313096, ' The': -8.231669, 'Yes': -9.1327715}
{' Yes': -0.021565547, ' No': -4.014214, 'Yes': -5.995991, ' The': -8.109525, '\n': -8.437156}
{' Yes': -0.08037607, ' No': -2.6140294, 'Yes': -5.7621956, 'No': -7.852898, ' The': -8.466966}
{' Yes': -0.22156532, ' No': -1.6547338, 'Yes': -5.604925, 'No': -6.2762847, ' The': -6.8627315}
{' No': -0.068763226, ' Yes': -2.821319, 'No': -5.1742926, ' The': -7.561757, '\n': -8.162663}
{' Yes': -0.629774, ' No': -0.7747687, 'No': -5.748302, 'Yes': -5.9597983, ' The': -8.186973}
{' No': -0.19185513, ' Yes': -1.7818916, 'No': -5.314015, 'Yes': -7.251517, ' The': -8.145563}
{' No': -0.36393014, ' Yes': -1.211964, 'No': -5.5547504, '\n': -6.436518, 'Yes': -6.828562}
{' No': -0.0049475813, 'No': -5.4077873, ' Yes': -8.246818, ' The': -9.52206, ' Not': -9.8601675}
{' Yes': -0.07141039, ' No': -2.7861316, 'Yes': -5.131385, 'No': -7.127046, '\n': -8.519009}
{' No': -0.3145166, ' Yes': -1.3299509, 'No': -5.7184205, 'Yes': -7.2389565, '\n': -7.511194}
{' No': -0.42992905, ' Yes': -1.0686772, 'No': -5.6936216, 'Yes': -6.8307333, ' The': -6.8536005}
{' No': -0.14237614, ' Yes': -2.077719, 'No': -5.1032696, ' The': -7.4361153, 'Yes': -7.575604}
{' No': -0.05610497, ' Yes': -3.0956767, 'No': -4.7568493, 'Yes': -8.221533, ' The': -8.521986}
{' No': -0.04404851, ' Yes': -3.2769127, 'No': -5.3314114, ' The': -8.450489, 'Yes': -8.899784}
{' No': -0.041161407, ' Yes': -3.3872418, 'No': -5.1772604, ' The': -7.715398, ' Not': -8.684478}
{' No': -0.6389125, ' Yes': -0.7648319, 'No': -5.75724, 'Yes': -6.147156, ' The': -7.073462}
{' No': -0.031641882, ' Yes': -3.6916971, 'No': -5.3014, '\n': -7.228179, ' ': -8.458071}
{' No': -0.14055441, ' Yes': -2.0917664, 'No': -5.0655875, 'Yes': -7.515825, '\n': -8.006694}
{' Yes': -0.03780458, ' No': -3.3845487, 'Yes': -6.0588956, ' The': -7.530827, 'No': -8.805023}
{' No': -0.32330555, ' Yes': -1.3185296, 'No': -5.046528, 'Yes': -6.7111893, ' The': -7.7401047}
{' No': -0.5856504, ' Yes': -0.8400486, 'No': -4.962153, 'Yes': -5.928107, ' The': -7.182729}
{' No': -0.05170276, ' Yes': -3.1569118, 'No': -4.986561, ' The': -7.879337, '\n': -8.296473}
{' Yes': -0.0779759, ' No': -2.638105, 'Yes': -5.8617682, 'No': -7.97772, '\n': -9.061941}
{' No': -0.009693984, 'No': -5.008872, ' Yes': -5.950697, ' The': -8.48098, '\n': -9.81959}
{' Yes': -0.54238015, ' No': -0.8829811, 'No': -6.3536367, 'Yes': -6.425654, ' The': -7.022925}
{' No': -0.2567166, ' Yes': -1.5156392, 'No': -5.28613, 'Yes': -6.9036336, '\n': -8.554315}
{' No': -0.5520229, ' Yes': -0.8724747, 'No': -6.074865, ' The': -6.0823154, 'Yes': -6.547521}
{' No': -0.019019654, 'No': -4.2302756, ' Yes': -5.629697, '\n': -8.192111, ' The': -8.496831}
{' Yes': -0.001821105, 'Yes': -6.5727854, ' No': -8.117571, ' The': -9.970882, ' yes': -9.980705}
{' Yes': -0.15478855, ' No': -1.966411, 'Yes': -6.165813, 'No': -7.287687, ' The': -7.990613}
{' Yes': -0.09865583, ' No': -2.3968163, 'Yes': -6.3887744, '\n': -7.953377, 'No': -8.025694}
{' No': -0.3983143, ' Yes': -1.1457165, 'No': -5.306077, '\n': -5.785855, 'Yes': -6.7470083}
{' No': -0.055331282, ' Yes': -2.9821842, 'No': -5.8785005, 'Yes': -9.087365, ' The': -9.352797}
{' No': -0.013825149, 'No': -4.754479, ' Yes': -5.339579, ' Not': -9.069132, ' The': -9.445882}
{' No': -0.4562368, ' Yes': -1.0397979, 'No': -4.871865, 'Yes': -5.878621, '\n': -7.041174}
{' No': -0.19180652, ' Yes': -1.7910422, 'No': -5.247432, ' The': -6.770637, 'Yes': -7.1287875}
{' No': -0.06005893, ' Yes': -2.9398901, 'No': -5.528099, ' The': -7.5330634, ' Not': -7.7510185}
{' No': -0.10065012, ' Yes': -2.3906662, 'No': -5.623584, 'Yes': -8.362226, ' The': -8.936303}
{' Yes': -0.0037045756, 'Yes': -6.0911202, ' No': -6.7350883, ' yes': -8.958219, ' The': -9.8335705}
{' Yes': -0.26828924, ' No': -1.4697453, 'Yes': -5.931485, 'No': -6.4359965, ' The': -8.108909}
{' No': -0.034221534, ' Yes': -3.56629, 'No': -5.275327, 'Yes': -9.335864, ' The': -9.681281}
{' No': -0.20635682, ' Yes': -1.7227601, 'No': -5.08512, 'Yes': -7.3790035, '\n': -7.726244}
{' Yes': -0.034953382, ' No': -3.466636, 'Yes': -6.0613565, '\n': -7.7669992, 'No': -8.810633}
{' No': -0.51919115, ' Yes': -0.92906713, 'No': -5.0761747, 'Yes': -6.0804696, ' The': -7.1896157}
{' No': -0.6077941, ' Yes': -0.7965262, 'No': -5.933663, 'Yes': -6.9273224, ' The': -7.634777}
{' No': -0.123111635, ' Yes': -2.2350824, 'No': -4.968567, '\n': -7.264036, ' The': -7.548246}
{' No': -0.220697, ' Yes': -1.6548076, 'No': -5.2312922, 'Yes': -7.270776, ' The': -7.383724}
{' No': -0.058141623, ' Yes': -2.9682596, 'No': -5.388906, ' The': -8.195211, 'Yes': -8.854765}
{' Yes': -0.06609871, ' No': -2.7862868, 'Yes': -6.468606, ' The': -8.063502, 'No': -8.321113}
{' No': -0.32555887, ' Yes': -1.294715, 'No': -6.045853, ' The': -7.2505918, 'Yes': -7.5936}
{' Yes': -0.013820433, ' No': -4.5150046, 'Yes': -6.136228, ' The': -8.052, '\n': -9.361435}
{' Yes': -0.3631601, ' No': -1.2033795, 'Yes': -6.5597405, 'No': -6.5794373, ' The': -6.865622}
{' Yes': -0.0207006, ' No': -4.0487423, 'Yes': -6.1783905, '\n': -7.681576, ' The': -8.354137}
{' Yes': -0.0028526536, 'Yes': -6.2051954, ' No': -7.448991, '\n': -8.82175, ' yes': -10.009729}
{' No': -0.0797929, ' Yes': -2.9195564, 'No': -3.8519425, 'Yes': -7.2941475, '\n': -7.769663}
{' No': -0.30105016, ' Yes': -1.4448127, 'No': -3.941467, 'Yes': -6.003462, ' The': -6.9075847}
{' No': -0.048782326, 'No': -3.284855, ' Yes': -4.7609386, ' The': -7.6028056, '\n': -8.147004}
{' No': -0.028611574, 'No': -3.7890234, ' Yes': -5.2500715, ' The': -8.757024, 'Yes': -9.494806}
{' Yes': -0.010662115, 'Yes': -4.6999035, ' No': -7.3708243, '\n': -7.8683143, ' yes': -8.440103}
{' Yes': -0.022859123, ' No': -4.1382136, 'Yes': -5.100854, 'No': -8.753169, ' yes': -8.789067}
{' No': -0.018128859, 'No': -4.2739234, ' Yes': -5.707085, '\n': -8.282983, ' The': -8.732274}
{' No': -0.44487956, ' Yes': -1.0487709, 'No': -5.2323513, 'Yes': -6.324497, ' The': -7.2598476}
{' No': -0.07735014, ' Yes': -3.2819817, 'No': -3.3365262, 'Yes': -7.147359, '\n': -8.661223}
{' No': -0.026474457, 'No': -4.1963806, ' Yes': -4.5304017, 'Yes': -9.154911, ' The': -9.382279}
{' No': -0.040344194, 'No': -3.7925165, ' Yes': -4.1316776, '\n': -7.836866, 'Yes': -8.582009}
{' Yes': -0.5982834, ' No': -0.84478724, 'No': -4.5330253, 'Yes': -4.9955287, ' The': -6.3979807}
{' Yes': -0.037642967, ' No': -3.6946902, 'Yes': -4.530071, 'No': -7.588014, ' The': -8.036239}
{' Yes': -0.08643994, ' No': -2.615378, 'Yes': -4.9630284, 'No': -6.808327, ' The': -7.3129396}
{' Yes': -0.049871348, ' No': -3.187105, 'Yes': -5.3458304, ' "': -6.771948, 'No': -7.708385}
{' No': -0.026538905, 'No': -4.373077, ' Yes': -4.439693, '\n': -6.859104, ' The': -8.146151}
{' No': -0.096998, ' Yes': -2.5750651, 'No': -4.2008452, 'Yes': -7.469005, ' The': -8.548548}
{' No': -0.015562685, 'No': -4.6583595, ' Yes': -5.201386, '\n': -8.790947, ' The': -9.112173}
{' Yes': -0.09502271, ' No': -2.4875646, 'Yes': -5.401839, 'No': -6.8833876, ' The': -7.022498}
{' No': -0.043177903, ' Yes': -3.6632738, 'No': -4.1711917, ' The': -7.831826, ' Not': -8.524331}
{' Yes': -0.3910003, ' No': -1.177646, '\n': -4.9664435, 'Yes': -5.7359614, 'No': -5.926589}
{' Yes': -0.03748887, ' No': -3.474449, 'Yes': -5.421842, '\n': -7.571249, ' The': -8.099295}
{' Yes': -0.014073082, 'Yes': -4.3888116, ' No': -6.6324596, ' yes': -9.055777, '\n': -10.249008}
{' No': -0.026204772, 'No': -4.220926, ' Yes': -4.532871, ' The': -8.606872, 'Yes': -9.278059}
{' No': -0.5023566, ' Yes': -0.9733115, 'No': -4.637204, 'Yes': -5.7010274, '\n': -6.2353773}
{' No': -0.17042206, ' Yes': -1.9837307, 'No': -4.2500935, ' The': -6.1593723, 'Yes': -6.6310444}
{' Yes': -0.06900441, ' No': -2.7905312, 'Yes': -5.5910797, 'No': -7.453062, ' The': -8.20262}
{' Yes': -0.24365677, ' No': -1.6013209, 'Yes': -4.911999, 'No': -5.415667, '\n': -6.7553697}
{' No': -0.4056298, ' Yes': -1.1178834, 'No': -5.5931997, 'Yes': -6.8091803, ' The': -6.920039}
{' No': -0.018057669, 'No': -4.6963716, ' Yes': -4.8491216, ' The': -8.135724, ' "': -8.454821}
{' No': -0.055180047, 'No': -3.372759, ' Yes': -4.1561456, '\n': -6.1248016, ' The': -7.613712}
{' No': -0.01597694, 'No': -4.4284368, ' Yes': -5.645863, ' The': -8.966747, '\n': -9.039211}
{' Yes': -0.008307619, 'Yes': -4.8693514, ' No': -8.268222, ' yes': -8.633187, ' The': -9.745431}
{' Yes': -0.028703215, ' No': -3.9211495, 'Yes': -4.9085917, 'No': -7.9112463, '\n': -8.2074995}
{' No': -0.2276268, ' Yes': -1.6596775, 'No': -4.5543647, 'Yes': -6.3913684, ' The': -7.759563}
{' No': -0.024207368, 'No': -3.7664385, ' Yes': -7.463681, ' The': -9.64836, '\n': -9.946889}
{' No': -0.06571226, ' Yes': -2.9902768, 'No': -4.3779144, 'Yes': -7.7544713, ' ': -9.317443}
{' Yes': -0.031747457, 'Yes': -4.0603366, ' No': -4.340072, 'No': -7.5630846, ' The': -8.70633}
{' Yes': -0.005011018, 'Yes': -5.394047, ' No': -8.536509, ' yes': -8.900337, ' The': -9.785629}
{' No': -0.022970239, 'No': -4.000429, ' Yes': -5.642663, '\n': -8.012811, ' Not': -8.757283}
{' No': -0.25575373, ' Yes': -1.5774776, 'No': -4.1195784, 'Yes': -6.13843, ' The': -8.388581}
{' Yes': -0.13259591, ' No': -2.1537426, 'Yes': -5.2092576, 'No': -6.4957337, ' The': -7.3497677}
