{' Yes': -0.0048690545, 'Yes': -5.7965517, ' No': -6.421077, ' The': -9.055835, ' yes': -10.524884}
{' Yes': -0.0018971825, 'Yes': -6.694799, ' No': -7.4402094, ' The': -10.0736475, ' yes': -11.168533}
{' Yes': -0.0014129244, 'Yes': -6.7680583, ' The': -8.897855, ' No': -9.474671, ' yes': -10.384749}
{' Yes': -0.0020844152, 'Yes': -6.705591, ' No': -7.3262305, ' The': -9.028281, ' yes': -10.004857}
{' Yes': -0.018038671, ' No': -4.142089, 'Yes': -6.3191285, ' The': -9.409945, 'No': -9.807981}
{' Yes': -0.00085659855, 'Yes': -7.2343364, ' The': -9.767112, ' No': -9.909146, ' yes': -11.071178}
{' Yes': -0.0057365447, ' No': -5.5168524, 'Yes': -6.4359775, ' The': -10.249366, ' yes': -10.74907}
{' Yes': -0.041221775, ' No': -3.2511365, 'Yes': -6.6389008, ' The': -8.833216, 'No': -9.490036}
{' Yes': -0.0012366807, 'Yes': -6.739149, ' yes': -10.366144, ' The': -11.552513, ' ': -12.453581}
{' Yes': -0.003098061, 'Yes': -5.8550296, ' No': -9.443716, ' yes': -9.921518, ' Land': -10.23163}
{' Yes': -0.0017661696, ' The': -7.0109205, 'Yes': -7.1861205, ' yes': -9.621098, ' No': -11.667897}
{' Yes': -0.0011170299, 'Yes': -6.969458, ' The': -9.134978, ' yes': -10.4079275, ' No': -10.590991}
{' No': -0.12750503, ' Yes': -2.1489246, 'No': -5.930716, 'Yes': -8.065885, ' Not': -9.835355}
{' Yes': -0.009489017, ' No': -5.00798, 'Yes': -5.968656, ' The': -9.497661, 'No': -10.211034}
{' Yes': -0.0021134447, 'Yes': -6.3822494, ' No': -8.866745, ' The': -9.553749, ' Tw': -10.061397}
{' Yes': -0.0009715044, 'Yes': -7.0190544, ' yes': -10.224213, ' Sure': -11.33221, ' ': -11.619111}
{' Yes': -0.0017384043, 'Yes': -6.401285, ' The': -10.30167, ' yes': -10.619892, ' No': -11.272528}
{' Yes': -0.0011951445, 'Yes': -6.7760873, ' yes': -10.467032, ' No': -10.906108, ' The': -13.089561}
{' Yes': -0.0016867588, 'Yes': -6.490282, ' No': -9.611277, ' Deer': -10.100588, ' yes': -10.405439}
{' Yes': -0.0015416839, 'Yes': -6.503031, ' yes': -10.707185, ' The': -11.240093, ' ': -13.050249}
{' Yes': -0.0009509207, 'Yes': -7.0012674, ' yes': -10.750443, ' The': -11.463227, ' ': -12.818133}
{' Yes': -0.0016059786, 'Yes': -6.7162123, ' No': -8.439911, ' The': -9.021618, ' yes': -10.272748}
{' Yes': -0.001809461, 'Yes': -6.5858374, ' No': -7.9950304, ' The': -9.68686, ' yes': -10.767358}
{' Yes': -0.002265352, 'Yes': -6.4673305, ' No': -7.347554, ' The': -10.345672, ' yes': -11.0300665}
{' Yes': -0.0014485021, 'Yes': -6.6821256, ' No': -9.30282, ' The': -10.198192, ' Less': -10.440761}
{' Yes': -0.0014407423, 'Yes': -6.5795407, ' yes': -10.6192875, ' ': -12.055114, '\n': -12.198746}
{' Yes': -0.09444822, ' No': -2.4324112, 'Yes': -6.623516, ' The': -8.005474, 'No': -8.368085}
{' Yes': -0.0030919015, 'Yes': -5.915872, ' No': -8.2470875, ' The': -9.475683, ' yes': -10.7656975}
{' Yes': -0.0010903592, 'Yes': -6.8599596, ' The': -10.638547, ' yes': -11.751696, ' ': -12.827045}
{' Yes': -0.0041654026, 'Yes': -5.4892592, ' yes': -11.666572, ' ': -11.935858, ' The': -12.440549}
{' Yes': -0.15469526, ' No': -1.9544121, 'Yes': -6.8454394, 'No': -8.321922, ' Exit': -8.700077}
{' Yes': -0.18576206, ' No': -1.7819898, 'Yes': -7.164476, 'No': -8.505267, ' The': -9.203588}
{' Yes': -0.0023926077, 'Yes': -6.621294, ' No': -7.3534074, ' Lion': -7.900168, ' yes': -10.611832}
{' Yes': -0.002718167, ' No': -6.5209317, 'Yes': -6.7597756, ' The': -9.707603, ' yes': -11.168205}
{' Yes': -0.0028087788, 'Yes': -6.0503135, ' No': -8.369769, ' The': -8.764216, ' yes': -10.467196}
{' Yes': -0.0026092771, 'Yes': -6.5865726, ' No': -6.78783, ' yes': -10.069185, ' The': -10.275305}
{' Yes': -0.0038087387, 'Yes': -5.634923, ' The': -8.540038, ' yes': -11.063184, ' ': -11.975052}
{' Yes': -0.0013786046, 'Yes': -6.6890903, ' The': -10.022035, ' Want': -10.217874, ' No': -10.989852}
{' Yes': -0.0014839577, 'Yes': -6.594491, ' No': -9.609124, ' yes': -10.814511, ' The': -11.158331}
{' Yes': -0.014755303, ' No': -4.5353165, 'Yes': -5.6984844, ' Wind': -7.888683, 'No': -9.460403}
{' Yes': -0.029027876, ' No': -3.6263635, 'Yes': -6.3845916, ' The': -9.05366, 'No': -9.257813}
{' Yes': -0.0011084375, 'Yes': -6.8678966, ' yes': -10.662906, ' The': -10.679826, ' No': -11.458843}
{' No': -0.03553932, 'No': -3.6398711, ' Yes': -4.8447504, ' Dis': -8.555364, 'Yes': -8.645766}
{' Yes': -0.09986489, ' No': -2.386133, 'Yes': -6.18807, ' The': -7.68322, 'No': -8.062176}
{' No': -0.31670114, ' Yes': -1.3111948, 'No': -6.696002, 'Yes': -7.6384764, ' The': -9.010633}
{' Yes': -0.0016423973, 'Yes': -6.6718464, ' No': -8.086603, ' yes': -10.320829, ' The': -11.264603}
{' Yes': -0.0011989638, 'Yes': -6.807488, ' The': -10.300618, ' yes': -10.45576, ' No': -11.552338}
{' Yes': -0.002200175, 'Yes': -6.6978936, ' No': -6.979846, ' yes': -11.028535, '\n': -11.82075}
{' Yes': -0.0011959799, 'Yes': -6.7460475, ' yes': -11.130968, ' The': -13.311602, ' YES': -13.770922}
{' Yes': -0.00054745295, 'Yes': -7.562998, ' yes': -10.919244, ' ': -12.330595, ' Bear': -12.998384}
{' Yes': -0.0013901846, 'Yes': -6.618896, ' The': -10.47113, ' yes': -11.170749, '\n': -12.425608}
{' Yes': -0.033960108, ' No': -3.4500558, 'Yes': -6.5835986, ' The': -9.139688, 'No': -9.3776455}
{' Yes': -0.0030563294, 'Yes': -5.879864, ' The': -8.904083, ' No': -9.61517, ' yes': -10.291279}
{' Yes': -0.0024866548, 'Yes': -6.049912, ' The': -10.248292, ' yes': -10.290446, ' No': -10.6348715}
{' Yes': -0.0017816329, ' No': -6.9241257, 'Yes': -7.321007, ' The': -9.546312, ' Skin': -10.395689}
{' Yes': -0.0983542, ' No': -2.388399, 'Yes': -6.468185, 'No': -8.664241, ' Not': -9.756307}
{' Yes': -0.0026179417, ' No': -6.628785, 'Yes': -6.8066316, ' The': -8.856066, ' yes': -10.766959}
{' Yes': -0.0057149637, 'Yes': -5.255066, ' So': -8.098654, ' No': -9.3389015, ' yes': -10.427076}
{' Yes': -0.0012772023, 'Yes': -6.7028036, ' No': -11.031541, ' yes': -11.507018, ' The': -11.548896}
{' Yes': -0.0023378786, 'Yes': -6.0884557, ' The': -10.137013, ' yes': -11.193063, ' ': -12.175625}
{' No': -0.014361708, ' Yes': -4.638801, 'No': -5.3976507, 'Yes': -10.169408, ' Not': -11.693106}
{' Yes': -0.28531587, ' No': -1.4094061, 'Yes': -5.9975743, 'No': -6.830905, ' The': -8.282763}
{' Yes': -0.29303733, ' No': -1.377508, 'Yes': -6.8813224, 'No': -7.7574763, ' The': -8.265342}
{' Yes': -0.002159737, 'Yes': -6.26413, ' No': -8.941846, ' The': -9.645664, ' yes': -10.679169}
{' Yes': -0.00410555, 'Yes': -5.9782796, ' No': -6.538321, ' The': -9.788952, ' yes': -10.565127}
{' Yes': -0.0036422391, ' No': -6.047377, 'Yes': -6.7405124, ' The': -10.193552, ' yes': -10.682894}
{' Yes': -0.0054798196, 'Yes': -5.8880663, ' No': -6.0219417, ' The': -8.855868, ' yes': -10.172249}
{' Yes': -0.0793566, ' No': -2.5995002, 'Yes': -6.452674, 'No': -8.739886, ' The': -8.987863}
{' Yes': -0.00090283365, 'Yes': -7.0517063, ' yes': -11.132968, ' No': -11.554674, ' ': -12.375644}
{' Yes': -0.0014633657, 'Yes': -6.609245, ' The': -9.55356, ' yes': -10.833313, ' No': -10.873976}
{' Yes': -0.002166009, 'Yes': -6.4363527, ' No': -7.56771, ' yes': -10.921961, ' The': -11.308472}
{' Yes': -0.036775563, ' No': -3.4078348, 'Yes': -5.934524, 'No': -8.742309, ' The': -9.078234}
{' Yes': -0.025185246, ' No': -4.1964, ' Pain': -5.373778, 'Yes': -5.8259983, ' The': -6.2853565}
{' Yes': -0.16258377, ' No': -1.9066118, 'Yes': -6.972657, 'No': -8.329703, ' The': -8.6920805}
{' Yes': -0.0050024507, ' No': -5.605342, 'Yes': -6.722209, ' The': -9.545373, ' yes': -11.016801}
{' No': -0.018845743, 'No': -3.981494, ' Not': -12.410801, ' ': -12.527794, ' Nope': -13.227549}
{' Yes': -0.03967067, ' No': -3.4100716, 'Yes': -5.663736, ' The': -6.3414855, ' Not': -8.4749155}
{' Yes': -0.012615015, ' No': -4.713186, 'Yes': -5.7343264, ' The': -8.950521, ' yes': -9.541736}
{' Yes': -0.0034370671, 'Yes': -6.2497745, ' Dive': -6.6632667, ' No': -9.569248, ' yes': -9.64094}
{' Yes': -0.041072715, ' No': -3.410728, 'Yes': -5.1083198, ' Dive': -7.2264495, 'No': -8.674418}
{' Yes': -0.003431623, 'Yes': -5.690972, ' yes': -11.176392, ' The': -11.21011, ' Sure': -11.827472}
{' Yes': -0.0012359635, 'Yes': -6.7227817, ' yes': -10.891838, ' ': -11.987766, ' The': -12.951997}
{' Yes': -0.004030563, 'Yes': -5.6724186, ' Bush': -7.9187717, ' No': -9.149136, ' yes': -10.405949}
{' Yes': -0.0014319677, 'Yes': -6.658006, ' Bush': -9.862382, ' No': -10.213716, ' yes': -10.711476}
{' Yes': -0.018210925, ' No': -4.105542, 'Yes': -6.6925306, ' The': -8.492158, 'No': -9.880947}
{' Yes': -0.0009726983, 'Yes': -7.0428953, ' Near': -10.2433605, ' The': -10.412731, ' yes': -10.69612}
{' Yes': -0.102520525, ' No': -2.361149, 'Yes': -6.028467, 'No': -7.829588, ' The': -8.390821}
{' Yes': -0.002918229, 'Yes': -5.9013643, ' No': -8.965608, ' ': -10.600103, ' yes': -11.019122}
{' Yes': -0.0019619768, 'Yes': -6.258226, ' yes': -10.593173, ' The': -11.506759, ' No': -12.394265}
{' Yes': -0.001757809, 'Yes': -6.4759493, ' The': -9.363675, ' Navy': -9.37526, ' yes': -10.812411}
{' No': -0.071916945, 'No': -3.0873432, ' Not': -3.8030913, ' Yes': -6.8451767, ' Unfortunately': -8.83861}
{' No': -0.030632671, ' Yes': -3.7914736, 'No': -5.320311, ' Unfortunately': -6.8950214, ' Not': -7.1780205}
{' No': -0.17393273, ' Yes': -1.8530157, 'No': -6.088714, 'Yes': -8.1996155, ' The': -8.483733}
{' Yes': -0.009810633, ' No': -4.7706194, 'Yes': -6.7463293, '\n': -10.377465, ' Absolutely': -10.685439}
{' Yes': -0.31644553, ' No': -1.3399383, ' The': -5.378112, ' Beef': -6.0630064, 'Yes': -6.6480803}
{' Yes': -0.015837649, ' No': -4.298547, 'Yes': -6.270527, ' The': -8.907255, ' yes': -10.202017}
{' Yes': -0.0009473416, 'Yes': -6.9834604, ' yes': -11.245714, ' The': -12.892521, ' ': -13.867649}
{' Yes': -0.0014049263, 'Yes': -6.6379595, ' No': -9.941751, ' The': -10.834941, ' yes': -10.871562}
{' Yes': -0.62386614, ' No': -0.77571785, 'No': -6.419001, 'Yes': -6.6531034, ' The': -7.7512083}
{' Yes': -0.0027130852, 'Yes': -6.487689, ' No': -6.8304563, ' The': -9.680219, ' yes': -10.436964}
{' Yes': -0.0012735011, 'Yes': -6.708958, ' yes': -10.738233, ' The': -10.78412, ' No': -12.349721}
{' Yes': -0.0015459819, 'Yes': -6.521748, ' yes': -10.451139, ' No': -10.65651, ' The': -11.08355}
{' Yes': -0.0015518324, 'Yes': -6.496283, ' yes': -10.875339, ' YES': -11.560516, ' The': -11.918551}
{' Yes': -0.0023550258, 'Yes': -6.0675993, ' yes': -10.822215, ' YES': -11.69758, ' ': -12.325086}
{' Yes': -0.009881901, ' No': -4.7229958, 'Yes': -7.007526, ' yes': -11.16521, 'No': -11.403102}
{' Yes': -0.008403244, ' No': -4.9870524, 'Yes': -6.5966105, ' The': -9.580674, ' ': -10.493188}
{' Yes': -0.001597143, 'Yes': -6.5886006, ' yes': -9.399761, ' No': -9.998007, ' The': -10.177272}
{' Yes': -0.0013596833, 'Yes': -6.835162, ' The': -8.778731, ' No': -9.92312, ' yes': -10.048402}
{' No': -0.057813812, ' Yes': -2.941864, 'No': -6.4294243, ' The': -7.352339, ' Not': -7.815183}
{' Yes': -0.009586198, ' No': -4.8852882, 'Yes': -6.260156, ' The': -10.538154, 'No': -10.843879}
{' Yes': -0.00095628976, 'Yes': -6.996357, ' yes': -10.517628, ' ': -12.098505, ' The': -12.677359}
{' Yes': -0.001614876, 'Yes': -6.4637237, ' yes': -10.415551, ' ': -11.424938, '\n': -11.500846}
{' Yes': -0.24862236, ' No': -1.5285352, 'Yes': -6.1861067, 'No': -6.996264, ' The': -8.953469}
{' Yes': -0.004239387, 'Yes': -5.511834, ' The': -9.504685, ' Last': -10.349854, ' yes': -10.421273}
{' Yes': -0.28780392, ' No': -1.4262202, ' Door': -4.9940224, 'Yes': -6.693422, 'No': -7.24708}
{' Yes': -0.12884817, ' No': -2.286685, ' Door': -4.1141744, 'Yes': -6.3837857, ' ': -7.5930243}
{' Yes': -0.19601199, ' No': -1.7506231, 'Yes': -5.7298956, ' The': -7.6781344, 'No': -7.693874}
{' Yes': -0.39563772, ' No': -1.1303637, 'Yes': -5.989271, 'No': -7.2112107, ' The': -7.8330536}
{' Yes': -0.22703409, ' No': -1.6039395, 'Yes': -6.6320643, 'No': -7.849354, ' The': -8.78009}
{' Yes': -0.005403768, ' No': -5.7450843, 'Yes': -6.185343, ' The': -9.477062, ' yes': -10.980989}
{' Yes': -0.0013599218, 'Yes': -6.6756473, ' yes': -10.1249, ' No': -10.793106, ' The': -10.866969}
{' Yes': -0.0017932787, 'Yes': -6.6403255, ' No': -7.777045, ' yes': -10.243575, ' The': -10.716606}
{' Yes': -0.0011262194, 'Yes': -6.822537, ' yes': -11.001087, ' No': -11.6047945, ' ': -12.659027}
{' Yes': -0.001072399, 'Yes': -6.8730607, ' yes': -10.996246, ' The': -12.057304, '\n': -12.175297}
{' Yes': -0.002151494, 'Yes': -6.409656, ' Most': -8.139872, ' No': -8.651615, ' yes': -10.924723}
{' Yes': -0.021267772, ' Most': -3.9269588, 'Yes': -6.7021317, ' The': -9.997668, ' yes': -10.620438}
{' Yes': -0.0027506188, 'Yes': -6.248022, ' No': -7.2763157, ' The': -9.516895, ' yes': -10.774408}
{' Yes': -0.0008010614, 'Yes': -7.2772455, ' No': -9.654348, ' yes': -10.300801, '\n': -12.150213}
{' Yes': -0.17808785, ' No': -1.8288789, 'Yes': -6.3634567, 'No': -7.672377, ' The': -8.6410885}
{' Yes': -0.013407875, ' No': -4.5647993, 'Yes': -5.90648, ' The': -9.488709, 'No': -9.998242}
{' Yes': -0.0042347163, ' No': -5.7343464, 'Yes': -7.3901277, ' The': -8.234077, ' ': -10.708818}
{' Yes': -0.0011745561, 'Yes': -6.7880545, ' yes': -10.963319, ' The': -11.551608, ' No': -11.701121}
{' Yes': -0.004712558, 'Yes': -6.040046, ' No': -6.238992, ' Lawn': -8.150769, ' The': -10.810295}
{' Yes': -0.013267676, ' No': -4.631912, 'Yes': -5.7681136, ' The': -8.639717, 'No': -9.660772}
{' Yes': -0.28307754, ' No': -1.416836, 'Yes': -6.353962, 'No': -6.5028934, ' Hill': -7.8339725}
{' Yes': -0.2675503, ' No': -1.4660213, 'Yes': -6.430107, 'No': -6.9199333, ' The': -7.3578343}
{' Yes': -0.0019735633, 'Yes': -6.321031, ' No': -8.976567, ' The': -10.567948, ' yes': -11.239227}
{' Yes': -0.0016345155, 'Yes': -6.4324756, ' yes': -11.104776, ' The': -12.143754, ' YES': -13.607443}
{' Yes': -0.0035082442, 'Yes': -6.072766, ' No': -6.980086, ' The': -8.520297, ' yes': -10.349181}
{' Yes': -0.0018052803, 'Yes': -6.416325, ' No': -9.194242, ' yes': -10.224433, '\n': -11.558624}
{' Yes': -0.0023350723, ' No': -6.458729, 'Yes': -7.2469735, ' The': -10.451254, ' yes': -10.953642}
{' Yes': -0.0010175039, 'Yes': -7.0799775, ' No': -9.067104, ' The': -10.000478, ' yes': -11.569223}
{' Yes': -0.0031939684, 'Yes': -5.885663, ' No': -7.857039, ' yes': -11.394752, '\n': -12.75164}
{' Yes': -0.003007481, 'Yes': -5.900637, ' No': -8.418748, ' yes': -10.623359, ' The': -11.185917}
{' Yes': -0.01698196, ' No': -4.5582643, 'Yes': -5.680975, ' The': -5.9454656, ' yes': -9.12681}
{' Yes': -0.221142, ' No': -1.6383955, 'Yes': -5.893122, 'No': -6.858652, ' The': -8.763422}
{' Yes': -0.003937923, ' No': -6.087876, 'Yes': -6.4362745, ' The': -10.975223, ' yes': -11.03201}
{' Yes': -0.005871436, 'Yes': -5.290156, ' No': -7.1984105, ' yes': -10.383753, '\n': -11.578515}
{' Yes': -0.0013977652, 'Yes': -6.6954393, ' No': -9.046836, ' yes': -10.406238, ' The': -11.727883}
{' Yes': -0.0048456355, ' No': -5.668536, 'Yes': -6.690572, ' The': -9.402223, ' yes': -10.131291}
{' Yes': -0.0052604326, ' No': -5.6132464, 'Yes': -6.495534, ' The': -9.865729, ' yes': -11.528518}
{' Yes': -0.0036546825, 'Yes': -5.89413, ' No': -7.148323, ' The': -9.717465, ' yes': -10.5652275}
{' Yes': -0.0013900646, 'Yes': -6.6031427, ' yes': -11.193412, ' No': -12.041297, ' The': -12.142201}
{' Yes': -0.0010372541, 'Yes': -7.0130916, ' The': -9.393924, ' No': -10.689481, ' yes': -10.879238}
{' Yes': -0.0012342327, 'Yes': -7.0930595, ' The': -8.044371, ' yes': -9.822998, ' No': -11.825832}
{' Yes': -0.0021752089, 'Yes': -6.2195187, ' yes': -9.445959, ' No': -9.562745, ' The': -11.326541}
{' Yes': -0.12093763, ' No': -2.2324123, 'Yes': -5.257408, 'No': -7.2791176, ' The': -7.648819}
{' Yes': -0.0035608234, 'Yes': -5.6846304, ' No': -9.714416, ' yes': -10.403144, ' The': -10.426423}
{' No': -0.1022218, ' Yes': -2.481155, 'No': -4.4251056, 'Yes': -7.180161, ' The': -7.5136805}
{' Yes': -0.018498257, ' No': -4.2384768, 'Yes': -5.6624017, ' The': -8.799082, 'No': -9.234925}
{' Yes': -0.64394504, ' No': -0.8739046, 'No': -3.385547, 'Yes': -3.783105, ' ': -7.403835}
{' Yes': -0.020955233, ' No': -4.0713396, 'Yes': -5.699942, ' The': -9.061777, 'No': -9.132415}
{' No': -0.074251756, ' Yes': -2.9305997, 'No': -4.1297765, ' Not': -7.2354608, 'Yes': -7.588661}
{' Yes': -0.02506826, ' No': -4.031791, 'Yes': -5.0642605, ' The': -8.149575, 'No': -8.203864}
{' Yes': -0.024311366, 'Yes': -3.8981686, ' No': -5.9591846, ' Wife': -7.044245, 'No': -9.186176}
{' No': -0.17174296, ' Yes': -1.8904872, 'No': -5.1682067, 'Yes': -7.3401003, ' The': -8.330386}
{' Yes': -0.004092385, 'Yes': -5.6196756, ' No': -8.057, ' yes': -9.696289, ' ': -10.596687}
{' Yes': -0.00577497, 'Yes': -5.6962996, ' No': -6.112481, ' The': -9.583274, ' yes': -9.93505}
{' Yes': -0.6365001, ' No': -0.88052446, 'No': -3.3969257, 'Yes': -3.930964, ' The': -6.2582264}
{' Yes': -0.008227689, 'Yes': -4.8311377, ' No': -8.891833, ' yes': -10.4857645, ' ': -10.862008}
{' Yes': -0.0029741235, 'Yes': -5.8990097, ' No': -8.820351, ' yes': -10.24674, ' The': -10.530407}
{' No': -0.14519571, 'No': -2.3203113, ' Yes': -4.1956825, ' Bank': -4.6957035, ' Un': -6.124397}
{' Yes': -0.003428393, 'Yes': -6.159865, ' No': -6.7228017, ' yes': -9.780247, ' ': -10.82181}
{' Yes': -0.033285923, ' No': -3.5767083, 'Yes': -5.529347, ' The': -8.116183, 'No': -8.465607}
{' Yes': -0.0056519, 'Yes': -5.2378354, ' No': -8.260359, ' yes': -10.510199, ' The': -10.821146}
{' Yes': -0.0029379525, 'Yes': -5.8786335, ' No': -9.8504, ' yes': -10.037212, ' The': -10.868238}
{' No': -0.544781, ' Yes': -0.89169526, 'No': -5.060713, 'Yes': -5.8151717, ' The': -7.7953286}
{' Yes': -0.047917183, ' No': -3.4277997, 'Yes': -4.3194566, 'No': -7.382338, ' The': -9.054508}
{' No': -0.016737005, 'No': -4.4998946, ' Yes': -5.295736, ' Not': -8.248754, ' The': -9.821539}
{' No': -0.1363858, ' Yes': -2.23478, 'No': -3.9808683, 'Yes': -6.412635, ' ': -9.567969}
{' Yes': -0.09659831, ' No': -2.4185414, 'Yes': -6.4138985, ' The': -7.142521, 'No': -7.8092995}
{' Yes': -0.27403614, ' No': -1.4697834, 'Yes': -5.1359096, 'No': -5.708247, ' ': -8.660765}
{' Yes': -0.002918229, 'Yes': -5.870256, ' No': -9.986251, ' yes': -10.683632, ' ': -11.620387}
{' Yes': -0.009295339, ' No': -5.2590146, 'Yes': -5.5779386, ' The': -8.718305, 'No': -10.10441}
{' Yes': -0.0046330336, 'Yes': -5.985576, ' No': -6.2685103, ' The': -8.798513, ' yes': -10.4525585}
{' Yes': -0.004722619, 'Yes': -5.8816867, ' No': -6.373941, ' The': -8.815613, ' yes': -10.346132}
{' Yes': -0.105103984, 'Yes': -2.4758868, ' No': -4.2422786, 'No': -6.770589, ' ': -10.277951}
{' Yes': -0.016105888, ' No': -4.4352574, 'Yes': -5.565195, ' The': -8.91954, 'No': -9.637409}
{' Yes': -0.0038388956, 'Yes': -5.5958567, ' yes': -9.804505, ' ': -10.556651, ' The': -10.837771}
{' Yes': -0.007374091, 'Yes': -5.241396, ' No': -6.2227006, ' yes': -10.484232, 'No': -10.938614}
{' Yes': -0.009530837, ' No': -5.1219063, 'Yes': -5.7212424, ' The': -9.431813, 'No': -9.656947}
{' Yes': -0.069785245, ' No': -2.808196, 'Yes': -5.1799974, 'No': -7.069913, ' The': -8.466873}
{' Yes': -0.002938072, 'Yes': -5.913111, ' No': -9.089937, ' The': -9.940498, ' yes': -9.99948}
