{' Yes': -0.0011963383, 'Yes': -7.0440254, ' The': -8.79854, ' yes': -9.431768, ' No': -9.676268}
{' Yes': -0.0022443254, 'Yes': -6.156987, ' yes': -9.950938, ' No': -10.27921, '\n': -10.818837}
{' Yes': -0.0026370648, 'Yes': -5.96411, ' yes': -10.105029, ' No': -11.435741, '\n': -12.192842}
{' Yes': -0.03696765, ' No': -3.3637247, 'Yes': -6.7439947, ' The': -8.07957, 'No': -9.406861}
{' Yes': -0.18312098, ' No': -1.8125496, 'Yes': -6.0147834, 'No': -6.675756, ' The': -8.796247}
{' Yes': -0.327661, ' No': -1.2993712, 'Yes': -6.12901, 'No': -6.389045, ' The': -6.7502565}
{' Yes': -0.251027, ' No': -1.5220172, 'Yes': -6.3338013, ' The': -7.0281167, 'No': -7.060728}
{' Yes': -0.06046669, ' No': -2.9119375, 'Yes': -5.775604, ' The': -7.884553, '\n': -7.937061}
{' Yes': -0.0717626, ' No': -2.7090075, 'Yes': -6.3877144, ' The': -7.368609, 'No': -8.692278}
{' Yes': -0.0012982693, 'Yes': -6.7616878, ' The': -9.907498, ' yes': -9.95721, '\n': -10.866723}
{' Yes': -0.0026777647, 'Yes': -5.988944, '\n': -9.735604, ' yes': -9.889388, ' The': -10.676431}
{' Yes': -0.0015723101, 'Yes': -6.47777, ' yes': -10.567772, ' YES': -12.55748, '\n': -13.344473}
{' Yes': -0.029849328, ' No': -3.6151915, 'Yes': -6.218854, ' The': -8.612292, 'No': -8.946269}
{' Yes': -0.003967604, 'Yes': -5.5509267, ' yes': -10.410391, '\n': -10.459795, ' ': -11.633862}
{' Yes': -0.033054933, ' No': -3.4867272, 'Yes': -6.42523, 'No': -9.069889, ' The': -9.786341}
{' Yes': -0.004556387, 'Yes': -5.9077005, ' No': -6.3881865, '\n': -10.065917, ' yes': -10.129924}
{' Yes': -0.0022289718, 'Yes': -6.152743, ' The': -10.597627, ' No': -10.647919, ' yes': -10.651695}
{' Yes': -0.0036252497, 'Yes': -5.9320536, ' No': -7.0965433, ' yes': -9.521197, ' The': -10.262935}
{' Yes': -0.004021884, 'Yes': -5.625106, ' No': -8.273938, ' yes': -9.254668, ' The': -10.262984}
{' Yes': -0.5129936, ' No': -0.92448694, 'No': -6.755749, ' The': -6.887416, 'Yes': -6.9428186}
{' No': -0.04669305, ' Yes': -3.2891035, 'No': -4.8936224, '\n': -7.9631853, 'Yes': -8.634862}
{' No': -0.10699801, ' Yes': -2.3752205, 'No': -4.88833, 'Yes': -7.708904, '\n': -8.514573}
{' No': -0.011684492, 'No': -4.605633, ' Yes': -6.56899, ' The': -9.542574, '\n': -9.8785305}
{' Yes': -0.0025195195, 'Yes': -6.121597, ' No': -9.109535, '\n': -9.3977995, ' yes': -9.485935}
{' Yes': -0.0023387158, 'Yes': -6.2095866, ' No': -9.050621, '\n': -9.097467, ' yes': -9.707014}
{' Yes': -0.0030502893, 'Yes': -6.2450275, ' No': -6.91321, ' yes': -9.93438, ' The': -10.639591}
{' Yes': -0.0021385292, 'Yes': -6.2775307, ' No': -9.065876, ' yes': -9.572771, ' The': -10.194808}
{' Yes': -0.02624901, ' No': -3.7563474, 'Yes': -6.1714206, ' yes': -8.960517, '\n': -9.25941}
{' Yes': -0.48364347, ' No': -0.9714652, 'Yes': -6.271575, 'No': -6.281701, '\n': -7.3072977}
{' Yes': -0.001750466, 'Yes': -6.5184336, ' No': -8.501124, ' The': -10.503279, ' yes': -10.685681}
{' Yes': -0.00453956, ' No': -6.074213, 'Yes': -6.1943927, ' The': -9.534156, ' yes': -10.081007}
{' Yes': -0.3492733, ' No': -1.2311473, 'Yes': -6.8346457, 'No': -7.206367, ' The': -7.685655}
{' No': -0.008592961, 'No': -5.4610977, ' Yes': -5.4990673, ' The': -9.297714, '\n': -9.865192}
{' Yes': -0.0038806016, ' No': -5.850327, 'Yes': -7.0066705, ' yes': -10.385249, ' The': -10.416371}
{' Yes': -0.081867896, ' No': -2.6043136, 'Yes': -5.5417943, 'No': -7.440621, ' yes': -10.083687}
{' Yes': -0.005026772, ' No': -5.8754263, 'Yes': -6.3126135, '\n': -8.600508, ' yes': -9.494597}
{' Yes': -0.01805366, ' No': -4.12023, 'Yes': -6.6216664, ' The': -8.703145, ' yes': -9.600977}
{' Yes': -0.18364902, ' No': -1.8045404, 'Yes': -6.3172007, 'No': -7.25271, ' The': -8.357327}
{' No': -0.39138538, ' Yes': -1.1644052, 'No': -5.091941, '\n': -6.015634, 'Yes': -6.5384703}
{' Yes': -0.016491381, ' No': -4.190329, 'Yes': -6.929874, ' The': -9.487188, ' yes': -9.678377}
{' Yes': -0.018097118, ' No': -4.1175456, 'Yes': -6.6137605, '\n': -9.220821, ' yes': -9.594076}
{' Yes': -0.009348401, ' No': -4.9997926, 'Yes': -6.046657, ' The': -9.768993, '\n': -10.092462}
{' Yes': -0.0044506476, ' No': -5.8794446, 'Yes': -6.5063915, ' The': -9.64399, ' yes': -9.924555}
{' Yes': -0.0030953097, 'Yes': -5.9230433, ' No': -8.136617, ' yes': -10.021224, ' The': -10.102225}
{' Yes': -0.0028338225, 'Yes': -6.60403, ' No': -6.644424, ' The': -9.088397, ' yes': -9.973447}
{' Yes': -0.6744833, ' No': -0.721776, 'No': -6.116536, 'Yes': -6.696278, '\n': -7.634957}
{' Yes': -0.17875907, ' No': -1.8256725, 'Yes': -6.4912915, 'No': -7.3136024, ' The': -8.856098}
{' Yes': -0.04227988, ' No': -3.2454143, 'Yes': -6.3039603, ' The': -8.224501, 'No': -8.902205}
{' No': -0.050380103, ' Yes': -3.3036435, 'No': -4.635192, '\n': -6.3285375, ' ': -7.799929}
{' Yes': -0.28782156, ' No': -1.4108952, 'Yes': -5.8977766, 'No': -6.4917207, ' The': -6.650288}
{' No': -0.012594311, ' Yes': -5.1115475, 'No': -5.1175265, ' The': -8.43535, '\n': -9.209868}
{' No': -0.64929456, ' Yes': -0.75272435, 'No': -5.573632, 'Yes': -6.398276, '\n': -7.6278343}
{' No': -0.6197946, ' Yes': -0.780855, 'No': -6.1907077, ' The': -7.0548763, 'Yes': -7.0704474}
{' Yes': -0.1304592, ' No': -2.146252, 'Yes': -5.644335, ' The': -7.290951, '\n': -7.581955}
{' No': -0.03030079, ' Yes': -3.7163396, 'No': -5.305453, ' The': -8.378462, 'Yes': -8.883197}
{' Yes': -0.044132296, ' No': -3.276529, 'Yes': -5.981186, ' The': -6.0447326, ' yes': -8.406006}
{' No': -0.09846692, ' Yes': -2.4058952, 'No': -5.929813, ' The': -7.5684276, 'Yes': -8.476196}
{' Yes': -0.0024222436, 'Yes': -6.252334, ' No': -8.535309, '\n': -8.596146, ' yes': -9.729393}
{' Yes': -0.0048112576, 'Yes': -5.4106526, '\n': -8.713074, ' yes': -9.454899, ' No': -10.016533}
{' Yes': -0.017241409, ' No': -4.190921, 'Yes': -6.361014, ' yes': -9.438125, 'No': -9.827983}
{' Yes': -0.0016546353, ' No': -7.072097, 'Yes': -7.2295923, ' yes': -10.20724, ' The': -10.722861}
{' Yes': -0.001455665, 'Yes': -6.6126537, ' yes': -9.59487, ' No': -10.451155, ' The': -11.965181}
{' Yes': -0.007650579, ' No': -5.4609795, 'Yes': -5.7686515, ' yes': -9.317205, ' The': -9.839928}
{' Yes': -0.007135499, ' No': -5.3644958, 'Yes': -6.343435, ' yes': -8.50555, '\n': -8.562277}
{' Yes': -0.11270236, ' No': -2.2822905, 'Yes': -5.7957006, 'No': -7.265809, ' The': -8.382991}
{' Yes': -0.0030272116, 'Yes': -5.8845363, ' No': -8.588251, ' yes': -10.49032, ' ': -11.554598}
{' Yes': -0.001873355, 'Yes': -6.400624, ' No': -8.920149, ' yes': -10.457882, ' The': -10.7297}
{' Yes': -0.0037529173, 'Yes': -5.964616, ' No': -6.8784475, ' yes': -9.312371, '\n': -10.879731}
{' Yes': -0.002566012, 'Yes': -6.2230344, ' No': -7.652485, ' yes': -9.835417, '\n': -10.811707}
{' Yes': -0.0018243302, 'Yes': -6.4360604, ' No': -8.855206, ' yes': -10.081852, '\n': -11.185017}
{' Yes': -0.02347749, ' No': -4.0164814, 'Yes': -5.330475, 'No': -8.564037, '\n': -9.869727}
{' Yes': -0.02195748, ' No': -3.9041612, 'Yes': -6.9152083, ' The': -8.191953, '\n': -9.163574}
{' No': -0.018033393, ' Yes': -4.3347144, 'No': -5.456273, ' The': -8.692033, '\n': -9.071328}
{' Yes': -0.3260697, ' No': -1.301379, 'Yes': -5.916768, 'No': -6.2626634, '\n': -6.9891553}
{' Yes': -0.34779543, ' No': -1.2371329, 'Yes': -6.357698, 'No': -6.5741916, ' The': -8.698541}
{' Yes': -0.0019125295, 'Yes': -6.3231616, ' No': -10.130622, ' yes': -10.240819, ' The': -10.678601}
{' Yes': -0.0014191928, 'Yes': -6.775168, ' No': -8.830573, ' The': -9.941925, ' yes': -10.051485}
{' Yes': -0.0020694258, 'Yes': -6.2573276, ' No': -9.613736, ' yes': -10.06761, '\n': -10.80531}
{' Yes': -0.0020907454, 'Yes': -6.2111607, ' yes': -10.1020775, ' The': -10.793141, '\n': -11.604483}
{' No': -0.009248593, 'No': -4.9769244, ' Yes': -6.207266, ' The': -8.449141, ' Not': -10.215801}
{' No': -0.27924338, ' Yes': -1.4505651, 'No': -5.2419033, '\n': -6.5113883, 'Yes': -6.8578124}
{' Yes': -0.016788887, ' No': -4.166567, 'Yes': -6.933884, ' The': -9.781155, ' yes': -10.001656}
{' No': -0.032408085, ' Yes': -3.7140408, 'No': -5.064446, ' The': -7.445244, '\n': -8.061491}
{' Yes': -0.0024328204, 'Yes': -6.149623, ' No': -8.443538, ' yes': -10.391408, ' The': -10.865405}
{' Yes': -0.001850543, 'Yes': -6.324316, ' yes': -10.499529, ' No': -11.257941, ' The': -11.952817}
{' Yes': -0.06379294, ' No': -2.838075, 'Yes': -6.109256, ' The': -7.66204, 'No': -8.10412}
{' Yes': -0.0024571961, 'Yes': -6.061648, ' No': -9.51189, ' yes': -10.455373, ' The': -11.594034}
{' Yes': -0.15622744, ' No': -1.9579052, 'Yes': -6.3086205, 'No': -7.5159664, ' The': -7.5600166}
{' Yes': -0.005085721, 'Yes': -5.92475, ' No': -6.0879254, ' The': -9.884715, ' yes': -10.089111}
{' Yes': -0.0034779182, ' No': -6.061358, 'Yes': -6.8840985, '\n': -10.193967, ' yes': -10.296264}
{' Yes': -0.013234757, ' No': -4.7728114, 'Yes': -5.4406123, '\n': -8.778096, 'No': -9.333285}
{' Yes': -0.022951761, ' No': -3.8618133, 'Yes': -6.6399384, ' The': -8.44442, 'No': -9.799559}
{' Yes': -0.039455682, ' No': -3.3008842, 'Yes': -6.443876, 'No': -9.0613, ' The': -9.55641}
{' Yes': -0.0061959676, 'Yes': -5.438002, ' No': -6.560935, '\n': -8.566337, ' yes': -9.334128}
{' Yes': -0.01927617, ' No': -4.182732, 'Yes': -5.7151947, '\n': -8.516802, 'No': -8.93231}
{' Yes': -0.0025512516, 'Yes': -6.283595, ' No': -7.5225134, ' yes': -9.742396, '\n': -10.387109}
{' No': -0.5238674, ' Yes': -0.9064205, 'No': -6.0343804, 'Yes': -7.347424, ' The': -7.612955}
{' Yes': -0.0014476668, 'Yes': -6.6002927, ' yes': -10.266218, ' No': -10.662212, ' The': -11.596421}
{' Yes': -0.0032200995, 'Yes': -5.837511, ' No': -8.679302, ' yes': -9.541632, '\n': -10.756739}
{' Yes': -0.0027746484, 'Yes': -6.2241244, ' No': -7.457586, '\n': -9.543424, ' yes': -9.632045}
{' Yes': -0.004422868, ' No': -6.1150064, 'Yes': -6.2181067, '\n': -9.462176, ' yes': -9.52996}
{' Yes': -0.012389591, ' No': -4.582038, 'Yes': -6.3172364, ' The': -8.884868, ' yes': -9.849158}
{' Yes': -0.053203356, ' No': -3.0250869, 'Yes': -5.8848658, 'No': -8.218097, ' The': -9.31302}
{' Yes': -0.00091387215, 'Yes': -7.2065086, ' yes': -9.537535, ' The': -9.932367, ' No': -10.31974}
{' Yes': -0.38999704, ' No': -1.1444259, 'Yes': -6.267008, 'No': -6.3746405, ' The': -7.65534}
{' No': -0.4219956, ' Yes': -1.0875479, 'No': -5.5671906, 'Yes': -6.774471, '\n': -6.8156266}
{' No': -0.21297893, ' Yes': -1.6726632, 'No': -5.8047357, 'Yes': -7.6364865, ' The': -8.146324}
{' Yes': -0.003469128, ' No': -6.473722, 'Yes': -6.492493, ' The': -8.709788, '\n': -9.045935}
{' No': -0.025753861, ' Yes': -3.9164815, 'No': -5.275582, ' The': -8.633419, '\n': -9.353445}
{' Yes': -0.0029081271, 'Yes': -6.1333666, ' No': -7.6268587, '\n': -8.9229555, ' yes': -9.905108}
{' Yes': -0.032425694, ' No': -3.5920434, 'Yes': -5.6843033, '\n': -7.8104286, 'No': -8.396191}
{' No': -0.010989953, ' Yes': -5.095758, 'No': -5.5078807, ' Not': -7.9429545, ' The': -8.271834}
{' Yes': -0.026516017, ' No': -3.7888544, 'Yes': -5.7381706, 'No': -8.854491, ' yes': -9.16698}
{' Yes': -0.006981711, ' No': -5.234402, 'Yes': -6.6338367, ' The': -9.264757, ' yes': -9.445753}
{' Yes': -0.0037861827, 'Yes': -5.892494, ' No': -7.0064335, ' yes': -9.766298, ' The': -10.533171}
{' Yes': -0.009639096, ' No': -4.9203043, 'Yes': -6.2108316, ' The': -9.25262, '\n': -9.511886}
{' Yes': -0.00848836, ' No': -5.0026093, 'Yes': -6.6293144, ' The': -8.270079, ' yes': -9.877453}
{' Yes': -0.003265367, 'Yes': -6.0048575, '\n': -7.95635, ' No': -8.497952, ' yes': -9.433444}
{' Yes': -0.0018385996, 'Yes': -6.4090824, ' No': -9.005088, ' yes': -10.120043, '\n': -11.43026}
{' Yes': -0.0053206524, 'Yes': -5.5901427, ' No': -7.4533033, ' The': -7.7543483, ' yes': -8.430435}
{' Yes': -0.0050779344, 'Yes': -5.4690456, ' yes': -8.102032, ' The': -8.637896, '\n': -8.700716}
{' Yes': -0.010053296, 'Yes': -4.8014827, '\n': -7.121463, ' No': -7.5874, ' yes': -8.42235}
{' Yes': -0.0063450173, 'Yes': -5.1192904, ' yes': -9.308091, ' No': -9.364548, '\n': -9.484811}
{' No': -0.17741217, ' Yes': -1.8574468, 'No': -5.7499886, ' The': -6.148117, '\n': -7.884889}
{' No': -0.39552066, ' Yes': -1.2029966, 'No': -3.9901135, 'Yes': -5.62432, '\n': -6.3224063}
{' Yes': -0.009536974, 'Yes': -5.136629, ' No': -6.0706024, ' The': -7.4805617, '\n': -7.9435825}
{' No': -0.26128286, ' Yes': -1.5441768, 'No': -4.467482, 'Yes': -6.2925653, '\n': -6.5621786}
{' Yes': -0.010033487, 'Yes': -4.6485777, ' yes': -8.197239, ' No': -10.248291, ' The': -10.58947}
{' Yes': -0.0070120217, 'Yes': -5.3061814, ' No': -6.3615956, ' yes': -8.927013, '\n': -9.473375}
{' No': -0.025095945, 'No': -3.786494, ' Yes': -6.4520974, ' The': -8.387832, '\n': -9.456907}
{' Yes': -0.2992143, ' No': -1.4018697, 'Yes': -4.958878, 'No': -5.5306344, '\n': -7.3336477}
{' Yes': -0.016526042, ' No': -4.5840707, 'Yes': -5.2958074, ' The': -7.742064, '\n': -8.069072}
{' No': -0.42111784, ' Yes': -1.1099968, 'No': -4.7072773, 'Yes': -6.2221026, ' The': -6.599895}
{' Yes': -0.030308532, ' No': -3.6963851, 'Yes': -5.464331, ' The': -8.200692, 'No': -8.385503}
{' Yes': -0.0046335123, 'Yes': -5.4978547, ' No': -8.562609, ' The': -9.060631, ' yes': -9.074535}
{' Yes': -0.21515626, ' No': -1.6973168, 'Yes': -5.1163707, 'No': -5.858096, '\n': -7.2929397}
{' Yes': -0.045007225, ' No': -3.6539433, 'Yes': -4.228954, '\n': -6.2141027, 'No': -7.180243}
{' Yes': -0.028299676, 'Yes': -4.152558, ' No': -4.56933, '\n': -7.212807, 'No': -7.480862}
{' No': -0.04382822, 'No': -3.4491377, ' Yes': -4.6301947, '\n': -7.2443247, ' ': -8.351926}
{' Yes': -0.0127103925, 'Yes': -4.9057255, ' No': -5.599596, '\n': -7.5150275, ' The': -7.52864}
{' No': -0.2617958, ' Yes': -1.5844465, 'No': -4.057503, '\n': -5.6746354, 'Yes': -6.185715}
{' Yes': -0.0068882, 'Yes': -5.002333, ' yes': -9.515494, '\n': -10.188939, ' ': -11.083475}
{' Yes': -0.011028222, 'Yes': -4.525137, ' yes': -9.439127, '\n': -10.850821, ' ': -11.273392}
{' Yes': -0.009181459, 'Yes': -4.8991218, ' No': -6.71498, ' The': -8.425227, ' yes': -9.26135}
{' Yes': -0.27663875, ' No': -1.4889723, 'Yes': -4.9998784, 'No': -5.167313, ' The': -6.037122}
{' Yes': -0.028206361, ' No': -3.9633372, 'Yes': -4.8650703, 'No': -8.037351, ' The': -8.243887}
{' Yes': -0.01468925, 'Yes': -4.284301, ' No': -7.6865125, '\n': -8.872864, ' yes': -9.24969}
{' No': -0.06356374, ' Yes': -3.0070488, 'No': -4.5943465, '\n': -6.8253126, 'Yes': -8.25018}
{' Yes': -0.033612385, ' No': -3.6154397, 'Yes': -5.4020433, '\n': -7.0445223, 'No': -8.336101}
{' No': -0.050517578, ' Yes': -3.6135437, 'No': -3.8476539, 'Yes': -8.053874, '\n': -8.271087}
{' No': -0.13163556, ' Yes': -2.2790334, 'No': -4.008432, 'Yes': -6.76025, '\n': -6.8011875}
{' Yes': -0.01599783, 'Yes': -4.9537835, ' No': -4.9918356, '\n': -7.387419, ' The': -7.472647}
{' No': -0.40262884, ' Yes': -1.1516886, 'No': -4.6792803, 'Yes': -6.219224, '\n': -6.292338}
{' Yes': -0.026979817, 'Yes': -3.9014666, ' No': -5.278528, ' The': -7.692688, '\n': -7.7293944}
{' Yes': -0.5540901, ' No': -0.90698385, 'Yes': -4.4838862, 'No': -4.733476, ' The': -7.209685}
{' Yes': -0.29599065, ' No': -1.4014612, 'Yes': -5.447884, 'No': -5.7104053, ' The': -6.669411}
{' No': -0.45659593, ' Yes': -1.0571303, 'No': -4.4368224, 'Yes': -5.7452674, ' The': -6.3623366}
{' Yes': -0.005282841, 'Yes': -5.326324, ' yes': -8.855742, ' The': -9.395244, ' No': -9.550536}
{' Yes': -0.0120971855, 'Yes': -4.4902253, ' No': -8.216247, '\n': -8.317946, ' yes': -8.966333}
