{' Yes': -0.04511578, ' Generally': -3.6469321, ' No': -4.4161234, 'Yes': -5.597255, ' Typically': -7.983192}
{' Yes': -0.4393132, ' No': -1.3499196, 'No': -3.214036, 'Yes': -3.6887865, ' M': -4.560071}
{' Yes': -0.21931058, ' Generally': -2.706327, 'Yes': -3.089605, ' No': -3.1482618, ' M': -4.141626}
{' Yes': -0.050664354, 'Yes': -3.143651, ' yes': -5.6342626, ' Generally': -6.589341, ' M': -7.743772}
{' Yes': -0.028152838, ' yes': -3.8864422, 'Yes': -5.7995753, ' No': -6.108236, ' ': -6.639837}
{' Yes': -0.046607614, ' yes': -3.3522944, 'Yes': -4.8196235, ' ': -6.8275623, 'yes': -7.460816}
{' Yes': -0.02760344, ' yes': -3.7875042, 'Yes': -5.7706757, ' ': -7.5799417, ' YES': -8.10764}
{' Yes': -0.051975217, ' yes': -3.1475902, 'Yes': -5.1882668, ' ': -7.277926, 'yes': -7.595335}
{' No': -0.76002544, ' Yes': -0.7915997, 'No': -3.3787825, 'Yes': -4.468445, ' ': -4.698908}
{' Yes': -0.045246735, 'Yes': -3.5327687, ' yes': -4.814797, '\n': -6.277226, ' ': -6.486295}
{' Yes': -0.037333865, 'Yes': -3.6984036, ' yes': -5.180852, ' Generally': -6.268832, '\n': -6.4408464}
{' Yes': -0.039303284, 'Yes': -3.7277894, ' yes': -4.6006856, '\n': -6.600735, ' Generally': -6.773709}
{' No': -0.53816944, ' Yes': -1.5579276, 'No': -2.482328, '\n': -2.517076, 'Yes': -4.1587405}
{' Yes': -0.14630444, 'Yes': -2.6035397, '\n': -3.215007, ' yes': -4.8562536, ' ': -5.0721464}
{' Yes': -0.14008954, 'Yes': -2.8858721, '\n': -3.273045, ' No': -4.2669625, ' yes': -4.772927}
{' Yes': -0.083309576, 'Yes': -2.8857958, '\n': -4.533795, ' yes': -4.5981865, ' ': -6.424772}
{' Yes': -0.33010763, ' No': -1.3399609, 'Yes': -4.892129, 'No': -5.2146025, ' ': -5.8403363}
{' Yes': -0.016637426, 'Yes': -4.401981, ' yes': -5.9085836, '\n': -7.8254814, ' ': -7.844246}
{' Yes': -0.0411878, ' No': -3.5831149, 'Yes': -4.9662576, ' Generally': -6.4229407, ' yes': -6.5345073}
{' Yes': -0.012139722, 'Yes': -4.8103, ' yes': -5.927518, ' Generally': -7.5128965, '\n': -8.461478}
{' No': -0.35424444, 'No': -1.3797286, '\n': -3.427497, ' ': -4.914613, ' no': -6.194083}
{' No': -0.42388716, 'No': -1.2659224, '\n': -3.0390413, ' ': -4.882164, ' Yes': -5.706551}
{' No': -0.43804806, 'No': -1.375115, ' Yes': -3.2647634, '\n': -3.294354, ' ': -4.713798}
{' Yes': -0.18035553, 'Yes': -2.0945, ' yes': -4.0513253, '\n': -4.2309113, ' ': -5.77736}
{' Yes': -0.124014154, ' yes': -2.8406527, ' No': -3.592541, 'Yes': -4.204905, '\n': -5.3738565}
{' Yes': -0.12700368, ' yes': -2.3510523, 'Yes': -4.15261, '\n': -5.9032526, ' ': -6.0412297}
{' Yes': -0.14245243, ' yes': -2.294184, 'Yes': -3.9588587, '\n': -5.700268, 'yes': -5.7298617}
{' Yes': -0.1910285, ' yes': -1.9748172, 'Yes': -3.7914577, 'yes': -5.3835053, '\n': -5.406897}
{' Yes': -0.31240514, ' No': -1.411738, '\n': -4.2665024, ' ': -5.064339, 'Yes': -6.1609573}
{' Yes': -0.0077534695, 'Yes': -5.34762, '\n': -6.773786, ' yes': -6.9257545, ' ': -7.573272}
{' Yes': -0.048596907, ' No': -3.4122462, '\n': -4.8844175, 'Yes': -5.8458667, ' ': -6.1723514}
{' Yes': -0.012183282, 'Yes': -5.356538, '\n': -5.682307, ' Generally': -6.4224114, ' ': -6.8955827}
{' No': -0.088881515, 'No': -2.8963306, '\n': -3.870097, ' ': -4.991868, ' Yes': -6.6101904}
{' Yes': -0.06729765, 'Yes': -3.5836165, '\n': -3.8783212, ' No': -5.1328187, ' ': -5.2539144}
{' Yes': -0.19650888, ' No': -2.5987306, '\n': -2.8663886, 'Yes': -4.106793, ' Generally': -4.66458}
{' Yes': -0.048481647, 'Yes': -3.881989, '\n': -4.01306, ' ': -5.68077, ' Generally': -5.89797}
{' No': -0.10243621, 'No': -3.1573756, '\n': -3.5967312, ' Yes': -4.0987315, ' ': -4.8859076}
{' Yes': -0.07014028, 'Yes': -3.7505999, '\n': -3.8595154, ' No': -4.804113, ' ': -4.888355}
{' Yes': -0.22925253, ' No': -2.382666, '\n': -3.254414, ' M': -3.6635005, 'Yes': -4.164395}
{' Yes': -0.03062548, 'Yes': -4.0134153, '\n': -5.247693, ' ': -6.0110655, ' M': -6.617373}
{' No': -0.014833639, 'No': -4.7494583, ' ': -5.7504253, '\n': -6.071583, ' Yes': -7.7268815}
{' Yes': -0.05040367, ' No': -3.774889, '\n': -4.575952, ' ': -4.8801174, 'Yes': -5.1027775}
{' No': -0.67051405, ' Yes': -0.8223409, '\n': -3.8438787, ' ': -4.5761685, 'No': -4.582707}
{' Yes': -0.017784111, 'Yes': -4.974203, '\n': -5.031416, ' ': -5.8895545, ' yes': -7.3031516}
{' No': -0.06187974, 'No': -3.0301814, '\n': -4.8558593, ' ': -5.606597, ' no': -9.745411}
{' No': -0.16526943, 'No': -2.5061316, ' Yes': -3.0028737, '\n': -4.548637, ' ': -5.141479}
{' No': -0.090893574, 'No': -3.0272644, ' Yes': -3.79864, ' ': -5.0777817, '\n': -5.1214895}
{' Yes': -0.18395361, ' No': -2.2501347, 'Yes': -3.6049964, '\n': -4.553172, 'No': -4.8314586}
{' No': -0.115362056, ' Yes': -2.9554803, 'No': -3.8069856, '\n': -4.0006084, ' ': -4.3410892}
{' Yes': -0.031768486, 'Yes': -4.34135, ' yes': -4.9247317, '\n': -5.2228675, ' ': -5.589204}
{' Yes': -0.04035015, ' No': -4.389389, 'Yes': -4.4491844, '\n': -5.6860595, ' ': -5.6870513}
{' Yes': -0.02414942, 'Yes': -4.4405084, ' yes': -4.8688474, ' ': -6.601346, '\n': -6.6184745}
{' No': -0.029083349, 'No': -4.14048, ' Generally': -4.53294, ' It': -7.644914, ' Not': -8.087426}
{' No': -0.8362811, ' Yes': -1.1318, ' Generally': -1.6662847, 'No': -4.0488477, ' It': -4.4767327}
{' No': -0.19445466, ' Generally': -2.1155741, 'No': -3.5231478, ' It': -4.792692, ' In': -5.50631}
{' No': -0.30599198, ' Generally': -1.9727821, 'No': -3.083868, ' It': -3.2318077, ' M': -4.886072}
{' No': -0.062265154, 'No': -2.858545, ' Generally': -6.1960235, ' ': -8.225061, ' M': -8.961969}
{' No': -0.13119128, 'No': -2.398008, ' Generally': -3.854755, ' Yes': -5.636011, ' It': -6.0096774}
{' No': -0.14266069, 'No': -2.273684, ' Generally': -3.9205267, ' M': -5.8050404, ' It': -6.099474}
{' No': -0.14851826, 'No': -2.283084, ' Generally': -4.118689, ' M': -5.053948, ' It': -5.2900586}
{' No': -0.08854419, 'No': -2.5115368, '\n': -6.631995, ' Generally': -6.9307947, ' ': -7.3577566}
{' No': -0.1204783, 'No': -2.3121839, ' Generally': -5.2530065, ' Yes': -6.1995907, '\n': -6.216238}
{' No': -0.13931468, 'No': -2.3334293, ' Generally': -4.4734325, ' M': -5.0299296, ' It': -5.4530635}
{' No': -0.20559055, 'No': -2.3787014, ' M': -3.6131012, ' Generally': -3.9432154, ' It': -4.090848}
{' No': -0.031144131, 'No': -3.8275077, ' Generally': -4.9409246, ' M': -7.9272833, ' Not': -8.428201}
{' No': -0.06984641, 'No': -3.3184388, ' Generally': -3.699628, ' It': -6.479814, ' A': -7.1827035}
{' No': -0.08755006, 'No': -3.0109813, ' Generally': -3.5473125, ' M': -6.511185, ' It': -6.9670033}
{' No': -0.15424332, 'No': -2.7707155, ' Generally': -3.1166134, ' M': -4.2948704, ' It': -4.549173}
{' No': -0.119057454, 'No': -2.257346, '\n': -5.9546685, ' Generally': -6.426657, ' ': -6.613024}
{' No': -0.21060449, 'No': -1.8038051, '\n': -4.656626, ' Generally': -5.1826005, ' ': -5.8400245}
{' No': -0.21527696, 'No': -1.8433763, ' M': -4.780303, '\n': -4.8640757, ' Generally': -5.078865}
{' No': -0.20821889, 'No': -1.8488, ' M': -5.0015936, ' Generally': -5.50648, ' ': -5.6037436}
{' No': -0.086296454, 'No': -2.6565783, ' Generally': -4.741434, ' ': -7.2627583, ' M': -7.376425}
{' No': -0.30053782, 'No': -2.374749, ' Yes': -2.5774121, ' Generally': -2.6973407, ' Typically': -5.72846}
{' No': -0.22171515, 'No': -2.2125447, ' Generally': -2.9553826, ' M': -4.067584, ' It': -5.7590904}
{' No': -0.24938685, 'No': -2.0625029, ' Generally': -3.2211907, ' M': -3.950917, ' Yes': -4.585294}
{' No': -0.0070915576, 'No': -5.1529613, ' ': -7.2363505, '\n': -7.8482757, ' A': -9.577982}
{' No': -0.0133761605, 'No': -4.5426273, ' ': -7.000992, '\n': -7.275917, ' Generally': -7.593831}
{' No': -0.010349497, 'No': -4.8850427, '\n': -6.797216, ' ': -7.2405567, ' Generally': -7.4556956}
{' No': -0.04691447, 'No': -4.158216, ' Generally': -4.6611114, ' It': -5.2154684, '\n': -5.5647383}
{' No': -0.07363803, 'No': -2.8030348, '\n': -4.9415884, ' ': -5.9817433, ' A': -8.291723}
{' No': -0.08281903, 'No': -2.6408215, '\n': -5.826275, ' ': -6.183908, ' Generally': -6.7425914}
{' No': -0.0735162, 'No': -2.7286618, '\n': -6.1643705, ' ': -6.371909, ' M': -7.2803655}
{' No': -0.07959099, 'No': -2.7028096, ' ': -6.004512, '\n': -6.2243376, ' Generally': -6.343963}
{' No': -0.22139929, '\n': -2.374754, 'No': -2.3749504, ' ': -4.5389366, ' A': -7.137592}
{' No': -0.18579565, 'No': -2.2435176, '\n': -2.9506974, ' ': -4.800065, ' A': -6.347528}
{' No': -0.41926497, '\n': -1.6070796, 'No': -2.1659462, ' ': -3.85608, ' M': -5.9454656}
{' No': -0.28322208, 'No': -2.0722141, '\n': -2.308853, ' ': -4.1953273, ' M': -5.859962}
{' No': -0.0066522425, 'No': -5.1274023, ' ': -7.431596, '\n': -9.678332, ' no': -11.144578}
{' No': -0.017384714, 'No': -4.1025, ' ': -7.6703978, '\n': -9.208293, ' A': -10.352918}
{' No': -0.018598266, 'No': -4.01951, ' ': -8.261018, '\n': -9.416189, ' M': -10.075124}
{' No': -0.038896747, 'No': -3.313862, ' ': -7.5357265, ' It': -7.8765793, ' M': -8.292425}
{' No': -0.30056503, 'No': -1.4594699, '\n': -4.0516677, ' ': -4.90909, ' A': -7.232983}
{' No': -0.30855444, 'No': -1.4120796, '\n': -4.342139, ' ': -5.0263743, ' A': -6.8896465}
{' No': -0.3327496, 'No': -1.3974869, '\n': -3.7646346, ' ': -4.8018227, ' M': -6.379128}
{' No': -0.34807843, 'No': -1.3277689, '\n': -4.3189354, ' ': -4.7637014, ' M': -5.5775123}
{' No': -0.045341842, 'No': -3.2972202, ' ': -5.5854626, '\n': -6.475458, ' no': -7.4135365}
{' No': -0.08671233, 'No': -2.8509142, ' A': -5.2216263, ' ': -5.349243, ' Generally': -5.4409943}
{' No': -0.08361818, 'No': -2.743763, ' ': -5.484382, ' M': -5.71843, ' Generally': -5.8732753}
{' No': -0.15882163, 'No': -2.5569444, ' M': -3.6775708, ' Generally': -4.583513, ' ': -4.946079}
{' No': -0.14138097, 'No': -2.099038, ' Generally': -5.929674, ' A': -6.2578273, ' ': -6.94693}
{' No': -0.19443662, 'No': -1.834764, ' Generally': -5.2284446, ' A': -5.606136, ' It': -6.681061}
{' No': -0.21623716, 'No': -1.874034, ' Generally': -4.490281, ' M': -4.7577996, ' It': -5.3564076}
{' No': -0.3921844, 'No': -2.0487645, ' It': -3.023717, ' M': -3.189831, ' Generally': -3.438022}
{' No': -0.17884731, 'No': -1.8169106, ' ': -8.066265, ' no': -8.225205, ' M': -8.661109}
{' No': -0.16855976, 'No': -1.8669813, ' ': -8.702671, ' Generally': -9.272551, ' no': -9.671993}
{' No': -0.24925591, 'No': -1.5402029, ' Generally': -5.706798, ' M': -6.675924, ' ': -8.139671}
{' No': -0.27320838, 'No': -1.4985654, ' Generally': -4.961744, ' M': -5.976572, ' It': -6.452456}
{' No': -0.1652413, 'No': -1.8872815, ' ': -8.256333, '\n': -8.940962, ' Generally': -8.991089}
{' No': -0.1932484, 'No': -1.750114, ' Yes': -7.4082656, ' ': -7.720636, ' Generally': -8.428317}
{' No': -0.2795245, 'No': -1.4498146, ' Generally': -5.9496617, ' M': -6.1482525, ' It': -7.061051}
{' No': -0.25502256, 'No': -1.6551288, ' M': -4.5048146, ' Generally': -4.8933053, ' Yes': -5.320377}
{' No': -0.026919384, 'No': -3.6441143, ' ': -8.467552, ' no': -9.954824, ' A': -10.254017}
{' No': -0.043976005, 'No': -3.167797, ' Generally': -7.9245305, ' ': -8.531622, ' A': -9.187521}
{' No': -0.071839325, 'No': -2.7374868, ' M': -6.24552, ' Generally': -6.31617, ' ': -8.025887}
{' No': -0.084865384, 'No': -2.7084348, ' M': -5.129825, ' Generally': -5.152555, ' It': -7.355218}
{' No': -0.5391097, 'No': -0.8932566, '\n': -6.321577, ' M': -6.4844193, 'M': -6.6370363}
{'No': -0.6866518, ' No': -0.7128893, ' Generally': -6.623008, '\n': -6.758571, ' M': -6.7936544}
{' No': -0.7242311, 'No': -0.7359498, ' Generally': -4.6553817, ' M': -4.708679, ' It': -5.5571423}
{'No': -0.6458679, ' No': -0.83808666, 'M': -4.7626624, ' Generally': -5.050689, ' M': -5.0789695}
{' No': -0.10846554, 'No': -2.3412194, ' M': -5.840044, '\n': -7.0705967, ' ': -7.092211}
{' No': -0.19836736, 'No': -2.0572598, ' M': -3.5139017, ' Yes': -4.7913084, '\n': -5.418562}
{' No': -0.42186183, 'No': -1.3593085, ' Generally': -3.5210762, ' M': -3.6067257, ' It': -4.8151827}
{' No': -0.39809835, 'No': -1.7205167, ' Yes': -2.8131733, ' M': -3.2833786, ' Generally': -3.8107302}
{' No': -0.012835238, ' no': -5.2838235, 'No': -5.367892, ' ': -5.9759254, '\n': -8.187869}
{' No': -0.024308618, 'No': -4.1572146, ' ': -5.5701265, ' no': -5.9940214, '\n': -6.741439}
{' No': -0.012383675, 'No': -4.8569956, ' ': -6.2966757, ' no': -6.642369, '\n': -7.0408993}
{' No': -0.031226162, 'No': -4.014039, ' ': -5.835999, ' M': -5.8995247, ' no': -6.2433243}
{' No': -0.07923698, 'No': -2.7035656, '\n': -5.421676, ' ': -5.6879687, ' no': -7.492095}
{' No': -0.125632, 'No': -2.2014816, '\n': -5.9080205, ' ': -6.0705323, ' Generally': -6.94837}
{' No': -0.13364214, 'No': -2.1625974, '\n': -5.266668, ' ': -5.8754177, ' Generally': -7.028957}
{' No': -0.14419283, 'No': -2.193099, '\n': -5.094157, ' ': -5.304679, ' Generally': -5.608075}
{' No': -0.17268716, 'No': -2.1503348, '\n': -3.4067836, ' ': -5.0553412, ' no': -7.008456}
{' No': -0.28812197, 'No': -1.6147134, '\n': -3.1449966, ' ': -5.1055427, ' A': -6.9742956}
{' No': -0.26723582, 'No': -1.7452631, '\n': -3.0241594, ' ': -4.8959894, ' M': -6.7144685}
{' No': -0.3393698, 'No': -1.6791927, '\n': -2.638116, ' ': -4.315827, ' M': -4.625893}
{' No': -0.028608937, 'No': -3.658087, ' ': -6.543623, '\n': -7.456902, ' no': -8.218069}
{' No': -0.043526854, 'No': -3.2238476, ' ': -6.8751, '\n': -7.183049, ' A': -8.21398}
{' No': -0.039307192, 'No': -3.3043103, '\n': -7.492322, ' ': -7.562919, ' no': -8.157987}
{' No': -0.06809567, 'No': -2.918334, ' M': -5.380485, ' It': -6.081634, ' Generally': -6.6174726}
{' No': -0.40707567, 'No': -1.2616557, '\n': -3.279719, ' ': -4.813683, ' no': -6.0486407}
{' No': -0.44339705, 'No': -1.1906161, '\n': -3.1031086, ' ': -5.0392466, ' no': -6.806556}
{' No': -0.42095464, 'No': -1.2109957, '\n': -3.3740568, ' ': -5.0957217, ' no': -6.4037457}
{' No': -0.4945555, 'No': -1.0917139, '\n': -3.3063977, ' ': -4.6998844, ' M': -6.109837}
{' No': -0.07255173, 'No': -3.0755706, ' no': -4.4724445, '\n': -5.295173, ' ': -5.3096237}
{' No': -0.1233737, 'No': -2.650332, ' no': -4.5127854, '\n': -4.6088624, ' ': -4.741943}
{' No': -0.17237203, 'No': -2.2136776, ' no': -4.422696, '\n': -4.5761604, ' ': -5.0681505}
{' No': -0.3197818, 'No': -2.584951, ' M': -2.977591, '\n': -3.4130197, ' Yes': -3.791512}
{' No': -0.014791476, 'No': -4.970609, '\n': -5.1663914, ' ': -6.2873764, ' NO': -9.778158}
{' No': -0.029827898, 'No': -4.214679, '\n': -5.055619, ' Generally': -5.766947, ' ': -6.0006013}
{' No': -0.027588492, '\n': -4.2967935, 'No': -4.6446347, ' ': -5.7748017, ' Generally': -7.8107934}
{' No': -0.04205917, 'No': -3.924057, '\n': -4.5180345, ' Generally': -5.7558327, ' ': -5.863554}
{' No': -0.09349664, 'No': -2.946177, '\n': -3.5154798, ' ': -5.032589, ' A': -9.198716}
{' No': -0.12118185, 'No': -2.444483, '\n': -3.992262, ' ': -5.2940044, ' Generally': -6.428219}
{' No': -0.14163996, '\n': -2.6637404, 'No': -2.9703736, ' ': -4.714373, ' M': -7.034271}
{' No': -0.170577, 'No': -2.5735617, '\n': -2.7512636, ' ': -4.6943326, ' Generally': -5.833983}
{' No': -0.09097942, 'No': -3.0730672, '\n': -3.4188178, ' ': -4.9599657, ' A': -7.684455}
{' No': -0.105783805, 'No': -2.704447, '\n': -3.7970793, ' ': -5.002663, ' A': -6.2550097}
{' No': -0.107360214, 'No': -2.9474957, '\n': -3.3626015, ' ': -4.6845083, ' M': -5.7076554}
{' No': -0.09504958, 'No': -2.8709035, '\n': -4.0501084, ' ': -4.938563, ' M': -5.207709}
{' No': -0.018768791, 'No': -4.5167203, ' ': -5.4875546, '\n': -5.6852064, ' no': -10.171147}
{' No': -0.034962088, 'No': -3.7739642, '\n': -5.167557, ' ': -5.4079, ' Generally': -7.5149517}
{' No': -0.031007634, 'No': -3.9888284, '\n': -4.884964, ' ': -5.4982734, ' M': -8.663191}
{' No': -0.054877575, 'No': -3.2795684, '\n': -4.9489126, ' ': -5.3295336, ' Generally': -6.6236863}
{' No': -0.05676384, 'No': -3.1689005, '\n': -4.765446, ' ': -5.4436197, ' A': -9.3313}
{' No': -0.08195018, 'No': -2.6453502, '\n': -5.5417204, ' ': -5.844754, ' A': -7.8443813}
{' No': -0.044591945, 'No': -3.3751068, ' ': -5.2784405, '\n': -5.709108, ' M': -7.384849}
{' No': -0.072843686, 'No': -2.8098087, '\n': -5.5451775, ' ': -5.5614147, ' M': -6.419903}
{' No': -0.039866637, 'No': -3.7368784, '\n': -4.8560286, ' ': -5.0488653, ' A': -8.139886}
{' No': -0.08111355, 'No': -3.2486987, '\n': -4.4667296, ' ': -4.7440214, ' Generally': -5.3177876}
{' No': -0.05661232, 'No': -3.423561, '\n': -4.8344007, ' ': -4.9400063, ' M': -5.849545}
{' No': -0.08083931, 'No': -3.2047632, ' M': -4.384367, '\n': -5.0616035, ' ': -5.1453304}
{' Yes': -0.0117315315, ' Generally': -4.977351, 'Yes': -5.6649294, ' It': -7.583717, ' yes': -8.969754}
{' Yes': -0.014085774, ' Generally': -4.8566895, 'Yes': -5.384594, ' It': -7.2653384, ' Typically': -8.771708}
