{' Yes': -0.010687537, ' No': -4.721705, 'Yes': -6.4608536, ' Right': -10.454877, 'No': -10.500437}
{' No': -0.36450008, ' Yes': -1.2311059, ' Min': -4.8286934, 'No': -5.8755774, 'Yes': -6.9596305}
{' Yes': -0.00069542375, 'Yes': -7.307437, ' yes': -11.408612, ' YES': -11.657767, '\n': -12.984612}
{' Yes': -0.0019185622, 'Yes': -6.3026443, ' yes': -9.990706, ' YES': -11.119911, ' Word': -11.680081}
{' Yes': -0.0038449394, 'Yes': -5.9137945, ' Ch': -7.3280272, ' yes': -9.21868, ' Chal': -9.23772}
{' Yes': -0.0010072426, 'Yes': -7.0793915, ' No': -9.558419, ' yes': -9.977283, ' Sure': -11.219721}
{' Yes': -0.0008695453, 'Yes': -7.1098247, ' yes': -10.949676, ' YES': -11.089675, ' Woman': -11.711117}
{' Yes': -0.009097605, ' Woman': -4.8553514, 'Yes': -6.7954893, ' YES': -9.938735, 'Woman': -10.458877}
{' Yes': -0.0030953097, 'Yes': -6.0646815, ' Party': -7.348747, ' yes': -10.359363, '\n': -10.624316}
{' Yes': -0.0069864495, ' Party': -5.6701136, 'Yes': -6.1395216, ' No': -6.7616477, ' yes': -10.011722}
{' Yes': -0.0019642462, 'Yes': -6.3084846, ' yes': -9.319913, ' YES': -10.863572, '\n': -11.556875}
{' Yes': -0.0013874401, 'Yes': -6.6132913, ' yes': -10.949595, '\n': -11.212519, ' YES': -11.814517}
{' Yes': -0.0040440876, 'Yes': -5.5277405, ' yes': -10.848963, ' YES': -11.285557, '\n': -11.366147}
{' Yes': -0.0040021944, 'Yes': -5.603066, ' Shoes': -8.481221, ' yes': -10.508844, ' YES': -10.672203}
{' Yes': -0.0031109157, 'Yes': -5.8173823, '\n': -10.122795, ' yes': -10.194531, ' No': -10.592035}
{' Yes': -0.003014536, 'Yes': -6.1310887, ' No': -7.8133225, ' Ghost': -8.535558, '\n': -8.762934}
{' Yes': -0.0020834587, 'Yes': -6.260189, ' Shirt': -9.792477, '\n': -10.063086, ' yes': -10.170364}
{' Yes': -0.0009295016, 'Yes': -7.026831, ' yes': -11.313457, ' YES': -11.481353, '\n': -11.619106}
{' Yes': -0.0050710454, 'Yes': -5.469615, ' No': -7.295028, '\n': -9.765042, ' Pants': -10.02427}
{' Yes': -0.0052869758, 'Yes': -5.374456, ' No': -7.889154, ' Pants': -8.984912, '\n': -9.678386}
{' Yes': -0.001949976, 'Yes': -6.3499336, ' yes': -9.466267, ' Board': -9.779655, ' YES': -10.7927685}
{' Yes': -0.0047111195, 'Yes': -5.4289126, ' yes': -8.748866, ' Board': -10.061954, '\n': -10.388729}
{' Yes': -0.019349942, ' Leave': -4.46789, 'Yes': -4.958849, ' yes': -8.47459, ' YES': -9.170743}
{' Yes': -0.0063988827, 'Yes': -5.215879, ' Leave': -7.3674617, ' yes': -9.129317, ' No': -9.998801}
{' Yes': -0.0016474725, 'Yes': -6.4826255, ' No': -10.355426, ' yes': -10.368893, ' Sure': -10.695132}
{' Yes': -0.0010216809, 'Yes': -7.030764, ' No': -9.644618, ' Sure': -10.384267, '\n': -10.999767}
{' Yes': -0.00479263, 'Yes': -5.6050563, ' No': -7.640598, ' yes': -8.177453, ' Sn': -8.570451}
{' Yes': -0.009404957, 'Yes': -5.3808994, ' Sn': -5.771119, ' yes': -7.2142763, ' No': -7.3891134}
{' Yes': -0.009760011, ' Bride': -5.2306805, 'Yes': -5.578279, ' Bridge': -8.61107, ' yes': -8.678047}
{' Yes': -0.0039520487, 'Yes': -6.179483, ' Bride': -6.612661, ' Bridge': -8.157665, ' yes': -9.057419}
{' Yes': -0.002491913, 'Yes': -6.0485578, '\n': -9.717709, ' yes': -10.326469, ' Throw': -11.008596}
{' Yes': -0.00083989615, 'Yes': -7.1948686, '\n': -10.44669, ' No': -10.906373, ' yes': -11.135981}
{' Yes': -0.0010990717, 'Yes': -6.8523273, ' YES': -11.124966, ' yes': -11.460014, ' Yep': -12.394894}
{' Yes': -0.0029090836, 'Yes': -5.913223, ' No': -9.943966, ' YES': -10.126709, ' yes': -10.304057}
{' Yes': -0.0066189407, 'Yes': -5.2098274, ' yes': -7.4026904, ' YES': -8.816842, ' Y': -9.17211}
{' Yes': -0.003700567, 'Yes': -5.877508, ' No': -7.257246, ' yes': -9.227827, ' YES': -10.21319}
{' Yes': -0.014465111, ' No': -4.3719306, 'Yes': -6.559137, ' Nope': -9.026246, 'No': -10.201232}
{' Yes': -0.0020276718, 'Yes': -6.6893744, ' No': -7.385349, ' yes': -10.137168, ' ': -10.77641}
{' Yes': -0.0037691903, 'Yes': -5.600746, ' yes': -10.609907, ' YES': -11.1183605, '\n': -11.12471}
{' Yes': -0.003003954, 'Yes': -5.883091, ' No': -8.946667, ' yes': -10.166948, '\n': -10.921368}
{' Yes': -0.0016983417, 'Yes': -6.4257703, ' yes': -10.402645, '\n': -11.242157, ' Shark': -11.259329}
{' Yes': -0.0018337617, 'Yes': -6.3791513, '\n': -10.214471, ' Sure': -10.305285, ' yes': -10.601069}
{' Yes': -0.0018843428, 'Yes': -6.3060946, ' yes': -10.583309, ' YES': -11.609462, ' Yep': -12.0167465}
{' Yes': -0.0061601037, 'Yes': -5.5035524, ' Lemon': -6.2594666, ' yes': -9.549057, ' YES': -10.1313715}
{' Yes': -0.0028958712, 'Yes': -6.286783, ' No': -7.079101, '\n': -9.610888, ' Tight': -9.811783}
{' Yes': -0.61627984, ' No': -0.78493136, ' Nope': -6.625256, 'No': -6.712126, 'Yes': -6.747929}
{' Yes': -0.039939154, ' No': -3.308347, 'Yes': -6.0727496, 'No': -8.820281, '\n': -10.104309}
{' Yes': -0.0064780116, 'Yes': -5.7495747, ' Below': -5.8604875, '\n': -8.94244, ' No': -9.407306}
{' Yes': -0.010719048, ' Sm': -4.7216773, 'Yes': -6.451658, ' yes': -9.286305, ' YES': -9.900054}
{' Yes': -0.0025407933, 'Yes': -6.1833873, ' Sm': -8.272252, ' YES': -9.372275, ' yes': -9.44879}
{' Yes': -0.016535072, 'Yes': -4.2861385, ' Your': -6.720361, ' No': -7.6966176, ' Sure': -8.51478}
{' Yes': -0.010362807, 'Yes': -4.7135715, ' Your': -7.658645, ' No': -8.538625, ' Sure': -8.592159}
{' No': -0.007234073, 'No': -4.966188, ' Yes': -8.99883, ' Nope': -9.533408, '\n': -10.493566}
{' Yes': -0.033938218, ' No': -3.7431266, ' Wrong': -4.9148164, 'Yes': -6.189646, '\n': -9.082381}
{' Yes': -0.08162657, ' Devil': -2.6458907, 'Yes': -5.561643, ' yes': -6.7082953, ' Devils': -7.7134757}
{' Yes': -0.045265503, ' Devil': -3.385258, 'Yes': -5.3713174, ' Dev': -5.9891167, ' Devils': -7.02265}
{' Yes': -0.0017025806, 'Yes': -6.3982267, ' yes': -10.943072, ' YES': -12.016008, '\n': -12.114062}
{' Yes': -0.0010910763, 'Yes': -6.8882117, ' yes': -10.294166, '\n': -11.166762, ' No': -11.387262}
{' Yes': -0.014173795, ' Major': -4.419216, 'Yes': -6.646707, ' No': -7.5724025, ' yes': -9.75002}
{' Yes': -0.0024871335, 'Yes': -6.1901946, ' Major': -8.083408, ' yes': -9.974762, '\n': -10.128694}
{' Yes': -0.45888716, ' No': -1.0101205, 'No': -6.5056705, 'Yes': -6.5609355, ' Worst': -7.4861045}
{' Yes': -0.20713952, ' No': -2.2174983, ' Worst': -2.6197066, 'Yes': -5.8662977, ' Nope': -7.1455135}
{' Yes': -0.012645861, ' No': -4.651005, 'Yes': -5.86556, ' yes': -9.68951, 'No': -9.88513}
{' Yes': -0.0019923167, 'Yes': -6.299372, ' yes': -9.950346, '\n': -10.3261, ' No': -10.622111}
{' Yes': -0.0025740778, 'Yes': -6.0041966, ' No': -9.971505, ' yes': -10.783486, ' YES': -11.356015}
{' Yes': -0.004362942, 'Yes': -5.590672, ' Dirty': -8.045377, ' yes': -9.431232, ' YES': -9.845483}
{' Yes': -0.0019151577, 'Yes': -6.338098, ' Sure': -10.088364, ' yes': -10.224552, ' YES': -10.273603}
{' Yes': -0.0030593155, 'Yes': -5.8875303, ' Sure': -9.292538, ' Space': -9.62523, ' yes': -10.158883}
{' Yes': -0.010206596, 'Yes': -5.2252526, ' erupt': -6.6836658, ' Er': -6.988587, ' Ru': -7.9871316}
{' Yes': -0.008476278, 'Yes': -5.3735137, ' Inter': -6.9919925, 'rupt': -7.185695, ' Ru': -7.3747506}
{' Yes': -0.001861831, 'Yes': -6.317226, ' yes': -10.512615, ' Yep': -11.182834, ' YES': -11.860058}
{' Yes': -0.0040653325, 'Yes': -5.538743, ' yes': -9.523886, ' YES': -10.806655, '\n': -11.335807}
{' Yes': -0.064490184, ' Armor': -2.8723438, ' Armour': -5.7833967, 'Yes': -6.285668, ' No': -7.9490533}
{' Yes': -0.0015858605, 'Yes': -6.7306547, ' No': -8.670646, ' Armor': -8.740187, ' yes': -10.779838}
{' Yes': -0.0025650554, 'Yes': -6.0088916, '\n': -10.003409, ' yes': -10.57997, ' No': -11.441102}
{' Yes': -0.008018151, ' Ex': -5.3105655, 'Yes': -6.2401457, ' Exactly': -7.177953, '\n': -9.569942}
{' Yes': -0.0051361676, ' Still': -5.6577253, 'Yes': -6.545119, ' YES': -9.451028, ' yes': -9.64721}
{' Yes': -0.0032522106, 'Yes': -6.446247, ' Still': -6.4808974, ' yes': -9.916951, ' YES': -10.369564}
{' Yes': -0.0016983417, 'Yes': -6.4509816, ' Hello': -9.640164, ' yes': -10.693046, ' YES': -11.265875}
{' Yes': -0.0012036186, 'Yes': -6.7629657, ' yes': -10.996901, ' Hello': -11.631424, ' YES': -11.66775}
{' Yes': -0.0044483733, 'Yes': -5.4696217, ' Sure': -9.481112, '\n': -10.304974, ' Pur': -10.382494}
{' Yes': -0.007986849, 'Yes': -5.390162, ' Sure': -5.7544465, ' yes': -9.863821, '\n': -9.865314}
{' Yes': -0.00712295, ' No': -5.3879666, 'Yes': -6.3902917, ' Actor': -8.023818, ' yes': -8.150852}
{' Yes': -0.0014795405, 'Yes': -6.755262, ' No': -8.814313, ' yes': -9.602349, ' Actor': -9.952024}
{' Yes': -0.0059391246, 'Yes': -5.1532836, ' yes': -10.0890665, ' No': -10.579316, '\n': -10.667016}
{' Yes': -0.0045792, 'Yes': -5.4700065, ' Sure': -8.892982, ' yes': -9.357521, ' No': -10.033576}
{' No': -0.16196005, ' Yes': -1.9267266, 'No': -5.8465242, ' Nope': -7.6235137, 'Yes': -7.804458}
{' No': -0.5528748, ' Yes': -0.8768838, 'No': -5.44029, 'Yes': -6.1176133, ' Nope': -7.415139}
{' No': -0.008002231, 'No': -5.3005056, ' Yes': -5.950003, '\n': -8.374782, ' False': -10.046594}
{' No': -0.1251578, ' Yes': -2.179723, 'No': -5.834422, ' False': -7.273276, 'Yes': -7.6301107}
{' Yes': -0.0012066026, 'Yes': -6.766439, ' No': -10.975295, ' yes': -11.380407, ' YES': -11.874607}
{' Yes': -0.0019173673, 'Yes': -6.3068333, ' yes': -10.279381, '\n': -10.567968, ' No': -11.046623}
{' Yes': -0.0032787023, 'Yes': -5.8280635, ' No': -8.785326, ' yes': -9.896111, '\n': -10.323974}
{' Yes': -0.0013377809, 'Yes': -6.676934, ' Sure': -10.728188, ' No': -11.019777, ' yes': -11.144583}
{' Yes': -0.0016802502, 'Yes': -6.433378, ' yes': -10.427178, '\n': -11.175142, ' YES': -11.411292}
{' Yes': -0.0021329771, 'Yes': -6.21319, ' yes': -9.95389, '\n': -10.608906, ' YES': -11.061407}
{' Yes': -0.0040388783, 'Yes': -6.0209293, ' Crack': -6.7619615, ' Cr': -8.362412, ' yes': -9.478599}
{' Yes': -0.0012055287, 'Yes': -6.772922, ' yes': -10.649897, ' Crack': -11.460301, ' YES': -11.997832}
{' Yes': -0.018114414, ' Ar': -4.928105, ' Sure': -5.370699, 'Yes': -5.937834, ' Arg': -6.4405575}
{' Yes': -0.01630313, ' Ar': -5.1994944, 'Yes': -5.6985164, ' Arg': -6.1250615, ' Sure': -6.1294994}
{' Yes': -0.0009888037, 'Yes': -7.0186386, ' yes': -10.143192, ' YES': -10.670265, ' ': -11.63577}
{' Yes': -0.0013274547, 'Yes': -6.7077518, ' yes': -9.67078, '\n': -10.931941, ' No': -11.705226}
{' Yes': -0.005873655, 'Yes': -5.7200513, ' Early': -6.9476275, ' Yeah': -8.060578, ' Yep': -8.398685}
{' Yes': -0.0051561752, 'Yes': -5.686045, ' Early': -7.4576674, ' Yeah': -8.509133, ' Yep': -8.595301}
{' Yes': -0.0039598835, 'Yes': -5.5686398, ' No': -9.99897, ' yes': -10.08091, '\n': -11.122297}
{' Yes': -0.003703499, 'Yes': -5.643943, ' No': -9.92373, '\n': -10.026502, ' yes': -10.038455}
{' Yes': -0.07424206, ' Ocean': -2.8174021, ' No': -4.855734, 'Yes': -5.703991, ' Co': -8.513724}
{' No': -0.14307165, ' Yes': -2.073873, 'No': -5.251003, ' Ocean': -7.085855, 'Yes': -7.466392}
{' Yes': -0.01588204, ' No': -4.3210135, 'Yes': -6.124634, '\n': -9.372804, 'No': -9.645806}
{' Yes': -0.0013997947, 'Yes': -7.0830894, ' No': -7.6445074, ' Sure': -10.549128, ' yes': -10.817126}
{' Yes': -0.0032071837, 'Yes': -5.7930164, '\n': -9.7422285, ' yes': -9.999776, ' No': -10.613768}
{' Yes': -0.0009363632, 'Yes': -7.0354667, ' No': -11.002431, ' yes': -11.101964, '\n': -11.4614725}
{' Yes': -0.0024077245, 'Yes': -6.055176, ' yes': -10.452198, ' YES': -11.517818, '\n': -11.527235}
{' Yes': -0.002210871, 'Yes': -6.1454277, '\n': -10.585648, ' yes': -10.626551, ' YES': -12.217509}
{' Yes': -0.015217372, ' Guard': -4.531243, 'Yes': -5.5944448, '\n': -8.971406, ' yes': -9.094645}
{' Yes': -0.0054838364, 'Yes': -5.9092326, ' Guard': -5.998813, ' yes': -9.609397, '\n': -9.980992}
{' Yes': -0.0041174614, 'Yes': -5.5227785, ' yes': -10.20824, ' YES': -10.554957, '\n': -11.002795}
{' Yes': -0.0029340659, 'Yes': -5.890463, ' yes': -9.826344, '\n': -9.876261, ' YES': -10.58951}
{' Yes': -0.002781522, 'Yes': -5.9481297, ' Grass': -9.48044, ' yes': -10.237858, '\n': -10.317974}
{' Yes': -0.0065076463, 'Yes': -5.368194, ' Grass': -6.872438, ' No': -7.6909647, '\n': -9.001367}
{' Yes': -0.005434032, 'Yes': -5.3734913, ' yes': -8.148838, ' Beard': -8.218969, ' Be': -9.850876}
{' Yes': -0.0036336842, 'Yes': -5.6980495, ' yes': -8.588926, ' YES': -10.530295, 'yes': -11.053004}
{' Yes': -0.03633321, 'Yes': -4.1433926, ' Girls': -4.584221, ' No': -4.9841824, ' yes': -7.532529}
{' Yes': -0.017802617, ' Gr': -4.8598967, 'Yes': -5.103017, ' No': -6.2195253, ' Girls': -7.4474006}
{' Yes': -0.0013381385, 'Yes': -6.664798, ' YES': -10.511712, ' yes': -11.047318, '\n': -12.1342745}
{' Yes': -0.00452064, 'Yes': -5.685426, ' Light': -7.0050163, ' YES': -9.620619, '\n': -9.833633}
{' Yes': -0.0020694258, 'Yes': -6.3032885, ' No': -8.940269, ' Spoon': -9.928224, ' yes': -10.559114}
{' Yes': -0.0009644044, 'Yes': -6.9958467, ' No': -10.687882, ' yes': -11.320436, ' YES': -12.467766}
{' Yes': -0.0036476832, 'Yes': -5.6355443, ' Sure': -10.882443, ' yes': -10.891558, ' No': -11.782952}
{' Yes': -0.005161988, 'Yes': -5.3061447, ' Lo': -9.616892, ' yes': -10.311781, ' No': -10.769878}
{' Yes': -0.0026827254, 'Yes': -5.9467015, ' yes': -10.329127, ' YES': -11.315943, ' Plant': -11.886628}
{' Yes': -0.0029344254, 'Yes': -5.851903, ' yes': -10.5066805, ' YES': -11.288807, '\n': -12.187636}
{' Yes': -0.014437959, ' No': -4.3792524, 'Yes': -6.4118032, 'No': -9.904426, ' yes': -10.44037}
{' Yes': -0.0037974296, 'Yes': -5.6200175, ' No': -9.733157, ' yes': -10.164441, '\n': -10.425097}
{' Yes': -0.0019033336, 'Yes': -6.2898912, ' yes': -11.176583, ' YES': -11.62309, ' Sure': -11.742843}
{' Yes': -0.0014961967, 'Yes': -6.5569806, ' yes': -10.971405, '\n': -11.184093, ' Sure': -11.2450485}
{' Yes': -0.007510223, ' Rough': -5.17467, 'Yes': -6.360039, ' yes': -10.675952, '\n': -11.107922}
{' Yes': -0.15208541, ' Rough': -1.9808625, 'Yes': -5.935214, ' Tough': -9.04023, '\n': -9.448807}
{' Yes': -0.010288975, 'Yes': -4.654549, ' Dance': -7.590203, ' yes': -9.418201, ' YES': -9.669479}
{' Yes': -0.012730493, 'Yes': -4.6709447, ' Dance': -5.8439317, ' yes': -9.283699, ' YES': -9.350842}
{' Yes': -0.004066531, 'Yes': -5.5419617, ' yes': -9.3495035, ' YES': -10.353466, 'yes': -11.837097}
{' Yes': -0.0011920412, 'Yes': -6.8172264, ' Salad': -10.203806, ' yes': -10.513338, ' YES': -11.2055025}
{' Yes': -0.020929914, 'Yes': -4.3730817, ' Looks': -4.9761415, ' No': -7.751253, ' YES': -8.6984}
{' Yes': -0.004379344, 'Yes': -5.4701133, ' No': -9.817651, ' yes': -10.359854, ' YES': -10.721682}
{' Yes': -0.01397679, ' Store': -4.668262, 'Yes': -5.612939, ' Sure': -7.4914064, '\n': -8.972436}
{' Yes': -0.0006692382, 'Yes': -7.398036, ' Sure': -10.910954, ' yes': -10.914847, '\n': -11.664574}
{' Yes': -0.004581655, 'Yes': -5.4623256, ' Break': -8.691931, ' yes': -9.274769, '\n': -10.849593}
{' Yes': -0.0029824325, 'Yes': -6.001395, ' Break': -7.985352, ' yes': -9.6030855, '\n': -10.257046}
{' Yes': -0.001925849, 'Yes': -6.316671, ' yes': -9.987237, ' Parts': -10.744657, ' YES': -10.887195}
{' Yes': -0.001770768, 'Yes': -6.368843, ' yes': -10.845043, ' Sure': -11.573062, ' No': -11.720055}
{' Yes': -0.0027285062, 'Yes': -6.0504823, ' Sure': -9.302071, ' No': -9.78317, ' Sh': -9.841546}
{' Yes': -0.0049231416, 'Yes': -5.544737, ' Sure': -7.6242824, ' Sh': -8.688803, ' yes': -9.496042}
{' Yes': -0.0026204516, 'Yes': -5.984861, ' yes': -10.208902, ' Sy': -10.95318, '\n': -11.2045355}
{' Yes': -0.0031852971, 'Yes': -5.7803187, ' yes': -10.009827, '\n': -10.657999, ' YES': -11.8471985}
{' Yes': -0.001145135, 'Yes': -6.8611856, ' yes': -10.083091, ' YES': -10.295178, ' ': -11.692747}
{' Yes': -0.000769626, 'Yes': -7.2238855, ' yes': -10.923593, ' YES': -11.347285, ' ': -12.42764}
{' Yes': -0.0043096626, ' No': -5.64053, 'Yes': -7.3222075, ' Minor': -9.923271, ' yes': -10.76083}
{' Yes': -0.0015555937, 'Yes': -6.5633345, ' Minor': -9.762141, ' yes': -10.053863, '\n': -11.18452}
{' Yes': -0.001661204, 'Yes': -6.4132156, ' yes': -11.54296, ' YES': -12.446326, '\n': -13.05288}
{' Yes': -0.0012468238, 'Yes': -6.7277503, '\n': -10.877021, ' Sure': -11.717942, ' yes': -11.906636}
{' Yes': -0.001524192, 'Yes': -6.504047, ' yes': -11.424878, ' YES': -12.225237, '\n': -12.511767}
{' Yes': -0.0017330906, 'Yes': -6.394284, ' yes': -10.848359, ' YES': -11.159691, ' Arrow': -11.641374}
{' Yes': -0.0014822852, 'Yes': -6.5434937, ' yes': -10.869923, ' YES': -11.88394, ' Sure': -12.063978}
{' Yes': -0.0017579291, 'Yes': -6.3792086, ' yes': -10.667439, ' YES': -11.439712, ' Chain': -11.628635}
{' Yes': -0.0022508358, 'Yes': -6.166649, ' Coral': -9.681885, ' yes': -9.749546, ' YES': -11.727597}
{' Yes': -0.0020492354, 'Yes': -6.252749, ' yes': -9.617782, '\n': -10.926036, ' Coral': -11.661927}
{' Yes': -0.0051085474, 'Yes': -5.8659883, ' Heart': -6.1938066, '\n': -9.0031595, ' yes': -10.589905}
{' Yes': -0.015276682, ' Heart': -4.5127378, 'Yes': -5.617432, '\n': -8.278937, ' Hearth': -9.83745}
{' Yes': -0.0008281433, 'Yes': -7.127546, ' yes': -11.87439, ' YES': -12.104996, '\n': -12.217197}
{' Yes': -0.0015111205, 'Yes': -6.518095, ' YES': -11.4030905, ' yes': -11.540725, '\n': -12.337544}
{' Yes': -0.05407412, ' No': -2.9944193, 'Yes': -6.429845, ' Nope': -7.752047, 'No': -8.600332}
{' Yes': -0.007043416, 'Yes': -5.988231, ' No': -6.2005396, ' Right': -6.2249446, ' Bright': -8.977456}
{' Yes': -0.0032265575, 'Yes': -6.1205373, ' No': -7.4888983, ' Pizza': -8.180009, ' Yep': -9.894675}
{' Yes': -0.0056900857, 'Yes': -6.0183163, ' Pizza': -6.264358, ' No': -6.7473407, ' yes': -10.045479}
{' Yes': -0.017200295, 'Yes': -4.7098956, ' Snake': -4.939813, ' Sn': -8.108357, ' Sure': -8.468517}
{' Yes': -0.011439742, 'Yes': -4.864894, ' Snake': -5.848216, ' Sn': -8.206542, ' yes': -8.993451}
{' Yes': -0.005116216, 'Yes': -6.074312, ' Laugh': -7.0178933, ' Yeah': -7.17021, ' Sure': -7.754008}
{' Yes': -0.0039082468, 'Yes': -5.942053, ' Laugh': -7.3844967, ' Yeah': -8.528845, ' Sure': -8.575563}
{' Yes': -0.0039002877, 'Yes': -5.6178775, ' No': -9.312533, ' Queen': -9.720658, ' yes': -9.804566}
{' Yes': -0.022467937, ' No': -3.9492562, 'Yes': -5.9744844, 'No': -8.821847, ' Queen': -9.323291}
{' Yes': -0.6906456, ' No': -0.70280874, 'No': -6.264662, 'Yes': -6.7404957, ' Nope': -8.128834}
{' Yes': -0.003759678, 'Yes': -5.9331226, ' Sure': -7.633886, ' No': -7.7595153, ' Yeah': -9.859238}
{' Yes': -0.0114023015, 'Yes': -5.1707, ' Plane': -5.26985, ' Sure': -8.197531, ' yes': -9.274832}
{' Yes': -0.015136946, ' Plane': -4.4792995, 'Yes': -5.796751, ' No': -8.726247, ' Sure': -8.7307205}
{' Yes': -0.2394972, ' Found': -1.6097555, ' Sound': -5.6135473, 'Yes': -5.92043, ' F': -6.749265}
{' Yes': -0.045550052, ' Found': -3.3236127, 'Yes': -5.9670053, ' F': -6.697131, ' Sound': -6.8362126}
{' Yes': -0.00067675306, 'Yes': -7.403838, ' yes': -10.164237, ' No': -11.73127, ' Sure': -11.918218}
{' Yes': -0.0030925004, ' No': -6.4950113, 'Yes': -6.6569657, ' Uncle': -8.766996, ' yes': -10.357518}
{' Yes': -0.0018370461, 'Yes': -6.3884587, ' Sure': -9.297228, ' yes': -10.903984, ' No': -11.106686}
{' Yes': -0.0063116066, 'Yes': -5.479248, ' Sure': -7.1970425, ' Stamp': -7.466538, ' St': -8.466102}
{' Yes': -0.0035337864, 'Yes': -5.96271, ' Sleep': -7.348737, ' yes': -8.830216, ' Yep': -9.598662}
{' Yes': -0.0040280493, 'Yes': -5.716556, ' Sleep': -8.074126, ' yes': -8.367528, ' YES': -9.707622}
{' Yes': -0.5315649, ' No': -0.8986761, 'Yes': -5.9046593, 'No': -6.0532455, ' Nope': -9.824371}
{' Yes': -0.0067500514, 'Yes': -5.412536, ' Close': -6.3597546, ' No': -8.345137, ' Sure': -8.78484}
{' Yes': -0.0065576234, 'Yes': -5.6892204, ' Te': -6.2865543, ' No': -7.3616023, ' Tooth': -8.139151}
{' Yes': -0.0046310565, 'Yes': -5.6208034, ' Te': -8.182662, ' No': -8.36856, ' Tooth': -9.242144}
{' Yes': -0.0015440708, 'Yes': -6.9471264, ' No': -7.4864907, ' Sure': -11.467927, ' yes': -12.2626915}
{' Yes': -0.00095998903, 'Yes': -7.023495, ' Sure': -9.919374, ' yes': -11.977421, ' Yeah': -12.495528}
{' Yes': -0.002524717, 'Yes': -6.025546, ' yes': -9.90095, ' YES': -10.947301, ' No': -10.965289}
