{' No': -0.032526918, ' Yes': -3.841517, 'No': -4.6175275, '\n': -8.260648, 'Yes': -9.013032}
{' No': -0.009836695, 'No': -5.017088, ' Yes': -5.8504486, '\n': -9.494169, ' Not': -9.527861}
{' No': -0.01976575, 'No': -4.155498, ' Yes': -5.664726, '\n': -8.786111, ' The': -9.290114}
{' No': -0.009892315, 'No': -4.681208, ' Yes': -8.26893, ' The': -9.063715, '\n': -9.554781}
{' No': -0.005677556, 'No': -5.2487803, ' The': -9.10304, ' Yes': -9.193589, '\n': -9.308641}
{' Yes': -0.37240636, ' No': -1.1856464, 'Yes': -6.3544655, 'No': -6.4325624, ' The': -6.9700737}
{' No': -0.057430495, ' Yes': -3.049324, 'No': -4.953903, ' The': -7.5593085, '\n': -8.037563}
{' Yes': -0.0036679637, 'Yes': -5.8062015, ' No': -7.6125293, ' yes': -9.749547, '\n': -10.011193}
{' Yes': -0.09825029, ' No': -2.4184256, 'Yes': -5.7077065, 'No': -7.0162206, ' The': -8.934151}
{' Yes': -0.30407476, ' No': -1.3558822, 'Yes': -6.257572, ' The': -6.781119, 'No': -6.821839}
{' No': -0.01881003, ' Yes': -4.2114387, 'No': -5.702022, ' The': -8.15702, '\n': -9.880059}
{' No': -0.007355715, ' Yes': -5.310527, 'No': -6.1114087, ' Not': -9.978636, '\n': -10.051841}
{' No': -0.0041349996, 'No': -5.6325436, ' Yes': -7.8892765, '\n': -9.955027, ' The': -10.010919}
{' Yes': -0.4481774, ' No': -1.0390359, 'No': -5.845138, 'Yes': -5.8713417, ' The': -6.6791306}
{' No': -0.031056633, 'No': -4.1941004, ' Yes': -4.222789, ' The': -7.746802, 'Yes': -9.021951}
{' No': -0.013177199, 'No': -4.4166803, ' Yes': -7.2245326, ' The': -9.201829, '\n': -9.538066}
{' No': -0.016141381, 'No': -4.17139, ' The': -8.573564, '\n': -8.595088, ' ': -9.806687}
{' No': -0.020630136, ' Yes': -4.2363243, 'No': -5.3113766, '\n': -7.472393, ' The': -8.351181}
{' No': -0.018956296, ' Yes': -4.2558393, 'No': -5.5670023, '\n': -7.783398, ' The': -8.706811}
{' No': -0.014755726, 'No': -4.423342, ' Yes': -6.166743, ' The': -8.241556, '\n': -8.650635}
{' No': -0.007569979, 'No': -5.3171077, ' Yes': -6.1054735, ' The': -8.375094, '\n': -9.843291}
{' No': -0.016278895, ' Yes': -4.551439, 'No': -5.3075995, ' The': -7.8992777, ' Not': -9.409688}
{' No': -0.043370724, ' Yes': -3.298473, 'No': -5.3620925, ' The': -8.174219, '\n': -8.550002}
{' Yes': -0.05179102, ' No': -3.0429025, 'Yes': -6.519725, '\n': -7.113436, 'No': -8.853466}
{' No': -0.060761116, ' Yes': -2.9631388, 'No': -5.000271, 'Yes': -8.464466, '\n': -8.80422}
{' No': -0.011080232, 'No': -4.933466, ' Yes': -5.753363, ' The': -8.35551, '\n': -8.496525}
{' No': -0.006605323, 'No': -5.28433, ' Yes': -6.843467, ' The': -8.157192, ' "': -9.96917}
{' No': -0.10723566, ' Yes': -2.3702629, 'No': -5.0868006, '\n': -7.0832233, ' The': -7.587937}
{' No': -0.24185868, ' Yes': -1.5685321, 'No': -5.35287, 'Yes': -7.1085544, ' The': -7.313773}
{' No': -0.12390337, ' Yes': -2.1942976, 'No': -5.44578, 'Yes': -8.119047, ' The': -8.209402}
{' No': -0.017721925, ' Yes': -4.487654, 'No': -5.1419644, ' The': -8.109564, ' Not': -9.946354}
{' No': -0.032931723, 'No': -4.1237574, ' Yes': -4.2035894, '\n': -6.992658, 'Yes': -8.848266}
{' No': -0.64583784, ' Yes': -0.7553025, 'No': -5.6618347, 'Yes': -6.343221, ' Not': -8.114841}
{' No': -0.014052952, ' Yes': -4.602285, 'No': -5.6486554, ' The': -8.532196, '\n': -9.346872}
{' No': -0.036734875, ' Yes': -3.6323214, 'No': -4.6900897, 'Yes': -8.832871, ' The': -9.039224}
{' No': -0.004363421, 'No': -5.575415, ' Yes': -7.9564595, ' The': -9.400266, '\n': -10.024105}
{' No': -0.007789571, 'No': -4.932548, ' Yes': -8.207302, ' The': -8.74315, '\n': -10.254539}
{' No': -0.024096971, 'No': -4.189208, ' Yes': -4.862813, ' The': -7.713775, ' Not': -8.439826}
{' No': -0.013158477, 'No': -4.6170115, ' Yes': -5.85044, ' The': -9.034135, '\n': -9.377318}
{' No': -0.02044682, ' Yes': -4.365284, 'No': -4.978756, '\n': -8.45862, ' The': -8.6971855}
{' Yes': -0.09122301, ' No': -2.4824393, 'Yes': -6.1197886, ' The': -7.461546, 'No': -7.8338947}
{' Yes': -0.02132939, ' No': -4.064958, 'Yes': -5.7402296, ' The': -8.07684, '\n': -8.6677065}
{' No': -0.18065695, ' Yes': -1.8408111, 'No': -5.243168, 'Yes': -7.2933598, ' The': -7.9580083}
{' No': -0.1688194, ' Yes': -1.8882275, 'No': -5.72347, 'Yes': -7.990089, ' The': -8.597646}
{' No': -0.008543906, ' Yes': -5.4386473, 'No': -5.5668344, '\n': -9.111453, ' The': -9.141507}
{' Yes': -0.15299897, ' No': -2.0030794, 'Yes': -5.6203413, 'No': -6.727994, ' The': -6.8927197}
{' Yes': -0.4519998, ' No': -1.030655, 'Yes': -5.7688923, 'No': -5.8976836, ' The': -7.6621284}
{' No': -0.49513897, ' Yes': -0.9761838, 'No': -4.8328505, 'Yes': -6.0837483, ' The': -6.4895463}
{' No': -0.034633145, ' Yes': -3.714416, 'No': -4.7564445, ' The': -7.9266143, '\n': -8.033125}
{' No': -0.09606728, ' Yes': -2.5019605, 'No': -4.7662196, 'Yes': -7.6369534, ' The': -8.170862}
{' No': -0.10138047, ' Yes': -2.4529467, 'No': -4.6918936, 'Yes': -7.502906, ' The': -8.33689}
{' No': -0.04472682, ' Yes': -3.3647473, 'No': -4.939321, '\n': -6.720843, ' Not': -8.267516}
{' No': -0.0067682937, 'No': -5.077311, ' Yes': -8.346614, ' The': -9.266513, ' Not': -9.364617}
{' No': -0.1553419, ' Yes': -2.086048, 'No': -4.057491, 'Yes': -6.6990366, '\n': -7.4307513}
{' No': -0.015610576, ' Yes': -4.7285256, 'No': -5.1300097, '\n': -8.077638, ' The': -8.737384}
{' No': -0.07734396, ' Yes': -2.7195292, 'No': -4.980159, ' The': -6.9792967, 'Yes': -8.144361}
{' No': -0.1627925, ' Yes': -1.9598525, 'No': -4.870609, 'Yes': -7.320427, ' The': -7.3230724}
{' No': -0.027539534, ' Yes': -4.087283, 'No': -4.6234083, ' The': -8.63762, '\n': -8.9829645}
{' No': -0.05110018, ' Yes': -3.1508737, 'No': -5.0823884, ' The': -8.0636425, 'Yes': -8.555223}
{' No': -0.011658261, 'No': -5.071306, ' Yes': -5.3232083, ' The': -8.366468, ' Not': -9.256261}
{' No': -0.056751795, ' Yes': -3.0533376, 'No': -4.9511476, ' The': -8.050039, 'Yes': -8.085976}
{' No': -0.0121269915, ' Yes': -5.086544, 'No': -5.2844677, '\n': -7.5531254, ' ': -8.774355}
{' No': -0.022311712, ' Yes': -4.488279, 'No': -4.584924, '\n': -8.274655, ' The': -8.6387415}
{' No': -0.54090905, ' Yes': -0.8920596, 'No': -5.4192376, 'Yes': -6.4044347, ' The': -6.6457386}
{' No': -0.04711301, ' Yes': -3.4238372, 'No': -4.3817477, '\n': -7.9928236, ' The': -8.4374895}
{' No': -0.07238076, ' Yes': -2.9955983, 'No': -4.027623, '\n': -6.9950695, 'Yes': -7.591835}
{' No': -0.018718446, 'No': -4.3027816, ' Yes': -5.420234, '\n': -8.462388, ' The': -8.530189}
{' No': -0.14327304, ' Yes': -2.0611808, 'No': -5.3594174, ' The': -7.687334, 'Yes': -7.752896}
{' No': -0.008642143, 'No': -4.8595047, ' Yes': -7.631223, ' The': -8.406044, '\n': -10.025641}
{' No': -0.03749048, ' Yes': -3.4858317, 'No': -5.283584, ' The': -7.499322, '\n': -8.258725}
{' No': -0.20352532, ' Yes': -1.7266957, 'No': -5.33345, 'Yes': -7.213045, ' The': -8.319063}
{' No': -0.016776945, ' Yes': -4.5293612, 'No': -5.2501926, ' The': -7.797458, 'Yes': -9.817108}
{' No': -0.017839508, 'No': -4.0997543, ' Yes': -7.6159587, '\n': -8.073809, ' The': -8.885405}
{' Yes': -0.014623563, ' No': -4.366646, 'Yes': -6.581608, ' The': -8.353312, ' yes': -9.968185}
{' No': -0.4662679, ' Yes': -1.0043901, 'No': -5.5333533, 'Yes': -6.7355585, ' The': -7.299382}
{' No': -0.24862778, ' Yes': -1.5447017, 'No': -5.6067357, '\n': -6.7035346, ' The': -7.0807047}
{' No': -0.053042945, ' Yes': -3.262481, 'No': -4.640981, '\n': -5.9874434, ' "': -7.4870257}
{' No': -0.006936993, 'No': -5.591535, ' Yes': -5.7976055, '\n': -9.761852, ' The': -10.221292}
{' No': -0.01575778, 'No': -4.600295, ' Yes': -5.2454176, ' Not': -9.283988, ' The': -9.469434}
{' No': -0.5691917, ' Yes': -0.8692425, 'No': -4.839997, 'Yes': -5.630318, '\n': -6.5650597}
{' No': -0.038602065, ' Yes': -3.6001673, 'No': -4.7220526, ' The': -7.061883, '\n': -7.849509}
{' No': -0.017479273, ' Yes': -4.41877, 'No': -5.467619, ' The': -7.768372, ' Not': -8.127089}
{' No': -0.028693827, ' Yes': -3.813579, 'No': -5.15752, ' Not': -9.130922, ' The': -9.159955}
{' Yes': -0.049373563, ' No': -3.109699, 'Yes': -5.86619, 'No': -8.145023, ' yes': -8.920645}
{' No': -0.19638412, ' Yes': -1.7692944, 'No': -5.1003795, 'Yes': -7.325243, ' "': -7.918281}
{' No': -0.19223851, ' Yes': -1.7798412, 'No': -5.213801, 'Yes': -7.5156364, ' The': -9.390371}
{' No': -0.11094841, ' Yes': -2.3489246, 'No': -4.8442054, '\n': -7.345075, 'Yes': -7.861467}
{' Yes': -0.52010363, ' No': -0.91915536, 'No': -6.0238442, 'Yes': -6.205986, '\n': -6.5206113}
{' No': -0.02751834, 'No': -3.8732042, ' Yes': -5.1961184, ' The': -8.061252, '\n': -8.319837}
{' No': -0.43214896, ' Yes': -1.0641013, 'No': -5.5548506, 'Yes': -7.0057573, ' The': -7.60525}
{' No': -0.044904854, ' Yes': -3.4190748, 'No': -4.7064533, '\n': -6.7930393, ' The': -7.578157}
{' No': -0.04557002, ' Yes': -3.3912063, 'No': -4.5902267, ' The': -7.963939, 'Yes': -8.610068}
{' No': -0.02086485, ' Yes': -4.315544, 'No': -4.9762115, ' The': -8.351425, 'Yes': -9.883919}
{' Yes': -0.34823647, ' No': -1.2386287, 'Yes': -6.484688, 'No': -6.5575223, ' The': -6.965126}
{' No': -0.111311376, ' Yes': -2.3110929, 'No': -5.527188, ' The': -6.606583, 'Yes': -8.391552}
{' Yes': -0.2651472, ' No': -1.4840117, 'Yes': -5.924157, 'No': -6.357695, ' The': -7.1979337}
{' No': -0.14774354, ' Yes': -2.0489123, 'No': -5.0559697, ' The': -6.949508, 'Yes': -7.670098}
{' Yes': -0.05316438, ' No': -3.0353858, 'Yes': -6.0062413, '\n': -7.6704507, ' The': -7.935936}
{' Yes': -0.003971198, 'Yes': -6.094879, ' No': -6.492161, '\n': -9.337225, ' yes': -10.198455}
{' No': -0.07174345, ' Yes': -3.1207013, 'No': -3.7526345, 'Yes': -7.4403954, '\n': -7.4503994}
{' No': -0.0486255, 'No': -3.6065364, ' Yes': -3.9690185, ' The': -7.5563407, '\n': -8.207383}
{' No': -0.041935716, 'No': -3.4667633, ' Yes': -4.770428, ' The': -7.6528916, '\n': -8.095482}
{' No': -0.023322757, 'No': -3.7876868, ' Yes': -8.290294, ' The': -9.427274, ' ': -10.672124}
{' Yes': -0.0713689, ' No': -2.8825204, 'Yes': -4.6104274, ' The': -7.0303493, 'No': -7.095836}
{' No': -0.25619966, ' Yes': -1.5574272, 'No': -4.4094763, 'Yes': -6.1417546, '\n': -7.915322}
{' No': -0.018619215, 'No': -4.0702147, ' Yes': -7.0504375, '\n': -8.835549, ' The': -9.055076}
{' No': -0.08581139, ' Yes': -2.6588666, 'No': -4.567716, 'Yes': -7.570928, ' Not': -7.781261}
{' No': -0.071060024, 'No': -2.9571836, ' Yes': -4.1574397, 'Yes': -7.7068534, ' The': -8.624288}
{' No': -0.027636468, 'No': -3.9733837, ' Yes': -4.8195868, ' The': -8.698951, 'Yes': -9.312627}
{' No': -0.038982205, 'No': -3.452669, ' Yes': -5.158006, '\n': -7.8649726, 'Yes': -9.264259}
{' No': -0.25458476, ' Yes': -1.6690097, 'No': -3.578132, 'Yes': -5.7094088, ' The': -6.0411844}
{' No': -0.078283384, ' Yes': -2.9172857, 'No': -3.951967, 'Yes': -7.262209, ' The': -7.3036957}
{' No': -0.07266812, ' Yes': -2.88056, 'No': -4.413269, ' The': -7.4133525, 'Yes': -7.602224}
{' Yes': -0.0858514, ' No': -2.6259398, 'Yes': -5.0921497, ' "': -6.530402, 'No': -6.902953}
{' No': -0.028987197, 'No': -4.1410227, ' Yes': -4.546602, '\n': -6.7793627, ' The': -7.7104063}
{' No': -0.02384148, 'No': -4.0014224, ' Yes': -5.3217273, '\n': -9.006358, ' The': -9.702405}
{' No': -0.013271538, 'No': -4.534977, ' Yes': -6.181495, '\n': -8.827057, ' The': -9.373075}
{' No': -0.07985959, ' Yes': -2.790612, 'No': -4.3279867, ' The': -7.0034356, '\n': -7.635369}
{' No': -0.02511697, 'No': -3.9438121, ' Yes': -5.350981, ' The': -8.313084, ' "': -8.8368845}
{' No': -0.6650356, ' Yes': -0.760899, 'No': -4.986239, '\n': -5.072346, 'Yes': -5.6837144}
{' No': -0.26504472, ' Yes': -1.5080541, 'No': -4.7599196, 'Yes': -6.458511, '\n': -7.3891063}
{' Yes': -0.29652303, ' No': -1.4368141, 'Yes': -4.484008, 'No': -4.945075, '\n': -8.77785}
{' No': -0.019308923, 'No': -3.9907176, ' Yes': -7.8691034, ' The': -8.872195, '\n': -10.458819}
{' No': -0.14579368, ' Yes': -2.188333, 'No': -3.997209, '\n': -6.162969, 'Yes': -6.615747}
{' No': -0.06921831, ' Yes': -3.2217069, 'No': -3.7503324, ' The': -6.651861, '\n': -6.872532}
{' Yes': -0.45265412, ' No': -1.0535243, 'No': -4.9591064, 'Yes': -5.1061344, '\n': -6.7956414}
{' No': -0.20898989, ' Yes': -1.9196776, 'No': -3.3712993, 'Yes': -5.8905573, '\n': -6.098211}
{' No': -0.055816088, ' Yes': -3.1205666, 'No': -4.7360377, ' The': -7.260978, 'Yes': -8.418086}
{' No': -0.01575015, 'No': -4.26423, ' Yes': -7.19978, ' "': -8.346629, ' The': -8.419398}
{' No': -0.030200042, 'No': -4.0087595, ' Yes': -4.5910463, '\n': -7.2229924, ' The': -8.009266}
{' No': -0.01725287, 'No': -4.260045, ' Yes': -5.9470906, '\n': -8.929054, ' The': -9.277355}
{' Yes': -0.008525812, 'Yes': -4.8452244, ' No': -8.182793, ' yes': -8.7583685, '\n': -9.521432}
{' Yes': -0.13959233, ' No': -2.139779, 'Yes': -4.8097653, 'No': -5.9063387, '\n': -6.9156327}
{' No': -0.019334994, 'No': -4.045958, ' Yes': -6.6358256, ' The': -9.128941, '\n': -9.221788}
{' No': -0.03308062, 'No': -3.4364195, ' Yes': -8.909921, '\n': -9.553618, ' The': -9.619775}
{' No': -0.053951256, ' Yes': -3.3108804, 'No': -4.1753516, 'Yes': -7.8636756, '\n': -9.394446}
{' No': -0.53919107, ' Yes': -0.97596616, 'No': -3.531098, 'Yes': -4.6747785, ' The': -7.204297}
{' Yes': -0.008967874, 'Yes': -5.209262, ' No': -5.818374, ' The': -8.582448, ' yes': -9.008546}
{' No': -0.0249233, 'No': -3.749315, ' Yes': -7.5672507, ' Not': -8.756048, '\n': -8.811499}
{' No': -0.038480714, 'No': -3.4565637, ' Yes': -5.1826034, ' The': -8.638901, 'Yes': -9.261849}
{' No': -0.030144999, 'No': -4.007314, ' Yes': -4.536971, ' The': -7.9328413, 'Yes': -9.128852}
{' No': -0.43851823, ' Yes': -1.075895, 'No': -4.7484775, 'Yes': -5.768525, '\n': -6.776452}
{' No': -0.23396376, ' Yes': -1.6718624, 'No': -4.3037977, '\n': -5.966635, 'Yes': -6.036335}
{' No': -0.029602613, 'No': -3.7743497, ' Yes': -5.201876, ' The': -8.029577, '\n': -8.834944}
